name,type,headline,gender,created_time,vote,comment,content
不痛不痒,people,,1,2018-04-18 17:58:01,452,88,我当年何尝不是一心要搞ic，搞ee，多少个夜晚刷模电数电信号，画pcb，写vhdl，做小东西，参加电子竞赛。参加招聘苏州的几个大企业招聘会上说你这刚毕业怎么就要6k+，不踏实想了想暴涨的房价，我这种弱渣是不配干这了。果断软件走起，随便找也上万。我并没有说做软件钱多，对比硬件溢价严重，实际软件只不过是稍微较高而已，对比现在房价等等其实也很一般(一天工作下来累的回家倒头睡)，是硬件，制造业，实业工资太太太低了。
唐老鸭,people,,1,2018-04-18 18:04:55,130,85,如今知乎上各种鼓吹微电子制造业的春天要来了，我真不知道这些人中有几个真是在业界搬砖。作为土博出身的一线砖工及我的同事都表示：啊哈哈，这股春风千万别像30年前那样把现有的成果全吹没了就不错了。整个EE行业从EDA工具到测试设备再到制造设备、耗材对美国、日本、欧洲的依赖是全方位的，长期不好说，但短期绝对是剧痛，从业人员首先要考虑的是饭碗。问题出在那里？从上世纪80年代中期开始一直到2006年核高基项目启动这20多年对于我国电子、微电子产业绝对是弯路！
Merlin Lee,people,,1,2018-04-19 11:16:14,171,39,行业怎么样不说，但是对于你个人来说建议看看这两张图。然后第二个来了两张图说的是同一个人转自微博曹山石
匿名用户,people,,1,2018-04-20 14:35:57,152,6,这个东西就好像做我们做安全的那群兄弟，没有出问题的时候，人见人烦。做一堆安全红线，天天出来唧唧歪歪，除了拉低性能，一分钱都不赚，看着竞争对手性能好的时候，万众指责。等到终于出了安全漏洞了，人人都说安全重要了，其实也没有人表扬他们，都觉得做到是应该的，还做得不够好，只是炸出一堆牛鬼蛇神出来蹭热点。所以吧，少出来说你一腔热血只是环境不好了，环境就是你们这些家伙造成的。真有心的，发个简历过来到我们这里来做芯片呗，把你数据中心的服务器换成我们的服务器呗，非要等其他人上了才肯上，你是一点亏都不肯吃的，还整天说这个环境那个环境的做毛噢。不是做这个的，就好好工作，少来支持芯片什么的。如果你还不知道什么是“常使民无知无欲，使夫智者不敢为也”，这也许能让你理解一点点……算了本来只是想吐槽，结果居然不少人点赞，这种没有干货的东西不宜成为关注中心，还是匿了。
gilluin,people,RF/Microwave Circuit Designer， 3年PCB设计经验,1,2018-04-18 13:07:54,439,140,谢邀谈谈我自己的看法吧。首先对中兴的制裁是致命性的，如果无法达成和解，中兴可以考虑转行养养猪种种菜啥的。虽然号称只影响了百分之三十的元件，然而就是这最关键，无可替代的百分之三十，决定了中兴基本上和电子行业说再见了。打蛇打七寸，而且这百分之三十，不仅仅是中兴的七寸。中美贸易战，中国扛得起，但中国赢不了。这件事情，作为学ee的学生的我，实际上感觉又可悲又可喜。可悲的是，这件事情，发生之前但凡有点脑子的人都知道发生的后果，而且也预计到了可能会发生，然而当这一切真的发生的时候却只能乖乖躺好寄希望于上头的强奸犯能突然大发圣母心。当国家不计成本往集成电路行业撒钱的时候，却总有一群蛀虫，一群民族的败类觊觎着这些钱。几千亿砸下去能让一个中等国家灭亡，但是却真的解决不了一个小小的芯片吗？当一百枚导弹飞向叙利亚，人们窃喜，世界还是那个世界，但我们已经不是当年的我们。不，世界比当年的世界更加残酷，但我们，还是当年的我们。在炮火中的毁灭的旧世界的废墟之上，我们建立起了新世界的繁荣，但是在繁荣的背后，仍然有看不见的炮火纷飞，枪林弹雨。城市烧了，我们可以重建，因为，火焰能吞噬大楼，却不能吞噬人们建大楼的勇气。家园没了，我们可以重建，因为，炮弹能炸平生存空间，却炸不平人们生存的希望。但是，如果没了希望，什么都没了，当今世界，弱小的国家，是没有希望的。一等国家做棋手，二等国家做棋子，三等国家做棋盘。在电子的世界里，我们，是棋盘。我们国家IT行业，尤其电子行业整体待遇不如西方国家，情有可原。可喜的是，这件事有机会能唤醒一些人，能唤醒被忽悠的决策层。中兴倒下了，难道其他公司就不会面临现有的困局吗？这件事情我们必须意识到，整个中国IT行业都是建立在靠着进口钢筋混凝土搭起来的吊脚地基之上，西方国家只要想，别说中兴，什么阿里巴巴腾讯，都得死。我们必须意识到，强盗是不讲道理的，帝国主义，可以合作，但一分钟也不能相信。半导体一天不强大，我们的IT业就一天也摆脱不了威胁。可喜的是，我们终于可以体会到这一点了。中华文明能延续几千年，靠的是一辈又一辈的英雄，一辈又一辈民族的脊梁扛起来的。对中兴这一死手，必须激发起大家的斗志，西方国家想让我们死，但是我们必须让他们知道，这五千年的文明，不是靠躺下求饶求来的。希望三十年后的历史教材，能给我们一个这样的结论:但是最后，我们赢了。免得又被认为答非所问，还是总结一下以上回答中题主关心的问题吧首先EE待遇不会因此增加，国家已经撒了很多很多钱了，尤其是集成电路行业，又没搞出啥大新闻，钱到哪了自己体会。然后EE总体待遇差是必然的，在市场上没有地位，没有影响力，就没有钱。最后，我们绝不认输。––––––评论区挂了个人，大有怼天怼地的气势，一些污言秽语就不挂了。贵公司世界领先，您做的东西很牛逼，倒是展现给我们见识见识，一口一个你不懂你不懂的啥意思呐，东西不给我们瞅瞅我们自己意淫呐，剩下的评论全被我删了。弱小和无知不是生存的障碍，傲慢才是。
匿名用户,people,,1,2018-04-21 07:43:31,177,23,以一个工作五年+的研发人员提醒题主，中国研发环境一直是那样，今天被人家揪出一个芯片，瞬时中兴休克，大华和海康威视近乎跌停，更不要说和中兴合作的其他A股供应方我可以预料的是在医疗药品研发，医疗器械(你去大医院做的单次收费高于300的，基本都是国外进口)，新材料研发，甚至现在国人还不知道的互联网领域，只要找准点，都可以釜底抽薪！我们的科研生产环境，一直是拿来主义，如果花三个月，可以自主研发，那研发，超过这个时间，都是直接抄国外的，有的抄不了，直接用国外的国内尊重研发人员吗？不大家不是很喜欢拿任正非说事吗，最近他都不敢开口了，就是怕老美擦枪走火打到自己社会价值观不改，人人疲于买房还房贷生二胎，只会是一群不研发的空喊口号，研发人员落寞离场
Evan172,people,自动驾驶/芯片开发,1,2018-04-19 23:50:23,11,0,说点自己视线范围内的浅薄见解，超出自己接触范围的宏观视角就不谈了。大家关心的IC行业，从业人员主要指的是在IC设计/制造领域的工程师吧（我们这些在EDA/装备领域的上游供应商就不多提了）？如果国家重视花更多的钱投资在上面，从业人士会如何，不妨从过去的经验中找找。16年前后，国内两家新成立公司很受关注，主要在上海的XX通和在北京/成都的X光，前者在上海开出来的工资很令人动心，高出市面两三成，这样的职位流通在市场上，就能跳成不小波动，很多人跳槽去了这家公司，而这些人走后留下的空位要人填的话，又得以高出之前的价格从外面招，造成的动静就不止XX通提供的那百十号位置吧？相比上海和深圳，北京和成都的IC人才不算多，X光提供的位置在北京和成都投放，也能在当地形成一波流动吧？有不少人还是从外地如上海回去的，也加大了当地人才的流通量。这两家公司的成立，相关人员的待遇好点了没？当然提升了，但要说对整个盘子有多大影响？也听不到多大响啊，毕竟体量还不足够大。同理，过去几年国家大资金一直在往IC上投钱，此次事件后看来国家还会加大投入，会成立多少新公司，或者已有公司里成立新部门/开展新业务？会吸引多少人进来，或加大当前从业人员的流动性？答案是肯定有提升，多些选项是好事情，但产生质的变化也不大可能。一个行业人员的薪酬多少，还是看行业整体回报率的，主要是中长期的。整体回报率高，大家都有钱赚，老板也不会吝啬，你不开高工资员工就跑到别人家了嘛；但要是回报率不那么高，或者员工劳动价值所占总资本价值比重不大时，员工也没议价空间啊，也高不了。而集成电路行业就是这么个行业，IC设计还好说些点，EDA工具/IP授权/流片测试费用占很大部门，员工价值占的比例还相对较大，且IC设计公司数量还挺多，选择还多些；而IC制造也就是Fab厂房/设备/工艺等占的比重大得多，需要的投资大得多，数量还很少，选择有限，员工的议价空间更不高啊。说个题外话，在欧美IC Fabless公司在不断地并购合并，如当前热门的高通/博通合并案，这对从业人员来说并不是好事情，想跳槽都没地方跳了嘛，对我们EDA供应商来说，本来每家买50个license的，一合并80个就够用了，人家还要求打折，只卖了原来60个的钱，不好过啊（数据只是打比方）；对中国来说，IC行业还是上升期，大有可为。
蓝宝王,people,公众号：蓝宝王。美资芯片原厂高级工程师,1,2018-04-20 13:56:28,36,46,知乎的人为什么老是把EE从业人员的工资鄙视得一文不值？EE专业毕业，就业方向不仅限于IC吧，以我多年观察，可以从事以下多个方向，另外，这些方向工资都不低啊，一线城市，应届生应该差不多10K起了吧，工作几年后，一般都在15k~22k之间吧，上不封顶哦，随着经验增长，30w~50w也不是遥不可及。当然，比起知乎起步价年薪100w相比，这点工资是要饿死人的。IC制造：这个估计要博士硕士--中芯国际台积电什么的IC设计：硕士即可，本科也招，MTK/汇顶/全志/瑞芯微/国民技术/海思/中芯微/敦泰/君正/Amlogic嵌入式软件/驱动工程师：本科即可，同楼上audio/video工程师：包括编解码和算法。无线协议软件（wifi-Bluetooth-GPS）：硕士为主，MTK/瑞晟/展讯/海思/乐鑫/芯片原厂AE/FAE：本科即可，楼上所有公司再加外企的TI/ST/高通/博通/AMS/Linux/Android系统工程师：本科即可，主要是做产品的公司，手机厂什么的。app开发：这个EE真的能做，不是CS的专利，不骗你。公司就不说了，太多了。我就不说硬件电路设计工程师了，这个不推荐。另外，以下公司都是你们可以去的大公司，全球十大IC设计公司（我前前前前东家和现东家都在这里面）中国十大IC设计公司
张华,people,沉默的大多数,1,2018-04-19 10:24:13,25,14,ee其实找工作以嵌入式，硬件开发，电源为主。本来钱也不少。而且硬件比搞软件耐操些。关键我们实际缺的是搞ic，或者说i2c的人才。ee里搞这个的太少。实际社会上招聘量也很低。其实cs一样的，说是cs，实际搞的是软件工程。真正操作系统数据库超算也没几个搞。
匿名用户,people,,1,2018-04-19 09:29:40,61,10,改革开放40年了，计划经济早就退出舞台了，国家重视没有用，受到资本重视才有用啊！富学金融，穷学IT，国家重视的专业都是劝退专业。。。
