name,type,headline,gender,created_time,vote,comment,content
吴才泽,people,嵌入式相关,1,2018-05-04 12:27:02,130,37,RISC-V 目前的开源实现还挺不完善的，离商用还有很长一段路，离成功还有更长的路。但是它的价值是肯定的，已经有一些国内公司在实际产品中使用了RV32和RV64的商业核，应用在比较激进/前沿的产品里。因为这些产品（芯片）比较激进，开源的RV很适合来魔改完成这些设计，同时又可以直接使用工具链等现成资源，方便后期的一些开发。RV ISA本身就是弯道超车（后发优势）的结果，很多设计是总结了前人教训的，避开了很多历史包袱，达到了简约而不简单的效果，后期能够发展起来的话在性能上是没有问题的。但是个人感觉开源的东西相对商业的使用门槛可能会高些（类比windows和linux，iphone和安卓?），商业化使用RV有更高的自由度，也对设计公司有更高的要求。所以这就要求中国培养更多的芯片人才，而芯片设计里，后端还是需要license，目前还没有啥开源的后端，所以我们能做的就是培养更多的芯片前端人才。所以，这里打个 广而告之，少年，如果你想成为芯片前端人才，为祖国芯片弯道超车做贡献的话，看这里 看这里，RISC-V开发板，不要Hifive unleashed 的999美金，不要Hifive one的59美金，不用洋人的主芯片，全国产RISC-V开源开发板，国产主芯片+国产开源RISC-V核+国产操作系统+国产板卡，只要9美金！感兴趣的来点个赞吧！6月新鲜出炉！不要急，可以先来q群和大佬们吹吹水:573832310
立党,people,朋克,0,2018-05-04 16:45:04,39,2,要是每个人都想着如何在RISC-V上面给Linux提交代码，移植编译器，移植编译现有的代码和项目，并且号召中国人都来交钱用，或许还有机会；如果每个人都想着骗一比投资，然后继续倚仗着指令集的问题，继续拘泥于电视机顶盒、空调遥控器、路由器、某个钻井设备的一个控制芯片，那就永远没有超车的机会。
匿名用户,people,,1,2018-05-04 13:31:39,15,11,我认为可能性不大：    按照我的理解RISC-V仅仅是一套开源指令集，定义了一系列指令集，内存访问，寄存器等等的规范。但是并不包括如何实现。    CPU的性能受哪些方面影响？从上到下指令集仅是第一部分，而寄存器传输级设计则是第二部分，到了综合这个阶段厂家的工艺库本身可以算是第三部分。但显然RISC-V只能涵盖第一部分，也许会有开源实现来涵盖第二部分。    那么事情就很明显了，所谓弯道超车光靠RISC-V是不行的，如果可以的话，那我们早就超车了，因为RISC-V不是第一个开源指令集。甚至开源参考设计已经有一堆了比如OpenPOWER OpenSPARC等等，也没有见过那家公司这得靠这些设计超了车。要注意，这两个可是开源参考设计，和RISC-V这种指令集级别的开源靠谱多了。    现在一堆人讨论这个，无非就是又一轮概念炒作，期望借这个机会捞一笔走人，和之前的VR，区块链，AI等等没有什么不同。我不是指所有人都在炒作，而是指大部分人都在炒作。    我也不是说RISC-V没有意义，对于有实力的厂商，比如苹果，本来就有芯片设计能力，如果利用RISC-V那么应该能降低不少成本。又或者云服务提供商，也许数据中心里面所有机器都换了自产CPU。还有可能是一些小作坊式公司，靠跟风卖RISC-V开发板也能捞一笔。    所以弯道超车算是一个半伪命题，隐含着小农式的投机心理，就比期望天上掉馅饼好一丁点。    实际上只要资金到位，国产芯片超车是一个很正常的事情。如果不想花钱还想走捷径超车，那只有去做白日梦了。
jialin zhong,people,HLS/FPGA/SDR/比特币,1,2018-05-12 03:46:28,3,1,中国芯片本身就是个伪命题。是要沙子都是中国地里挖出来的？还是设计团队不能有外籍员工？。。。芯片又没有护照号
Evan172,people,自动驾驶/芯片开发,1,2018-05-05 14:00:12,4,0,确实弯道了，只怕车没超成，自己都开出赛道了，连比赛的资格都没有了。先说下，一条产业链上上下游之间是合作关系，同行才是竞争关系。IC公司发展得如何，主要靠自己产品的定位，在细分市场里有更好的竞争力，如性能、面积、功耗、成本和上市速度等，CPU core只是其中一个模块，拥有此core的厂商是其供应商，不管你是ARM、Intel atom还是RISC-V，你们谁好我就用谁的，最好价钱合理、服务到位噢。至于觉得用上XX方案就能弯道超车啥的，那是想多了。又不是市场独门绝技，你可以用我也可以用啊，你使用了觉得效果不错，我马上也用上，还是靠自家产品的PK而不是某项秘籍。怎样让IC设计公司愿意尝试自己的方案且从中受益，再逐渐推广开来，占有一席之地，这才是此类问题的正确打开方式，不要把主体都弄错了。当然供应商喜欢讲success story，XX客户用我们的产品，获得了多大的成功，你也可以拥有噢，亲！说更白点，你成不成功是你的事情，太多因素决定了；只要你用我的方案，用的人多了，我就先成功了。拥有XX牌轿车，让你出行更方便；拥有XX牌家具，提高你生活的品质；拥有XX手机，让你更有逼格……你是否真的出行方便了，生活品质提高了，逼格提升了，我不关心，只要卖车的、卖家具的、卖手机的赚了钱就行了。
fuu,people,,-1,2018-12-13 18:10:28,3,2,学驾照的时候，教练告诉我弯道要减速，不然科目一二三四都会挂。。。
CMOS,people,778106303 computer architecture讨论群:。cpu弃坑中。,1,2018-05-12 10:10:40,1,0,指令集本身和你实现出来的处理器是什么性能是两码事。riscv没有各种授权方面的限制这个是比较好的地方，不过感觉现在生态推得比较慢，而且主要是集中在微控制器这块。你说要和x86，arm竞争，不仅要看性能，还得有生态，看看arm进军服务器市场现在是啥状态。不过riscv指令集比较规整，而且基本没有其他指令集前向兼容各种奇怪功能的问题，这个对做高性能的处理器是真爽。
kuzhushu,people,码工,-1,2019-06-11 21:03:13,0,0,特离谱能禁你ARM，为什么就不能禁你RISC-V啊？RISC-V仅仅是开源，而不是没有版权的。
马泽依,people,保守主义,0,2019-05-26 02:57:45,1,0,特朗普已經欽定了 你們以後就用這個吧 別想什麼x86 arm了手機IOT之類產品有個特點 用戶不會要求這玩意兒能夠運行比如十年前的軟件 能運行最新版就好了 不會產生用戶想從intel換成龍芯 但是軟件不兼容這個歷史問題這也是一種後發優勢吧
臧大为,people,小白计划：http://51xbx.com,1,2019-05-30 15:14:42,0,1,能不能弯道超车，得看和美国关系的发展。如果真彻底翻脸了。美国全面禁止高科技行业卖给中国产品与技术，那么没有EDA软件，没有台积电流片，中芯被断供，那么别说超车，走路都困难。如果不跟美国闹僵。那么ARM技术还能继续授权，RISC-V如何发展起来就是一个难题了。RISC-V采用了BSD协议，这个协议是非常宽松的。也正是因为宽松，使用BSD协议的软件发展都想到凄惨，因为只有人索取，而没有人贡献。软件如此，硬件更是如此。
