name,type,headline,gender,created_time,vote,comment,content
笨笨,people,,-1,2018-04-19 18:33:43,7,13,美国抓到华为的小辫子了？看起来似乎并没有，现在牵涉到华为的也就是中兴的那些“机密文件”而已，美国方面目前也就要求华为对文件的内容作出解释。美国自诩法制社会、民主灯塔，做事还是挺讲究的，君不见打伊拉克这么个小国的时候为了自圆其说还搞了洗衣粉（划掉划掉），何况是中国这么个五常之一？除非证据已经充实到能让所有人闭嘴，否则根本不可能对华为动手。退一万步讲，就算真的抓住了小辫子，证据也足够充实了，不也还有庭审过程吗（参考中兴事件），华为组个牛逼律师团把官司打到底就是了，随便都能拖上几年（天知道到时候川普同志还有没有在位子上……）。
老亚当,people,捕快们不许打人啊！,1,2018-04-19 17:36:43,1,1,这个“节奏”必须给它停住！不然，这样下去老美必将得寸进尺！再不“拔剑”，怎么奉陪到底啊？！
陈犀,people,拒绝辩论，拒绝被回复，拒绝回复。,1,2018-08-17 00:03:57,3,3,华为是中国高科技公司的代表之一，如果美国真要遏制中国高新技术发展的话，限制甚至制裁华为肯定是迟早的事。别说什么华为遵纪守法就没事，只要一个涉嫌危害美国国家安全，再下个法案保证克得死死的。但美国依然是世界上最强大，科技力量最强的国家。华为的发展绕不开对美国先进的科技公司的学习，所以，华为是不可能退出美国。可以看中兴那半死不死的样子，还要留住美国市场就知道了。不过，华为也不是那些扶不起的国企，经历过中兴事件，内部肯定也多多少少会有点警惕的。
风争三月,people,任何一个后起思想的崛起，会遇到迷茫和倒退，都会有原有思维所得利益的顽强抵抗。,1,2018-04-19 22:20:05,1,1,  ，，这都有人邀请，用以前两篇文章回答这个问题吧。                                           中国最奇葩公司排行 第一，联想，举国之力支持，耗费了多少人才的光阴，发展成现在这个奇葩，脸呢？第二，举国之力玩游戏，毒奶十年无进取，自主研发何处有，闭关锁国争第一中国最让人尊敬公司第一，世纪天成，一个eve锁住了多少男儿的太空梦，惨淡坚强的运营无悔的保留了国内的星战爱好者强烈建议eve中的一方诸侯，进入军事学院担任教官，能隐忍到现在的其对军事的爱好和韧性是多少水货所不具备的，不建立档案是国之损失第二，空中网，坦克世界的滚滚铁流碾起历史的尘埃，感觉战争的残酷，15:0或0:15时，对面一群猪和队友都是猪如果体会不深的话，请搜索贝卡谷地空战强烈建议坦克世界中，胜率60以上的进入野战部队担任连级以上军官，不是说笑，不是说笑，这是国之生死大事切记，切记，走过玩cf历史的，无论多高的学历，只能当士兵，不能带一兵一卒，当然，看过抗日神剧的也一样发布于 2018-02-08上个世纪的唯文凭论造就了既得利益阶层并变本加厉的把持与维护，相应毁了一个民族的工业氛围和基础为何中国古代早早实行科举，选拔社会精英，但为何屡屡国破家亡？答，所倡，所学，都是啥几把玩意。  至于华为，重要吗?
彭健凯,people,原来在职苹果，现在在华为,-1,2018-04-20 22:06:57,1,3,美国的现在想搞华为，得抓到华为的把柄，表面上还是要做的，中兴确实做了死，上诉都没办法。证据确凿的很，还有美国是有不同的利益集团的，没大家想的这么简单。体量华为比中兴大太多了。会动华为肯定的，但不会像动中兴这样动华为。以上个人猜测，欢迎打脸
飘渺少主,people,路遥知马力…………,1,2018-04-21 18:15:48,0,0,99%肯定会！秃鹰国对神龙国一直心怀叵测，在各种领域封锁我们，妄图把我们变成星条帮小弟，弹丸国就是被秃鹰欺压到无力还击……神龙国人口众多，地缘关系复杂，加之一党专政和数千年儒家思想影响……神龙国人民就是任劳任怨的蚂蚁，你不把ta逼到绝路他们也不会反抗，却喜欢窝里斗…这种名族性格在世界名族圈子里很难混得开，就不得不财散人聚~~~秃鹰国历来强权思维，狗熊国全民皆好汉，宁可玉碎之名族精神，在糟糕的经济和秃鹰的封锁下，却也奈何不了狗熊国。神龙国治国安邦思维和策略不妨学学狗熊国，也许弹丸国在明治维新期间的变革方法对我们有深度的榜样作用。好战必亡是正确的，但没有亮剑精神却是致命的。
更新的进度条,people,,-1,2018-04-20 11:56:19,0,0,华为可能不会这么快遭殃。这么说吧，中国和美国的贸易冲突无法调和。中美都是大市场，冲突总归要爆发，只是早晚的问题。但是晚翻脸比早翻脸好，能多快点发展就快点发展，越晚越增长应对冲突的能力。产业升级能够完成，那中国就不怕别人的威胁了。
叹为观止,people,,-1,2019-05-31 19:20:48,0,0,目前看来，这个问题问的有远见啊
好人,people,互联网全能软件工程师,1,2018-07-17 00:50:15,0,0,画威可以不用急，没事。天上是要掉陨石的，不过，砸的是个块头更大的别人。比如...，还是不说了。郑只民干。
匿名用户,people,,1,2018-06-28 11:43:23,0,1,如果你是华为员工我建议你好好看看公司文件，如果你不是华为员工就不用担心这事了，因为华为在世界各地都是严格遵守当地法律的，这是拓展国际市场的基石。所以华为应对的方法就是以遵纪守法的确定性，应对国际环境错综复杂的不确定性。像中兴这种多次违法的公司，被制裁只是时间问题。
