name,type,headline,gender,created_time,vote,comment,content
ali-12,people,,-1,2018-04-20 23:54:46,11,3,美国下杀手制裁中兴，对国内震动会非常之大！因为大家忽然发现，美国不用贸易战，也能精准打击中国，而且很难回击。芯片作为高科技心脏，是我们的软肋和七寸，川普也心知肚明！咱们所谓的创新驱动，如果只停留在喊口号上，没有真正有紧迫感、下大力气去玩命干，没有对创新思维的包容，那么现在这种被人逼到墙角的背水一战，接下来还会上演！        中兴通讯事件再次说明，那些义和团式的爱国情绪，在残酷现实面前行不通的！高精尖的核心技术，几乎全部掌握在美国手里。美国常青藤大学和顶级研究机构，聚集了全球顶尖人才，并甘于几十年默默无闻做基础研究，中国短期内根本无法望其项背！       中国曾寄希望于花钱买技术，市场换技术的策略，即将被美国堵死，迎接我们的，只能是异常艰苦的自力更生；是现在的90后们，还能像两弹一星的前辈那样，热衷于奋斗和奉献吗？        整天中国制造2025，整天厉害了我的国，《大国重器》一集一集的播放，敲锣打鼓的叫醒人家来遏制我们。这下可好，对中兴的禁令7年，正好2025。应该反思了，要知道国之重器不可示人，天天扯着嗓子喊厉害了，厉害了，既祸民又误国。     现在的中国，天天折腾模式创新，一个共享单车烧进去几百亿，巨头们天天围绕外卖送餐拼团等领域拉帮结派斗得你死我活，却罕有机构大手笔投资尖端科技。长期忽视基础研究，忽视技术创新的恶果，终于在中兴通讯事件上得到了痛苦的验证。而在芯片攥蛋危急存亡之秋，中国股市却还在炒作海南要不要放开博彩赌马之类的题材。商女不知亡国恨，隔江犹唱后庭花。
捷克甜糖,people,搜索公众号“微观系列”，关注我 获取更多好文,1,2018-04-22 18:49:24,88,10,"昨天中兴董事长殷一民召开记者会，在记者会上说，美国制裁将使公司立即休克，但我们绝不放弃，中兴旗帜将永远飘扬。美国掐着中兴的大脑，一个人大脑停止运转，除了冷冻休克外，别无他法。关于美国制裁中兴的事，我之前的文章已经说了很多，今天也不说美国，今天说说半导体。因为我发现很多朋友或者同学，他并不知道什么是半导体，也不知道什么是中国半导体。更不知道为什么中国半导体发展了几十年还处在中低端水平。今天我就来和大家聊聊这个吧。关于什么是半导体，大家可以去百度或谷歌，我只告诉大家一些百度不到的东西，大家就当我下面讲的半导体，就是晶圆，就是芯片吧。要讨论中国目前的半导体产业困局，从三个面向和大家聊吧。半导体一悲歌，像大炼钢铁一样大搞半导体中国半导体厂的数量，种类，投入，产出，在全世界都是最高最大最强的。2016,2017年两年，全地球一共兴建了17座半导体厂（12寸晶圆），其中有10座造在了中国。根据半导体产业报告的最新统计，2017年到2020年，全世界将新增半导体产业线62条，这62条里26条在中国，占总数的42%除此之外，泉州，南安，厦门，杭州等地的半导体厂建设也在商谈中。而半导体分很多种类，生产厂更是五花八门，这里我只举一个晶圆厂的例子，光是叫得上名号的大晶圆厂，中国就已经造了那么多。更别提那些小的，低阶的半导体厂了。这样弥漫全国的建半导体厂之风，让我想到了上世纪的全民炼钢。我们要那么多晶圆厂干嘛？有人说因为我们的半导体缺口很大，需要那么多半导体厂，向国外买，不如我们自己造。还有人说厂越多，我们造的越多，然后做的就会越来越好.，就能造出世界最好的半导体产品。好吧，第一个缺口说，我还能勉强同意。第二个说造的越多，造的就越好的朋友，就无法苟同了。半导体晶圆厂他这逻辑应该是个小朋友吧，制造和设计，是两个概念好不好，你造一万座制衣厂，就能有顶尖的服装设计了？别说一万座制衣厂你设计不出世界一流的服装，就是一百万座你也不行。要不然为什么中国生产了全世界最多的服装，却没见几个世界知名的服装设计师呢？制造和设计，是两个概念。很多人在衣服上懂，因为衣服好理解，衣服低端嘛，可一放到高端的半导体产业他就云里雾里了，好像晶圆厂越多，我们的半导体产业就越牛。那完全是无知。半导体产业园区遍地开花那为什么现在全国都在建半导体厂呢？因为现在，半导体是一个政绩，很多地方官员他不懂半导体，但是因为国家大力推行半导体产业发展，推行高科技发展所以他也为了政绩而招商引资，就专门招这些所谓的半导体厂来我管辖的地方投资，这些来投资的“公司”他们会不会做半导体呢？当然会做，低端的做起来不要太溜，但是低端芯片和光电器件它赚不到钱啊，那怎么办，我来投资建半导体厂，生产的垃圾半导体还卖不了钱，那我傻啊，还来投资。他们可不傻，他们可比你我聪明。比如我是来投资半导体厂的老板，我对当地管事的长官说，我要来投资半导体，你给我批地，我要建厂。管事的赶忙说好好好，高科技产业来我这投资太好了，热烈欢迎，马上拿出当地地图，摊开来一起琢磨。半导体老板说，我要这，这，这，这，这四块地来建半导体厂。长官说，没问题，一句话，只要是半导体厂就好说，国家大力推动半导体产业然后我拿了地，开始建半导体厂，8寸，12寸，多少多少寸，厂建起来了，开始生产了，可我只在一块地建厂。哎我不是拿了四块地吗？为什么就在一块地上建厂？另外三块干什么？这你还用问，当然造房子啊。半导体赚钱？半导体赔死了。好了现在我拿了四块地，其中一块盖了半导体厂生产低端半导体产品，另外三块地盖房地产。那当地长官过来看，哎你这三块地怎么盖房地产了？我批给你的土地性质是盖工厂，不是盖住房啊。然后我就开始给这位长官好好算算里面的账，我说长官，这样一举两得。第一，我盖半导体厂是您招商引资的成功政绩，你为当地，为国家发展高科技产业出了一份力，有这政绩你升迁就有希望。可我盖这半导体厂他不赚钱啊，他不赚钱你这地方哪来的税收呢，所以我就盖房地产，盖了房地产，房价起来了，我赚钱了，你这地方税收不也上去了吗？那这长官一想，妙啊，一举两得，即有开发高科技产业的政绩，又不耽误地方税收，何乐而不为？这样的状况大量充斥在我国的半导体投资热上，看起来大笔大笔的钱投下去，看起来半导体厂一家家盖起来，可里面有多少是真正想发展半导体产业的呢？又有多少，是以发展半导体产业为幌子，在地方开展圈地活动，大量大量的获得土地来进行房地产开发呢？我们也是半导体产业国内的半导体厂遍地开花，看起来红红火火，其实根本不正常，因为你根本不需要这么多半导体厂，尤其是低端半导体产业。你那些低技术含量，低设计的玩意儿造出来卖给谁？卖给小米、华为，还是OPPO？别开玩笑了，你也就卖卖小卖部门口的儿童投币车。投一块钱给你转上五分钟。美国有几家半导体厂？美国从不掌握半导体产能，只掌握专利和技术。更何况你这半导体产能里面，还有很多是垃圾产能。半导体二悲歌，半导体产业有多惨很多人不了解半导体产业，半导体产业应该是我见过最艰苦的，前途最渺茫的产业。我打个比方，他其实很像一个写小说的，天天写小说写小说，可你永远不知道你写到什么时候会成功，可能你写了一辈子，都还是默默无名，永远成功不了。这就是半导体。算了可能有人觉得我这比喻是胡说八道，那我用最简单的几个词来真实概括一下，真正的半导体产业吧。1，苦2，穷3，久半导体产业有多苦呢？我就举一个例子。正规的半导体厂都有“无尘室”，高端半导体都已进入纳米级别了，1纳米等于10的-9次方在高级的无尘室里工作，人要进入这样的无尘室，需要穿无尘服无尘靴，再戴上安全眼罩。而且这衣服不是穿一层而是两三层，穿脱都很麻烦，光是穿一次至少十分钟，穿十分钟，脱也要十分钟，所以很多员工就养成了憋尿的习惯，或者是不喝水一直等到五六个小时工作休息间歇才去喝水，这样慢性肾炎，甚至尿毒症就找上这些半导体工作者。荷兰ASML光刻机，一台1.06亿美金2，穷中国不缺钱，但没人是不想赚钱的，我就问问各位朋友，你会去做一件不赚钱还极有可能赔钱的工作吗？你真了解半导体行业的话你就不会去做这行。半导体行业从早期的投入，设计，开发，都还没到产品制成，那投入成本就已经很惊人。我也只举一个光刻机的例子。制造芯片必备的光刻机，而光刻机一台，就一台哦，价格1.06亿，美金。是的你没看错，1.06亿美金，这还算便宜的，你要更好的3亿，5亿美金的都有。那光刻机干什么的？不说复杂的，光刻机就是用来造芯片的。可你光有光刻机有用吗？就像你光有一支笔，你光有一支笔还是成不了画家。可你好歹有了支1亿美金的笔了嘛，那我们就来画画，能画出来什么，就看你的创造力和设计能力了。一些半导体大厂，花数亿美金买了好几台光刻机，以为多几支笔，一起画，画的画多了就能成为画家了。可结果画出来的东西因为质量低，良率差，毫无销量，那么这几亿美金就完全打了水漂。几亿美金打水漂，就算是马云王健林，几亿美金也不是小钱。极为复杂的芯片设计，没有天才般的创造力和耐力是不可能设计成功的3，久相信大家也感觉到了，我反复提到了半导体产业的一个设计问题，用小说家作比喻，用画家作比喻，弄得好像半导体行业是一个艺术行业一样。那是因为半导体设计，尤其是芯片设计，是一个“迭代的过程”，你要通过不断地画，不断的写，来提高自己的艺术水平，同时你还要有不断涌现出来的“灵感”。有很多时候，你觉得自己的设计已经很棒了，可拿去一测试，良率就是低，你也不知道哪里出了问题。于是只好继续写，继续画，而且你也不知道良率什么时候会上去，性能什么时候会上去。就很像一个画家，一个小说家，不断画不断写，也经常思如泉涌，下笔如神，可拿到画廊去，拿到出版社去，人家根本不要你的作品。作品卖不出去，你靠什么吃饭？别忘了你用的是一亿美金的笔，500万美金的颜料。你作品卖不出去，你能撑多久。很多人不了解，但这就是半导体行业，他很残酷，也很现实，所以绝大部分半导体厂的设计和专利都是美国的，就相当于一幅画，美国人已经帮你画好了，而你只要负责印刷这些画就行了。难道你寄希望于一个印刷工能成为画家？那你有志气，说我就是励志成为画家。可市场上有英特尔的芯片，谁还买你的芯片？你除非画的比英特尔还要好，但那可能吗？就算可能，那要花多少时间？五年还是十年？而且你又不是财神爷，打个响指美金就从天而降。一家工厂必须考虑他的成品，所以也就在成品的压力下，大量的半导体工厂，其实是生产工厂，而不是设计工厂。他们为美国造芯片，但这芯片的设计和各项核心专利全都掌握在美国人手里。半导体三悲歌，后继无人我问朋友们一个问题，你如果是北大清华的高材生，那请问你毕业后想去做什么？是去搞大数据，还是搞区块链，亦或是自己创业呢？自己创业也搞出个美团，摩拜，或者滴滴来。如果你身边的同学和你说，我毕业以后想去搞半导体，那你一定认为他脑子有病，现在国内的潮流是大数据，是区块链，是自主创业，你去搞半导体？你搞笑吧。还好这些同学不了解半导体的苦，穷，久，不然他们真会以为他疯了我以前大学毕业的时候，还听说有一两个校友去做半导体的。可现在我听学生讨论的，全是大数据，是区块链，是比特币，是马云，马化腾，雷军，全是虚的东西。你让现在清华北大的毕业生去搞半导体？除非他一开始就有真正的大志向，选的这专业。但就是这种年轻大学生热议和憧憬的大数据，区块链，造成他们对于半导体产业的本能抵触，很多同学认为半导体不是尖端的东西，我要做最尖端的，最潮流的。而这更直接造成了半导体产业，愈发后继无人。而那更多更多的，不是顶尖学府毕业的年轻人，响应大众创业的号召，一个个全都想着创业创业。你创的是什么？你的目标是什么？你的目标就是，想出某个东西，可以拿A轮B轮N轮的天使投资。讲到底，不就想一夜暴富嘛创业当然辛苦，我身边有朋友因为创业30岁不到白头发一大把，但因为今天讲的是半导体，而中国的大部分所谓创业，都是服务业。中国半导体无法起来，有一个重要的原因就是没有天时，中国现在所处的时代环境，社会舆论，并不适合半导体产业的发展。最近大家都一个劲一个劲的在喊中国自强，中国要做自己的芯片，中国不要受制于人，其实我想反问这些朋友，你知道什么是半导体吗？我上面写的东西，只是非常简单的和你介绍了半导体的皮毛而已，里面更多的东西是我文章里不会写的，也没办法写出来的。那，再问大家一个问题，当你真了解了半导体行业后，你会去做吗？我想，答案是悲观的越了解越想远离。我不是泼大家冷水，微观系列，就是希望你在多了解点东西之后再发表意见，别脑门一拍，中国搞自己的芯片，脑门一拍，和美国干。你都不了解半导体，你都不了解美国，干什么啊。说一个了解半导体的，我一个朋友的事吧。我一个做半导体行业的朋友，现在也算是业内小有名气的吧，最近吃饭的时候他告诉我，咱们的半导体产业不管过去还是现在，都奉行两个CHAO，我问他什么CHAO？他说，一个抄袭，一个超越。我说那很好啊，世上很多事情的发展就是先抄袭，后超越的。他说，我们半导体的这个超越不是超越价值是超越价格简单讲就是我先抄你的，然后卖的比你便宜。至于要超越你的设计和你的价值，那太痛苦也太久了，没人会去做。超越价格就行了，因为超越价格才能赚钱。我想他说的话非常现实，我也表示理解。好了，今天非常简单的给大家介绍了一下，半导体悲歌，讲的我自己也有点沮丧。最后我想聊点自己的“看法”这看法可能会被朋友们笑话，但我也习惯了被人笑被人骂了。上个礼拜我曾经写过一篇文章，叫我消灭你，和你无关。点击阅读 这篇文章里的核心概念就是替代马车的不是跑的更快的马车，而是汽车替代油灯的不是点的更亮的油灯，而是电灯举世闻名的摩尔定律大家一定不陌生，但你知道吗，摩尔定律已经不灵了，为什么不灵了呢，因为半导体产业发展那么多年来，越来越接近产业极限了。半导体产业的材料学和工程学，已经越来越无法承受在那么小的芯片上加上越来越多的晶体管了。所以，我想，替代半导体的，不会是更小更轻的半导体，而是别的什么体，就像替代马车的不是跑的更快的马车，而是汽车一样。中国与其纠结在不断追赶，不断追赶，已经步入严重瓶颈，上升起来越来越困难的半导体产业，倒不如将这部分国家的巨额财政支援，拿出来投入到新一代的什么体上。当别人在不断研究怎么让这辆马车跑的更快，怎么让坐马车的人更舒适的时候，我们退出马车市场，加大对汽车市场的投入。进行一个弯道超车。也许，这是另一个面向吧。欢迎搜索公众号，微观系列，关注我获取更多深度好文我是江平舟，平凡世界里的，一叶孤舟。"
官山居士,people,猿,1,2018-04-22 11:49:50,4,3,很多人说因为我们把钱投到房地产，互联网软件之类的才导致我们投资芯片领域缺钱，然后还反过来在房地产，互联网行业来压榨我们，现在被美国爸爸制裁了一下，这些人立马就高潮了，各种各样的中国现在不合理的现象都可以套在这个模式下了。我可以现编一个，比如: 我是从事硬件行业十几年的老员工了，从我这十几年对中国硬件的发现来看，中国芯片根本就发展不起来，为什么呢，就是因为我们的教育出问题啦，因为我们只注重应试教育，从来不鼓励创新只注重抄袭，芯片领域就是这样，天天抄别人的，导致我们根本发展不起来，出来的芯片都是骗人的，还有就是不遵守游戏规则，现在好了吧，被美国爸爸抓到把柄了吧，然后幸灾乐祸的看热闹！知乎很多人就是这种逻辑，就好像美国爸爸因为你挡着他的路了就把你儿子一顿，你居然不是想去着回揍他儿子而是没骨气的对自己的儿子骂到，都怪你冒犯了别人了吧，还不赶紧跪下道歉！你看看，这就是那些没骨头的人的逻辑，自己家的孩子被人揍了屁都不敢放一个，在家里就知道骂自己的孩子，在外面就对美国爸爸谄媚的说，我把我儿子已经收拾了，我们赶紧谈谈吧！所以，对我们来说第一反应就是一个巴掌呼过去，然后对美国佬说按我的规矩来，什么时候我们有这种反应了，那我们才真正的是崛起了！所以，既然你看到这里了就知道我国应该怎么做了，首先是反击，要把美国打疼，自己受点损失不要紧，一定要让美国佬意识到我们不是日本，不是他们能够欺负的对象。然后就是发展自己的芯片产业，给资金，给政策扶持本国芯片，最后就是更加开放，要让世界认识到美国是错误的，中国是正确的，搞贸易战是没有任何前途的！
朱逸帆,people,MIMO EMBEDDED FPGA,1,2018-04-21 22:14:13,2,5,"国家层面没别的路，只有谈判。不要妄想三五年内可以填补这些空白，不可能的。芯片技术和精密仪器设计都是需要强有力的工业基础和大量迭代的，没有任何捷径可走，也没有任何弯道超车的可能。而且从国防工业的角度来讲，虽然我们的装备基本上达到80%以上零部件国产，但良品率太低，以至于国防科技民用化难度极大。综上来说，国家真正应该做的是吸收高质量硬件工程师，而且要不惜代价的吸收芯片设计工程师。相对的，芯片制造方向投入可以相对降低，毕竟台积电就在家门口。有这么个世界最强的代工厂，国家真正应该做的是提升高性能芯片的设计能力。这里所说的高性能不是CPU,GPU之类的处理器。处理器架构基本已经成熟，而且国内基于ARM公版开发的处理器也已经可堪重用。真正的缺口是高性能接口芯片和电源管理芯片，例如高速ADC/DAC，高频振荡器，锁相环，高频放大器等等。只有解决这些芯片的设计问题，我们才能初步摆脱对进口芯片的依赖。"
不戒大湿,people,吾皇万岁，一统江湖，千秋万载,-1,2018-04-27 22:28:31,3,0,一个商业公司因违反商业合作协议被处罚，再简单不过的事情，偏偏要上升到国家存亡的高度，可见这个国家的经济结构也太单一了。
此此用户不存在,people,素质、素养两条狗，想咬谁就咬谁，想咬几口就几口.....,-1,2018-04-26 17:25:57,0,0,"家财万贯,喘气的不算.人无我有,人有我优,人廉我转.启示,启示就是老话还是有道理的.信义,不能丢啊.无商不尖,变成了今天的无商不奸.光启示,有毛线用.你以为他们真的不懂?他们只是坏了良知."
伏小韬,people,欲买桂花同载酒，终不似，少年游。,-1,2018-04-24 16:47:19,0,2,非得把当年搞原子弹的劲头拿出来不可～！
果树,people,,-1,2018-04-23 22:27:48,0,0,懂规则，讲诚信，否则别人不带你玩。
提提买,people,,-1,2018-04-23 11:02:44,0,0,掌握核心科技。如果马云真有远见，就利用手里的巨大的资源搞高科技的实体产品，这样即使以后阿里不被支持，也不会被时代抛弃。
洛鹰,people,祈祷一次性通过消防工程师,1,2018-04-22 07:05:08,0,1,其实国内制造业都存在类似的技术瓶颈。您只要在制造业企业待过，就知道国产货和同类国外产品相比，有多土鳖了。不过还好，美国这次制裁行动让国人再次从“天朝上国”的迷梦中清醒过来。最近几年，媒体宣传造势，带出一波“超英赶美”的节奏，让国人错误的以为，我国即将多快好省的成为世界超一流强国。不只是手机行业，军工也存在问题。总书记不是在年初的时候提过，要加大力度研发发动机么？中国依靠进口发动机装备军工产品，早已不是秘密，如果人家再制裁一波，呵呵，这仗还怎么打？幸亏美国是民主国家，总统执政时间短，政策没有延续性。否则，如果摊上一个像斯大林 罗斯福那样长期执政有战略规划的对手，中国很有可能被拖死。其实针对中国最好的战略，不是尽早制裁，而是等中国国民和政府的虚荣心膨胀到顶点，再致以致命一击。二战期间的日本不就是这么被收拾的一蹶不振么？宋庄公为了击杀公子段，等待了二十年时间。所谓将欲取之，必先予之。还有一个问题其实是无解的，就是国企的管理问题。中兴企业被制裁的过程，反映出企业自身管理混乱的乱象，这是国企的通病。而中国很多国企却承担着振兴国家制造业的责任。根源在于国企的垄断性，缺乏良性竞争条件和改革动力
