name,type,headline,gender,created_time,vote,comment,content
Ganken,people,学生,-1,2018-04-25 16:04:41,10,2,联想是不会受到影响的，他是妥妥的美国企业
看山不是山,people,民族主义,1,2018-04-21 21:50:02,7,4,华为和小米并不用担心，毕竟有自己的芯片，虽然是ARM的公版架构。。。但是毕竟还是有个备用。其实这件事未必不是一件好事，每次美帝搞事，都是在给我朝上课啊，他美帝针对我们什么，我们就点哪棵天赋树。对于我朝的研发能力我还是有信心的。再说句题外话吧，据说华为已经开始着手研发自研架构了，到时候华为在手机领域除系统以外应该是可以不依赖于美帝。华为和中兴在我看来也并不会像大唐和巨龙一样，毕竟侯为贵和任正非两人都不会是等闲之辈。至于计算机芯片。。。这个不仅我朝，全世界都tm依赖美帝，暂时没什么办法。但是好像前段时间我朝研发出来了一款x86的芯片，不知道性能如何，可能也就将就用吧。。。OS方面，我认为短时间还是要高度依赖美帝，没有办法的办法。。。。然后总结一下，这次事情，不能说是一件坏事，这是给我朝的一次警醒，是一次巨额学费的课，我相信在这之后我朝半导体，系统等信息产业会加速发展
筷子,people,数码 玩家 手机,1,2018-04-23 11:54:42,2,0,应该不会。。。中兴被卡脖子关键是对美方伤害比较小。。。
军军,people,,-1,2018-04-22 14:58:18,54,72,"大家要知道为什么芯片这么难绕开专利陷阱吗？芯片其实就是写流程，用零和一描述世界，按道理，芯片不应该属于专利，而是版权，甚至属于自然发现，爱因斯坦发现相对论，一分钱专利费都不会有，凭什么写段程序就能向全世界收钱？但美国佬把它归于专利范畴，彻底垄断了这个领域，你写基础数学书，能有多少区别？一加一等于二是专利，你怎么绕过去？所以谁现在做cpu,,也绕不开几个基本指令集，收钱是好的，你搞86体系，给钱英特尔可能也不让你用。所以，美国制裁中兴，是中兴自己犯了错，活该。但美国要禁止卖芯片给华为和小米，那就是要彻底和中国生死相博，中国还会理睬什么专利权吗？到了那一步，中国和美国的差距反而没有二十年，只有三五年，只要美国不能用航空母舰征服中国，下一轮技术革命就和美国没什么关系了。"
YukiMan,people,科技迷,-1,2018-04-24 17:45:06,5,5,高通：特朗普，你TM再禁一个老子破产给你看！
吕传欣,people,赚钱,-1,2018-05-11 23:29:20,4,0,不会，联想是美国公司。总部美国，美国上市，主要市场是欧美。中国人想买联想笔记本电脑得去美国买。在中国买需要加很多钱，另外会降低配置。这么忠心的狗腿子，美国才不忍心卡脖子。
专业添乱,people,快要失业了,-1,2018-04-27 00:04:59,3,0,美帝的目标是中国，不是那几个什么公司。
于雷,people,生物医学工程专业硕士，目前研究课题：”具有触滑觉感知的仿生假肢手智能控制系统“。,-1,2018-05-11 00:59:09,1,0,中兴问题主要还是公司内部运作问题，只是恰好在关键的时间点被人抓住了把柄，主要管理层鼠目寸光！
sunland,people,海阔天空，克明俊德,-1,2018-04-25 02:46:55,0,0,不会，中国也有手卡着美国的脖子。
luxfar mai,people,,0,2018-04-25 00:43:42,0,7,大哥，你是不是搞错方向了。制裁中兴不是为了贸易战，贸易战是因为中美贸易中中国赚了更多的钱。现在还禁止美国企业卖东西给中国，好了怎么赚回这些钱？中国继续卖，美国继续禁，谁第一个跳起来？美国美国企业啊，市场何在啊。
孤岛钓客,people,芯片设计,1,2018-04-22 16:08:55,1,0,这次中兴别卡其实可以追溯到几年以前，这次借机发酵了。无论小米华为都要大量依赖美国的通讯芯片，arm的只是cpu，打电话，移动上网都要3g/4g芯片，华为有自己的，小米只要低端的，而且模拟这块他们都做不了高速高端的。
