name,type,headline,gender,created_time,vote,comment,content
超级淡水鱼,people,,1,2018-07-04 10:03:52,48,41,中国不但不该制裁美国企业，反而应该大量鼓励美国高端制造业和科技产业转移到中国，特别是航空、芯片、医药等中国严重落后，急需发展的领域。如果眼光放长远一点，不仅应该鼓励高科技产业向国内转移，未来还应该鼓励海外人才转移。比如鼓励美国高学历技术人才移民中国，鼓励美国企业将总部和科研中心都搬迁到中国。像谷歌、微软、高通等美国企业，与其花心思制裁他们，不如直接将他们勾引过来变成中国自己的助力。如此四方仰德，天下归心，岂不美哉？
Twinsen,people,,-1,2018-04-19 18:41:02,23,6,那你觉得脸书是咋回事？中国不是不制裁，只是不说是制裁而已。。。用词有点差异。。
匿名用户,people,,1,2018-04-21 14:24:57,79,45,一、美国禁止其国内企业出售芯片给中兴不是制裁，是处罚，是处罚，是处罚，重要的事情要说三遍。二、处于国家安全考虑，任何国家都会拒绝某国收购某些公司，中国也有很多行业是禁止外资进入的。企业在某个国家经营，遵守该国的国内法律这是最基本的。三、中国也有制裁过外国公司，比如google。欧洲处罚微软谷歌，也是有法可依的，并不是想处罚就可以处罚。四、中国也在处罚美国的公司行业，比如最近的高粱，浆粕继续实施反倾销措施。五、世界贸易是有规则的，抛开规则去谈自由贸易是不实际的，别傻逼地认为，规则就是用来违反的。中兴不犯事，美国敢处罚中兴的话，中兴完全可以去美国法院告美国政府。这就是为什么美国能不给中兴供货，而华为还可以继续使用美国的供应链。
雪之下,people,城外的人想进去，城里的人真会玩。,-1,2018-05-06 13:36:29,7,7,知道吗？未引入 Google Facebook Twitter只有古巴、伊朗等三国。
奈文摩尔,people,大漠孤烟直 长河落日圆 文章本天成 妙手偶得之,1,2018-05-06 14:44:06,4,1,说句离题不远的话：相比较而言，最遵守中国法律法规的 反而是外企。
谢知,people,,-1,2018-05-04 08:02:22,1,0,有一个名词叫腹黑兔，这种事情怎么能正大光明的说出来
匿名用户,people,,1,2018-07-05 12:55:38,3,2,不早就制裁了吗？我国人民什么时候能用谷歌了？(⊙…⊙)
王力,people,,-1,2018-04-21 12:02:29,2,0,美国不卖给中兴芯片，中兴就要药丸，然后别的公司取代中兴的市场份额，还是要找美国人买芯片，你能制裁他什么
阿疯,people,工程师,-1,2018-05-19 18:52:37,1,1,中国为什要制裁美国企业?中国要制裁什么样的美国企业?1、在美国生产出口中国的企业。2、在中国生产出口美国的企业。
键盘,people,公众号《键盘上的经济学》和你谈房论股说经济。风投，经济学博士,-1,2018-05-14 16:19:17,1,0,中国还是相对弱势，核心技术都在别人手上，所以制裁太狠会被反制裁，最后偷鸡不成蚀把米。其次，中国制裁自损太大，比如制裁了美国企业，那么美企在中国工厂全要倒闭，失业的是中国人。最后，中国有类似制裁的，但不是制裁，而是发生在初期就有的管制，在一个企业还没对中国产生巨大影响的情况下就定的管制措施。比如中国进口车关税25%，在中国建汽车厂必须和中资合资，交给中国人造车技术等。
孟德觉醒,people,,1,2019-06-14 08:13:11,0,0,我也支持制裁啊！尤其经常用的电脑品牌譬如联想。
Ggggg,people,分离工程,1,2018-05-03 23:09:26,1,2,国内对中兴事件是过度解读了。自始至终，中兴事件都是在美国的法律框架内。美国对中兴制裁也是因为它把美国货出口给伊朗，而这个是在合同里明确禁止的。美国真要锁死中国的科技，对中国禁运所有的高端分析仪，显微镜和高端试剂就可以了。中国所有的科研机构起码要趴窝十年。
