name,type,headline,gender,created_time,vote,comment,content
肝能补脸,people,克莱登大学马房山校区第九（女）宿舍管理员,1,2018-04-05 10:32:02,42,14,大豆是三大油料作物之一，另外两个是油菜籽和棕榈。中国不仅是大豆第一大进口国，也是棕榈油和菜籽油的主要进口大国。之所以进口大豆而不是豆油，是因为豆粕的蛋白质含量较高，是非常优质的饲料。其实以前中国主要进口油菜籽，不过这玩意儿有“青气”，而且油烟比较大。你看，中国人既要消费动物性蛋白质，又要消费食用油脂，那么大豆就能完美解决这两个问题。2017年中国大豆产量1440万吨，进口9553万吨，合计不到1.1亿吨，平均到13.8亿人头上，不到80公斤。这80公斤大豆，按照美国11.62磅/蒲式耳的出油率来算（大约19%），不过15.2公斤豆油，剩余的豆粕为64.8公斤。鸡肉的饲肉比为1.6：1，64.8公斤豆粕理想状态下，可转换成和40.5公斤鸡肉。猪肉的饲肉比为2.5:1，那么64.8公斤豆粕可转换成25.92公斤猪肉。换言之，按照2017年的大豆消费量，带来油脂人均日消费量为41.64克，猪肉人均日消费量为71.1克。注意，以上的消费量是建立在完全舍弃掉豆浆，豆腐脑，豆腐，豆腐皮，腐竹等豆制品（即中国特色的消费）的前提之下的。
刘德华,people,你们好，我是用快手抖音的蔡徐坤粉丝还是挺同的女权主义娘炮,1,2018-04-05 09:04:51,11,1,因为华夏人点了豆制品技能点。豆制品对于华夏人，就像周边游牧民族，以及欧洲西人的乳制品一样重要。对于农耕民族来说，大豆是优质又相对廉价的蛋白质来源。豆浆更是有名的健康食品，传说中有美白丰胸之奇效，物美价廉。汉地东西南北，有各种各样的豆制品。
匿名用户,people,,1,2018-04-23 15:05:04,2,0,你们家连辣条都是豆皮做的，你还想怎样！
泊涵,people,饶人不是痴汉，痴汉不会饶人。,1,2018-04-08 10:20:24,1,0,我热爱豆芽，毛豆，青豆，豆腐，豆花，豆皮，豆豉，臭豆腐，豆筋等等等等大豆制品。我媳妇经常一脸嫌弃的跟我说:你跟大豆一家有仇？难怪是个胖子。对了，我家小朋友的小名叫:豆子。
鹏鹏,people,追动漫的文科生,-1,2018-07-30 00:13:27,1,0,进口大豆主要是两个用途一是榨油，食用油主要是大豆油。而是饲料喂猪养牛的饲料中，榨完油的豆粕是主体。至于食用豆制品，如豆浆豆腐等，主要是国内大豆为主。
常司彧,people,历史和文学业余爱好者,-1,2018-04-08 13:25:46,0,0,因为：中国的豆腐也是很好吃的东西，世界第一。                                                                            瞿秋白绝笔
小苹果的老菠萝,people,好吃，懒做，喜静，语钝，命天定。,0,2018-04-08 10:46:28,0,0,因为从中国人的营养结构来说，其主要的蛋白来源是植物蛋白，这是牛奶鸡蛋这些动物蛋白取代不了的。中国人口基数大，所以大豆自然而然需要量就高。但是中国耕地面积少，大豆的单产量比较低，同样的农田，养活的人少，所以为了性价比，在中国种大豆的也少。这就是为什么需要从美国大量进口大豆的原因。
无知的孩子,people,小学生,1,2018-04-05 13:16:06,0,0,1中国主要食用豆油2豆粕是主要的饲料3豆干 豆乳  豆腐   豆花  豆鼓  豆浆  豆皮等很多豆类美食这表明中国对豆的使用效率高，同时也是我们的饮食结构造成的
谭健斌,people,彩虹六号，战争雷霆，坦克/战舰世界，英雄连（不定时上线，半弃坑状态玩家）,-1,2018-04-05 11:30:48,0,0,每天早餐店里面的豆浆，副食品店里面的各种豆制品。超市里面货架上的一瓶瓶调和油，还有养殖场里面各种动物饲料。都是大豆作为原料的，不是说中国人如何喜欢大豆；而是这个国家的体量摆在那里。我们每人每天餐桌越是丰盛就越离不开这些东西。
刘雄,people,教书匠,1,2018-04-05 11:01:24,0,0,因为中国发明了豆腐不用放屁就可以获得高蛋白质
往事如风,people,分析员,1,2018-04-05 09:14:07,0,1,中国的猪肉消费很大，中国好像养了和吃了世界一半左右的猪，而猪饲料是用大豆做的。如果中国对大豆收高关税，直接的影响是猪肉价格上升。
匿名用户,people,,1,2019-06-10 11:49:14,0,0,乳糖不耐
匿名用户,people,,1,2019-06-09 16:04:08,0,0,蛋白质大豆比牛奶等便宜！
哈哈欠为你违逆,people,Smile yawn against for you,1,2019-02-18 14:26:35,0,0,大豆，一种神奇的食物。从大豆、豆芽、豆苗，到豆浆、豆腐脑、豆皮、豆腐、油豆腐、豆腐干，最后到臭豆腐。任何状态，都能烹调成美味！
天空之城,people,,1,2018-08-11 16:00:34,0,0,大量蛋白质的需求
匿名用户,people,,1,2018-04-05 14:13:56,3,0,因为中国人爱豆腐，豆花，豆干，豆皮，腐竹，臭豆腐，豆浆，豆豉，酱油，大酱，大豆油等等，营养丰富，花样繁多，口味一级棒。豆粕还可以喂牲口，一身都是宝。大豆富含蛋白质和不饱和脂肪酸，不含胆固醇，是非常健康的食物，千百年来在中国人的饭桌上扮演着举足轻重的角色，保护和照料中国人的胃。但，自从有了BT蛋白的介入，有了孟山都和华尔街，有了进口转基因大豆，中国人的饮食和生活已经发生了质变。现在的大豆已经不是从前的大豆，是每年几千万吨的进口大豆。且已经多到吃都吃不过来。大部分超市大豆油几乎被益海嘉里的金龙鱼和福临门垄断，价格更便宜到令人发指。如今贸易战对进口大豆加关税是非常明智的选择。释放库存后中国应发展好自己的农业，任何一个国家都不应该把饭桌假手于人。
