name,type,headline,gender,created_time,vote,comment,content
思福,people,,1,2018-03-29 02:29:56,6,4,题主现在用的就是苹果手机，不知道为什么，感觉不舒服了，真的有点不舒服，爷爷成年即为党员，外公更是是建国前参加我党，今天和他们聊到中国崛起了，然后看到中美贸易战，接着又看到美国制裁华为的新闻，感觉怪怪的，第一次感觉这种贸易战是我们每个人都会参与其中的，也是第一次感觉国家发展与我们每个人都息息相关，并不想抵制什么，也不是倡导什么，只是第一次觉得，用国产牌子，其实蛮骄傲的（我爸是坚定的国货支持者，看新闻的时候骄傲在我面前骄傲的炫耀他的华为手机，那时候感觉真的很奇怪，第一次真正客观地审视自己过去的观念）用国货好像真的蛮不差的，毕竟我们不是印度啊之类的国家，我们有自己真正的技术，和别人比起来物质上并不差的技术。贸易战其实真的和我们每个人都息息相关，这次是中美赌国运的斗争，和日本车之类不一样，我们中华民族争第一的斗争，国货绝不能输，中国绝不能输，我一个人很微小，但我想试一试，好吧，我把自己也当成战士了，但是好像我们每个人都是战士，我想试一试，以一个战士的身份。国货不能输，中国不能输。
电子土豆,people,,1,2018-03-31 20:32:35,1,0,不感兴趣，减税也不会去买。
杜立忠,people,我是传说,1,2018-04-04 18:11:21,2,3,"2018年4月4日更新--------------------每个人的需求不一样。       就像我，我是一名普通的不能再普通的90后，周围工作的都是年纪相仿的年轻人。目前的现状是，我买的起苹果但我不买。一个办公室9个人，5个人在用苹果系列手机，苹果比安卓是5：4.众所周知，电池是苹果手机的硬伤，数据线易破是苹果的惯例。那五个用苹果的小伙伴总会因为一个苹果充电器争夺半天。有的时候会争的面红耳赤。手机持续在充电的状态，我们在吃鸡的过程中也是一脸懵B.如果是我，我不知道买来这种货色干嘛？      苹果的畅销.一部分来源于流畅，：”苹果TM就是比安卓流畅！“一部分来源于装B情怀：“你那是7吧，我这是的X，8000多”剩余的购买力来源于从众心理：“周围混的不错的人都在用苹果，自己用着安卓，总感觉差点什么？等老子有钱了，就换苹果手机！”而我，既不喜欢从众，也讨厌装B,而且现在用的安卓也没见得比苹果卡多少。那么，中国如果对美苹果手机加税我更不会买，中美贸易战这件事情只会加深我这种小粉红对美国政府以及美国人做事的厌恶感，同理，这适用于大部分的中国人！"
白云苍狗丶,people,没有专精，只有全能,-1,2018-04-05 16:47:27,0,0,有时候的确会觉得不应该买苹果手机，包括我的父母，也很排斥苹果，但是说实话，这是一个经济全球化的时代，物竞天择，适者生存，没办法，真没办法，真的非常想支持国货，可是每每让部分人伤心（不单指手机），苹果三星同样在国内生产，提供就业先抛开工资高低，我始终相信，爱国并不是盲目抵制商品，而是化悲愤为动力，怎么？我就要在这领域战胜你！同样相信，我天朝真的不会输，渣子永远都是少部分！这股中华民族的拼劲，浩气长存！
匿名用户,people,,1,2018-04-04 21:04:29,0,1,苹果手机是在中国制造的，加税的话会影响本国的制造业，会影响就业。个人感觉有点搬石头砸自己的脚。加税只能对美国本土生产的商品，而且加税后不会对自己有影响，这样才最好，例如那些进口的汽车，农产品等。估计华为也会想着在美国开厂吧，那样的话美国也不好找麻烦，毕竟增加了就业和税收
东皓杰,people,学生,-1,2018-04-02 10:52:14,0,0,不会 倒不是因为价格 电池渣 服务差 态度傲慢虽然很是喜欢苹果的性能 但是以后应该也不会买苹果了会选择小米 华为这样的
星星燎原,people,,1,2018-04-02 10:01:52,0,0,苹果手机已经烂大街，以后可能会越来越少，因为它已经没什么创新，在吃老本了。
花满楼时,people,,0,2018-03-31 20:10:25,0,0,我很反感加税这种做法，但是自己是果粉，会买但是绝对不盲目，要支持国产吧
浅寐,people,人体动力学转换,-1,2018-03-30 15:53:57,0,0,怎么说呢，现在也不会买苹果，所以，这些都不关我事吧。国产机用着挺好的
warm依然如是,people,,-1,2018-04-09 10:59:47,0,0,没用过苹果手机，但根据身边人用苹果的状态来看，评价两极分化。现在国产机越做越好，而因为电池原因，其实智能机最多也就能用个两年左右，两年的话安卓机并不会出现很严重的卡顿现象，所以出于经济实惠的考虑，我站国产机。苹果的价格购买两到三个国产机了，一年换一个安卓机保证不卡。去实体店看手机我其实也并没有看出苹果出彩的地方。听到别人夸也是除了系统没有别的。另外，还有很多吐槽苹果系统不好用不人性化的。平板我承认ipad地位无法撼动，确实好用，但是手机我认为苹果已经慢慢失去优势了。而且苹果一直对中国差别售后，如今美国还跟中国贸易战，我是不会买苹果了。当然，也舍不得那个钱。
orzno,people,,-1,2018-03-29 05:40:51,1,2,无所谓，华为又不是靠消费者怜惜才活下来的。就巴黎发布会上展示的东西，华为手机越过越滋润是板上钉钉的事。
