name,type,headline,gender,created_time,vote,comment,content
嘉栋KaTung,people,人到中年，顾及妻儿，不以物喜，不以己悲,1,2018-04-24 20:20:00,4,3,没有，美国的资源比中国丰富，曾经中国的廉价劳动力，但是现在已经转移到南亚，中国的制造业还是低端，就算台积电也算是三流芯片厂，所以中兴才要领跑5G，大力布局，结果瞬间GG
匿名用户,people,,1,2018-04-25 10:17:15,6,4,答稀土的还是对美帝和其他国家的资源储量缺乏清醒的认识。短期来看，如果中国对美国断供，影响最大的恐怕是iphone。前几年iphone 产量上不去的时候可是把苹果和消费者都急坏了。如果现在马上断供iphone ，富士康短时间内没办法把生产线和供应链转移到别的国家，最后的结果就是便宜了三星棒子。另外我朝还有一个大杀器是easy girl（又称外F）。一旦断供，美帝不少低端人口的下半身会感到异常空虚。由此会产生更多社会矛盾，导致更多极端行为，也算是让美帝尝到一点苦头吧，毕竟不是人人都能像川大统领一样随便搞东欧嫩模。
诱导,people,穷学生,1,2018-04-26 03:24:43,3,1,应该是很难找到的，因为中国有分量的朋友还是太少，你要知道，美国断供中兴芯片之所以这么让中国难受，并不是因为“芯片”这一个成品多重要，而是从上到下的整个产业链中国都不太够看，而整个产业链不是美国一家说的算的，你让荷兰优先给中国提供最先进光刻机看看，美国断芯片恐怕就没有这么大威力了。话说回来，美国自然是想要通过断中兴芯片这件事来敲打中国，但首先也是中兴的把柄被美国掌握，于法于理上中兴矮一截。但美国不太可能因为政治原因而对整个中国实施全方位的芯片断供，因为现代社会发展的基石，也是西方现代社会思想的精髓之一就是全球化。理想状态下，全球化将整个世界紧紧的联系在一起，每个国家地区各有所长，各取所需，各有发展，最终在交流融汇中变成地球村。这也是自由，人权等思想能够在全球铺展开来的基础。如果美国因为政治原因全面切断对中国的芯片供应，那么无疑是宣告全球化概念全面破产，西方政治经济优势的瓦解，美国梦的魅力将大大降低，它将告诉包括中国、俄罗斯、欧洲在内的所有地区的人，“你们这群傻子，信什么全球化，老子现在要收割了，先是中国，一个一个来，都别着急，谁都跑不了，只要我有你没有的东西，你就在我的收割名单里。”那么世界所有主要经济体都将开始加强自己闭门造车的能力，毕竟全球化这么脆弱，谁知道哪一天自己的脖子就被卡了，其结果就是人类社会来到科技较为发达的农业社会经济体系，大家基本都自给自足，自己玩自己的，整个人类社会陷入停滞。        中国是全球化最大的获益者，还很可能没有之一。但不要忘了，中国也是少数工业门类最为齐全的国家之一，真要搞到整个全球化破产，中国绝对不会是最难过的。       谁抛弃全球化，谁就会被全球抛弃。
匿名用户,people,,1,2018-04-26 16:53:59,1,0,中国有而美国没有的东西有很多，但世界上只有中国有的，而美国又很需要的，应该是没有的。就算中国不给可以转其他国家买，人家不卖怎么办？没关系，怀疑一波大规模杀伤性武器～垄断大熊猫和老干妈不知道可不可以（滑稽
嘉贞呐,people,本科生,-1,2018-04-26 02:50:45,0,0,谢邀也就熊猫了。在科技与核心技术方面，中国要走的路的确还挺长的。稀土，中国木有日本有，这东西美国肯定有法子。
盲象说人,people,像苏格拉底一样无知，始终在寻找答案,1,2018-04-25 14:54:53,0,1,断供自大的感觉，然后埋头奋斗！毛时代可是一直说我们的危机，直到房地产爆发了老百姓才觉得自己又厉害了，可是这是幻觉！
萌萌,people,傻傻的一个乖宝宝,0,2018-04-25 14:12:22,0,0,不知道，美国有没有离了中国就可不可以的东西。但是，美国的波音公司的每年巨额利润大多来自中国的购买，基本上，中国访美总要卖飞机。美国的农产品基本大多是出口给我们的，比如大豆，等中国人就是市场的大部分来源。等等吧美国逃不掉我们的影响的。
段晨,people,铁路工人,-1,2018-04-25 13:40:10,0,0,有是有，但要么就是美国人很容易在市场上找的到替代卖家，要么就是需求量不大的，建筑工具之类的，再要么就是美国人用不上的，很多人提到稀土，这个东西不好说，美国的稀土存量也很丰富，但开采难度很高，人工费贵的死，所以美国人就用中国的而已，其实芯片对于中国来说，没了美国也不会饿死，中国有自己的芯片，只是性能方面不如人。
新加坡考拉,people,口语顾问,-1,2018-04-23 19:49:38,3,0,据说稀土是目前中国比较独有的产品。
难忘今宵,people,,-1,2018-04-25 18:44:58,1,0,泻药    首先我也不是特别精通，但是粗略的东西也只的一些。1填岛的挖泥船本来就管制出口2大型  震动机   最大吨数的目前都是中国制造，据说美国的实验必须有中国工程师在场才能运行，而且数据对中国公司开放。3造航母等大型船舶的龙门吊  也是中国保持记录   但是这些东西不会影响美国拉开世界科技水平的速度反而美国限制中国东西都是可以拉大中国与世界科技水平的差距  即便可以追赶也是放慢了速度，而美国紧紧是经济上有点损失
