name,type,headline,gender,created_time,vote,comment,content
vczh,people,专业造轮子，拉黑抢前排。gaclib.net,1,2018-04-21 14:19:14,48,4,你研发出足够优秀的芯片技术之后，用更低的价格卖产品/工艺/标准就好了。开放了你自己也赚不到钱，怎么继续研发下去。
竹子林,people,该学点啥了,1,2018-04-21 17:59:40,4,1,通用芯片跟os以及网络技术标准一样，最大的障碍不是技术，而是生态，不兼容生态的产品没有机会生存，而IT业的生态是控制在几个美国大公司手里。另外禁运在某个角度而言对国货是有利的，比如说海思如果没有华为这个铁客户，根本做不起来，因为市场不是你妈，国外友商不会给你迭代完善的机会，几轮价格战下来就能让你赔光无力完善产品。所以高端芯片还是得指望华为中兴阿里百度小米这些巨头，他们本身就是芯片的大客户，在业内也有话语权。在半导体领域重现华为中兴BAT的故事，相信不是没有机会。
jusalun,people,愿与同道争高下，不与傻X道短长,1,2018-04-21 14:31:21,3,0,芯片研究不是搞软件开发，你想多了
退乎弃号,people,知乎并不能发现更大的世界，圈地自嗨而已！发现中国最自私自利的一群人！,-1,2018-04-21 15:19:17,2,5,没用！民用商用芯片不是最好的就没人用，你过惯了现代生活还会想过没电的古代生活吗？见过了更好的世界你就不会安于现状！市场就是赢者通吃！你问问国内那些厂家为什么要用进口元器件不用国产的？没人用没有市场培育产品更新换代也就会消失！
烈宇,people,一个傻逼，降临派。,1,2018-04-21 15:59:48,1,3,硬件方向的差距比软件要难以挽回很多。
京东投资的猎芯网,people,猎芯网  www.ichunt.com 京东战投，国内领先元器件商城！,1,2018-05-02 16:11:40,0,0,不现实。芯片不是软件，软件开源就可以研究，芯片行业要得工业基础、人才，高投入、还要市场（刚起步的东西绝对比不过成熟产品）。整个国际社会，算上发达国家在内能生产芯片的都不多。
徐艺哲,people,已婚/航天汪/流体/业余码农/轮滑/调酒,1,2018-04-21 16:39:51,0,2,有很多技术因为先发优势，通过闭源，技术封锁，不断积累先发优势寡头的技术优势技术壁垒已经在那里了，你开不开源顶啥用？人照样说封锁就封锁。开放自己研发的芯片技术有啥好处呢？一点都没有啊。难道还指望别人改进改进再反过来教你？
假面骑士V3,people,既贪恋温柔，又不愿舍身饲虎。,1,2018-04-21 15:30:32,0,5,更先进的芯片随着稳定量产，它的价格会逐渐稳定，与此前同期价格差不多，不考虑通货膨胀，中国芯片的竞争力太低了，如果不是这样，半导体寡头是怎么出来的。想起来国产内存的量产，三星完全有可能降价打价格战，并不是说高端的芯片制造成本有多高，它的研发成本是最可怕的，一但可以稳定量产，低价芯片就没有竞争力了。
Chirispher,people,找个富婆，然后吃软饭,-1,2018-04-21 15:25:54,0,3,关键是钱
仝鹏飞,people,噢，我为什么是个凡人?,1,2018-04-21 14:42:20,0,9,我主要想表达，既然世界各国彼此不信任，那么做一个开放的技术标准，虽然不太可能领先，但是当一些垄断者要进行全面封锁和制裁的时候，大家不会毫无还手之力啊？不知道这个思路，能否能用在芯片制造这些行业？
鄗立恒,people,,-1,2018-04-21 14:40:27,1,3,不可以。因为不仅性能差好多，价格也贵好多，开放出来有人会用？
