name,type,headline,gender,created_time,vote,comment,content
易小尘,people,,-1,2019-05-24 23:02:39,37,29,有六所高校被列入美国商务部黑名单分别是：北航，电子科技大学，川大，湖大，西工大，国防科大看了这个，我觉得，成电应该算是美国承认的两电一邮的老大了西电北邮要加油了（狗头）
清阙,people,,1,2019-05-25 11:13:50,6,2,马上快高考了，这些学校的分数会不会涨
辛夷,people,学生,-1,2019-05-25 22:42:28,6,3,川大为何会中枪(ฅ•﹏•ฅ)，难道我校其实内藏一个军事基地？想一想江安荒地。。。。emmm，还真有可能|•'-'•) ✧
麻花鱼,people,微辣有理，鸳鸯无罪，两瓶乐堡，滚回去睡！,1,2019-05-26 09:55:25,0,1,川大不仅720所，也不仅仅是帮成电九院买设备，光高分子那边跟成飞都不知道多少东西了……
无崖子,people,,-1,2019-05-25 09:59:07,3,1,某种程度反映了这些高校对国家安全和国防领域的贡献，是良好的宣传。美国咋不禁航空航天双一流建设的复旦呢？本质上是美国顾忌这些学校的相关研究领域。如果只是发sci的话，美国不会害怕。
灵隐,people,学生,-1,2019-05-25 17:05:57,1,0,北航因为伊朗的事情早就进了黑名单了想起云天明就感觉难过，虽然只是小说情节.....
yuewei shao,people,,1,2019-06-12 13:39:59,1,1,五所大学北京航空航天大学 电子科技大学 国防科技大学 四川大学 西北工业大学加上一个湖大超算中兴，但是为啥没有哈工大呢？教育部知道这么挑拨经费了嘛，就按照这个黑名单来追加打钱。
Onlytest,people,儿子的自动读书机，老婆的外卖小哥，单位的廉价劳动力！,1,2019-05-26 13:27:54,0,0,在这个时候，这算加分项！！？
匿名用户,people,,1,2019-05-25 15:14:06,0,7,看到舒克进了名单，我贝塔瞬间柠檬精了话说我们国防七子，能入川普老眼的就北航和西工大吗
匿名用户,people,,1,2019-05-26 09:40:24,1,3,川大承担较多的军工项目，且给神州系列做燃料，虽然在大部分人眼里，川大是垃圾大学加垃圾工科学校…
