name,type,headline,gender,created_time,vote,comment,content
皇帝的财宝,people,爱好之一是吃喝玩乐,-1,2019-05-16 07:56:43,21,32,是向进口商征收，谁报关，谁付钱。比如美商某公司从中国运100万美元货物到美国入关，原关税0，现关税25%，进口商需要向美国海关付25万美元关税。如果是中方某公司在美国组建的分公司从中国运100万美元到美国入关，其他条件相同，那付钱的就成了中方某公司。但是，美方消费者会不会因此多付25%的钱呢？多半不会。比如一件入关前10美元的玩具，摆在超市卖的话还要加上流通费用a和利润b，售价将是10+a+b，如果加了2.5美元的关税，成本上升幅度在最终售价占比是小于25%的。然而，在国际竞争比较激烈的情况下，还有其他情况可能发生。1、由于从中国进口商品要加关税，不划算了，美方从显得更划算的国家进口。2、美国企业在美国生产，成本低于加了关税的进口产品。比如美国钢铁产量在加了钢铁进口税之后猛增。3、中国的外销型生产企业可能因此将工厂迁移至成本更低的国家。比如将鞋厂迁移到柬埔寨之类的国家，甚至美国。我们来看1、2、3情况，中国损失了什么。在1、2情况下，中国企业如果仍按原计划生产了货物，就需要为货物寻找新买主。在3情况下，中国损失了gdp、国内就业岗位和相应的国内税收。在1、2、3情况下，美国损失不大，在2情况下，美国甚至会有收获。我的推论是：美方的目标之一，是要借关税上升让一部分生产回流美国。其他目的可能zzmg，不多说了。
RORO,people,外贸狗,-1,2019-05-17 15:07:31,12,0,美国加征的是进口关税，由美国的进口商直接支付给美国海关。当然最终这个关税怎么消化下去，就有得说了。【以下属于自由发挥，可以不看】本人从事的就是外贸行业。确实从2018年以来，不少美国的客户开始询问我们是否有应对加征关税的方法，包括但不限于降低出口价格，或者将工厂转移到东南亚等第三国。降低出口价格最直接。美国加征25%关税，原本到岸价100元的商品，就变成了125元了。如果中国供应商降低价格至80，那么即使加征25%关税，到岸成本依然是100元。事实上，由于长期以来国内外贸行业的激烈竞争加上美国客户一贯以来的强势作风，中国对美出口的商品价格已经很低，甚至可以说如果不能跑量，很多出口商都是要赔钱的。因此中国出口商对关税的消化能力有限。第一轮加征10%的时候，大部分出口商还是配合了进口商要求，承担了部分关税，平均在7%左右。但是承担这7%不是说中国出口商有足够的利润，而是止损——订单已经做好或者启动，如果对方取消订单，损失可能不止7%。但是到第二轮25%的时候，出口商已经没有能力再多承担一分了。留给美国进口商的选项十分有限：要么，接受现状，自行消化25%的关税，提高最终零售价；要么，重新选择其他国家的供应商。这就是客户跟我谈到的第二条，是否将工厂转移到东南亚等第三国。其实产业转移到东南亚，在贸易战开始之前就已经开始了，很多浙江老板是先锋。但是，对于承接中国的产业转移来说，东南亚明显还没有准备好。原因有几个：1.除越南外，东南亚大部分国家社会都不够稳定。2.没有完整的产业链，即使工厂开起来了，小到螺丝钉，大到机器设备，也都要从中国进口过去，物流成本、时间成本高。为了不影响生产，工厂不得不多备料，而多备料就意味着浪费和成本上升。3.劳动力素质不够。东南亚那边的劳动力普遍记录性不高，劳动意识不强。加班没指望不说，正常上班时间都未必能保证。而且，制造型企业不加班是绝对不可能的，国内的工人通常都能理解并接受这一点。但是那边的工人就很难说，甚至发生过为了不加班，工人故意破坏机器的行为。4.FB问题。合作的工厂老板开玩笑讲，出去后才知道没有对比就没有伤害。国内的话，通常都不会故意找麻烦，最坏的结果是收钱办事；出去后才知道还有收钱不办事，不给钱就找事的套路。所以综合下来，工厂转移到东南亚之后，生产效率可能只有国内的三分之一，成本也远超国内。但是由于美国对中国制造加征25%的关税，而对东南亚0关税，加上关税成本的话，确实比国内便宜一点点。美国希望的也就是这个结果，东南亚比中国便宜，中国制造失去竞争力，逼迫中国的企业外迁，从而影响到GDP、税收、就业和经济增长。但是，中国对美出口只占贸易总额的19%左右。中国的企业主会因为19%的市场而完全放弃另外81%吗？如果企业搬迁到东南亚，是可以保住美国的19%，但是对于其他非美国的81%来说，成本的上升也是无法接受的。所以，除非美国能够拉拢全世界，至少贸易量超过50%的国家一起来针对中国加征关税，否则美国的设想都很难完全实现。那么，选择其他国家供应商，摒弃中国厂家是否可能呢？答案也是不可能。中国输美商品中，很多商品占美总进口量的比例是超过50%的，也就是美国市场销售的该商品超过一半是中国制造的。蓝星应该还没有第二个有中国这样体量的工业制造能力的国家。即使美国想从第三国进口替代，也无法满足自己的全部需求，需求增加而供给不变必然导致价格上涨。最终就是美国人将被迫支付更多的钱来进口，当多花的钱接近甚至超过加征的关税的时候，美国的这种春秋大梦也就破灭了。
芒果,people,,1,2018-04-13 23:56:15,17,1,关税都是向本国买方收的。但是具体结果要看供需关系一是买方市场，我买你的要加税，那我可以买别人不用加税的，你要想继续卖给我就把价格降下来，把我加税的损失弥补上，结果是终端商品价格没变，生产产家的利润被压缩了。二是卖方市场，这东西加税我也只能买你的，别无分店，那我只能转手卖的时候加钱，结果是终端商品价格提高了。三是介乎于两者之间，结果是终端商品价格提高了一些，生产厂家的利润也压缩了一些，别国的生产厂家趁机大赚了一笔。
Mike外贸说,people,微信公众号 Mike外贸说 微信号 NWZ2020,1,2018-04-14 05:16:51,6,0,加征关税是反倾销的有力手段之一，面对的自然是本国的进口者，也就是国外的买家。比如美国公司从中国进口钢材，该美国买家需要向美国海关缴纳高额的进口税，而如果他从其他国家采购，放弃中国供应商，那么税率就很低，节省了进口成本，以此方式让买家自觉的选择他国或者使用本国产品。
星空,people,,-1,2018-04-06 11:50:00,1,0,   当然是美国收了，你还指望美国佬出力让你收钱呀？进口关税是为了抑制相关商品进口
M.seven,people,外贸,1,2018-04-04 18:36:30,1,0,中国买货的加征，美国那边我们也征不了。
唯留刺骨寒,people,常怀容人之量、宽仁之心。,1,2019-05-18 14:29:58,1,0,每年通过香港转口的货物就要有几千亿美元。至于通过出口到第三世界国家再转口的贸易究竟有多少，谁都不知道。资本家为了利润根本什么都做的出，美国那些资本家根本也不会投入巨资重开美国的生产线。至于加税，那么他们就会通过其他的国家进口商品，至于究竟是谁生产的，你觉得那些资本家能在乎？！说句难听了，哪有资本家不偷税漏税的？省下几百千亿的关税，那又是多大的利润哦。
Jet Xie,people,金融行业,1,2018-04-12 13:54:05,2,0,这不是一个确定的答案而是要分不同情况过海关的时候货在谁手上就向谁收如果美国卖方把货运到中国再卖那就是向卖方收如果中国买方把货买了再运到中国那就是向买方收
FfBbIi,people,擅长知乎上不许讲的东西，我又该怎么办呢?,1,2018-04-12 13:04:39,1,0,假如中国商人将物品卖到美国，美国政府将向中国商人收取比以前更多的钱才让你卖。（通俗点说的话是这样）
米兰pipo,people,奢侈品鉴定，欧代。懂点爱马仕(๑• . •๑),1,2019-05-16 01:37:28,0,1,买方  扯两句话  要么保外汇储备  要么保汇率  要么保房价  三选二   自己选吧  PS  也许只能保一个  
