name,type,headline,gender,created_time,vote,comment,content
上山若随,people,无兵法  不创业,1,2018-09-25 09:03:29,14,0,      很像当年与风车做争斗的人。      特朗普定会成就让美国走下坡路的第一任总统，世界第一的超级强国，选一个外行来做司机，真真切切很疯狂。      人类历史上最恐怖的时段，应该不说暴君，而是暴民，美国是不是已经陷入了爆民时代呢？      2008年的金融危机，实际是美国人的危机，因为有印钞权，美国成功将这次危机转化成为全球危机，美国还没有什么事，倒是欧洲停止，中国麻烦。现在美国挺过了危机，美国第一个外行总统竟然完成了这么大的一件事，历史应该给予一个正确的评价。       现在特朗普就是要毁掉这个印钞权，全世界一定要紧张注意，帮助他完成目标。
潇楚,people,一个不高尚的人，一个不纯粹的人，一个离不开低级趣味的人，一个不知道啥叫人民的人。,-1,2018-09-18 03:46:22,11,0,一个希望打破美国政治经济格局，打破世界政治经济格局的人。因影响了一大堆人的利益，被国内外围殴，现在苦战中。他懂人情世故，性格强悍，有坚定的信念，加上一些机缘巧合，故在第一回合中占了先机。但敌对势力强大，还会面对连绵不断的攻击。预知后事如何，请关注后续发展，这种剧本是无法预测的，但结果无非是胜利或者失败。成者为王，败者为寇。
刘东奇,people,,-1,2018-10-23 09:23:31,2,18,聪明 强势 激进的改革者注重战术 忽视战略的决策者思想保守的强势美国总统但是我认为他很难扶大厦之将倾。
肝能补脸,people,克莱登大学马房山校区第九（女）宿舍管理员,1,2019-05-22 17:11:17,1,0,想做新罗马的奥古斯都，可美国并没有凯撒，也就没有同等的政治遗产给他继承，而元老院却是实实在在存在的。如此一来怕是最多只能当个尼禄了。什么？做凯撒？那他可没这样的机会。
金少帅,people,大哥，你死的好冤啊～～～,-1,2018-10-07 09:26:12,0,0,如果美国解体了，然后再过20年，可能会有中肯的评价。如今一切都是人设。
潇湘承影,people,裁剪半轮红日，赠予朝云成霞！,1,2018-10-08 14:31:07,3,1,对于政治家，不怕胡搞，就怕没声音。聪明人最会做蠢事（全球化是未来）。最坏的总统，对于接任者就是最好的总统（就怕破坏力不够）。对个人而言，还有什么比做总统更好的荣誉。对美国而言，陷入紊乱的政坛比一潭死水更好，不再是政治家的后代成为政治家，商人的后代成为商人。美国梦还是有的，毕竟不懂政治也可以当总统，还有什么比这更激励人心的。外强中干。面对各国的崛起，有些力不从心，而只能倚靠自身优势设限。政治斗争能力一般，反对者总是有着影响舆论的声音。能力不足。只会分蛋糕，不会做大蛋糕。和平环境下，无法遏止美国的衰退。
闲看星河,people,,-1,2018-10-05 22:01:12,2,0,让人侧目的老人
星空,people,,-1,2018-10-23 17:53:44,0,1,    敢问哪家公司会招聘一个没有工作经验的员工？隔行如割山，特朗普也许是个精明的生意人，但没有任何从政经验，即使县长都没当过，过于民主的后果就是会发生一些完全无法预料的结果，就像英国脱欧一样。      由于美帝是个成熟，制度完善的国家机器，就是一个傻瓜当了也会正常运转，由于所谓的民主选举，那就是谁花的钱多做广告做宣传胜算更大。由于没去过美国，也没和特朗普共事或者有其他往来，只能从新闻或者其他公开资料来判断。      中国自古以来有句话叫君无戏言，但特朗当选以来出尔反尔，不但影响个人形象也影响国家形象，不管他怎么辩解说一切为了美国，但过于小聪明只会让别的国家认为他是一个自作聪明的跳梁小丑。无论哪国的政客都是非常精明的人物，越是装疯卖傻还是耍尽小聪明，别说是一国总统，就是普通人，心机婊还是让人讨厌反感的，尤其是明明自己的表演很拙劣却非要以为大家都是傻瓜有一种人让人无言以对的感觉！       美元作为全球货币不断收获全世界世人皆有，但偏偏特朗普跳出来喊自己吃亏了，他喊得最多的就是美国吃亏了，这种占了便宜又卖乖的耍流氓行为别人不是不知道，短短两年就弄的全世界鸡飞狗跳，这都是他没有从政经验的恶果，但他又奉行顺我者昌 逆我者亡的政策。得道多助 失道寡助的道理他不是不知道，但他自作聪明的天性让他以为他想怎么样世界就该怎么样。      他应该大概率不能连任，重要的是会不会被弹劾，本来一个外国的统统怎么样，不管大家的事，但由于美帝是当今唯一的超级大国，他的风吹草动都在影响全世界，但每个人都有自己的看法，也有许多人爱屋及乌，最好还是就事论事好，我非常不喜欢特朗普这样自私自利，出尔反尔朝令夕改，又爱耍小聪明但又以为别人是傻瓜的家伙。人都是自私的但也该有个度，他的套路大家都看的明明白白，只是看他继续表演而已。     都说美帝民主，通俄门，逃税门都拿特朗普没办法，他可以随意把司法部长撤职，是三军总司令，可以对外宣战，出来民主选出来以外完全就是有超级权利的独裁者。他可以随意推出联合国人权组织，可以推出中导协议，他可以为所欲为，传说中的国会可以制约总统看起来像个传说。也许他快快下岗就是全世界最大的福音，美分勿喷！
匿名用户,people,,1,2018-12-03 22:12:17,0,0,超级牛逼，手段厉害。段位高多了。
红叶狩,people,忠君爱国塔列朗,-1,2018-10-07 11:22:20,0,0,一个爱国者，一个美式商人，一个为了自己国家利益毫无下限的人，怎么盖棺定论看他下台后的美国是什么样的吧。
