name,type,headline,gender,created_time,vote,comment,content
SUTOP,people,,-1,2018-06-10 12:21:13,49,10,当年知乎有人说美国给中国钢铝加关税是蠢办法，中国的钢铝绕行欧洲、加拿大，他们做个二道贩子白白赚钱。看看，话多了吧？这不就让大统领看去了？（还有中国抵制美国大豆转而购买巴西大豆，巧合的是美国大豆的出口量并没有显著变化，那岂不是。。。。）
云上的日子,people,,1,2018-06-28 10:01:48,6,3,一条裤子？这世界上没有什么国家是真正一条裤子的，你说同一利益还靠谱点。你应该庆幸的是中欧之间还有一些共同利益，暂时还是反贸易保护主义的战友，一旦美国对欧让利，你看到时候中国是不是孤家孤人。痛心的是，这几十年中国的经济起来了，生活水平上去了，洋奴嘴脸的人却变得太多了。真心希望美国放宽移民政策，让精美们可以肉体精神得到统一。话就放在这里，中美之间不管如何所谓的停战，都是烟雾弹，且战且谈才是常态。
中华鹰犬,people,运动达人，私人保镖,-1,2018-06-09 09:59:09,2,0,薅羊毛还看是谁家的羊吗？
Xizhi Zhu,people,https://xizzhu.me/,1,2018-06-09 12:25:17,16,2,撇开其它的不讲，我们来说说，从美帝出口去欧盟，收多少关税？从欧盟出口去美帝，又收多少关税？这个是谁宰谁？
寻道,people,万物起源皆由心,1,2018-07-24 01:55:59,2,0,这是在敲打欧盟，别做傻事，别站错队伍。
renrenren,people,,-1,2019-01-09 12:13:53,0,0,英国脱离欧盟，美国制裁欧盟。这只能说“美英合伙欺负人”
Defier.Triumph,people,失联请加小号“Augustovfefe”,1,2018-06-09 12:54:57,10,11,你知道制裁的啥么？答:钢铝请问欧洲的钢铝主要从哪来？答:......
traveller69,people,,-1,2018-08-28 16:04:44,0,0,欧洲有个传统的中二反骨仔法国，还有一个圣母莫大吗，川普看着也是头疼。。。
匿名用户,people,,1,2018-06-20 02:20:11,2,8,因为欧洲是左派执政，跟特朗普在贸易移民等问题上相左。特朗普是要通过制裁欧盟打击欧洲左派，为右派上台造势，等到欧洲也集体右转，特朗普就会联合欧洲加上澳大利亚加拿大一起打压中国了，毕竟特朗普一直视中国为威胁欧美霸权的最大对手。
张宸卿,people,,-1,2018-07-27 17:50:19,1,0,我就一点搞不明白，美欧日之间免税的话但是销售产品雷同又有什么意义，如果可行的话就不会有这次制裁欧盟了吧。
q130333,people,自由职业,-1,2018-07-26 18:47:07,0,0,不制裁了，现在他们要穿一条裤子搞我们了
伽蓝竹杖,people,尘归尘，土归土。,-1,2018-06-10 16:12:48,0,1,其实老特说的很清楚，不再当“piggy bank”，我翻译成冤大头不知道对不对？
ht1987,people,,1,2018-06-08 19:20:23,0,0,亲兄弟明算账，利字当头如果这个世界没有了中俄，欧美第一个撕起来
