name,type,headline,gender,created_time,vote,comment,content
阿华,people,同龄偶像是韩寒，觉得周星驰最好的电影是《功夫》，《喜剧之王》,1,2019-04-04 12:46:30,29,14,美货中的大部分在国内就如空气和水一样，去抵制？怎么抵制？微软，英特尔，IBM，美元……，有些人说如今的世界是美国离不开中国，对于这种说法我不是很理解，承认现实很难吗？一味的夜郎自大，拒绝承认别人的先进，发达，看不清现实，我认为这比高速路上逆行还危险，老祖宗几千年前就说过“知己知彼，百战不殆”，现在的问题是很多国人既不了解自己国家，也不了解世界，GDP世界第二让很多人脑部充血，整天处于亢奋勃起状态，怼天怼地。中兴公司侯老先生深夜坐飞机上美国低头求饶，赔礼道歉干掉自己员工才过去多久？有空了解一下中国互罩在国外的处境与待遇？大家一起加油吧！希望国家崛起那一天早些到来！
小象,people,求知和探索,-1,2019-04-03 09:57:59,2,5,第一，因为美国货要么和普通人关系不大，要么关系太大，没法抵制。比如中国进口量最大的几种美国货，波音飞机、芯片、大豆玉米，采购用户都是大公司，普通用户购买的是航空公司的机票、国产的手机电脑、国产的食用油或者猪肉，所以普通用户没法抵制。至于微软的windows、office、安卓系统，用户要是抵制了，好像就不知道该用什么了。主要是中国没有替代产品。当然，少数品牌，比如苹果手机还是可以抵制的、麦当劳/肯德基也是可以抵制的，但这就牵涉到第二个问题。第二，在中美贸易中，中国是出超，美国是入超，中国每年顺差几千亿美元，而非相反。所以，中美贸易战中，美国抵制华为、抵制中兴，动辄对中国实施“双反”调查，从家具到轮胎到无缝钢管，都征收保护性关税，为什么中国不反制？因为中国没有这个底气。中国一旦抵制美国产品，美国立马会还以颜色，最终吃亏的还是中国。“中国有求于美国，大于美国有求于中国”——这就是特朗普政府敢于和中国打贸易战的底气所在。
一缕时间,people,,-1,2019-05-08 08:02:55,11,0,因为互联网给你了一种错觉——国人很爱国。 实际上极大数国人都是猪狗一样的草芥，每天为生存奔波，并没有多少钱，多少精力去为了口头上的爱国而牺牲自己哪怕十块钱的利益。对他们有利，他们会抵制。然而真的抵制美日韩了，他们能图到蝇头小利吗？不能！所以不抵制。
zjucarnegie,people,产品经理 证券行业研究员,-1,2019-05-17 22:09:54,3,2,喊口号很容易，但真的做起来很难，因为每个人都不傻，都知道不去损害自己的利益。当年抵制日货的人，有几个把自己家的“日货”拿出来砸掉？有几个人把自己的日系车开出来烧掉？完全没有！砸的烧的都是别人的财物，自己发泄了情绪还得了个“爱国”的名声，何乐而不为？可以问问在知乎上口口声声喊着抵制美国的人，你们用的电脑还是手机？电脑的windows系统、cpu芯片、硬盘……哪个不是美国货？要不要砸掉？手机无论是安卓还是ios都是美国货，以后还要不要用？手机里的主要芯片以及制造芯片的设备、材料，还有设计芯片用的各种软件都是美国货，以后你还要不要用？还有那些叫嚣抵制苹果手机的人，你们知不知道苹果有将近100家中国供应商，抵制了苹果你愿意给这些中国企业和同胞员工发工资吗？说到底，喊口号谁不会呢？真让这些人出点血付出点代价，傻子才会去抵制呢。
中型世界主义路灯,people,面对中小型商户的玩具制造,1,2019-06-01 13:21:16,6,1,很多人觉得国家之间就是幼儿园小朋友斗气，才会问出这种问题。哪天中国抵制美货，特朗普怕不是做梦都要笑出来。大总统这一套操作就是要美国大公司把整个上下游全搬回美国，给美国制造就业岗位。这一开始就被美国民用级硬件公司代表苹果公司CEO库克驳斥：美国的工人数量和质量均不及中国，如何把生产线搬回美国？请大总统自己玩发型去，不要掺合自己不懂的东西。大总统自然就是舆论上反复推特造势恶心苹果这样的科技公司，政策上（临时）强行切断部分美国公司与个别中国公司的买卖关系，给美国公司们一个下马威：作为一个在美国的公司，你必须随时准备把整个上下游全搬回美国，政府有能力随时强行再搞一波禁华为。这时如果中国搞一波抵制美货，特意给特朗普打辅助，特朗普舆论上还能严重谴责一下，把自己的锅转移到中国头上，大总统心里怕不是要笑开了花。中国真正能做的是恶心美国农民，破坏特朗普基本盘，实际上中国也是这样做的，给进口美国大豆玉米加税。
修心进化,people,极简主义,1,2019-05-21 07:27:57,3,0,看了这么多回答，感觉回到了学生时代，不是黑就是白。抵制美货和打砸没关系，和全面抵制不完全相关。毕竟全球一体化，真离不开美国。但是抵制一部分难道做不到，非要走极端？比如华为，小米和苹果，你可以不买苹果，可以买其他的，虽然美国高通和安卓也受益，但受益没有买苹果贡献给美国的利润多。回答里有哪波音举例子的，但你忘记还有个空客就是欧洲的，现在国家转向欧洲购买了。还有，抵制从自身做起，别强行要求别人。
老蒋,people,男装行业从业，微信号udai0523,1,2019-04-02 04:08:27,1,8,上面又不傻，你知道每年咱们进口最大宗的商品是什么吗？芯片！
under wood,people,,-1,2019-06-05 00:13:43,0,0,咋抵制？手机别用？电脑别开？飞机别坐？英语课停了？出国直接外汇也不用了？回原始社会作原始人，还是搞闭关锁国。
逯飞,people,吾尝跂而望矣，不如登高之博见也,1,2019-05-15 18:11:28,0,0,要不咱们开始抵制吧，先从砸别人的CPU开始。
kuzhushu,people,码工,-1,2019-05-22 19:20:35,0,2,因为抵制日货抵制韩货日本韩国会死，抵制美货美国不会死，可能还伤害了自己。
一介顽石,people,靠三怎赋，高嘚夏良,1,2019-04-03 09:29:19,2,10,中美经济高度融合，中美经济高度融合，中美经济高度融合，中国抵制美货相当于砍自己的右手，美国抵制中国货相当于挥刀自宫。正常人都不会这么干。
匿名用户,people,,1,2019-04-06 23:31:21,1,0,先说一个道理，大部分人做不到靠口号坐着拿钱吃饭。人们在选购产品的时候最终是要看性价比和实际需求。这也是为什么中美互相离不开的原因。同样的道理，普通美国人也做不到不买中国货，因为买其他的要负担更多的钱
