name,type,headline,gender,created_time,vote,comment,content
念缺一,people,她们的刀剑会在我们的面前折断,1,2018-04-05 12:55:28,56,13,世界第三大经济体没了
如月千早,people,生死已看淡，单纵就是干。宠辱应从容，梯形必须怂。,1,2018-04-05 13:28:20,19,9,世界第十三大经济体开心得像过送冬节一样。
南海,people,卑微的活着，感恩每一天的生活,1,2018-04-05 17:39:01,22,14,经过谈判，两大经济体一致决定把世界第三大经济体摆上餐盘，大家一边“亲切友好的交流意见”，一边瓜分世界第三经济体。
酥盐,people,圣西尔军校驻伏龙芝军事学院办事处第五纵队成员,1,2018-04-06 11:11:20,3,7,这里必须提醒下题主和某些答主，世界第一大经济体是欧盟 @树大师 
丁子君二號機,people,頭像是勉力目標。／Un mundo bien diferente!,1,2018-04-05 20:37:53,2,3,世界核平。
匿名用户,people,,1,2018-04-06 19:00:52,1,3,英法德美意俄奥打一战，俄罗斯皇帝被杀全家，奥匈帝国碎一地，德国皇帝跑路国外，三者之中，奥匈帝国最惨。二十年后，德国人嗷嗷叫着喊我胡汉三又回来了，俄罗斯变身苏联成了西方国家嘴里随时择人而噬的赤色怪物，碎成小块的奥地利没有选择，只能加入德国。英法苏德意日打二战，法国42天亡国，日本招核并被驻军至今，苏联损失了天文数字一般的人口，而德国被一分为二，东普鲁士也没了。但是三者之中，法国和俄罗斯现在还是五常，德国还是欧陆两强之一，只有日本直到现在还被盯得死死的。全面战争之中最惨的不是那个丢地最多的，最快投降的，死伤最多的，而是那个最能拉仇恨的。当大家都重回谈判桌的时候，地图可以重新画，死伤人口只是数据，就连最快投降也可以说成是明哲保身，但是所有人都会记得最招恨的那个。
匿名用户,people,,1,2018-04-05 13:53:58,5,3,世界第二大经济体没了第一大经济体完全控制第二大。所谓第二大经济体是靠第一大经济体的货币计算衬托出来的。PS：那些回答日本的是没有常识？历史上中国土地上历来是多国混战的地方，而从来都不会在日本交战，日本本土也从来没有多国混战过，难道各国专门冒着被多国混战中的海军伏击打沉、空军轰炸击沉、大风翻船的风险先过个海再打？233什么玩意。中国是世界上陆地边界线最长的国家，有众多陆上邻国，大战打起来，当然中国首当其冲，朝鲜战争东北也被炸，日俄战争东北又残了，别说打大战了，连缅甸内部小冲突云南都要被炸，容易受到波及，中国陆上边界上都必须有人站岗，稍微不注意，以印度为首的国家就边界往前推进几百米然后假装四处看风景。
江浙总督田不易,people,面壁人 材料狗,-1,2018-04-06 14:01:20,4,2,不管谁占上风，另一方都会选择砸盘子，所以真要打结局就是捡瓶盖了。
艺昽,people,,1,2018-04-05 14:15:48,3,0,幼稚的人们爱打架；幼稚的政客爱战争。
天天渔港百,people,永恒之女性，引我等向上！,1,2018-04-05 15:58:21,2,4,在这里认真的回答一下吧。先说结论:中美不可能开战。除非一方实力可以碾压另一方，因为战争打的是什么？资源，打的是资源。导弹，飞机这些都是需要大量资源的。然而经济实力绝对不能看有多少货币，而是看的资源，其中包括人力。一旦真的打起来轻则两败俱伤，重则核弹毁灭人类，差不多就是这样
头像源自互联网,people,*/ω＼*)我想改名字但是被知乎限制了,-1,2018-04-05 13:51:17,2,1,有理智的不打架，就怕有些人觉得自己要去拯救世界。
赵树鹏,people,,1,2018-04-06 14:16:50,1,1,有人说俄罗斯很高兴，乃衣服假使中美两国全面开战，互扔核弹，那么这俩会非常默契的让把其他强国用核弹犁一遍。如果不扔核弹的常规战争，那么其他国家只能选边战队。你中立，好，最后谁赢了，都会灭了你。两个屠夫打架，会留着鸡鸭鱼猪牛羊过年么？
匿名用户,people,,1,2018-04-05 20:20:03,1,3,如果铁了心要打，那就打了，还能怎么办，说明地球人口到了需要清理的阶段了。好处就是地球人口数量大幅下降，人类开启新纪元，重新走上人类进化新道路。这样的例子很多，比如欧洲黑死病损失三分之一的人口，比如成吉思汗时期人口数量大幅下降，比如两次大战损失上亿人口。
左自美,people,战争之王的弟弟，战争小流氓,-1,2018-04-05 18:20:27,1,2,经济战：（前方大佬已回答）第三大经济体 热战：要么全世界大家一起捡瓶盖，要么日本、朝鲜半岛、中南半岛、澳大利亚、印度成为前线，两大集（流）团（氓）互相玩“拉大锯”游戏
