name,type,headline,gender,created_time,vote,comment,content
谢昌松,people,你就在此地不要走动，我到前面探探路去,1,2018-04-21 06:18:47,10,6,这么比较挺没劲的。说说我理解的航空发动机难在哪里吧。航空发动机难在系统复杂，设计边界窄（我是想说设计上要追求性能，不能留太多裕度，比如强度的安全系数，比如工作温度在材料的耐受温度边缘，比如气动上工作在接近不稳定的区域。概括来说有个名词叫精益设计。），理论不完备。相对来说，理论不完备是更本质的东西。比如，发动机上用到的很多方法、准则都依赖试验，因为系统太复杂了，影响因素太多，理论没法完备的描述系统。体现在实际工作中，常常很多专业表示算不准。其实试验也不一定都能模拟真实工作条件，比如最近美国西南航空风扇叶片疲劳断裂击穿机身这个事，所有发动机适航取证都要做包容性试验的，试验是将风扇叶片在高速运转中炸断，测试包容环能否将断裂的碎片包住。这么残暴的试验通过了，都无法保证真实飞行环境下没有碎片不包容的问题。概括来说就是以上3点：系统复杂、设计边界窄、理论不完备。至于我们日常经常提到的需要长时间积累、大量资金投入等等都是上面这3点带来的。还有一项值得提到的，由于上述原因，这项工作组织起来很困难。这不是一般意义上的技术问题，但更值得重视。管理其实还是科学，还是技术，管理的实施还是工程，专业性也还是很强的。我们目前表现出来的工作成绩我认为事实上是显著低于我们的技术能力的。会做的题不得分，是很遗憾的事情。
瘦马,people,data,1,2018-07-14 14:49:09,0,1,发动机和半导体不是一个级别的对手。就好像问汽车nengbuneng比飞机快一样。可能F1赛车能比小型飞机快，但绝大多数汽车不可能比飞机快的
萨摩雷斯,people,,-1,2018-01-12 07:13:44,2,0,谢邀，我是做航空发动机材料的将二者做对比我也是头一次遇到，半导体不了解，但是从外行人理解上看，它牵涉到信息行业的技术升级，技术难度不小，也只能理解到这种程度，说它不重要不可能。发动机，我愿意将其分民用和军用两大类，因为是做航空发动机材料，对这类的发动机有一点发言权。民用汽车燃油发动机现在明显落后欧美，汽车行业是早期改革开放最早改革的行业，不过不尽如人意，现如今国家力推新能源汽车，也是因为电力发动机中国与国外差距小一些，能玩到超车。军用方面同样也落后，但是近几年的发展，WS10推出后相当于中国即美英法俄乌之后能生产航空发动机的国家，算是世界前列吧。至于说航空发动机对民生有啥用？航空发动机被称为一个国家工业水平的衡量标准，举个例子，民生你肯定用电对吧？发电厂一般都会有一个叫燃气轮机的东西，它的作用就是快速启动应对用电高峰时电力不足问题，而它与航空发动机的区别也只是尺寸大，重量重，不关注推重比，而更关注效率。二者孰轻孰重我没法说，但是都需要各行业人员的努力，同样也需要合理体制与措施推动，中国自己的问题不少，还需更加努力才行
章北海,people,自行车维修工,1,2018-09-27 12:54:06,0,0,知乎有类似问题讨论很热烈，航发是需要基础学科多，需要全面发展，造金字塔，航发就是塔尖，下面没有就是空中楼阁不坚固也难以更上一层楼!半导体是针尖，要在光学领域深入沉浸，波长越短越先进，镜头越好越先进!
刘mr,people,秋风凉 秋风望 今夜别思量,-1,2018-01-10 17:01:29,1,0,面包和牛奶 那个重要  鱼和熊掌那个重要 这些问题都差不多
斯文败类,people,道者，须臾不可离也，可离非道也。,1,2018-04-21 15:09:23,0,0,都重要。但对目下的中国大陆而言，IC可能更迫切一点。
米果,people,,1,2018-01-14 18:25:33,0,0,本人半导体行业，也谈谈自己的理解。         先说难度，个人感觉发动机更难，需要更长时间的积累，和更雄厚的基础科学实力。理由是，目前能造出高质量航空发动机的国家就只有美国，俄罗斯，欧洲。而日本韩国，他们是半导体强国，但却不是发动机强国。详细来说，半导体行业分工明确，且比较开放。半导体行业主要包括半导体设计，半导体制造，半导体设备三块。半导体设计类似软件，我觉得这块会最先突破，因为只需要足够好的智力资源。接下来是半导体制造，最后是半导体设备。半导体设备涉及到更多基础行业，比如重要的光刻机，就需要光学物理学积累。而发动机行业产业链相对封闭，行业更新较慢，更依赖于雄厚的工业基础和基础科学，所以突破起来更难。         在说重要性，如果算上汽车发，军用发动机，两行业产值旗鼓相当，从财富五百强可见一斑。总体上发动机行业更重要，更基础。
Judi,people,,1,2018-01-12 16:30:50,0,0,肯定是半导体，不管是难度还是重要性因为需要半导体的地方更多，外国对我们的限制也更大
KennyJia,people,UW-Madison 2023,-1,2018-01-11 20:15:46,0,0,谢邀，这两个对精度和设计的要求都很高吧，谈不上哪个更重要，个人觉得想要提高技术水平关键还是提升教育质量
Augustus,people,江苏2019届考生。,1,2018-01-11 18:00:20,0,0,两个完全不同的领域都很重要难度都很大但是其无法发展的瓶颈是相似的科技水平达到了两者就都能上去了不是先后发展的问题是要共同发展的
Jedi 姜,people,半导体制造相关设备，材料销售,-1,2018-01-11 11:06:35,0,0,吃西餐时刀子和叉子那个更重要？完毕！
运转ing,people,,1,2018-01-11 09:34:50,0,0,看时代背景再有三十年的和平发展期，那肯定是半导体优先。半导体一方面是经济属性，另一方面对材料科学和制造工艺的促进正好作用于发动机发动机短板就在于材料和制造工艺
