name,type,headline,gender,created_time,vote,comment,content
陆透,people,偶尔写点东西，免得手生,1,2018-04-20 04:45:14,6,3,"谢邀，先下结论：受美国打压造成的营销和渠道问题这是搜谷歌手机的页面，整个页面不是iPhone就是三星。再仔细看，这些手机还分销售商。 AT&T, Sprint, Verizon, Best Buy. 除了Best Buy以外，全是通讯服务商。美国办移动套餐送手机这种方法是主流销售方式，其次是Best Buy， 美国最大的电子产品零售商。再后面的是官网，本地品牌店，new egg ,eBay, Amazon这几种方式。这几种销售渠道里，AT&T取消了合作，Best Buy刚刚禁销华为手机。这两个渠道一断，华为在美国的手机市场可以说凉了一大半。再说营销，上面几个渠道炸了之后，美国卖手机要卖得出去，剩下的人群是对手机性价比有一定追求的。一加是中国在美国手机销售最成功的品牌， 就是靠的这个五成价格九成品质的市场。17和18年的美国十大最佳旗舰机里， 一加和华为是唯二始终在榜的国产机品牌。以2018年这两个品牌的旗舰机为例： 一加5T和华为P20下面是一加5T的价格，全榜最低，还是低其它同榜手机至少两百刀的那种。接下来是华为P20的价格：华为在美国手机销售，基本是模仿三星拿旗舰机开路中低端铺上的方法。市场定位直接对上的是三星。这种方法要成功，一是要手机品质足够，二是需要渠道配合铺货打开市场积累品牌名声。然而渠道一断，都没人知道你这个牌子。更有意思的是，华为的P20在北美大陆还没有开通销售渠道。上面那张图是意大利发货，下面是官网标明的销售区：没有美洲大陆老实说，以华为在美国的定位，要是不受打压慢慢积累起名声，在美国是有可能成为并肩三星的安卓旗舰机扛把子的。差一点也能和HTC，摩托罗拉，LG 这几个牌子一样喝点汤。但以现在渠道上收到打压的力度，基本上就是凉凉。当然华为比谁都清楚，在美国铺了几年的营销和渠道花的钱现在是打了水漂了，华为应该是已经决定彻底放弃美国的手机市场了，不然也不会连官网都不挂着卖。老实说这也算是降维打击了，不管你手机做得好还是不好，人家不给你卖有什么办法。当然华为的手机价格还是偏高也是一个原因，国外卖得比国内还贵，也不学学隔壁良心厂商联想。"
看看,people,吃瓜群众,-1,2018-04-20 10:43:52,2,0,"说啥手机价格、性能啥的都是瞎BB。卖都不让卖，美国消费者哪里知道这些。真正原因是华为太强了。他的产业链布局基本是高通+诺基亚+思科+HTC+惠普服务器这种组合。竞争对手太多，仇人太多。华为是美国一直在找茬但没找到茬的中国公司。美国禁华为的原因，可能对美国安全构成威胁。作为一个法制国家，用可能性来做决定本身就很荒唐。这个意思相当于历史上的""莫须有""。华为为什么不通过法律手段反制。很简单，民不与官斗。何况部分器材还依赖美国。也说一下最近被禁的另一家公司。为啥那么大胆?大胆得蠢到极致。原因也很简单，他服务器要用INTEL，终端芯片用高通，电信路由器用思科。有皇军三大军种支持，他以为违点美国法律，皇军不会把他咋的。哪知皇军上来个二球司令官，真把他办了。"
贫僧自东土大唐而来,people,,-1,2018-04-19 20:09:28,2,0,很简单。人家还远远没到离了你就不行的地步。
桃花飞过墙,people,护肤小达人,-1,2018-04-27 21:21:12,0,0,不奇怪，美国一直视中国为竞争对手，当年克林顿布什都曾谋求对中国下手，不过后来911美国自顾不暇，如今收拾的差不多了，自然腾出手来，要把肉中刺挑出来，政治层面的战略打压
王金刚,people,设计师,-1,2018-04-19 20:54:05,1,0,这是个政治问题，被美国政府禁止入美国市场。
Noah,people,大学生,-1,2018-04-20 23:02:16,1,0,其实这都是政府故意干预，不想华为抢占美国市场，赚取美国人的钱，就像美国很多高科技公司到中国来赚中国人的钱一样，中国因为要发展，没办法，只能各取所需，而美国虽然不能完全阻止华为进入美国市场，但肯定会施加很多条件，间接阻止华为的扩张，其实商业的强大也是国家的强大
李德,people,消除您的焦虑,-1,2018-04-20 20:03:35,0,0,华为为什么在美国市场一再受挫？斯诺登事件之后，美国政府没有资格再谈什么信息安全问题。普通美国人也不可能去反抗美国政府，光有枪是不行的，还必须要有组织有目的。而美国目前的贫富差距不仅仅体现在收入上，还有价值观上。美国的富人价值观本身就自相矛盾，有川普这样的，也有盖茨那样的。有反对平等的，也有支持革命的。华为的问题，也是美国政府的决定，川普只是把这个决定提前了。自斯诺登事件之后，大部分美国人也知道自己的处境。要么像斯诺登一样离开，要么接受政府无条件的监视。当然也有一部分支持派，大部分是911事件的受害者，或是间接受害者。彻底放弃隐私的确可以极大程度的减少恐怖袭击事件的发生，但结果肯定是双输。美国对本国人们的政策蔓延到中国，难道说要华为给美国政府专门准备一个监视渠道吗？当然这只是一个经济制裁的借口罢了。美国和中国的就业率同样重要，这一点谁都清楚。一带一路加西方出口才能彻底的提高国内就业率和社会福利，这一点川普肯定不知道，不懂得谋求双赢，这是美国埋下了失败的种子。
卢公子,people,半文艺青年,-1,2018-04-20 18:31:51,0,0,抑制中国发展。
沈朝云,people,真相的探究者，知识的追随者,1,2018-04-19 21:03:49,0,0,我承包了一个市场，然后我兄弟在里面摆了个鱼摊卖鱼，这个市场里面卖菜的多，卖肉的多，卖鱼的就我兄弟一个，然后一天来了个不认识家伙也想卖鱼，我能同意吗？
康敏,people,SOS,-1,2018-05-13 03:44:21,0,0,与众不同，自会脱颖而出。
绿逗,people,,1,2018-04-20 11:18:24,0,1,价格比三星贵，应该很难卖吧，要是国内三星卖的比华为便宜，估计华为也很难敌三星
