name,type,headline,gender,created_time,vote,comment,content
匿名用户,people,,1,2018-04-18 16:49:07,65,6,华为员工基本一致认为唇齿相依，唇亡齿寒。公司之间的矛盾，小于国家矛盾。
ali-12,people,,-1,2018-04-18 21:57:23,8,7,
诗城少女的梦,people,,-1,2018-04-19 13:24:43,19,31,近期华为轮值董事长徐直军公开表示，麒麟处理器是非卖品。言下之意是不会把华为的芯片卖给中兴。如果这样看来，中兴离完蛋就不远了。真的是这样吗？杨小帅给您分析一波。中兴作为国内第二大，全球第五大的通讯设备厂商，在全球有相当大的市场份额，但是芯片过分依赖于进口，缺乏核心技术。中兴作为国有背景相当深厚的企业，承载着大国崛起的使命。国家是不会轻易放弃中兴的，必然有政府的力量给予干预。华为也懂得唇亡齿寒的道理，企业之间的矛盾永远小于国家间的矛盾。华为自己就完全掌握了核心技术吗？未必，麒麟芯片也是基于arm的，你蹦哒的厉害了照样可以封杀你。但是暗地还是要帮的，只是明面上不能说。由中兴事件让我想到的事，中国虽然强大了，但是别人也处处掐着你的命门。这次你不卖我芯片，我就不卖你大豆。是不是颇有你掐我喉脖，我便踩你脚指的意味？
风之沙,people,穷则独善其身,1,2018-04-18 21:02:58,2,0,估计当然是担心啦，因为面临的风险是一样的。关键器件选型，需要找美国以外的备胎了。
树上的骑士,people,损着别人的牙眼，却反对报复、主张宽容的人，万勿和他接近。,1,2018-05-01 11:12:07,3,0,作为HUAWEIer，深感唇亡齿寒。
匿名用户,people,,1,2018-04-21 22:47:48,3,0,哪怕是猪队友，那也是队友啊内部论坛上幸灾乐祸的都被喷了唇亡齿寒，兔死狐悲。希望友商遇难呈祥，挺过这一关
王叔叔,people,严重的好奇心综合症患者,1,2018-06-26 08:00:57,1,1,应该是吴越同舟吧.孙子·九地：“夫吴人与越人相恶也，当其同舟而济，遇风，其相救也，如左右手。”
匿名用户,people,,1,2018-04-20 12:02:04,1,8,大哥何必笑二哥，华为被英美制裁结果也一样，搞得麒麟用的不是英国arm的构架，台积电的制程，华为主业用的不是安卓的系统，美国的光电芯片似的。当然，如果你相信台积电到时候不听美国听你的，当我没说，祝好运。
刘志刚,people,硕士在读,-1,2018-04-22 09:06:15,3,1,我来说说中兴下面的微电子，中兴微电子是中国领先的通讯IC设计厂商， 并是国内产品布局最全的IC设计厂商之一，拥有近20年的IC产品研发积累，累计研发并成功量产各类芯片百余种。核心通信芯片全部自主研发，涵盖通讯网络的云管端架构，其中面向5G的基带芯片和中频芯片已经处于世界领先水平。截至2017年，累计申请专利3600件以上，其中国际专利1700件以上。2017年国内IC市场统计，国内的厂商里，中兴微电子76亿以名列第三。
匿名用户,people,,1,2018-04-18 21:59:45,5,0,
匿名用户,people,,1,2018-04-23 07:38:44,2,4,立个flag，一方面，华为当然懂得唇完齿寒的道理，另一方面，华为可能会大批吸纳中兴的员工。吸纳之后发生的事情，不敢想像。所以华为人真的会很担忧啊！
sczxd,people,,-1,2018-04-22 11:47:26,1,0,新形势的战争号角已经吹响，这是考验中华民族兴衰存亡的关键时刻，大敌当前，大局为重，建议国家预估华为技术价值，加倍补贴华为，资金不够，志愿者可以捐资，向国内有基础的芯片企业进行技术培训，提高行业整体实力。兄弟只有携手并肩，共渡难关才是上策。
虎扑掌门人,people,NLP for Healthcare &amp; Education,1,2018-04-26 08:25:37,0,0,毕竟相爱相杀这么多年了，有感情的。
匿名用户,people,,1,2018-04-21 20:17:24,0,0,受影响很大，最近发文永久暂停美国业务。可惜之前投入，近几年内看不到希望了。
临阵,people,,-1,2018-04-20 20:26:06,0,2,国家会不会考虑把中兴送给华为，然后国资委象征性占点股份？
阿b,people,导弹设计师,-1,2018-04-19 17:57:42,0,1,中国的两兄弟去美国做生意，既有竞争又有合作，国家层面上需要两兄弟合作，企业层面上需要两兄弟竞争。毕竟我书读的少，只是表达自己的看法，大家不喜勿喷啊，最后献上学校美景
Peter,people,物理层,-1,2018-05-12 09:46:33,0,0,中兴是对手，保护主义是中兴和华为共同的敌人。
