name,type,headline,gender,created_time,vote,comment,content
DeepTech深科技,people,科学、技术、产业。,-1,2018-04-24 19:07:02,166,67,以短线来看，中兴退出市场，代表包含手机产品、基站等产品布局留下空白，如果华为动作够快，是很有机会填补这些市场的空间。华为在手机产品上的设计已经是世界一流水平，在东南亚、南美、印度等新兴市场过去与中兴也是竞争的很激烈，少了一个重要对手，代表华为目前遇到瓶颈的手机市场规模有可能可以进一步扩大。而基站也和手机市场有点类似，且华为和中兴过去在基站生意的经营方式相当雷同，都是以杀价杀到见骨出名，少了中兴，华为不仅可能吃下更多基站市场，也能确保更好的获利。虽然欧美先进国家多所抵制，但新兴国家对这方面的需求居高不下，应该是不会造成太大影响。另外，5G专利非常重要，即便是中兴倒了，政府也也不可能让这些有可能扭转中国产业地位的心血外流，最有可能的方式是新创一家公司来承接，亦或者是指定一家代表性企业来维护，华为海思是台面上最有机会的选择。当然，很多关键料件及技术的缺失，是华为和海思在面临国际竞争之下的隐忧，若华为真的被拖累，在不短的时间内遭遇与中兴一样的制裁，前面讲到的情境可能就只会是昙花一现。然而对美国而言，处理中兴已经算是一个很好的示范，特朗普也不会想要把中国产业往死里打，而是要能在做生意这件事占到上风，若继中兴之后再去打华为，对于国人反而为从恐慌转为反感，甚至走向全面对抗，这种可能同归于尽的战法不是特朗普的作风。其实现在要讲制造、EDA工具，或者是什么砷化镓等关键技术的掌握都是马后炮，本来就没有的东西，喊再多也不会凭空冒出来，倒不如掌握现有的产业优势，比如说AI、制造，以及市场规模，然后低调点，顾全国际贸易观感，然后再鸭子划水，高调对抗从来就不是聪明的作法。若能熬过这波低潮，且中国在制造、设计等技术缺口获得初步解决，那么不只华为，多数中国科技产业都能在获得相当丰厚的经验值，重新组织国际贸易策略，下次面对类似状况，就不会像现在这样手足无措了。
PC Chen,people,新晋码农一枚,1,2018-04-24 18:46:19,80,16,跑个题我想问一下什么才是核心技术？ 也许有些人眼里，自己人掌握了的都不够核心，还要采购的永远是核心技术。intel， nvidia，TI有没有核心技术? 它们的移动处理器都从曾经风光无限，但最终都从手机SoC战场里黯然退场，是这块没利润看不上？苹果有没有核心技术？ 基带至今还是买的高通+Intel的海思是一家fabless，不是foundary。要说无能，那也是产业链其它公司的无能。=============回答正题：获不了利运营商不可能只依赖一家供应商，华为的国内份额已经很大，基本到顶了，中兴如果空出来，必然是要大部分给爱立信之类的公司，一方面避免过度依赖，一方面还得与欧洲有来有往，事实上一直就是这么做的。
樱桃大房子,people,十年专业地产研究 | 微信公众号：樱桃大房子,0,2018-04-24 22:44:05,542,142,"迅速翻了下回答，没一个答在点子上！！！这种问题格局太小！！1.首先，中兴芯片危机不是“中兴手机”芯片危机，通信设备跟手机是不同的业务。中兴主要是通信相关的芯片的供给侧出现了问题，比如博通的网络，intel芯片，xlinx的fpga等等。海思只是华为的ic，而且只做设计不做封测，也没有自产零部件，连华为本身也是多芯片战略,谈何获利！一旦美国给华为通信设备断供，情况也好不到哪里去；所以，在技术上，这就是个很幼稚的问题！2. 其次，问这种问题，就是格局小！！中兴危机，整个国内的电子通信IT行业都是敲山震虎，谁也不知道下一个中兴是谁？谈何获利，这本身是一损俱损的事情。即使中兴在通信市场上短期被华为获取一点，长期来看对华为等一些中国公司都是不利的。战术的勤奋弥补不了战略上的短视！短期的利益构不成长期的格局！清醒一点！这次的事件用一句话来解释，就是中兴有把柄在美国手上，美国要对中国发动贸易战，刚好借这个机会和形势，打出了中兴这张牌。下一张牌在哪里？你可能还没意识到！更新：谢谢朋友们指出说海思不仅仅做手机芯片，也做通信设备相关芯片。可关注微信公众号：樱桃大房子，获取我所有观点和分析；"
捷克甜糖,people,搜索公众号“微观系列”，关注我 获取更多好文,1,2018-04-23 21:48:56,997,271,点击上方蓝字“微观系列”，关注我中兴被美国制裁，制裁令一直持续到2025年，而中兴面对美国的制裁，直接喊出了“休克”这样严重的词。不难想见当中兴“休克”后，其在通讯设备的市场份额会快速被爱立信，诺基亚，华为等公司接管。让我们来梳理一下，中兴被“休克”是怎么发生的。时间先要倒回到一年前的西班牙巴塞罗那。2017年2月27日，世界移动通信大会（MWC）在巴塞罗那拉开帷幕，包括中兴，华为等世界一流通讯大厂无一缺席。本次移动通信大会的主题，就是5G。中兴参加MWC前就已大秀5G肌肉而真到了MWC的会场后，中兴果然是这场移动通信大会上最闪耀的明星。中兴买下了展场最精华的地段，让所有进来参观的人一目了然。中兴整个展区的核心展示，是数支框在大型玻璃柜里，号称“全球第一款突破性概念手机”。详见视屏视频约30秒https://www.zhihu.com/video/971867705585983488中兴这支手机最牛的特点是，在5G的通讯环境下，将下载速度提升到1秒1G。1秒1G，我家最快也就27MB一秒。而1秒1G，也是中兴高喊出的5G口号，估计在2020年前就可以与消费者见面。时间再倒推到2017年6月29日，移动世界通讯大会（亚洲展）在上海举办。展会上最璀璨的明星，仍是中国的中兴通讯。中兴的璀璨，连华为都稍逊一筹。在这次的展会上，当大家还在推出手机产品时，中兴毅然放弃了展台区的手机产品推销，转而将整个展厅包装为“未来5G”的主题。当时环球网做过专题报道，报道中兴将为5G新时代“再”发力。在发布会上中兴表示，中兴通讯的Pre5G解决方案已在全球40多个国家，60多组网络中成功部署。简单讲一句话，中兴的5G部署工作已趋近完成时间来到两个月前，2018年2月26日，还是那个巴塞罗那，还是那个世界移动通讯展还是那个中兴，还是那个5G中兴还是大放异彩下图是中兴官网的新闻截图，可以看出中兴当时依旧是信心满满，对于5G的未来，对于公司的未来，一片光明。基于5G和人工智能的大视频解决方案你可以发现中兴在过去这一两年，公司的重心基本上完全转移到了5G领域，当其他移动通讯厂商都还没进行5G测试的时候，中兴则在世界上三场最重要的通讯展上，发出了一个明确信号。5G，中兴准备好了。仅仅在2017一年，中兴在5G发展上一日千里而彼时世界上5G发展的大环境是什么样的呢？2017年5G技术标准制定的第一阶段都远未开始中兴则抢在所有人前，做了最多，最好，以及最完全的准备。中兴这么积极的抢占5G，主要目的是为了抢占5G的技术标准制定话语权。三流的企业卖产品，二流的企业卖品牌，一流的企业卖标准。毫不夸张的说，谁能卖5G标准，谁就能掌握未来世界。中兴，就是想做“卖5G标准的那个。”2018年4月16日，美国宣布制裁中兴直至2025年。同日，中兴董事长殷一民对外宣布，中兴已然“休克”。不少朋友给我留言，说中兴被制裁是因为它自己的问题，卖设备给伊朗就别怪美国制裁。其实我觉得吧，中兴不管卖设备给谁，就算卖给火星人，也一样会被美国制裁。在中美“科技冷战”的大背景下美国瞄准的不是中兴，而是5G美国要制裁的不是中国，而是中国科技欲加之罪何患无辞，更何况你本来就有罪呢。枪打出头鸟，中兴在过去一年的表现，很明显戳到了美国最敏感，最不想被戳的G点。那个G点，叫做5G。美国可以把很多东西让给中国做，比如设备制造，生活用品生产，可有一样东西，他不会让，那东西叫做5G标准制定权。谁有5G话语权，谁就有未来。引领美国进入5G时代的公司，是美国的高通（Qualcomm）高通也是3G，4G的领军者，正因为美国领导着3G，4G的标准制定，所以美国牢牢掌控着3G与4G时代的世界科技。而在即将到来的5G时代，中国军团异军突起，当美国的5G才刚起步时，中国的5G技术测试已经在世界各地展开。高通执行长形容5G的重要性等同于电力的发明，和汽车的发明，电力与汽车对人类的文明起到了颠覆性的作用。5G根本不是一个单纯的科技技术，5G更是最重要的大国战略。得5G者得天下，绝非夸大其词。根据最新媒体报道，目前全球无线通讯基建的占有率，中国两家公司就占到了近40%。而美国的两家公司摩托罗拉和思科，加起来仅占6%。40%比6%，明白了吧，如果是你，面对着如此巨大的差距，你会不紧张吗？而在5G的测试量上，美国更是落后，全球5强里中国的华为和中兴牢牢占据两席，份额高达40%，而美国军团，则连影子都没看到。面对如此局面，美国在5G的发展上，想要正常的追上中国是不可能的了。正常的方法追不上，那么不正常的呢？于是休克中国5G的一条腿，就成了美国的“最好选择”。我追不上你，那我还不能把你拉下来吗？美国做的，就是把中国从5G世界里，拉下来。当中兴“休克”了，那中兴原先占据的“5G份额”将迅速被其他公司吞噬，被瑞典的爱立信，被韩国的三星，或者被美国的高通和思科。但不管是被谁，估计不会是华为了。之前就有不少朋友说，中兴倒下了，华为或成最大赢家。有这想法的朋友是幼稚的。但“华为”自己却看得很清楚。4月16号，中兴被美国制裁，休克。4月17号，华为CEO表态，不看好未来5G。这时间点，你说是巧合，谁信啊。华为轮值CEO徐直军说“华为不看好5G的技术前景，将不会再做大量投资，5G虽然更快，但消费者并不会真的察觉到5G和4G的区别。”华为表示5G没什么用，没什么了不起的，可在中兴被制裁前，华为可不是这么说的。在我开始讲的两个世界移动通讯大展上，最闪耀的舞台属于中兴，第二闪耀的舞台就是华为。再看下这张图一个不看好5G的人，会进行世界第二大的5G测试量吗？华为对5G进行自我打脸的表态，可谓是无可奈何。华为非常清楚，中兴倒下是美国要将中国的5G话语权拉下马来，那华为就表态说我不做5G了，我从今天开始低调，我从今天开始暂且撤退。失去5G，公司不至于休克，而一旦继续和美国去争5G，就算不重蹈中兴休克的覆辙，也一定弄得个半身残废。对华为公司来说完全没必要。华为已经表现出非常明显的不想卷入此次中美科技冷战的态势，然而覆巢之下安有完卵。但我还是赞同华为态度的当乌云密布时，你完全没必要昂首挺胸宣告自己的存在。那些顶着乌云还要往前冲的人不是他认为雷劈不到自己就是认为自己的头比雷还硬最近热门电影《厉害了我的国》突遭停播下架，据说原因是电影中过度吹捧的高科技问题。其实关于这问题我早在20天前的文章里就有提及，当时中美贸易战刚爆发，我就写了篇题为《韬光养晦还是锋芒毕露》的文章（有兴趣的朋友可以看今天的第二篇推送）文章主要想提醒各位朋友，中美之间看起来个子越来越接近，但在核心器官上依旧存在差距，在这时候绝无必要当个愚者，顶着美国的雷往前冲。文章发出后收到大量的质疑和抨击，抨击者的主要调调差不多就是《厉害了我的国》的论调。如果一个巨人连自己的阿基里斯腱在哪都不知道的话，那他将比侏儒还要脆弱。中兴的突然休克就是最好的例子那5G，我们还要不要了？ 欢迎公众号搜索，微观系列，关注我获取更多深度好文版权所有，转发请注明我是江平舟，平凡世界里的，一叶孤舟。
冬知,people,IT生态链,1,2018-04-25 19:07:47,13,4,目前国家加大集成电路产业的扶持力度，企业加大研发力度，仍然没有改变“造不如买”中的核心逻辑——“买”！仍然没有改变对现有技术体系的依赖。在中国的ICT产业中，过去是买产品，买元件，然后做出终端产品。随着国家政府扶持基金(核高基)的大力投入，中国将提升自造芯片的能力。但是，这种制造，不是创造，其基础仍然是“买”。不过是由买元件变成买技术、买专利、买授权。如果没有与wintel和AA体系并举的目标，并付诸于实践(统筹规划，形成产业联盟。整合人才技术资源，协同并进)，那么目前所谓不计成本的投入，无异于在别人的地基上把楼修得更高而已。无异于作为曾经的建筑装修公司，额外再干些钢筋水泥厂的活。而地盘，还是人家的。美国的底层技术和专利，只会随着中国的造芯运动而进一步得到巩固，进一步增加全球产业的依赖性。这样一来，我们要追求的“掌握核心技术”将更加难以实现。如果美国政府要求技术供应商停止授权，华为的海思芯片也会立即瘫掉。展讯、兆芯也会停滞。包括寒武纪，深鉴，阿里这些基于现有生态的人工智能专用芯片，仍然摆脱不了可能遭定点狙击的命运。技术主导权，战略主动权仍然在美国人手里。中国，真的吸取教训了吗？ 目前的产业促进政策，真的是在未雨绸缪吗？现在，不开始两条腿走路。未来，将越发不可能。决策者否能在利益相悖方搅动的舆论中保持一份清醒？能否在现实利益的拖拽下保持一份担当？ ……………………………我理解，鼓噪者之现在的技术路线是不得已而为之。但也正因为如此，中国将越来越难以摆脱对美国软件基础体系的依赖。
星月无痕,people,工程师,-1,2018-04-25 10:49:58,11,1,中兴芯片问题，应该看成中国遇到的问题，中国整个产业遇到的问题，而不是某个企业的问题。（通信系统领域）具体到某个品牌，短期增加获利是可能的，因为一个企业休克留下的市场份额必然被其它企业分享，但对于整个产业，中国企业的市场占有率下降是必然的。而对于整个国家，面临的是大危机。因为以前这种断供没有被以大棒的形式使用过（你不听我的话我就大棒子伺候）。背景是【美国不允许卖设备给伊朗】，你卖了就是不听话，不听话就制裁你。这次有了这个开端，以后美国（及其盟友们）挥舞这根大棒的情况可能会越来越频繁。这也是遏制中国发展，阶梯策略的一种体现。以前中国不足够强大，根本不需要用这根大棒，现在需要用了。好比打牌，你的牌很差，对方犯得上用炸弹、大小王吗？但对方暂时不用不代表没有，不代表永远不用。所以这次危机让很多人一下清醒过来，未必是什么坏事，因为大小王、炸弹人家早就有，不是今天才有，而且我们也知道人家早就有，只是不知道什么时候、什么情况下对方会使用。以前有一种幻想对手不会用小王，幻想时间久了自己也信了，今天人家用小王了，赶快清醒过来，该投入的别抠门那点钱了，该给政策给政策，该投钱投钱，还有浑水摸鱼骗钱的该处理处理。大国战略利益的抗衡是永远不可能消失的，居安思危吧。
王者安东尼,people,不想做翻译的法学生不是好文案,1,2018-04-24 14:13:37,47,0,司马懿在确定可以搞定众曹之前从来都是小心翼翼不敢大声喘气。如今，胡鞍钢之流，大呼天下第一。没打死算给面子了。
此此用户不存在,people,素质、素养两条狗，想咬谁就咬谁，想咬几口就几口.....,-1,2018-04-25 22:38:13,2,4,搞不好华为也要摊上事...
张狒狒,people,懒癌晚期的微信公号：树洞里的德鲁伊,1,2018-04-25 07:43:21,1,4,随便说一句吧，华为不敢在这种时刻大发国难财，对他自己没有明显的好处。手机方面他占的本来就多，不并中兴的话不存在超量的增长，两者的产品定位不一样。所以，销售方面的增长主要不会来自于以前的中兴用户，更可能的是来自苹果的用户，一方面，国内的苹果用户大多只有iPhone而已，对苹果生态的成瘾度不高，另一方面，呵，苹果做东西真的是越来越不用心了，只想着赚钱。设备方面吧，这个只能瞎B分析一下。我觉得中国5G的布局可能早在三五年前就设计好了，肯定也预案了芯片断供的情况。这么大的事情不可能只有Plan A，中央断不是那样的中央。咱可以立字据打赌，明年年底以前全国所有二线以上城市都能用上5G，用不上我爆女装都行，女装三大定律到此为止。反正新华社已经说了，今年年底以前至少16个城市能用上5G。既然国家有布局，就说明有替代的芯片供应商，很可能是名不见经传的国厂，刀只有藏得好才有用。所以不太可能是华为，华为在这方面也不会额外获利。除非华为在低端手机方面用一些脏手段，占领这个市场。但……这个事情吧，他敢做就肯定会被挂起来骂了吧。不合算的。综上，华为是会从中得一些利，但除非海思还搞了低端手机芯片（低端芯片不来钱啊，国内技术也能凑合做），否则不会获得太多利益。嘛，女装是不可能的，我就是从这儿跳下去，摔死，也不可能女装的。
孙林,people,游戏,-1,2018-04-24 13:40:56,8,4,肯定啊，移动电信联通的单子，如果中兴接不了的话，肯定给华为了。外企进来肯定关税高高的。反正国内的单子肯定都能接了。至于国外的，看本事了。
