name,type,headline,gender,created_time,vote,comment,content
LI LU,people,三无土鳖人士,1,2018-04-18 15:16:52,7,10,"我已离开美地区部,所以以下全为推测：此人是在华盛顿办公室,待那个地方的对于华为内部来说是“神”,大部分人应该从未见过.此人正在Linkedin上找工作,说明他之前并没有失业的打算,裁员很突然.推测美商务部应该是正在调查华为技术,并获得一些证据,但这些证据的力度可能不够? 或已经向华为发了询问函的.至于这些证据是谁透露出去的,我个人觉得大概率跟这些员工无关,华盛顿办公室的人并不能接入公司内网.最大有可能是“尼玛我花了这么多钱养你们,竟然也像中兴一样被调查了,你们天天不上班,拿着高工资喝着咖啡,遛着狗,结果一点用都没,全割老子滚.....""我的前任大老板竟然和他在linkedin上有链接,真是有趣...有空我问问他看法最后,华为在美国的待遇和阿里巴巴在美国比,真是天壤之别,都是中国公司,为何差距这么？(其实百度,阿里和腾讯的技术能力真心牛逼,要开发交换机,服务器,他们肯定是能够做的...)"
渔夫,people,"世间本没有粉丝，撕逼多了就成了粉丝
世间本没有杠精，撕逼多了就成了杠精
水军除外",1,2018-04-18 16:07:58,0,0,         谢邀，这种事情咱吃瓜群众能知道什么啊，反正有没有联络官，美国政府都这样了，后果都差不多。估计美国市场对于华为也是可有可无了！        凡事也无法太强求，干脆佛性点咯！
鱼爪,people,网店转让 、知识产权交易 、企业服务、客服外包、营销策划、网站建设,-1,2018-04-18 15:31:54,0,0,4月17日，华为总部方面回应澎湃新闻记者称，美国裁员是“正常业务调整”。结合最近的中美贸易争端以及中兴手机芯片被禁等，不难看出华为的态度，一方面可以说是正常的业务调整，因为市场和供应链在大背景下有变动的可能，为了不损失太多，自然也要有所动作，一方面可以说这是顺应了国家和人民的期望，真可谓一举两得。
利丁,people,,0,2018-04-20 13:51:35,0,0,华为在对美国说:美爹，美国市场我不要了，别整我。这次我真撤了。我就把中兴其他国家的市场份额拿过来就好。
歪乎,people,导游,-1,2018-04-18 11:46:41,1,1,小心美国间谍，中兴是前车之鉴。
Walden,people,,1,2018-04-18 19:12:44,0,1,谢邀，这个事情确实要请业内人来分析会比较靠谱哈，已经有人了解当事人的情况并给出了比较好的回答。不过华为在美国市场一直遭受抵制，也没赚到多少利润，这个联络官目测也是只有苦劳没啥大的功劳。目前华为对美国的高端芯片依赖还是很高的，所以华为确实应该换任有能之士应对美方的禁运调查，以免陷入和中兴一样的境地，给国家带来麻烦。
匿名用户,people,,1,2018-04-18 18:10:10,0,0,防患未然，未雨绸缪，总不能再等人家握了证据再开除吧！华为省心，美国员工也不用被万恶的中国企业压榨，大家都好才是真的好。
Vorsichtig002,people,,-1,2018-04-18 16:21:39,0,0,我看外媒分析是华为有意向撤离美国市场。主要是前几年有很多美国企业看华为抢市场不爽，就去各种游说，说华为手机安全性无法保证云云，给华为造成不小的麻烦。加上美国市场易守难攻，产品要打入成本有点高，再加上最近中美贸易关系紧张，撤退可能是个比较合理的选择
匿名用户,people,,1,2018-04-18 15:40:35,0,0,我TM又不是傻子，我亲眼看见他被送上了回国的飞机，
阿华,people,同龄偶像是韩寒，觉得周星驰最好的电影是《功夫》，《喜剧之王》,1,2018-04-18 15:11:39,0,0,华为知其不可而不为了，换句话说撞了南墙要回头了！
