name,type,headline,gender,created_time,vote,comment,content
投研帮,people,公众号：「投研帮」，各式各样的投资idea，只用大白话说,-1,2016-11-11 22:18:16,236,41,首先说黄金突然大跌。我知道，大佬Druckenmiller把黄金清仓了……我知道，他之前是黄金的死忠粉……我知道，他看好川普，看好美国经济复苏……我还知道，他清仓黄金后黄金就跌了70多美元……我都知道。但市场不是Druckenmiller一个人撑起来的，他从死多头到死空头也就几个月时间。所以我觉得不用过度解读他的看法。更重要的是形成自己的看法。那接下来咱们独立思考一下这个问题：川普上台后，黄金会死掉吗？咱们先从源头来找：咱最初看好黄金长期趋势的根基是啥？——全世界货币都在兑黄金贬值。尤其是美元（点击阅读）。那川普上台后，这个根基会动摇吗？美元会持续上涨吗？答案我昨天已经写了（点击阅读）——不会。因为美国承受不了大幅、持续的加息。那咱们继续想，川普上台后到底会实施什么政策？有一点可以肯定，川大爷上台后，不可能像他竞选时一样不靠谱。他竞选时说那么多激进的言论为的还是吸引眼球，为了搅起民众心底被压抑的情绪罢了。你看他当选后马上就把针对穆斯林的言论从twitter和竞选官网上删除了，就知道他还是分得清是非的，不可能胡来。所以现在的重点不是看他以前说过什么，而是看他以后能做什么。那他到底能做什么呢？咱先看他扬言要做的事：①把经济增速提到3.5%；②未来10年增加2500万个职位；③扩大政府赤字，搞基建。如果这几件事都顺利达成，让经济进入复苏，股市上涨，美元升值，那确实对黄金是大不利。（目前市场就是这样默认的）但咱一个个来看，这几件事到底能不能顺利达成，结果是什么。1 3.5%的经济增速是什么概念？美国从二战以来的平均经济增速是2.9%。自从08金融危机以来，美国经济增长每年只有2.2%（6年平均）。而以往金融危机以后的复苏阶段，增速都会达到5%以上，再慢慢恢复正常。所以，川普要把GDP从低于二战以来平均水平，搞到3.5%以上，怎么搞？谁都不知道，他对此也只字未提。所以①咱们先画个问号。2再看职位，未来10年目标增加2500万个，也就是平均每年250万个。这个目标现在看来不难，2012年到现在，几乎每年都超过了这个水平。但问题是，未来10年美国最后一批婴儿潮人口会逐渐退休。如果再收紧移民的话，这个增速基本不可能持续。所以②咱们也画个问号。3再看他的财政扩张，扩大政府赤字，花钱搞投资基建。毕竟货币政策用了这么多年，已经失效了。也是时候试试财政政策了。你看，之前放了那么多水，却看不到通胀，是为什么？是因为QE的流程：美联储跟银行买国债，让银行手里拿到现金，希望银行能把钱贷出去，让经济运转起来。但经济不好时，银行不想贷，钱都屯着，变成了超额准备金。所以QE本身并没有流入实体经济，当然看不到通胀了。流到资本市场，催成了股市债市的大牛市。那再看川普大搞基建会怎样？这么做本质上还是放水，只不过没有把银行当做水管，而是开着直升机直接撒钱（helicopter money）——美联储印钱，直接交给政府去花，中间不再经过银行了。银行不愿意贷款，企业不愿意投资，个人不愿意消费。那好，政府替你们花钱。而这种政府开支带来的经济繁荣也是有代价的，那就是通胀。政府花的每一分钱，都是纳税人买单，要么靠税收，要么靠通胀，绝对没有白来的。所以，QE带不来的通胀，现在政府亲自花钱投入实体经济，通胀就难逃了。届时，各种商品价格都会飞起来（现在已经开飞了）。那作为通胀护盾的黄金凭什么不涨呢？可是，这种经济繁荣有没有一种熟悉的味道？没错，需要政府投资拉动经济，这不是中国正想摆脱的现状吗？这种经济发展能否持续，没人比中国更清楚了。只能说在建桥修路期间，会带动一阵子的就业和经济繁荣，但修好后就没了。这种经济繁荣是，来无所从，去无所至。除非永远修下去，否则不可持续。所以，我不知道为什么Druckenmiller认为美国经济前景忽然变得“非常非常好”。我看到的前景只是一个时期的政府投资拉动，利好的只有基建和建筑材料行业，过了这个时期，不知道要靠什么支撑整个经济。人口红利？科技突破？还是继续印钱？“那你的意思是，经济会陷入通缩咯？那黄金更不可能涨了啊。”你可能会问出这句话。我这就解释。假设过了这个投资拉动时期，美国找不到新的经济增长点，继续陷入通缩的话，也不是黄金的末日。因为黄金现在的属性不同往常了，它不只在通胀时期上涨了（今年初没有通胀也涨了）。现在的黄金，是商品和货币属性同在的。现在的世界不是教科书上的情况了。教科书上说通胀时期货币太多，所以黄金上涨；通缩时期货币少，所以现金为王，黄金跌。但现在的情况是，越是通缩时期，央行越会印好多钞票，试图把经济拽出通缩。而过度的货币超发逐渐让人们失去对纸币的信心，这时黄金的货币属性就凸显了。黄金现在就是货币，背后没有央行，没有信心危机，没有信用风险的货币。从这几年黄金的表现就看得出来，它的货币属性越来越明显了，跟商品的背离逐渐拉大：从2011年最高点跌下来，商品指数跌了53%，而黄金只跌了44%；从2014年6月到2016年1月，商品指数跌了63%，而黄金只跌了17%；从2016年1月到2月，商品还在低点徘徊，黄金却涨了14%……总结来说，一方面川普上台大搞基建，引起通胀，黄金受益。另一方面，经济发展不可持续，继续陷入通缩，黄金的货币属性凸显，依然受益。现在的市场还没从川普上台的事实中反映过来，走的还是一种比较蒙圈的预期行情。等过段时间，加息结束，人们会再深入思考这些问题。我能肯定的是，短期黄金一定会承压的。但会跌到哪，实话是我不知道。如果破了1250，下一个有效支撑就是1200。但不管它跌到哪，只要我当初买入的理由还在，我就会继续持有。但需要提醒的是，我大部分的仓位都是实物和实物ETF，以及一小部分的黄金股。我没有黄金期货，没有杠杆ETF。如果你有，你需要做好风险控制。===========最后抛出几个数据，但还没深入研究，你可以思考一下，在下面讨论。这是美国历年从瑞士进口的黄金数量：这是俄罗斯央行的黄金储备：这是中国央行黄金储备：这是各国央行从2010年起从黄金净卖出变成净买入：具体可以看我的新文章，《谁说黄金药丸？来来，我们谈谈》知乎专栏其次，再说川普上台后美股上涨。我说下我的观点：美国会走弱势美元道路，不管谁当总统，谁当美联储主席。首先货币政策这事它不是看总统心情来的，其次川爷提倡的扩大出口跟奥黑时期是一致的，扩大出口最简单有效的方法就是美元贬值。而且，川爷自己说，我们有19万亿美元债务，得有人去解决它。怎么解决？如果你已经欠了一屁股债还不上，你愿意把自己的利息再提高吗？那不是雪上加霜？所以，我不太相信川爷有能耐把19万亿美元债务解决掉，但至少他不会把美国的债务成本提高，因为这太危险了。这是美国未来几年即将到期的垃圾债金额：很多人觉得现在的美国就处于从复苏转向过热的阶段，所以股市涨不上去，而商品蠢蠢欲动，随之而来的也就是通胀了。在这个阶段里黄金是第一个反应的，因为它对通胀预期最敏感。但我现在不能肯定美国到底有没有复苏，股市这几年上涨很大程度上是灌水灌的，而不是真的反映经济情况。详细可以看我在昨天知首发布的文章：《总统谜题：川大爷会连续加息吗？》知乎专栏
庙主,people,像我这么屌的，我们有一群！348605976,1,2016-11-13 00:46:07,3,0,从1325空到现在，在群里喊了很多次傻空，大选结果确定的时候已经预测（瞎猜）跌到1245有人赞放截图，没人就算了。  至于信不信反正有群里二百多号人作证。。。。对于这种恐慌性抛盘真没什么琢磨的，兑现事实由于多头体量太大雪崩了而已。。。又一次验证了散户的非理性偏差。
匿名用户,people,,1,2016-11-10 14:44:49,6,10,我猜到了川普的胜利 却猜不透黄金的走向让我哭一会儿
Miranda Ling,people,傲娇的猫/饲养员以及傲娇的/猫饲养员,0,2016-11-11 20:49:37,53,21,上次公投脱欧时在外面和老外出差，没赶上热闹。为了保持对国际大事件的参与感，这次大选之前陆陆续续买了大概十几万的纸黄金。大选当天先后砍仓，在宾州开票大概开到90%几时把黄金都卖掉了。感谢知乎让我觉得Trump能赢，感谢Trump让我把双十一买东西的钱赚回来了～----其实我觉得这次的逻辑还蛮明确的，黄金价格由于实物金需求走弱以及美国加息预期近来一直萎靡；但参考英国脱欧的那次反应，如果trump当选市场当天金价几乎是必然上涨，但短期的事件冲击对基本面基本不构成什么影响，所以即便不是像这次一样暴涨暴跌，也会像上次脱欧一样涨个两天就向下回调的。从前我老板教育我说，风险和收益要平衡，太贪心想吃整段没准哪天会把自己埋里头，所以我就果断的撤了。不过每次赚到这种钱都会觉得当时要是再压多一点就好了... 我这种心态果然不适合做trader *_* 
远方的山,people,,1,2016-11-15 10:46:46,1,0,从投资角度来看，这种走势很正常。简单说的话，由于对川普上台的担心已经提前反映在黄金前期价格走势当中了，在利空兑现后，黄金短期上涨的动力也就没有了。从中长期来看的话，黄金的价格已经没有什么上涨空间了，实际上应该说是有较大的下跌空间，如30%-50%。近期就看12月美国加息否，一旦加了就表明美元的强势进入了加速阶段，黄金就开启快速下跌时期。我个人觉得加息的可能很大。2017年而言，则在2-3季度需要重点关注是否发生全球金融风暴的可能性，一旦出现，短期黄金上涨，稍微长点继续下跌。
phobos,people,,1,2016-11-12 22:49:17,0,0,说明华尔街的人精通政治经济学
刘阳,people,合一大法成，转而去养猪的游戏程序猿,1,2016-11-11 17:08:30,5,3,我猜到了川普可能当选。也下注了。。看见了一跃而起，正在等一柱擎天呢。。。全部吐回去了。。。
Aurora,people,微信公众号：研金必琴,0,2016-11-10 17:44:44,6,0,以下观点仅个人看法，仅供参考，请勿抠字眼哈~单从技术面来看，多头获利了结，黄金开始回调，回调大家都是能够理解的，那么到底是什么力量压制黄金一夜回到解放前呢？特朗普未确定当选前，票数高于希拉里时，由于不确定因素太高，避险买盘支撑黄金不断冲高，特朗普当选后，一切已成定局，市场关注的更多是特朗普当总统后的balabala.. 且在特朗普发表胜选演讲后，美元完全收复失地。特别在美盘开盘后，市场情绪发生逆转，投资者将关注的焦点从美国总统大选转移到美联储的货币政策前景。这支撑美元开始逆转，避险情绪迅速消退黄金开始连连跳水。再就是，长远来看，由于特朗普要求更多企业将生产工厂迁回美国，为美国公民增加更多的劳动就业岗位（利空黄金白银） ，而美国税高地贵，因此生产出来的商品价格会大概率提高，美国出口商品的价格大幅提高了，必然影响会延伸到大宗商品价格。特朗普是重商品、轻利率的极端代表者，他太倾向于个人主义，极有可能会受到民主党的压迫，这也是特朗普当选总统后不大会一帆风顺的原因。再就是特朗普在竞选总统时曾声称，将要撤换美联储主席耶伦，支持低利率，反对强势美元上号美国贸易。他想换掉耶伦，这点必须注意，然而耶伦和希拉里的风格是类似的，都是属于政治经营性人物，由此可以推出，特朗普可能正在试图削弱美国政权由精英人群掌握权利的力量。SO，美指就这么走着了..总得来说，短期内最大的影响就是美联储年底加息事宜。在美国大选唱票期间，美联储12月份加息概率一度近乎腰斩到42%，不过目前又回到80%上方。周四（今晚）美盘时段，美国周度初请失业金人数和消费者信心数据将相继公布。此外，美联储还将有官员发表讲话。可以关注一下。好久没回答了，思路有点凌乱，希望对你有帮助把。
Cornbeef,people,Trump 2020! MAGA!,-1,2016-11-11 23:13:02,1,0,"Update: 今天收盘前重新杀回gdx，$20.92------------------------------------------------选举前一天买了一些gdx, 第二天确实是高开，但明显买盘不足，很快就清掉了，虽然没卖在最高点。现在看，幸好跑得快，不过本来也不是太多。这次市场走势完完全全出乎意料。 我估计WS也没准备好，也没想到能老唐上台，对他们也是措手不及，必须先把市场拉起来才能脱身。"
Jerry Ye,people,WEB开发,1,2016-11-12 07:51:06,7,5,从市场的反应看以前的分析师全错了，纽约时报错的是最离谱的。市场期待一个伟大的总统，在选举中的时候，选情焦灼，黄金大涨，担心的不是川普，不是川普，不是川普！而是希拉里，你有没有发现当希拉里的票越来越接近川普的时候正是黄金涨的最激烈的时候，美股跌的最狠的时刻，所以结论是川普是市场预期默认的总统，希拉里才是黑天鹅，嘴上说不要，钱可是很老实的，如果你按这个思路去买美股还有黄金外汇的话，本届大选你就会成为大赢家。以上内容纯属事后分析
