name,type,headline,gender,created_time,vote,comment,content
Dieci Anni,people,从统计上讲，关注我比不关注的收益更多。,1,2018-04-05 16:01:43,99,13,对于这次贸易战，我持有谨慎而乐观的态度。 所谓贸易战的“输赢”就是哪方先让步而已。而在现在这种条件下，美方让步的可能性大得多。 很多人会觉得， 美国人家大业大，所以输得起。 恰恰相反，正是因为美国人家大业大，所以他们才更加输不起。 知乎上众多小布尔乔亚已经把这一点表现的淋漓尽致。 买房会降低生活质量，所以不买房。 生孩子会降低生活质量，所以我不生孩子，更别提二胎。 国内生活质量差，所以我要移民。 越是这种有些小钱但是又无法跨越阶级的人，就越会注重自己的“生活质量”。美国这种人的数量，比中国这种人的数量，要多得多。 别看贵网站吹的天花乱坠，在现实生活中， 非一线城市年收入能到十万的， 可能连总人口1%都不到。 “生活质量”这个词对于相当一部分人来说是奢侈品。 在往上倒几代人，他们对这个看的就更淡了。 难道现在的十八亿亩耕地能饿死人吗？中国人还在浴血奋战的抗日的时候，美国人在看猫和老鼠。 中国人在自然灾害的时候，美国人在喝果珍。 中国人还在换粮票的时候，美国人开始使用家庭电脑。 长安街还没有几辆车的时候，纽约停车位已经不好找了。 中国的很多老一代还保留着“艰苦生活”的作风， 这种作风在美国就从未兴起过。 要是论国内社会的倒退，无非就是回到九十年代，洗衣机就算“大件”的年代，谁不是从那时候过来的，再差能差到哪里去？买不起苹果就买华为小米，买不起西门子就买海尔美的， 世界最大工业国难道生产一些生活必需品很困难吗？但是相反，要是美国人回到买不起车或者加不起油的时代，他们知道怎么活吗？美国的中产阶级会叫唤成什么样子？我只针对不作死的普通国人，卖房借钱上二十倍杠杆做多空期货的，U R on ur own. 
鲁晓芙,people,公众号：鲁晓芙看欧洲,1,2018-04-05 13:34:01,50,12,中美贸易战开打？看看三国周瑜怎么说？3月23日，美国特朗普宣布对于中国600亿美元商品加征关税，一时间，舆论大哗，对于中国经济的冲击，忧心忡忡。4月2日，中国开始反击，对于美国的大豆、汽车、飞机等600亿美元商品对等加征关税。中国如何应对，中国会赢得这场贸易战么？太阳底下没有新鲜事。可以从三国时代的赤壁之战中，寻找答案。公元208年，曹操率领百万大军，进逼赤壁，吴国大臣基本上都吓破了胆，主张投降；只有周瑜不同意，他这么说：周瑜说：“不对。曹操虽然假藉汉朝丞相的名义，其实是汉朝的奸贼。将军您以神勇英武的雄才，又依仗父兄的功业，割据江束，土地方圆几千里，军队精良，物资充足，英雄乐意报效，正应当横行天下，为汉朝除去奸邪恶贼。何况曹操亲自来送死，怎么能去迎接他呢?特朗普名义上是美国总统，实际上美国的“半个总统”，从选举中的种种出格举动，到美国民众、社会、阶级、地域的全面撕裂，特朗普动用的美国资源，可以看为半个美国的资源。美国大公司在投资中国过程中享受了好处，齐声反对特朗普的杀敌一千自损八百的政策；特朗普的基本盘是美国铁锈地带的下岗工人和“红脖子”老农民，就算是中国出口到美国的商品减少了，对于铁锈地带的工业和就业也没有起色，特朗普打嘴炮巩固基本盘，提高美国中期选举的信心。中国要做出防治措施，第一个就是美国的大豆，就是要打你特朗普的基本盘。让你“偷鸡不成蚀把米”。中国的经济规模，相当于美国的一半还多一点点，中国的社会制度可以保证集中全国经济力量，来和美国做一个抗争。第一波一定要顶住，输人不输仗势。美国是世界上第一大国，但是美国的经济在世界经济的相对规模，是缓慢下降的，美国之外，亚洲、非洲等的经济在世界经济相对规模缓慢上升，中国的一带一路具有前瞻性，也取得了一定效果。中国的消费升级，使得中国成为规模庞大的市场，内需逐年增加，中国的消费市场总体规模，已经超过美国消费市场。中国政府之前也在为贸易战积极做准备，并不是仓促应战。救助贫困人口，提高个人所得税的起征点，这些都是巩固人心、安抚群众的提前准备。周瑜说：请让我为将军您筹划此事：如今假使北方已经安定，曹操没有后顾之忧，能够旷日持久前来争夺疆域，又能够同我们在船舰上较量胜负吗?如今北方并没有安定。美国国内社会族群撕裂严重，大企业和铁锈地带撕裂严重，美国政坛撕裂严重，特朗普屁股后面着火，“通俄门”越演越烈。俗话说，攘外必先安内，特朗普没有统一国内认识，贸然对中发动贸易战，国内政坛和经济界随后反弹，甚至反噬，都会给特朗普带来压力。周瑜说：加上马超、韩遂还在潼关以西，是曹操的后患;国际上，特朗普没有解决好中东问题，中东随时爆发大战，叙利亚战场，美国、欧洲、土耳其、俄罗斯士兵面面相对，随时擦枪走火；特朗普亲自激发的巴以冲突，也随时爆发；目前中东局势是大家抢先布局，但是谁都不敢动，美国也不敢贸然打第一枪。叙利亚的ISIS已经被消灭，美国大规模战争在道义上站不住脚；在叙利亚死人，哪怕死一个美国军人，更是不能被美国国内民众所接受。中国在中东问题上，主动出击，四两拨千斤，支持巴勒斯坦，进一步支持俄罗斯，让中东之火烧的更猛烈。就像孙权联合刘备一样，中国和俄罗斯将进入新一轮深层次的结盟。周瑜说：而曹操舍弃鞍马，依仗舟船，和吴越的人争斗较量，这并不是中原人的长处;严格说，美国可以打赢对于中国的全面经济战争，但是，美国打不赢对于中国的贸易战。为何？美国现在已经不是实业立国的国家，产业空心化严重，而真正对于中国有竞争力的高科技产品，又自我限制不对中国增加出口。美国的优势产业，例如农产品、苹果手机、汽车、波音飞机等，中国也可以定向打击。美国最拿手、最有优势的是——金融战，真正打垮日本的广场协议，是以逼迫日本汇率升值取得胜利的。而金融战并不符合美国的利益，美国不会冒着美元崩盘的危险同中国打金融战，前几年中国通过各种措施，进行汇率保卫战，证明了中国的举国体制，对于保卫汇率的优势。周瑜说：并且现在天气严寒，战马没有草料;驱使中原的士兵长途跋涉江湖之间，不服水土，必定生出疾病。很多人认为，贸易战会让中国大规模失业，中国政局不稳定，中国社会全面崩盘。如果中国真的出现了全面经济危机，真的顶不住的时候，中国也可以转嫁和输出危机。中国在南海黄岩岛上部署军事设施，一举完成南海“铁三角”的军事基地建设。另外，打台湾就是一个选项，可以转移国内经济困难，转移国内人民情绪，一举突破美国第一岛链，动摇美国在亚洲的基石，一举多得，为什么不尝试一下呢？如果美国的贸易战收到了效果，中国经济出现了困难，中国一定会打台湾，先拿台湾“祭旗”。周瑜说：这四种情况，是用兵的禁忌，而曹操都贸然为之。将军您擒获曹操，应该就在今天。周瑜我请求得到精兵三万人，进军驻守夏口，保证为将军您打败曹操。”从以上情况来看，如果不是特朗普虚张声势，雷声大雨点小，那么双方都有很多缺点可供利用，可供攻伐，并不存在特朗普说的“贸易战轻而易举的赢”。中国需要加强以下4点，来应对特朗普的疯狂：1、你打我，我不怕。 需要多加宣传，美国的优劣势，美国以外市场占据中国出口的比例，一带一路的成果，中国国内内需市场的庞大和成长，民众中不出现恐慌心理。2、你打我，我打你。 特朗普宣布对中国贸易战开战，我们已经立即、毫不迟疑宣布反制措施，对于美国农产品大豆、汽车、波音飞机等特朗普的“乡巴佬”基本盘进行反击，对于美国大公司进行恐吓，进一步推动他们反对特朗普的政策；3、你打你的，我打我的。你在商品关税上打贸易战，我不恋战；我宣布支持巴勒斯坦，支持叙利亚，巩固俄罗斯合作，让叙利亚战火、巴以冲突越演越烈；军方鹰派发表言论，如果中美合作的基础破裂了，中国将启动攻打台湾，打破美国第一岛链。你大嘴莽撞，我有军方鹰派更加大嘴莽撞。你恐吓我，我也恐吓你。你想定点打击，我要让你全面开花。4、我也打你，我也给糖。中国适当开放国内一些封闭市场和行业，开放国内金融市场，这些本来就是我们下一步对外开放的举措，扩大中美之间的利益基础，加大合作的力量，也是加大反制和牵制特朗普的力量。另外一个时间巧合是，特朗普宣布3月23日对于中国启动贸易战，3天之后，中国版原油期货将于2018年3月26日在上海期货交易所子公司上海国际能源交易中心挂牌交易。石油货币是美国全球霸业的基石，这是动了美国的奶酪。你说特朗普的时间，好巧合。中国需要评估一下，以目前中国的全球经济能力、全球军事能力，能否跟美国进行全球全面争霸？如果自认不能，建议这个人民币石油期货悄悄撤下。等到中国和美国一样，在全球有几十个军事基地以后，全球有十多个航空母舰游弋的时候，再上马人民币石油期货也不迟。心急吃不了热豆腐。孙权听了周瑜的说话，特别高兴：“曹操老贼想废掉汉室自立为皇帝已很久了，只是顾忌二袁、吕布、刘表和孤罢了。如今几位雄杰已经灭亡，只有孤还在，孤与老贼，势不两立。您说应当抗击，和孤的心意非常相合，这是上天把您授予给我啊。”特朗普想对中国进行贸易战，进行战略讹诈，已经很久了，只是顾忌中国的经济实力和中美之间的千丝万缕的联系罢了。如今，俄罗斯已经严重衰落了，欧盟刚刚走出欧债危机，只有中国不断强大，已经成为第二大经济国家，再也装不成兔子了。中国和美国势不两立，美国已经正式把中国作为全球竞争对手，对于美国的贸易战，政府应当抗击，和民众的心意非常相合，中国需要更加自信，也更加灵活，更加策略的面对以后的中美对抗。特朗普的错误判断、盲目自大、鲁莽行事，这是上天把特朗普授予中国啊。
Spartan,people,two B No.1,-1,2018-04-02 06:57:46,8,12,"4月5日更新只是开始,128项制裁表明自己的态度和立场我们如果继续对美国农产品加征关税,那么我国肉油等农产品价格上涨是必然,但美国农业遭受的打击不止这些,说不定到时候进口肉奶价格反而会降低到一定水平但我认为这只是第一步,用来给美帝造成内忧的第二步就是外患弱化他的石油美元体系第三步我瞎猜应该就是把美元踢出游乐场早自习我还是少码字吧而且现在的剧情我认为应该和这个很像。。现在的剧情已经发展到了这个 打的就是声势之仗寇可往,我亦可往https://www.zhihu.com/video/964037091361091584来自b站up约谈人参链接http://www.bilibili.com/video/av13427140?share_medium=android&share_source=copy_link&bbid=CD53803C-F305-4E4D-B1AC-0B8D5850442812231infoc&ts=1522624197900附清单"
兜兜里无糖糖,people,普通职员,0,2018-04-02 14:26:33,79,17,谢邀！因为家里有老人住院，最近忙得焦头烂额，上班，医院两头爬，真是累啊！所以，对大家的提问不能一一作答，很是抱歉！谢谢大家的支持！首先，我不是搞国际贸易的，大家不要再问我相关的那么深奥的问题了。我之前专业虽是经济管理，但毕业后，基本上在一家国企做办公室任干事，后又跳槽到沿海一线城市搞商业管理。但个人比较关心国家时政和军事，是别人眼里的“女汉子”吧，嘿嘿。言归正传，四月二号中国经济上的反击可以是说很精彩！中国政府显示出了中国不惜一战的决心和勇气！而且，之后，中国政府各级官员及相关主流媒体都释放出了中国人民真正的坚强意志：绝不妥协，坚决反制！我们不主动挑起贸易战，也不害怕贸易战！一场中美博弈的大幕徐徐地拉开了！双方政治、经济和军事方面的各个主角都陆续登场！这必将是一场长久的、比拼耐力、毅力和智力的全面较量！值得欣喜的是我们有足够坚强和智慧的最高领导层，我们有钢铁般意志的军队。重要的是我们中国市场大，所以在一定程度上能够抗衡压力。下面先分析中美各自的核心问题在哪里？中美各自的问题是产业空心化和债务问题，对于债务问题来说，中美各自的表现方式不一样，中国的债务主体依次是企业债、地方债、国债及家庭个人债务，企业债特别是国企债务占比最高，其次是地方债和中央政府债务、家庭与个人债务，从债务结构来看，中国企业债务问题最严重而家庭与个人债务占比轻，这说明两个问题，一是中国企业艰难，这不难理解中国股市为何熊不可闻，二是说明中国贫富差距相对要好一点。美国债务恰恰相反，家庭与个人债务最大，其次是中史政府与地方政府债务，美国企业债务相对来说最轻，这也说明两个问题，一是美国企业和老板们日子还是比较好过的，在过去十年美股大幅上涨，屡创历史新高，这个在美国股市上已经表现出来了，二是美国贫富差距相对来说更严重。再说说美国的问题。表面上看，美国的问题与中国相似，即债务问题，本质上来看，美国的问题是产业空心化问题，产业链条和基础工业缺失的问题，美国除了高科技与军事工业，中低端制造产业与消费工业几乎全部靠进口，而美国这些产业在过去三十年几乎全部转移至中国，这是中国改革开放30多年来最大的成就，同时也是美国对华战略的最大失误，不知不觉中，美国人被勤劳的中国人养成懒汉，不知不觉中，中国工业取代美国工业成为世界第一，从这一点看，中国税源更充足，更有能力解决债务问题。美国靠服务业和高科技虽然能吸引世界精英，但是其中低端产业链条与基础工业不足，既限制了就业也制约了资本的流入，美元加息也好，美联储缩表也好，只有傻瓜才相信，资本去接盘屡创历史新高的美国股市，美国降税，说明进入美国资本需要一个载体，即美国的再工业化，资本与企业同时来到美国，这象二十年前中国的“招商引资”，都是用廉价的土地、税收和资源要素来吸引企业，这个才是美国加息、缩表、降税这个组合拳的目的。而我们中国的问题。根源上是企业债务问题，特别是国企与制造业的债务问题，在过去的几年中，中国经济去库存、产能出清及通过环保手段打压煤炭有色化工私企，就是为了国企垄断市场，通过涨价和产能出清来解决企业债务问题，通过环保整死私企，使其失去到美国投资的资源与资金，成为中美过招的牺牲品。如果说中国的问题是去产能的问题，那么美国的问题是产能不足。中国去产能，同时又不能让产能去了美国，这是土共需要思考的。这场贸易战，谁胜谁负？现在下结论还为时尚早。毕竟，中国有十几亿勤劳智慧与自强不息的人民，这是美国不具备的，这才是中国的核心竞争力。愿天佑中华吧！因为我对这片土地也爱得深沉！
Boris,people,电子工程师,-1,2018-04-06 13:50:31,3,2,美国是工业化很早很彻底的国家，但是工业经济强大的另一面是脆弱，工业维持不易，也就是聚难散易，与苏联冷战实际上美国是受了内伤，贸易不平衡和产业畸形不过是内伤的具体表现而已。在多年产业博弈之后，美国能对外有贸易优势的基本上是其产业的重资产部分，是美国的优势产业部分，对这个部分加关税，把美国赶出中国市场对美国产业社会的冲击比中国更大(所谓产业的成熟恰恰是深度整合后更不能抗风险，现代工业所谓的高效率的背后是大幅度削弱了产业的抗风险抗波动能力和产业对于计划和商业环境稳定的高度依赖)。对于中国企业而言，是会有冲击，其实已经看到这个冲击了，不过对于国内产业而言，这只不过是“月儿弯弯照九州，几家欢乐几家愁”而已。对于商人而言，这不过又是一波天象带动下的商业机会。=======================================================可以设置一个机构，专门处理国外知识产权投诉，如果的确有侵权，可以协调赔偿事宜。反正以往的技术纠纷通过合适的机制处理。对于这类问题，一堵一疏就可以解决了。对于强权硬来，坚决堵住；对于愿意协商解决的，就按照套路协商解决掉。======================================================现在看来贸易战是打定了，特朗普昨天的电视访谈清晰表明他的态度，这场贸易战是决定美国国运之战，只有压制中国才能有美国再次强大的未来，他要带领美国人民冲过短暂痛苦的险滩(也就是说美国愿意面对短暂的损失)。当然，这个痛苦是否是短暂的，没人知道。美国真正的问题是其产业已经完全基于全球贸易分工进行了调整，其教育和社会公众的心态已经完全不是从事大规模企业生产的心态，让他们回到过去显然困难重重；而且特朗普一人之见能否成为全美的共识也是一个未知数，在美国社会已经成型的复杂利益格局面前，任何社会变革不可能基于假设推动，没有广泛支持的特朗普恐怕很难让美国走他想要的路。
三言两语,people,扯淡专业户,-1,2018-04-04 10:51:14,9,3,谢邀，显示了双方贸易战风格不一样。美国打的是国家，打的是国力。中国打的是个人，打的是政治。由于双方体制不同，这并不是一场公平的贸易战。美国未战先败，毕竟击败个人比击败国家容易多了。
最帅的潜水者,people,,-1,2018-04-02 10:51:48,15,4,中國不想打貿易戰，但是美帝強開的我們也不怕，懟他就是了這隻是一個小小的反擊，今天我跳預言家，七月前美國人民不堪商品價格大漲，遊街抗議，數日美帝必然提出談判，現在是北京時間 2018.4.2  10:47还是太小瞧米国了啊……
读书P记,people,产品思维源于生活，而融于生活，希望在这里收获到这个完整过程。,1,2018-11-19 14:38:39,0,0,贸易战比拼的是耐力，有三点决定了中国耐力更好。任何战争，双方都会有损失，都是输家（至少两国人民），目的是通过征服对方，制定有利于自己的新规则。美国把中国打趴下了，他就得到话语权； 中国坚持下来，没有被击溃，美国就无法阻止中国的崛起。所以我们要讨论的不是损失，而是我们能否撑下来。从贸易战开打起，我就相信中国不会屈服，可能会谈，但不可能认怂，一定比美国撑得久。一是体制决定了，中国人民的抗压能力必然比美国强，压力只会让内部更团结，选择少有少的优势，不多说都懂。而美国中期选举，各种压力会集中显现。二是我们的牌集中在中低端制造业，美国的牌都是高新科技产业。但显然中低产业，让美国民众的感知更直观。如果我们老百姓感觉到了，不是因为贸易战，是因为第三条。三是能控制住钱。任何时候，钱是最能掀起风浪的东西，不让外汇大规模流出，冻结住楼市不交易，风险已然有限。只是大手大脚惯了，猛然收紧，各行业必然都会感到萧条，但这才是长态呀，钱都像泡沫期那么好赚，谁还会花心思谋变呢。特朗普最大的失误，是都已经决定用长久信誉换取短期的利益了，放弃长久以来，美国打造的普世价值，为什么还要顶着耿直BOY的人设？居然对盟友与对手一视同仁，同时开战，可以，这很特朗普。“美国优先”也是醉了，国际关系谁不是以本国利益优先？在联合国大会上这么喊口号，除了孤立自己没有任何好处，找到和盟友的共同利益，遏制对手，才是王道呀（比白宫聪明系列）。其实有这么大个漏洞，破局不要太简单。老大退群，小弟们就相互暧昧呀，不管有没有实际成果，先互动起来，当然老二不能动，老二到处走，说明他先慌了，自己要稳坐钓鱼台，引诱其他小弟来。可以学学阿里，消费者在手，节日我有，创几个商业领域的首界XX会，让点利，把订单挤到一块，一块繁荣和谐呀。几个来回下来，特朗普不慌，民众会慌，民众不慌，共和党也会假装慌。
吴正方,people,数学狗,-1,2018-04-04 17:35:32,5,1,反正作为p民，做到少吃豆油多吃花生油，多吃水产品就行了，一切跟党走呗。还有想扒一个废物，想问问什么来历http://www.ftchinese.com/story/001076978?page=rest
贪玩,people,,1,2018-04-04 15:09:00,4,1,体制优势，体制自信，这时候可以看到了
