name,type,headline,gender,created_time,vote,comment,content
王希,people,IIE 密码学，喜欢数学,1,2019-06-03 11:59:15,5040,73,"1. 这件事说明了 IEEE 有权进行这样的限制，他们也可以为了政治原因做出这样的限制；2. IEEE 撤销限制的声明里没有任何致歉的意思。也就是说，他们认为他们所做的没有任何问题；3. 撤销声明的原因是美国政府，也就是说中国学者的抗议他们根本不 care, 只是因为美国政府并没有想通过这种方式限制。说白了，这只是他们揣测美国政府的意图揣测错了而已。总而言之，我们之前对这件事的背后意义的解读都还存在，除了华为暂时性的没有受到影响以外，没有任何问题被解决。"
闻武,people,努力中……,1,2019-06-03 12:56:52,601,28,怎么看待？用地沟油的紫光阁大饭店说得好～一个字：呵。++++++++++250赞留念+++++++++++到底是被某个大佬翻牌了？还是大家都喜欢紫光阁大酒店的地沟油？（｡ò ∀ ó｡）一天居然搞了200赞！
洋耗子,people,,1,2019-06-03 12:24:53,3491,176,ieee 的这波操作，终于让我知道为什么欧美国家的学术圈都崇尚政治中立了——因为这些学术大牛们玩政治真的不行啊！！！就好像这次，要么在一开始就坚决顶住，坚决不执行禁令。实在不行，也可以用某些幕后渠道把这道禁令公开，以获得更广泛的支持，树立自己刚正不阿的形象。甚至如果有一两个大佬像张海霞那样，直接把禁令公开，然后宣布辞职，那就更能激起整个学术圈的同仇敌忾了——而这些大佬本人，实话说，有了这种人气和威望，再加上自己自身的学术水平，找个吃香喝辣的地方安心搞学术，还不是易如反掌？如果顶不住，跟着禁，也说得过去：只要一口要死是法律禁令不可违抗，虽然面子上有点难看，但至少能在一边站稳脚跟。如果操作好一点的话，还可以把锅甩给川普（事实上学术圈的大多数属于左派，对川普并没有多少好感），自己落得一个无辜可怜的受气小媳妇形象。现在这么来回两头跳，是最惨的：两边看起来都是不可靠的墙头草。以为收回禁令解除限制，就可以当做无事发生？我真的有点怀疑他们是不是搞技术太多了，思维定势了，以为什么事都可以来一条revert/reset/rollback/undo就能无损撤回的？太匪夷所思了。
鲁生,people,,1,2019-06-03 10:09:45,4726,61,特朗普：干华为！商务部：干华为！ieee：干！华为：干你屁事。ccf：ieee傻逼！各路学者：傻逼！国内有关学会：傻逼，以后不跟你玩了。ieee：不管我事啊，都是商务部让我干的。你说是不商务部？商务部：不是，我没有让你干。ieee：。。。围观群众：傻逼。
江北烟雨人,people,烟水秋平岸，舟子醉如愁,1,2019-06-04 07:47:26,338,5,上周，IEEE宣布限制华为的编辑和同行评审活动后，中国的知识分子立刻展开反击，展现了难得的气节和脊梁。先是张海霞等学界知名教授第一时间宣布退出IEEE旗下期刊编委会，中国各大学会也紧接着宣布终止合作关系，中国政府也表明了自己的态度。重压之下，不到两天，IEEE突然宣布“法律风险得以解除”？你说你个学术组织，搞政治本就不行。为了“躲避风险”，连学术中立都可以放弃。这下可好，居然认怂了，直接坐实了IEEE学术政治化。您跟谁学不行，跟特朗普学朝令夕改干什么？撤销禁令的事非常微妙。IEEE的最新声明中，我还是读出了美国学术界的傲慢，或者说是美国学术机构背后的真正势力——美国政府的高傲、无礼。IEEE声明中没有任何致歉，这说明IEEE只是暂时放弃了限制华为的权力，而且是完全合法合规，无可指摘的权力。言外之意是，今后还可以出于其他政治原因限制、封杀华为等中国科技企业，乃至科研院所和学者。请注意：IEEE之所以发布撤销声明，原因并非是中国学界的强烈抗议、反制，而是美国政府“并未打算通过学术渠道对中国施压”。当然，这话您听听就行，别当真。这就揭示了两个问题。首先，中国在电气、电子领域的研究成果还没有达到世界领先的水平，引领性的工作数量不多，关键技术、优秀人才大多数在美方手中，无形中赋予了美国学界脱离中国也可以蓬勃发展，引领世界技术潮流的迷之信心。无疑需要我国学者不断进步，弥补差距。同时，这也彻底坐实了IEEE是美国政府的舔狗。“天意从来高难问”，只不过这一次IEEE问错了，反而暴露了自己与美国政府的勾当，给中国留下了笑柄，并引起了美国政府的不满。一言以蔽之，问题还是那个问题，矛盾还是那个矛盾，只是影响被暂时延后了。所以还不值得高兴太早。下流则突破底线，文明称“世界灯塔”。中国除了自强，建立属于自己的健康学术生态和优质学术期刊，别无他法。（评论区建议，已对表意不清的部分进行修改）
MasterWiggle,people,"Knowledge, Self-discipline, Force",1,2019-06-03 14:04:35,688,48,背后斗争非常激烈，说明各位大佬闹起来也不是省油的灯。这件事充分证明了中国和华人学者工程师在IEEE的影响力，而且每年都在进一步扩大。IEEE其实是一个很好的平台，就像WTO一样，值得好好的经营和利用，而不是唾弃。这次事件很多其他国家的IEEE会员也支持了华为，按照毛主席的思想，这种宣传阵地你不占领敌人就会占领，更何况已经取得了一定胜利。真要另起炉灶，很难在短时间内取代IEEE的规模和地位。就像任总说的，不要盲目怼美国公司，很多公司表面喊口号厉害，私下还在和华为商讨对策，毕竟谁TM会和钱过不去，除了川普。。。
波利,people,世界那么大，跟我有什么关系?,1,2019-06-03 15:25:27,188,11,优秀的地下党员川建国同志，不断用他高超的手段，狠狠打击国内的自由派公知和美分。不断透支美帝的信用，为中国建立国际信誉做出了不可磨灭的贡献。期待连任成功，下届干完，中国人民的老朋友这个称号等着你。赴美要审核社交账号，给出的其中一个理由太蛋疼了。这地下党当得也太明目张胆了。中国官方都没这样歧视这群舔狗的，美帝太过分了。详情https://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=2666254959&idx=2&sn=c21637e626cb8069bafdde26c99df98e&chksm=bdb3bb2c8ac4323a2e3f9a39fbf3be69da834baf54898588fb28a41b6b9d970840980377e297&xtrack=1&scene=0&subscene=131&clicktime=1559546757&ascene=7&devicetype=android-28&version=2700043b&nettype=3gnet&abtest_cookie=BQABAAoACwASABMAFQAHACOXHgBWmR4Aw5keANyZHgD2mR4AA5oeAA2aHgAAAA%3D%3D&lang=zh_CN&pass_ticket=ROvwiQ9S8zCbCUznT0ZRG4QTmqGkYmxw3wdzR0H2f16nYk5d2uIX%2FmSTK3cPzz1b&wx_header=1
Monica Ruan,people,,0,2019-06-03 11:11:27,1148,44,----更新了一个榜单----这个事情我写了个很长的记实文（7800字，62处原始或者权威引用）……挖了很多目前没有媒体报道的料，主要是5月19日-5月26日这段时间的内部讨论。电气电子工程师学会（IEEE）禁止华为参与学术编辑和审稿，可能会有什么影响？我的结论就是，IEEE内部讨论了13天（5月16-5月29日）后在美国商务部「90天临时许可期间」半遮半掩的下了个自以为「谨慎」的禁令，还不如在被爆料后中国学术圈集体施压3天；如果中国青年报的报道属实，那其实就是0.5天施压，IEEE主席就知错请求美国政府商务部的解释和许可了（花了3天得到回复，包含周末）[1]。团结就是力量。正义必胜（手动狗头）。PS：至于有些护短喊委屈的人，我就不吐槽凭什么同行评议全世界科学家的投稿、审稿人一大半不是美国人的情况下，一份稿子究竟有没有25%的「美国含量」，居然在商量13天之后得出一个禁止审稿的决定了。根据王飞跃教授出示的邮件信息显示，美东时间5月29日IEEE主席就获知了中国学术圈激烈抗议的消息，并要求法务部门对美国政府商务部提出申请和对「出口管制条例」的澄清[1]，美东时间6月2日晚IEEE收到了商务部回复并发布了解除「华为审稿禁令」的声明。答主认为，第一时间发言的学者都具有非凡的学术修养和职业道德担当，以及在当前复杂国际形势下坚持正义与公平的勇气；他们不惜与在国内科研评价体系以及在电子领域学界中举足轻重的IEEE翻脸，不计较个人得失 （给大家做一个对比，自从华为被列入实体清单以来，国内没有一家高科技民营企业站出来声援华为）。希望大家记住这些名字（欢迎大家报考~）：南京大学人工智能学院院长、计算机系教授 周志华[2] （实验室主页）杜克大学电子工程系教授 陈怡然[3]（实验室主页）清华大学计算机科学与技术系副教授 刘弈群[4]（实验室主页）北京大学信息科学技术学院教授 张海霞[5] （实验室主页）张海霞教授的发言得到了海外许多主流媒体的报道，如世界著名媒体BBC[6]、路透社[7]、顶级学术刊物《Science》[8]、主流时尚科技杂志《Telegraph》[9]北京大学信息科学技术学院教授 黄铁军[10]（实验室主页）华中科技大学计算机学院教授 金海[10]（实验室主页）中科院计算机研究员 包云岗[10]（实验室主页）西安交通大学计算机学院教授 龚怡宏[10] （个人简介页面）中国计算机学会[11]中国自动化学会[12]中国电子学会、中国通信学会、中国人工智能学会、中国电机工程学会、中国机械工程学会、中国电工技术学会、中国仪器仪表学会、中国光学学会、中国汽车工程学会、中国生物医学工程学会[13]最后，复杂系统管理与控制国家重点实验室 王飞跃 研究员 （个人简介页面）虽然没有第一时间对IEEE进行谴责，但他作为旗下期刊主编并没有收到「邮件」，从而产生质疑，反复对事情进行询问核实，以及多次致信有关同事、IEEE有关人员要求处理、答复[14][15][1]。他的求真精神也非常值得称道。 
惊秋一叶,people,忝列杏坛,1,2019-06-03 13:19:56,1695,95,A:他吐了！众:好恶心！A:他把吐的东西吃回去了！众:呕……
贱贱,people,Top3成就：知乎网黄，行走的负能量，科研泥石流,1,2019-06-03 11:27:31,1540,68,太面了...真的是太面了...本来我觉得IEEE对华为的限制可能都算不上什么学术政治化，结果几个学者一闹，国家一施压，你认怂了，这不就做实了学术政治化嘛，之前的出发点看起来还蛮伟光正：“我们此前限制性的做法完全是为了保护我们的志愿者和会员，规避相关的法律风险。”结果这边6月2号强烈呼吁，那边6月3号立马“法律风险得以解除”。http://www.cast.org.cn/art/2019/6/2/art_79_96270.htmlhttp://cn.ieee.org/show.php?a=720唉...我原以为他会死磕到底的，符合他的按法办事，结果这么看来...学术政治化石锤了...毕竟这法改得太快了...不先走个流程什么的？>>>>>>推荐：全国普通高校交流、咨询、讨论群组>>>>>>五分类供浏览&收藏硬货······软货······飚车······观点······其他六专栏供投稿&订阅『科研』···『小组』···『论文』『点子』···『科普』···『教育』
