name,type,headline,gender,created_time,vote,comment,content
叶孤城,people,大家好,-1,2018-04-04 21:25:17,21,0,我终于知道为什么这消息是下午三点钟之后发出来的了。因为中国股市关门了。怕三点钟之前发出来股市大跌。留给美国跌去吧。中国清明节赌场关门。我真希望节后涨起来。还有，我昨天看到了这个。哈萨克斯坦驻华大使馆的微博。哈萨克斯坦的大豆是去年才获准进入中国市场的。
趋势小白,people,敬畏市场，豁达人生,1,2018-04-04 17:26:32,15,4,第一反应是药丸。大豆、牛肉、汽车、飞机，牌一下子全打出来了。但仔细阅读和分析一下，说贸易战全面爆发还为时过早。其一：这次是列清单，还没确定执行时间。十八般武器都已经架好了，先吼两嗓子，老子不是好惹的，但还没决定直接开干。对比一下4月2日中国对美国128项进口商品加征关税的新闻稿。4月2日的对美国水果、猪肉及制品的中止关税减让义务，是自2018年4月2日起实施。也就是即刻生效。而这次是“最终措施及生效时间将另行公告”。其二：中国目前的贸易战主要还是对美国具体行动的一一回应，且都把握好了分寸，没有打算直接升级事态。4月2日的反击回应的是美国挑起的钢铝贸易战即232措施。首先美国对盟国签了豁免，明显的是针对中国，而且该措施在3月23日起已经生效。不过考虑到钢铝在中美贸易中占比较小，中国在4月2日对应的用对水果和猪肉制品来回应，这些品种同样金额不大，而且也是立即生效。至于为什么要拖到4月2日才回应，大家都懂的，25-28日的会面是一个重要的因素。同样的，也是有了伟大会面的基础，这次我国的反应就快得多了。美国当地时间3日，美国贸易代表办公室公布依据“301调查”结果，公布了拟加征关税的中国商品清单。清单涉及航空航天、信息和通信技术、机器人和机械等行业，包含大约1300个独立关税项目，总价值约500亿美元。注意，这也不是立即生效。我国不到一天就有了回应，也就是这个问题的由来。美国301调查的公布的细则一如之前预料，针对的都是中国产业升级的领域，也就是中国制造2025规划的重点行业。所以我们这次的回应也必须有针对性，大豆、牛肉、汽车、飞机都是美国出口中国的重要商品，涉及的贸易总金额也是在500亿美元左右，也没有马上执行。整体上是一一对应，不让步也不冒失，没毛病。其三：当下的时间节点还有很多问题没落实，贸易战不会马上升级。3月28日，美国贸易代表莱特希泽还说对中国加征关税的公示时间会延长到60天，而且表示中美有可能通过谈判避免此次关税大战。美国时间4月3日的301调查细则的公布其实是之前就已经确定的，因为特朗普在３月２２日签署备忘录发动对华“３０１调查”，根据该备忘录，美国贸易代表办公室将在１５天内（即４月６日前）公布提议加征关税的中国商品清单。所以美国公布清单并没有任何意外的地方，而我国的霸气回应也很正常，这都是双方外交层面的正常举动。还是回到我之前的分析，贸易战当下的核心节点时间还是那谁和特胖普的会面，原定是在5月前，现在具体时间还没出来。但是那谁已经先到中国来了，说实话那国家虽然流氓，但外交手段确实是一流，两边靠，两头吃，尽最程度争取自己的利益。除了这个问题之外，还有一个核心原则，我始终认为是此次分析贸易战的核心：中国是不愿意开打贸易战的。大家别看新闻，再怎么热血、再怎么不怕事，都还是要看本质，外交行为不是哗众取宠，根本还是为了维护国家利益，两权相害取其轻。这个我懒得展开了，其实原因也很简单，中国对美国的贸易顺差是占整体贸易顺差的绝对大头，超过60%，而出口是中国经济发展的三驾马车之一，再怎么不爽，该让步还是要让步。以上。中美的贸易战下一步演变的时机依然还没有到来。而对应的股市也好、商品也好，在下一波趋势明确之前，不会走出单边行情的。个人判断，仅供参考。日常观点会发布在公众号：趋势小白（ID：趋势小白），欢迎关注。http://weixin.qq.com/r/hkT37-rEe6cErb6M9xGU (二维码自动识别)
小逸,people,,-1,2018-04-04 17:29:21,9,10,"1869年7月7日，同治八年农历五月二十八日，深夜，在保定府直隶总督衙门的后花园里，清帝国声望最隆、权势熏天的汉人大臣曾国藩困坐愁城。他对幕僚赵烈文说，当今之世已是“民穷财尽，恐有异变”, “吾日夜望死，忧见宗之陨”。3年后，曾国藩“如愿以偿”地去世了。不过，在生命的最后几年里，这位才智超群的湖南人极力推动洋务运动，这成为中国近代企业的启灶，他和李鸿章、张之洞等人创办的轮船招商局、江南造船厂、开滦矿务局至今余脉尚存。100多年后的1974年10月，中国正陷入“文化大革命”的浩劫。当时中国最重要的思想家顾准正处于生命的最后时刻。那时，深爱他的妻子已在绝望中自杀了，亲密的朋友们相继背叛消沉，连他最心疼的子女们也同他划清了阶级界限，而“文革”浩劫似乎还没有任何终结的迹象。就在这样的秋风萧瑟中，医生在顾准的痰液培养结果中发现了癌细胞。顾准把44岁的“干校棚友”吴敬琏叫到病房，冷静地说：“我将不久于人世，而且过不了多久就会因为气管堵塞说不出话来，所以要趁说得出话的时候跟你做一次长谈，以后你就不用来了。”在这次长谈中，顾准认为中国的“神武景气”￼一定会到来，但是什么时候到来不知道，所以，他送给吴敬琏四个字，“待机守时”。两个月后，顾准去世，吴敬琏亲手把他推进了阴冷的太平间。这位日后中国最有影响力的经济学家回忆说：“我在回家的路上就是觉得特别特别冷，觉得那是一个冰冷的世界，顾准就像是一点点温暖的光亮，但是他走了，然而我想，他还是给我们留下了光亮……”过了4年，顾准预言成真，中国告别意识形态的禁锢，开始了改革开放的伟大试验。那是一个已经虚弱至极的国家，从领导者到匹夫百姓，一开始都显得茫然无助，外援无望，内资困乏，僵硬的体制捆住了所有人的手脚。那些在日后改变时代和自己命运的人们出身卑微，几乎没有受过任何商业教育。星火从穷乡僻壤燃起，自东南沿海而兴，跌跌撞撞，时隐时现，倔强寸进，终成燎原大势。40年后，他们创造了一个商业无比活跃、经济持续增长时间最久的国家，他们自己也成了全世界最不容易被打败的商人。                     —————吴晓波《激荡三十年》帝国主义亡我之心不死既如此 那便战个痛快未来几十年中华民族伟大复兴的篇章由我们这代人来书写 前路曲折跌宕 但有前人留下的光亮这条道路注定辉煌  "
弈栈江湖,people,一个准备奋斗的人,-1,2018-04-04 20:50:12,4,1,好好答题，也欢迎有建议的探讨。首先，关于中国对美征税，通过这个发布会，我们已经知道了哪些项目将被制裁，这也是对中方之前所做的同金额，同比例，同强度的声明进行更进。然后，特朗普马上在推特上说了，等会儿我把图贴上来，我的看法是他并不打算妥协。我估计马上美财长马上又要打圆场，避免事态争端。就在昨天，当特朗普攻击亚马逊的时候，还是美国新闻官打得圆场，说美国政府没有打算针对亚马逊采取行动。这说明什么？说明白宫内部矛盾重重，周围的人很难根据他的指示办事，朱部长在这个发布会特地强调了，特朗普政府不同于往届美国政府，是有“特点”的。这个特点是什么？特点是白宫自己内部的高度撕裂，混乱，作为国家的政策主要执行者，美国的高级行政官员，都被特朗普开得七七八八，我估计，美财长很可能也将会被特朗普开除。而那将是将贸易战扩大的最后一根稻草。毕竟，从之前的表态上看，美财长并不希望贸易战扩大。综上，美国和中国的贸易战第一回合已经确定要打了，而第二回合，关键在于特朗普自己对这场贸易战是否是他说的：会轻松的赢。希望第一回合可以让特朗普明白他要是赢下这场贸易战并不轻松，以此来进行真正的谈判。我这里不讨论中国这次行动对美国中期选举的影响，我不了解选举。
顾问,people,,-1,2018-04-04 17:25:25,3,3,【中国为什么对美国大豆征税？中方回应】财政部副部长朱光耀在4日召开的国新办吹风会上说，美国大豆对中国出口占美国大豆出口的62%，2017年美国对中国出口大豆占中国整个大豆进口的34.39%。中国大豆种植农民提出诉求，指出美国政府的补贴影响到其利益，因此我们选择了大豆作为征税对象。中美谈判合作的前提是相互尊重，协商的前提是互谅互让，不是漫天要价。（记者于佳欣、申铖）转自微博 新华视点
蓝海经济观察,people,经济观察,1,2018-04-08 20:59:37,2,1,"谢邀第一，我觉得中美贸易战是注定打不起来的，不必过度解读。第二，房价下跌的原因是因为货币紧缩，这个从去年三季度M2增速降到个位数就开始了，不只是房价，资产泡沫都会收缩，这个是短痛，无碍长期发展。贴篇文章，详细数据可以到公众号蓝海思享汇找蓝海经济观察】中美贸易战——一场注定打不起来的战争原创 2018-03-29 沈奇 张玉香 蓝海思享汇文：沈奇 张玉香1、中美贸易战，特朗普打响第一枪3月22日美国总统特朗普签署总统备忘录，依据“301调查”结果，将对从中国进口的商品大规模征收关税，并限制中国企业对美投资并，涉及征税的中国商品规模可达600亿美元。3月23日，中国商务部发布了针对美国进口钢铁和铝产品232措施的中止减让产品清单并征求公众意见，涉及美对华约30亿美元出口。一时间，关于中美贸易战的话题成为全社会关注焦点。其实，特朗普这次对中国的动作并不意外，我们早在17年3月（这几大行业要小心了——从特朗普国会首秀看中美经贸关系）就曾专门分析过：特朗普会认真兑现他的竞选承诺，对美中贸易逆差采取强硬手段。 2、中美贸易战能打起来吗？根据中国海关总署数据，2017年中美贸易总额5837亿美元，美国是中国第二大贸易伙伴、第一大出口市场、第四大进口来源地；中国是美国第一大贸易伙伴、第三大出口市场、第一大进口来源地。 数据来源：国家统计局、海关总署中美之间的经济来往与合作空前紧密，实际上已经是不可分割的，互相伤害的贸易战对两国经济都会有负面影响。美国从上世纪70年代以来对外贸易持续逆差，根本原因在于美国制造业成本高国际竞争力不够，限制中国的产品进口，还有越南等其他国家的产品替代，美国的贸易逆差状况不会有根本改善。贸易战不会真打，特朗普的大棒高高举起，最后还是要轻轻放下。 数据来源：商务部3、 中美的之间的较量不可避免2017年，美国GDP 19.4万亿美元，中国GDP规模达到82.7万亿元,相当于12.2万亿美元，中国的GDP已经达到了美国的63%，中美之间的经济差距越来越小，美国对中国的崛起不会坐视不理。二战后日本崛起，1960-1990年间，美日之间出现7次贸易摩擦，引发贸易摩擦的领域从轻工业、重化工业演变到高新技术产业，再到金融。1985年广场协议后，美国逼迫日元升值，日本产品竞争力下降，随后的5年，日本从对外贸易顺差6.7万亿日元降至逆差3.8万亿日元，90年代日本资产泡沫破裂，经济步入衰退期。日本的前车之鉴就在眼前，打也好，谈也好，最终企业和产品的国际竞争力才是硬道理。4、中国还有两道护身符一是中国持有大量美国国债，据美国财政部数据，截止的2018年1月，中国持有美国国债1.17万亿美元，是美国第一大债权国。一旦中国抛售导致美债利率上升，对于一年要关好几次门的美国政府来说根本无法承受。二是人民币汇率主动贬值，中国产品竞争力上升，可能引起各国效仿的连锁反应。5、从美国一家独大到中美两强制衡，局部的贸易摩擦会时常发生，但大规模的贸易战是打不起来的，特朗普现在的首要任务是连任，搞不好自己就被美国人民FIRE了，这是他承担不起的风险。做出适当妥协，主动缩小中美贸易顺差，也是中国的最佳选择。相信我们很快会看到中国在金融、电信、零售等领域加快对外开放的脚步。反应过度的资本市场和大宗商品市场都给了大家一个拣便宜筹码的机会。编辑于 2018-03-31著作权归作者所有"
观星老道,people,事成之后一百八十万两银子如数奉还,1,2018-04-05 07:10:20,2,0,
肖沧统,people,学法律的英语费控师,-1,2018-04-06 01:03:16,0,0,在打压中国立场上，无论民主党还是共和党都是一致的。在中美两国针锋相对，互相加征关税的前提下，应提防民主党坐收渔人之利。一方面打压遏制中国，一贯是民主党的主张，现在针对中国制造2025计划征收关税是民主党乐见的。所以即使民主党上台，也可能不会取消关税。另一方面，反制清单加征关税，提高了物价，降低了特朗普和共和党的支持率，大大有利于民主党的国会和总统选举。中国要做好，无论哪个党派上台执政都要打贸易战的准备，要做好贸易战扩大的准备。
鹏鹏,people,追动漫的文科生,-1,2018-04-04 21:08:44,0,0,让那些内外反动派在我们面前发抖罢！ 让他们去说我们这也不行那也不行罢！ 中国人民的不屈不挠的努力必将稳步地 达到自己的目的！
小浩,people,非洲/外贸/电表/家电/锂电/汽车/健身/美食,1,2018-04-04 19:53:16,0,0,你来我往，见招拆招，出牌的同时都在试探对方的底线，回到谈判桌前要占据有利位置
