name,type,headline,gender,created_time,vote,comment,content
豆子彩虹爸,people,想要逃离硅谷的奶爸,1,2019-06-12 14:11:15,62,12,实话告诉你吧，不仅上YouTube有优越感，上维基百科更有优越感，能用Google就是优越感爆棚，更别说某hub，那优越感简直要喷溅出来！为什么？因为你上不了，就是这么简单，别人能做的你做不了，这就是优越感的来源。
匿名用户,people,,1,2019-05-09 01:08:16,17,5,说真的，你逛遍了国内视频平台就会发现，国内视频平台除了b站，一个能打的都没有~原因除了政治因素以外，还有很多，推荐你看看东东的视频~~~科学上网我也会，免费付费都会，没啥优越感，现在会的人太多了~~
熊熊熊熊熊熊,people,,-1,2019-05-31 19:06:06,9,0,其实聊不到一起就没必要硬要想怎么看待吧，这种人就算不上ytb也照样会在某些你觉得很莫名的事情上有莫名的优越感的，其实就是为了彰显自己在你们群体中好像很特别的而已= =
白菜,people,,-1,2019-06-02 07:49:36,22,3,这种人离他远一点，翻个墙就被策反了，以后打雷还跟着遭殃
Damon DanceForMe,people,完事后拉姆斯大人要割掉你的嘴唇,1,2019-05-30 16:55:32,94,26,"油管上有大量有干货的内容。从严肃艰深的科普栏目PBC Spacetime，Vsource, 到堪比Top Gear的车评栏目Carfection, 到专业硬件评测Digital foundry, 到教你各种技能包括做菜，驾驶，编程甚至是怎么焊接，钻木取火，野外生存，修车改车都有，而且po主很多非常详尽专业。这些都是原创内容。第一方商业宣传性的内容，包括电影游戏预告片，试玩，评测，新曲和MTV，最新的都是在油管首发的。国内视频站？原创内容少且弱智，大多数是外网搬砖，多次压缩质量差。还动不动60秒不可跳过视频。"
与众,people,"本科生，量化投资, Machine Learning, 深圳",-1,2019-01-22 23:17:14,10,23,能免费上的才是有优越感，比如我。。。
ETF哥哥,people,做人要务实，别吹牛b,1,2019-06-04 16:54:09,10,10,你这个朋友确实有不好的地方我谈谈我上youtube的感觉吧，使用youtube这么多年，老美从来不删我帖。我也曾经在youtube发过搬运视频（惭愧），youtube会向我发警告信，告诉我，我侵犯了别人的版权和著作权。就拿国内我现在正在用的知乎来比较吧，我这个账号是新注册的，因为我用老帐号说了些抱怨社会的话，所以被永久禁言了。至于我现在这个新账号，虽然我很注意发言的尺度，但也被删过几次回答。另外，我也在知乎发过搬运视频，就没有侵犯版权这一说，别人劳动成果是可以随意侵犯的对以上回答，您怎么看？
匿名用户,people,,1,2019-06-02 16:37:45,17,7,科学上网上油管一个月也就几十块钱不到，用网络不那么好的甚至可以免费，还不到一顿饭钱，居然还产生了优越感？搞得十里八乡还以为他考上了北大呢
锦衣吹雪,people,天行健，君子以自强不息,1,2019-06-12 14:31:37,5,0,小朋友尿尿尿的远的人都有优越感……大朋友翻个墙有优越感根正常啊……本性这个东西变是不会变的，永远都不会变的，想都不要想……如果没有优越感，Vip也就失去了意义……
匿名用户,people,,1,2019-06-03 16:56:57,11,1,在淤泥里打滚的可能是猪，可能是平民，也可能是王侯。但在淤泥里打滚还幸福得直哼哼的那只能是猪。“没有枪没有炮”的可能是未开化的野人，也可能是义和团，也可能是八路军。但是不懂“敌人给我们造”的那只能是未开化的野人。
tcgethan,people,关注互联网、新兴产业、自媒体等,1,2019-05-31 20:53:15,7,12,优越感，呵呵，被洗脑的优越感！
随语读,people,,-1,2019-06-08 22:11:19,2,2,你朋友和这回答下某些答主的回答让我想起来某些类似群体的行为....比如lol玩家对农药玩家刷优越或者dota玩家对lol玩家刷优越。“我玩的游戏比你玩的游戏难比你精致你那个是辣鸡游戏所以我比你牛逼我就是要刷优越巴拉巴拉吧啦.....”刷优越其实不算啥，但是热衷于刷优越并且对亲近的人刷的话，还是建议答主和你朋友保持距离，他可能并不了解何为尊重。
一只战斗鸡,people,,-1,2019-03-11 23:21:44,2,0,政治不正确不要去油管...你朋友已经葬身于汪洋大海之中了，你要相信党呀 
匿名用户,people,,1,2019-05-30 11:34:32,17,18,"99%的视频在油管上看，主要原因是因为快，广告可以略过。油管不只有XX视频，还有爱国爱党弘扬八荣八耻社会主义价值观的视频，比如我就常看局座的视频。油管可以随意说话不会被删除，不好的是，没有人和你争，这样很没意思。更愿意看一些vlog什么的，没有争议，一片“up主好帅啊“”我好喜欢你啊“这样的吹捧之言。一片和谐。油管可以看到国内的电视剧，免费的，有广告，不要VIP。油管也可以看国内的综艺节目，都是官方上传的，有广告，不要VIP。买不起高级账号也不太影响体验，但广告确实越来越多了。如果你说优越感，看怎么比吧。如果有人说，youku, b站，爱奇艺啊什么的也很好啊，那我的优越感一定是非常的强，优越感要有比较，对于井底之蛙一定是有优越感的，人是分阶级的。这是“我能用上更好的产品”的优越感。你看那些拿华为保时捷的，也很有优越感。"
Char fang,people,,1,2019-06-17 11:50:31,2,3,很难没有优越感……人所展现出来的外观由其所掌握的信息决定，******************************************************************************************************************************************************************************************************************************************************即便是有些答案提到的逼站，就是逼站他爹A站建站之初，也是靠大量搬运N站和油管内容过活的，而直到现在，油管搬运养活了多少营销号？我现在在油管看的内容各种游戏/模型自媒体，这个只有很少一部分国内有搬运（比如喷神），包括国内优秀的自媒体也会在油管发片，所以可以完全替代逼站；白金攻略视频，非常方便哪个奖杯有问题直接搜，这个在逼站严重不齐全而且不专业；各大游戏厂电影公司官方号，各种预告第一时间看到，这个是国内网站最惨的地方了，绝大部分官方信息被营销号二道贩子把控，大部分时候观众只能当人体蜈蚣第二节；几个讲中世纪和近代烹饪的节目，过于冷门无搬运；叙利亚和乌克兰战争实况，以前也有搬逼站军事区的，“军事区”变“星海区”之后也很少见了；至于题主遇到的问题并不是优越感的问题，而是优越感不加掩饰地表达出来而让别人不爽的问题，这纯粹是个人素质和情商问题。行啊，这个答案里每一个“*”都是一份优越感，淦。
smx,people,,-1,2019-06-13 11:18:46,1,0,很简单啊，不必和大多数一起吃屎了，当然会有优越感。
wxhwty,people,,-1,2019-06-05 19:26:32,1,0,油管政治审查比某地少的多，内容多，画质支持的好，广告少，不会突然因为某文件下架视频
匿名用户,people,,1,2019-06-11 00:51:06,4,2,油管的评论区简直不能看，当初翻墙看亚运会的时候评论区基本都是“台独”，“港独””，深受皿煮熏陶的用户”，三观歪的不能再歪了，自以为在油管看视频就了解中国的全部，深信大陆人处于水深火热，恨不得用键盘解放我们。应该感谢“墙”，净化了多少歪曲言论，不然不知道有多少青少年要被“洗脑”。有人说外国很皿煮，发言无限制。皿煮到阿桑奇被逮捕？
匿名用户,people,,1,2019-06-02 10:06:58,4,0,就事论事，你们讨论的是中美贸易战，但你却把矛头转向油管，这就非常迷了。
注意力采购部总统,people,注意力为原料，制造透明世界：直选网www.ideeo.net,1,2019-06-03 13:13:19,4,7,"一只青蛙坐在井里,一只小鸟飞来,落在井沿上.青蛙问小鸟：“你从哪儿飞来呀?” 小鸟回答说：“我从远处飞来.我在天空中飞了一百多里,口渴了,下来找点水喝.” 青蛙说：“朋友,别说大话了!天不过井口那么大,还用飞那么远吗?” 小鸟说：“你弄错了,天无边无际,大得很哪!” 青蛙笑了,说：“朋友,我天天坐在井里,一抬头就看见天.我不会弄错的.” 小鸟也笑了,说：“朋友,你是弄错了.不相信,你跳出井口来看一看吧.”"
longway,people,big brother is watching you.,-1,2019-06-11 20:26:40,0,3,油管内容优质。画质清晰。各种功能实而不华。比起优酷 哔哩哔哩不知道高到哪里去了。凭什么不能优越？再说了，上油管起码也代表你具备一定的网络技能和梯子费用。凭什么不能优越？！
匿名用户,people,,1,2019-06-04 10:20:30,4,2,能看到大部分人看不了的东西，为什么不能有优越感？另外愤青这个词用的不对。
匿名用户,people,,1,2019-03-21 21:38:09,2,2,"优越感倒没什么,就是什么事都不是绝对的,国外也没那么好,想了解一下的话suo.im@4UoPBn  打不开很正常,会的人用""/"" @"
脑残,people,,-1,2019-06-12 04:20:33,1,0,忍不住内心的冲动要回答了，回答优越感这个问题前，我想说说自己的体验。好久之前吧，我第一次用免费的vpn进了youtube，当时让我震惊的就是首页对于我们国家的各种推送的政治视频，什么视频，往死里抹黑那种。点进评论一看，有时候也会有中文评论，纷纷表示赞同，顺带再骂国内几句。至于其他回答所说的氛围和谐，我在fb twitter ytb上都见很少。这不是优越感的理由。当然我身边也有一些同学是抱有优越感的。我这么多年观察下来，似乎也可以大致地给这群人贴一贴标签。屌丝死肥宅，觉得fq就获得自由，觉得自己被政治迫害等等。他们或许不是只因为YouTube而有优越感，根本上就是因为fq，觉得自己眼界比较开阔。视频是很优质，毕竟汇集全球力量，但我并不认为一个能无压力观看的人会有优越感这种俗到透顶的观点。
匿名用户,people,,1,2018-04-08 08:25:46,16,8,没有什么优越感可言，自己花钱买个vpn，也没多少，我买就是为了看porn方便，平时是不看政治类东西的，不感兴趣。但也知道这类政治题材的腔调，就是无脑黑中国，黑tg，中国人被tg愚弄云云，我自己活的什么样，我不知道吗，生活纵有不如意，但也归咎于自己的选择还有不努力，没必要因为这些去仇视生我养我的这片土地。自己都不黑，别人黑能待见，所以比较排斥，但是最近因为贸易战，我也看了点相关视频，我只能说太低估这些视频的影响，无脑噴，胡乱黑大家会觉得是神经病，但是讲的有理有据，逻辑自洽，大有反洗脑的作用，对个人的理念造成严重冲击，着实让人一时半会有些招架不住，以此类推你朋友，长期浸淫在此类视频中，被别人扭转了观念，对tg抱有仇视心里太容易理解了，也许他觉得自己众人皆醉我独醒，别人都被洗脑了，所以有种高高在上的感觉。但是我们也可以说他被别人敌对势力洗脑了啊。但说穿了，这类政治宣传类的东西，其实无非是利用每个人知识或者视野的盲区，罗列一个又一个合情合理的论据，让阅读者产生某种认同。就和辩论一样，两个截然矛盾的概念，单听说都觉得对，但是放在一起你就懵了，既然你们说的都理拒服，那我到底该信什么，一般的小问题也就忽略，但是在大是大非面前，我觉得还是要坚守原则。
