name,type,headline,gender,created_time,vote,comment,content
猪扒饭,people,二本高校教师，经济管理专业博士，兼职老司机，擅用段子讲课,1,2019-06-03 19:22:39,2182,136,其实我挺感谢有美国这样一个国家每当你取得一点小成就，他就过来呼呼打你脸，让你清醒一点。每当你觉得自己各方面发展已经挺均衡了，他就对着你的短板狠狠捅一刀，告诉你你的短板还多着呢。良师益友有没有? 虽然别人完全不安好心，但是的确一直在激励着中国成长。芯片这事，如果不是这次被人打了脸，我们估计也不会想什么自主研发的事。其实芯片这事挺好理解的，好比我们一直懒得做饭，于是长期用美团饿了么叫外卖，时间久了，自己也不会做饭了。就留了个微波炉(海思)。现在好，不让你点外卖了，你终于发现每天光是吃煮面条，别说去健身房撸铁了，就是搬东西都没啥劲，于是下定决心好好抽出一段时间研究厨艺。虽然短期内做出来的东西肯定是各种黑暗料理，但是我相信，总有一天我们也能做出米其林大餐。
汪鹏,people,前CPU 设计师， 现在设计人工智能加速芯片，囧,1,2018-04-20 23:40:50,800,103,不请自来。站在微电子从业人员的角度来随便侃侃，算是科普，让更多关心芯片的人更了解芯片。首先表明观点：国家全力投资芯片，是完全正确的！因为，中美之间的芯片技术差距，那不仅仅是一万亿美金资本上的差距，而且是几十年的时间上的差距，几万优秀工程师的差距。这些都不是能够一蹴而就的。出来混，早晚是要还的。欠下的课，还是得一点点补。这次中兴被美国制裁，而中国没有丝毫的还手之力，让很多有些膨胀的国人大跌眼镜，终于看到了中国在芯片领域与美国的真实差距。虽然作为中国的芯片设计人员，我很不爽美国这么打我们脸，但是，塞翁失马焉知非福，若从此知耻而后勇，正当时。但愿这一巴掌，真正打醒中国人。之前一直强调我们已经成为全球GDP第二的大国，各种大国重器振奋人心，这些的确值得我们骄傲，但是在骄傲过后，也要看清我们与世界发达国家的差距。这么说吧，在芯片领域，中美之间的强弱关系是：美国缺了中国，美国照样玩得转；中国缺了美国，直接断粮，是生死存亡。估计许多其他领域的同仁不太清楚芯片的设计制造过程及分工，下面就以开饭店为例子做说明，有不恰当之处，还请包涵。开一个饭店，看得见摸得着的，需要大楼场地，需要烹饪的厨师、上菜的服务员，需要各种鸡鸭鱼肉等食材，需要各种油盐酱醋茶等调味料，需要用到锅碗瓢盆微波炉抽油烟机等工具。看不见摸不着的，需要各种饭菜的烹饪手法、火候、配方等。对比芯片行业，（1）场地。各种先进的生产芯片工厂、设计师呆的办公室、测试工程师的防静电实验室，这些属于场地；（2）厨师。芯片架构师、前端逻辑设计师、验证工程师、后端工程师、版图工程师、工艺工程师、测试工程师等，这些属于人力，对应饭店的厨师。（3）鸡鸭鱼。高纯度的多晶硅、正负掺杂材料、导线金属等，这些属于原材料。（4）调味料。各种工艺过程中用到的试剂，比如光刻胶、显影液、腐蚀性酸性溶液等，这些属于调味料。（5）锅碗瓢盆。芯片设计师用的EDA工具软件，加工工艺线上用到的机器比如刻蚀机、光刻机、高温恒温加热炉等，芯片封装的机器比如切割机等，芯片测试用到的示波器等，这些都属于巨贵的高端设备。（6）烹饪手法、火候、配方。芯片设计中用到的算法、电路结构、工艺中的扩散温度、扩散时间、扩散浓度等就属于这些。那我们现在掌握到什么程度呢？场地，先进的芯片生产工厂，我们最先进的中芯国际，与台积电的差距，还很遥远。厨师，经验丰富的芯片设计师还不够多，菜鸟工程师每年毕业一批，因为自身待遇比不过互联网，且大城市房价高昂，退出芯片领域转型的人不少。这个，美国也没好多少。鸡鸭鱼，各种原材料，以前是全部依赖进口，包括超净水，芯片工艺用到的超净水，比我们喝的纯净水纯度高多了，饮用纯净水中包含大量的钠离子、钾离子等金属离子会严重损坏芯片功能，所以需要用超净水，这个东东以前我们也做不出，只能进口，不过，现在不用了。现在部分原材料国内公司能提供替代品，算是不错的进步了。调味品，各种试剂，大部分依然依赖进口。锅碗瓢盆，各种设备，我们能制造的很少，大量依赖进口，不过，最近几年不断在某些环节突破垄断，比如刻蚀机。烹饪手法、火候、配方，凭借芯片设计师的聪明与勤奋，算法我们进步最大，但是底层的电路结构、加工工艺还很欠缺。特别是工艺中的参数，这些个东东，都是经过大量重复试验测试出来的经验参数，老外花了那么多钱和时间和人才才搞定的，自然是严密封锁，在美国，就算华人都不被允许参与芯片公司的核心部门，就是怕泄密。可以看到，几乎没有哪一条是我们掌握而美帝没有的，反而是我们全方面的受制于人。这一次美帝制裁中兴，看似强大的中兴瞬间就危急存亡了。所以，国家全力投资芯片产业，是完全正确且必须的。还有，国家高层一直很清楚，一直在努力追赶，不要无脑喷国家不作为。其实，在这次制裁以前，中国就一直在加大对芯片产业的投资，而且都是数百亿美元的大投资。比如oled显示屏生产线，大尺寸晶元生产线，大存储生产线。这些大投资，以前只是我们圈内人了解关注更多而已。去看看这个回答。我觉得说的不错，点个赞。美国决定一颗芯片也不给中兴，中国高端制造业能突破重围吗？再说开去。这一次美帝制裁中兴，看似强大的中兴瞬间就危急存亡了。以往我们认为中兴是高科技芯片企业，在美帝眼中就跟皮包公司一样。这就是因为，没有掌握真正的高科技。整个就是一买办思维。没有对比就没有伤害。华为就做得很好。华为海思是真正掌握关键技术的高科技公司。虽然他的芯片也是台积电代工的，麒麟CPU内核是ARM的，那有啥，高通的也是台积电代工的，也是ARM的内核。华为是真正有能力与高通一较高下的高科技企业。如果美帝制裁华为，至少华为不至于立马瘫痪，还有挣扎的余地。华为，一家值得尊敬的公司。其他的高科技企业，比如手机行业的小米、OPPO、VIVO，电脑产业的联想等巨头，那都是和中兴一个档次的，关键芯片CPU全是买的，如果美帝也来个制裁，这些公司就是下一个中兴。这些号称风口上的猪，依然还是猪，现在风停了，下场是什么，自己不清楚么。除了华为，国内还有一家芯片企业是掌握核心科技的--龙芯。龙芯，又一家值得尊敬的公司。网上很多喷龙芯的。这些往往都不是芯片领域的人。真正的芯片人（比如我这样的愤青），是很尊敬龙芯的，尊敬龙芯的那群工程师。龙芯的确存在一些问题，现在的芯片性能也的确无法满足广大吃鸡群众的需求。但是，龙芯这么多年来，曲折挣扎到今天，一直承担着人有我也要有的国防重担。虽然龙芯的处理器目前性能不够，但是一直在进步。而且，龙芯有很多掣肘，比如，经费不多，国家真的投的钱不多，不要动不动就说投了龙芯几百亿，真有那么多，那龙芯肯定比现在强多了。而且，龙芯目前已经盈利了，公司发展越来越好，相信龙芯会成为中国的脊梁。看这个回答对龙芯和兆芯的比较，我觉得写得很有道理。如何看待兆芯?下面简单总结下上面引文的解答，说说龙芯的处理器为啥性能不如Intel和AMD。龙芯目前的架构设计已经比较先进了，早说过了，算法架构这种靠聪明勤奋的，对中国人来说从来不是很难得事。为什么性能还有巨大差距？主要差距在工艺。龙芯因为你懂得原因，不能采用最先进的台积电、Intel工艺，只能用目前还不怎么地的中芯国际等二流公司的工艺线，这个对性能的影响是巨大的。如果将龙芯的设计交给台积电等一流大厂代工，芯片性能立马上一个台阶。一定程度上说，龙芯这是替中芯国际背锅了。我觉得龙芯是值得中国人尊敬的芯片公司。做一个最恶劣的假设：美国制裁中兴，如果制裁扩散，那么上面提到的小米、OPPO、VIVO、联想等科技巨头一被制裁就是下一个中兴，若不再给中芯国际提供工艺线所需的各种设备和原材料、试剂，那么中芯国际也要止步现在的28纳米，龙芯的芯片的性能也无法得到提升，断供目前正在兴建的各种大存储、大晶元、OLED面板等项目所需的先进设备，造成光有大量厂房缺无法生产变成了纯房地产，造成数千亿美金的投资打水漂，那中国的科技实力就真的被扼杀了。说一句，此存亡危机之秋，也不是没有可能啊。但愿是我想多了。所以，国家必须全力以赴投资芯片产业。作为个人，支持国产，从我做起，手机买华为。（这条五毛啊）
林茂,people,学习如同马拉松,1,2019-05-28 09:54:59,1336,102,先来说说我们两个邻国：日本和韩国。日本在发展最早的芯片也就是半导体时正好赶上美苏对峙，因此日本掌握了技术，同时因为其本国劳动力成本较低（美国要380美元，日本只需不到30美元），使许多半导体企业开始在日本落地生根。而日本本国也开姶投入资金和科研团队开展自己的半导体研究，并于1958年推出了第一台完全国产化的晶体管计算机NEAC-2201，却发现自己已经落伍。（1959年2月，美国德州仪器（TI）的工程师杰克基尔比制作了世界上第一块集成电路，宣告了晶体管时代的结束，未来将是集成电路的天下）。于是又开展了对集成电路的研究，然而，研究出来的集成电路却在量产上出现了问题，他们发现实验和应用的鸿沟永远无法跃过。于是，日本政府出面引进当时美国仙童半导体公司的技术，最终帮助企业实现量产。这时日本的芯片制造，开始腾飞。在腾飞的过程中，日本政府做了两件事情： 第一件事，对集成电路产业开展贸易保护，利用关税减少美国对本国产品的冲击。第二件事，由政府牵头个生产企业成立强大的科研机构，将研究出的最新技术毫无差异，毫无保留的分享给各企业。(VLSI项目——富士通、日立、三菱、日本电气、东芝投资规模超过2.4亿美金，当时我国的外汇储备总量只有1.8亿）但是它的衰败也是因为投资：日本有了海量的产能，但是受当时商业应用不多的限制，芯片开始暴跌，加上其产业模式不是垄断，而是各企业齐头并进，所以受伤的总是自己人，90年代的经济泡沫是压倒骆驼的最后一根稻草，韩国企业的弯道超车使日本半导体产业的辉煌宣告结束。韩国的发展历程可以看到，该国政府的强烈支持。韩国在发展半导体之初，正是美国日本争夺市场份额的激烈时期，美国为了竞争开始跟韩国谈判，韩国采用了“欲擒故纵”的手段，利用政策优势引进美国的企业（这里面答应的是独资，全权由美国人自己管理），没过多久日本企业也落地生根，这样韩国的半导体开始迅速打下基础。这之后政府又改变政策，不再给外资优惠，利用留下的技术发展自己本国的半导体产业，并成立了日后大名鼎鼎的三星公司。然而技术发展对于当时的韩国是难上加难，此时国际形势帮了韩国人一把，美国在半导体业被日本企业打得无招架之力，美国亟待寻求与它合作的第三方加入，这个国家就是韩国。所以韩国有了美国的技术支持，可以说为其淌平了前进道路。（敌人的敌人，就是我们的朋友）另外，韩国自身的民族感，使它从仅仅拿到技术，再向如何消化理解和再创造的方向上起到了决定作用。陈大济当年已经被IBM录用，但是却毅然决然回到祖国，建设自己民族的企业，而他日后也成为了三星的CEO。同时韩国政府也效仿日本的模式，成立自己的研究机构。就是这样，1989年，三星成功量产4M DRAM，和日本几乎同时投放市场。这时离韩国正式进军半导体产业，仅仅过去了六年。赌徒三星——韩国国民有一句很经典的话，来描述三星：韩国人一生有三件事情无法避免——死亡、税收和三星。三星的反周期式投资也是它的一大特色。简单来说：就是越赔钱越补贴，抢占市场份额，三星最惨的时候卖出一个芯片要赔12美元，公司通过股权抵押先进，也要补贴，这样日本的绝大多数企业吃不消了，纷纷离场，美国的市场份额就被抢占了。当它一家独大的时候，你想他还会赔钱吗？所以开发市场是它崛起的重要一环，当然不只是他本国，中国也是它的目标，所以金融危机对企业的冲击那么严重，正是有了中国的市场，它才没被伤筋动骨。这本是一个烧钱的产业，不靠政府，很难。感谢知友们的支持和批评，让我能继续成长。脑补了一下“301条款”，简单来说就是玩皮赖。它是说，美国贸易代表单边觉得其他国家的不合理或不公平贸易，就要在调查结束后采取：1、终止原贸易协定的适用；2、对该国商品施加关税；3、迫使该国订立有约束力的条约。这里面的关键词是“单边”，就是我觉得你不合理你就是不合理。接下来我想就如何应对发表我的看法：现在的发展就如同一棵正在生长的大树，假设树干因为贸易战被掐住，那么现在发展方向只有向上和向下。向上：提高高质量发展。因为生产的劳动力成本不再具有优势，所以提高产品质量是一条途径，比如：德国、瑞士、丹麦等国家，人力成本更高，但做出来的产品是世界级的。重中之重是把基础学科做扎实。这些国家之所以现在创新力高，是因为在20年前，他们的基础研究理论已经做完，只是等待技术成熟出成品。向下：拥抱欠发展资本市场。B&R从目前看虽然只是设立了一个目标，时间长了或许能打开一条新世界。近年来，在海外投资的基础设施建设，从长远来讲将对我们的发展产生积极意义。
陈磊,people,君子惠而不费、劳而不怨、欲而不贪、泰而不骄、威而不猛。,1,2018-12-25 11:00:36,668,69,是因为产业升级到这个程度了。以前为什么不大力投入，不计成本？因为钱是有限的。需要花钱的事情是无限的。把有限的钱投入到无限的需要中去，需要智慧。政府和民间钱就这么多（加上外资、负债）方方面面都要钱。航母、055大驱、歼20、直20研发要不要投入？轰20要不要研发？高铁要不要建？全民医保、新农合要不要？教育扩大，大学扩招要不要各种基础设施要不要建人工智能、云计算、大数据、超级计算机、量子计算机、量子通信、机器人、可控核聚变、航空发动机、航天、北斗系统……没有一个是不要花钱，没有一个是不花大钱的。国家和企业都要排个顺序。中国人办事是事件驱动的。先定个计划和目标，比如5年计划、十年规划、中国制造2025等等。然后根据这个计划目标来一步步实现。发展到现在，发现芯片是重要的阻碍之一。那好，全力以赴的攻克。然后还会有别的阻碍，软件、基础材料、基础科学等等，再一一克服。在此之前，芯片并不是一个很大的阻碍，或者说没有表现出来。中国很多人还是相信美国的操守，全球产业链什么的。原因在于中国是芯片最大的买方。如果不卖给中国芯片，中国当然难受甚至会短时间休克，但是，那些芯片厂家会死的更惨。芯片投入都是几十上百亿美元，然后靠销售回款才能维持运转和升级、研发。中国市场占芯片的60%以上。如果不卖给中国，等于美国芯片企业“我先弄死我自己，然后饿死你，你怕不怕？”但是经过中兴、华为事件之后，发现美国自从得了精神病，精神多了！不能以常理度之。万一他不想活了还要拖着我们一起死怎么办？中国一直信奉的“自力更生、艰苦奋斗”又一次占领智慧的高地了。虽然万分之九千九百九十九，美国不会这么干。但是也没必要赌这万分之一。而且本来掌握半导体制造就是中国制造2025的目标。美国既然帮忙做了最好的动员，何不顺水推舟。原来如果中国这么做，肯定很多人会说“中国是被迫害妄想症患者”。现在这些人在事实面前大部分闭上了嘴。好风凭借力，送我上青云。
Chris,people,射频模拟混合信号芯片设计,-1,2018-04-20 21:48:21,127,14,这是必然的结果，也是被人逼出来的结果。核心芯片被国外把控受制于人的弊端随着中兴事件的发酵暴露无遗，中国看似高速发展的信息科学技术其实孱弱不堪，根本原因就是根基不稳，基础的软件、芯片完全依赖于进口，基本就是空中楼阁。到了今天这个境地，中国终于猛然醒悟，决心不计成本的要发展国产芯片产业，提升到国家战略的高度，就像当年倾全国之力搞原子弹一样，作为这个行业的从业者当然要点个赞。其实这几年国家已经在开始重视集成电路产业了，成立了大基金支持龙头企业的发展，但是聚焦的方向还是太单一了，大部分资金进入了半导体代工、存储等重资产领域，对eda软件、芯片设计领域的投资有限，事实上要真正实现芯片的自主可控，芯片设计行业是核心，设计能力的提升才能实现核心高端芯片的真正国产化，否则只是个芯片代工制造而已。特别是被国外垄断的高端模拟芯片、射频微波芯片、数模混合芯片等产品的国产突破，不论是对军用领域还是民用领域都意义非凡。希望不计成本的资金里面能有一部分支持芯片设计领域的中小企业吧，百花齐放才是民族半导体产业兴旺的正确方式。也希望能有更多的有识之士加入芯片这个被认为是夕阳产业的行业吧，人才才是发展的根本，希望国家的支持能让这个行业在中国爆发该有的活力。
van derek,people,一句话描述,1,2018-12-23 19:05:18,359,62,这是因为国内芯片实在是太弱了。从每年研发费用看，英特尔公司 超过 800亿元人民币台积电 超过 140亿元人民币，（另每年有600亿人民币的资本支出）。高通公司 超过320亿元人民币，（其中不包含芯片制造）博通公司 超过190亿元人民币美光科技 超过124亿元人民币联发科 超过100亿元人民币，（其中不包含芯片制造）英伟达公司 超过 90亿元人民币，（其中不包含芯片制造）【数据说明请看注释1】国内芯片营业收入最高的四家公司，除了比特大陆公开了财务报表，其他都不可查证，但是可以通过营业收入和研发费用的比例推测研发费用。中国最大的10家芯片公司还有几家已经上市，所以可以参考年报中的数据。【注释2】华为海思营业收入387亿人民币，按照14.65%推算研发费用，研发费用是56亿左右。比特大陆2018年上半年研发费用是8700万美元，预计全年研发费用是12亿左右。紫光展锐营业收入110亿元人民币，参考华为的研发费用比例，研发费用是15亿左右。中兴微电子营业收入75亿人民币，参考中兴通讯的研发费用比例11.91%，研发费用是9亿左右。韦尔股份 研发费用8.4亿紫光国微 研发费用5.0亿汇顶科技 研发费用5.9亿士兰微 研发费用2.7亿兆易创新 研发费用1.6亿如果不够直观，那么可以看一个直观的图，下面每一艘船（航母）的长度代表每个企业的研发费用。如果单独把美国、中国台湾、中国大陆最大的无晶元芯片公司单独拿出来比较，研发费用是这样的。中国芯片公司的研发费用实在是太低了，这个行业就是一个资本密集型的行业，研发支出就好比入场券。没钱=没有入场的资格【注释1】：除了比特大陆参考了招股书的数据，其他数据采纳的是2017年的数据，2018年的企业年报还没有公布。我查证了各个Fabless IC 公司的财报，研发支出比例大约在12%附近。【注释2】：前10大芯片公司排名参考了集邦咨询2017/12的报告。有几个企业查不到可靠的研发投入比例，所以略掉没写，分别是华大半导体（52亿营收）、智芯微电子（38.7亿营收）、中星微电子（22亿营收），没有考虑海外并购的豪威、ISSI、安世半导体等。
Dieci Anni,people,从统计上讲，关注我比不关注的收益更多。,1,2019-06-06 10:39:28,51,2,中华民族是一个特别有意思的民族，五千年历史教会了中国人很多东西。比如说，面对修昔底德陷阱(世界第一的地位面临世界第二挑战的时候)，美国人使用的方法就非常脑残。我不知道对付中国人最好的办法是什么，反正我知道对付日本那一套是没有用的。搞制裁，因为一点小问题追着中兴后面要罚款。加关税，明明是自己人力成本高企非要归咎于中国人勤劳。搞禁运，在根本拿不出任何证据的情况下就把华为等企业列入实体名单。这一切，都是在耀武扬威：我是世界第一，无论是经济，科研还是军事，我就是可以捏死任何一个国家，哪怕是世界第二。如果换了别的民族，可能就服软了。不过对于中国人来说，这样反而让我们渴望成为世界第一。毕竟胯下之辱，卧薪尝胆，在我国历史中，不但不丢人，而且还被称赞和敬佩。作为一个半导体行业的人，我也知道我国在这个领域的差距，不说晶圆制造，也不说光刻机。最底层的设计软件(EDA)的差距就非常大，如果一旦EDA遭到禁运，再顶层的设计也没用，就好比你作为美工有再多奇思妙想，没有photoshop这种软件你也毫无办法。不过，比起之前的温水煮青蛙，让国内用户慢慢依赖国外的工具和设备，现在的恶劣状况也能让一部分人警醒。细数大国的兴衰，很少有民族是因为失败而放弃，而总是因为放弃而失败。当被逼无奈不得不依靠自己的时候，这种破釜沉舟的心态反而更有可能成功。
大老师bobo,people,啊飒飒的发,1,2018-07-08 23:33:35,323,56,你们知道这个世界制程最先进，运算能力最强大的芯片首先应用的领域是什么？答案是游戏，十几年来PC和主机游戏，各种3A大作实际是处于推动半导体发展的最前沿。NV和AMD在发展顶级显卡过程中搞出来的技术最终变身成计算卡反补大型机。从90年代开始每一代主机硬件大升级都是在对整个行业的游戏画质进行一次巨大的提升。升级PC的最大动力首先就是来自于游戏方面的需求，美国最顶级的几家芯片公司从这方面挣了足够的利润，才能挤出更多的资源去搞更高端的东西。最顶级的芯片首先受益于庞大的游戏消费需求，不停的进行竞争，相关产业才能产生足够的人才流入到其他的半导体领域。    而你们知道么，绝大多数具有最顶级画质的游戏，对硬件推动作用最大的3A大作是无法在中国上市的，因为血腥暴力几乎是这类游戏的主轴。      绝大多数这类游戏都在满足人类最基本的感官刺激，这些推动人类半导体进步的超级作品因为不符合社会主义核心价值观，所以不能在中国上市，国内的游戏公司更是不可能去做这类游戏。   早期由于盗版和国家的政策打击，中国的游戏产业被迫转向网游这种追求社交和养成的方向之后，就再也和无法推动画面技术的进步了。画面渣配置高，那也是因为优化烂，中国的游戏厂现阶段也不可能像欧美公司那样与NV AMD等公司产生比较紧密的合作。   压抑人性的审查制度和盗版制约了国产游戏的发展，游戏公司和硬件公司无法形成生态互补，永远只能捡别人吃剩下的东西，这一切最终导致中国无法发展出自己的软硬件生态，因为需求端被扼杀了。  国家现在试图大力发展芯片，但是最顶级的芯片的消费市场在3A游戏市场，大家很喜欢提台积电，这家就是以代工AMD NV的芯片为主，每次最先进的制程都是先用在他们身上。中国没有3A游戏市场，只有盗版和少量STEAM开明玩家，哪怕国内审查对血腥暴力立刻放开，国内公司搞出3A大作，在当前这个网游为主流的市场里也难以生存，市场需要很长的时间来培育，不是靠一窝蜂模仿吃鸡就能立马产生一个生态的。由于在最顶级的这一领域是空中楼阁，所以就只能吃别人流出来的残羹冷炙。
安江泽,people,加载失败，请刷新重试！,1,2018-05-18 21:31:19,25,2,就看钱怎么花了。只砸钱给国家队然后约谈私企购买的话，难保市场上不跑偏。要是先瞄互联网云端，按运营中计算能力自主比例减税，再给异构算力一定倍数的加权减更多税的话。私企说不定会排着队购买自主方案。
uciicu,people,看什么看,1,2018-04-22 08:43:54,30,2,需要组织度，需要先排除掉体制里的吸血鬼。需要集中攻克最底层的机器设备制造，生产原料制造，进入产业链最根本之处。这个是第一要点，是整个产业的生死存亡之点。这一点最难，组织度最不容易，这个是需要机械化学材料多个最基础学科一起来解决问题。缓和对抗局势，foundry需要适量建设，未来ic需求量会持续井喷。这个是第二点，重要性不如上面一点，但是很急迫。这个容易出成果，地方zf最会盖厂房了，但这个容易被掐脖子。针对应用弱点进行ic设计方面投资，但主要是给以市场手段的引导，尽量不直接砸钱，砸了钱也只会给没用的单位分掉，这是第三点。ic设计只要有市场需求，我们一定能搞定，早点儿晚点儿就是了。最后针对整个产业链单位减税，这个有助于缓解整个产业链的后顾之忧，这是第四点。实际上对制造业最好是进行全面减税，以后制造业应该像之前的农业税一样全面减免。我想这四点做掉的话，大势还是可以的
