name,type,headline,gender,created_time,vote,comment,content
李秉恒,people,"人民教师。
文章憎命达，魑魅喜人过。",1,2018-03-26 22:01:31,156,50,绝户计。这是亚投行之后，中国对美国，对美元施展的绝户计的第二阶段。从历史上看，这个脉络非常清晰。首先我们来看背景。1，自身底气。毛爷爷为国防、政治、重工等国家核心力量打下了钢筋铁骨的底子，自力更生、独立自主的观念深入人心，这是中国敢于维护自身核心利益的底气。2，外部环境。美国在近几十年连续发动战争和金融战争，成功地打败了所有地缘政治对手和经济对手。就以货币而论，美国狙击了日元(广场协议)、英镑(索罗斯1992)、泰铢等东南亚新兴货币(金融风暴)、阿元(海湾战争)、马克和欧元(从南斯拉夫内战到难民潮，一直在进行中)、非元(利比亚战争)，当然最辉煌的胜利是打败了卢布(苏联解体，休克疗法)。美国连续胜利的前提，是连续的反抗。旧的经济秩序下，美国印纸做钱，就可以从全世界买东西。就这样，美国资本家银行家们仍嫌不足，还是要发动货币战争和金融风暴，收割各个经济体尤其是新兴经济体的经济成果。当美国把全世界吸了一遍血，也就亲手造就了满世界的敌人。所以，建立更加公正的国际贸易秩序、摆脱美元讹诈和金融风暴风险的呼声也就响遍了全世界。那么，中国的应对是怎样的？1，准备阶段。到板凳上台后，以越战为投名状，中国改投西方阵营。虽然经历了很多坎坷和弯路(最大的沙比坏蛋就是板凳)，但是中国自身经济力量稳步提升，直到今天，成为世界工厂，成为制造业第一大国。这是准备阶段。2，第一阶段：亚投行我在其他答案中提到过一些：亚投行各成员国从中国获得的金融安全保证，类似于金融风暴时期香港的金融安全保证。当美国索罗斯借着金融风暴的声势，收割港元时，中央政府是承诺过:以大陆所有货币储备为香港金融安全服务。结果呢？索罗斯碰了一鼻子灰。亚投行是替天行道的大旗，是中国组织建立的金融安全互助组织，是卖金融人身保险的。华尔街以金融武器全球割草，直到遇到中国的亚投行才彻底输掉。因为美国虽然有能力打击日本、海湾地区等相对孤立的经济区域，但是他没能力同时打击亚投行的所有成员国。所以，对其他国家而言，在和平时期，靠着亚投行这座大山搞建设(这是羊头)，经济不稳时，大家守望相助，靠着亚投行这座大山防美国防金融风险(这是狗肉)——从此国泰民安，岂不美哉？亚投行的稳定运行，意味着在国际经济领域，中国取得了外交上的决定性胜利。在经济领域，每个吃过亏受过苦，痛恨美国的人，以前只能是绝望无助，但现在都成了我们的朋友，我们的实实在在的盟友。这就是亚投行的作用。顺便说一下，这几天美国对中国正式发动了贸易战，我看这是好事。因为美国只会对中国发动贸易战，而根本就没资格、没能力发动金融战。所以呢，贸易战一天不升级为金融战，中国就会收获一天的广告红利：川普是个好教员，免费向全世界做教育宣传：美国是不会对中国发动金融战的！美国没有这个力量，也没有这个胆量！只要大家与中国搞好关系，也就可以以中国为靠山，防御金融战的风险！那么，怎么才能与中国搞好关系？答案很简单：加入亚投行啊！3，第二阶段然后中国开始第二次出手：上海油(全称上海国际能源交易中心人民币原油期货)。太精彩了。3，第三阶段这个属于预言了。毛爷爷和毛爷爷领导下的共产党人才是最牛逼最牛逼的。我是真心佩服，万分佩服。答毕。
匿名用户,people,,1,2018-03-27 05:23:31,13,31,补充一个，石油期货是远期合同，汇率波动会是一个考虑因素。人民币的高息，利率平价模型预测是远期货币贬值，但是历史上实质反而升值的前景，有点套利的想象空间。原回答本人不才，看不懂为啥这个有助于打败美国美元霸权。买卖自由，谈不拢就走，所以看谁走不起，谁就让步。举例沙特大亨说，我不收欧元不收日元就要美元，你说你开个人民币交易所他就跑来找你了？错了，除非你的价钱贵，他最多是把石油卖给你再把人民币换成美元带回去。和他直接收美元有差别吗？我看到的卖点是上海交易所的石油品种和伦敦纽约的不同。而这个据说更切合出口中国市场的品种。就好象红富士和国光苹果，都是苹果，但是定价略有不同。对美国的威胁是人民币国际化有帮助，毕竟沙特大亨想，换成美元再换欧元和德国交易，换韩元和韩国交易，是不是不如直接把人民币换欧元韩元日元……？于是沙特的银行为了他们要准备人民币对欧元韩元日元的兑换了。于是人民币进一步国际化，但是这个依靠用户的决策。沙特一个大疑虑会是，人民币能不能自由换外币。不能换的话，谁卖给你？能换的话，怎么控制外汇流出？香港市场年初的流动性紧缺造成的人民币升值，怎么不让人担心
小阿发,people,专业认怂,0,2018-04-06 14:44:37,3,1,非原创非原创搬运工罢了来源见链接https://app.myzaker.com/news/article.php?pk=5ac04cca9490cbdf7a000030&from=singlemessage&isappinstalled=0通俗易懂的原文节选↓↓↓“中国的原油期货正式挂牌交易了用人民币结算啥意思？就是说——这次，轮到我们挑战美国了咱中国小店攒了很久的钱家底非常厚实库房满满当当都是金子咱小店手里家伙也好村子的小河里咱的航母也开始转悠了于是，咱们觉得时机成熟了昨天宣布我们中国小店开了一个原油市场大家都来买卖啊咱这里可以不用美元用我家的人民币买卖就行还可以转换成黄金啊村民们吃够了美元的苦早就后悔上了美国的当了尤其是小沙特满手的美国借条却根本不知道美国啥时候能还钱现在，小沙特的石油不是只能卖给美国换一手借条了而是可以兑换成可靠的黄金小沙特非常开心于是，村民们已经有一部分人开始存人民币了村民手里的人民币拿得多了美元自然就少了美国赖以控制世界的筹码就被我们抽走了这，就是在挑战美元的统治地位”
haha kim,people,好吃懒做的死胖子,1,2018-03-28 17:49:58,2,0,中国已经是全球第一大原油进口国，但对油价却无能为力。现在，通过期货交易，中国就开始拥有了原油价格话语权，但这只是第一步，因为还没拿到定价权。不过，随着将来交易量的不断增大，占全球石油期货的比例会越来越高，早晚会拿到定价权的，伴随这个过程的，必然是人民币的全球化。将来还可以开设其他的以人民币计价的期货，比如大豆、铁矿砂、天然气、橡胶等等。
何风黍,people,带鱼养殖员,-1,2018-03-27 13:13:16,6,5,看到射了就准备纸尿布系列。期货是套期保值的工具，能不能实现以人民币计价的套期保值，只谈一点：套保的收益怎么汇出中国，在这个资本账户全面管治的情况下？于是问题变成了，金融市场的市场化改革怎么完成？推荐阅读：http://weibo.com/ttarticle/p/show?id=2309404219323676776792简单总结一下，并非像回答下很多极左翼的人想法一样，原油期货对美形成挑战的前提是资本账户的开放，这样的开放必须以国企改革为前提，这又动了我国的政治根基，因此是自相矛盾的。
韬光养晦,people,论文代写,-1,2018-03-27 13:50:38,3,2,谢谢，首先我不是专业金融出身的人，只是说说自己的感想。对于我国来说，从来就不是什么弱国，也不会甘于做一个弱国，只不过再过去的一段时间我们需要回复国力。现在中国有能力和余力做其他事情了。聚焦于货币而言，人民币与石油美元是差不多的，都想在国际货币领域进一步占有一席之地。另外，在过去的很长时间，石油价格主要受到英国伦敦和美国德克萨斯州的轻质石油的影响。但是，这些跟远在亚洲的中国来说并不能反应其真实的供给情况。所以，这也就需要一个反应亚洲地区石油价格的市场，能够为亚洲经济服务。总之，在金融领域，国家一定是在下一盘大棋，绝不会愿意一直受美国以及布雷顿森林体系的束缚。
as蓝月儿,people,我不爱听的回答都是错的,1,2018-03-27 07:36:59,3,0,从美国印钱到中国印钱，要是能有一个跟比特币一样，但是铆钉世界gdo的货币就好了
一一,people,,1,2018-03-27 16:08:26,2,0,刚刚看了下没人提到，那我说一下另一个作用吧。为国内资金提供一个出处，稳定国家外汇储备，同时应对国际环境下的大通胀。毕竟现在因为美元贬值和税改，美元回流美国的趋势已无法阻止。
ok2326,people,,-1,2018-05-01 22:38:33,0,0,原油用黄金结算的利比亚政府不见了。原油用欧元结算的伊拉克政府也不见了。如今，我大中华家原油交易第一国，用人民币挂钩黄金结算原油那就是对美国人动刀子了。忍气吞声百多年，该雄起了。贸易战的背后就是美元做为结算货币的战争。这回米国人不管如何应对，都是他走下坡路的开始。中国要做的，保证国内的稳定，两国要开战也会在第三国打。
Rickey Li,people,设计师,-1,2018-07-31 23:46:10,0,0,别跟我扯这些有的没的，我就问一点：买这个赚不赚钱？怎么买？（毫无金融知识的小白想随大流赚一波风口钱）
