name,type,headline,gender,created_time,vote,comment,content
zlalien,people,药品研发,-1,2019-05-29 13:33:33,2693,122,海明威自杀前一直声称FBI监视他，最后抑郁自杀，除了几个挚友，大多数人当时以为他是精神不正常臆想。结果上世纪80年代FBI 披露了一份有关海明威、有120多页之多的档案，证实由于怀疑海明威与古巴领导人卡斯特罗的关系，FBI确实对他实施了监控，还将报告直接送交时任FBI局长埃德加·胡佛。还有就是别小看这两个包裹哦，你看人家一管子洗衣粉就能报销一个国家，就问你怕不怕？当然华为也不是傻子阿尔斯通的案例就在眼前呢！
终点在地平线,people,,1,2019-05-29 11:48:49,1669,171,按照上次台湾器件商发给华为的样品被截胡到美国，但fedex装死，这次保不齐华为做了个局，全程都有追踪，出问题马上就发出来，搞不好美国那边费劲吧啦无损拆开层层包裹的文件，上面写了三个大字儿个“逗你玩”
鹏翱九天,people,鹏之大，需要两个烧烤架,1,2019-05-30 11:39:31,2915,139,哈哈哈哈，FEDEX官方称自己每天1500万件交付，华为的寄件量一天我想往使劲高里估也不会超过1000件吧，华为三天内寄错了4件，哇，那如果华为没被针对，那出错概率都超过千分之一，就是每天全球最保守也寄错1.5万件。这水平的话，Fedex这哪里是快递，明明是漂流瓶公司啊！
灭霸本爸,people,,-1,2019-05-29 01:15:32,658,51,"误送个快递算什么。当年，他们可是""误炸""大使馆。什么事情他们做不出来？"
风与蓝天,people,,-1,2019-05-28 11:31:34,5276,386,两件被转送的包裹都是从日本东京寄往华为中国办公室。一件是5月19日寄出，另一件是5月20日寄出。最后却被寄到了联邦快递在美国田纳西州曼菲斯市的总部。另外还有两件5月17日从河内寄出的包裹，原定分别送往华为在香港和新加坡的办公室，却在抵达联邦快递香港和新加坡的中心时，以“特殊状况”被留置。根据联邦快递网站的说明，所谓的“特殊状况”意指不可掌控的因素干扰了寄送作业，包括关税延迟、国定假日、或是无人收货。华为提供电子邮件给路透社记者查看，表示他们在发现到邮件没有如期抵达目的地时，曾向联邦快递的客服反映，对方的回复是: “请您了解，联邦快递香港办公室收到来自联邦快递美国办公室的通知，要求留置此包裹，并把它送回美国。因此这件包裹并未送往收件人，而是留置在联邦快递的办公室，正在进行退回给寄件人的作业。”华为声称，两件从越南寄出的邮件都是华为签约的物流公司寄出的。虽然华为不愿意说出这个合作厂商的名称，但是他们表示，这家厂商拒绝给予联邦快递把邮件寄送到美国的权限，且要求他们寄回。转自德国新闻联邦快递发表声明，鬼才信内含紧急文件美国开始明抢了，不择手段，无耻至极
张旭,people,中二青年也要搞科研！,1,2019-05-29 09:43:39,4787,203,按照剧本，应该是美国往包裹里做了手脚以便宣称发现华为违反XXX的实锤，毕竟科技材料美国都有，做点手脚很熟练。以前我们高能物理所的老师出国开会，宾馆的门在锁上后被打开过，电话被监听，笔记本电脑被偷偷安装后门软件，这事情美国都干过，第一次遇到的时候还是挺吃惊的。从新闻来看，感觉华为真挺谨慎警觉的。
大玄武,people,小说作者，经济学专业,1,2019-06-04 13:10:35,857,56,全世界人心里都知道联邦快递这一次是不是故意的。包括大部分美国人。美国人也说过，这不是联邦快递第一次这么做了。我惊讶的是，华为集团竟然还敢雇佣联邦快递帮忙运送文件。法国人和日本人应该心里最清楚美国人的招式：绑架公司成员，以莫须有的罪名逮捕。打压对方公司业务，甚至不惜动用各种卑劣手段。监听，偷窃对方机密文件，偷取技术，反过来责怪对方偷窃技术........目前联邦快递已经回应：他们愿意接受中国警方调查，并且称这是一次误会。若是你们美国公司的文件，被中国的快递误送，不要说送到中国，就算是送到隔壁市，美国都会沸腾起来吧。现在世界之所以不再完全听美国人，一直考虑华为5G，英国人一再犹豫，美国人心中没有点B数吗？下一个轮到谁，你英国人的跨国公司还有几个能被美国搞，你法国人还有几个，你日本人继续跟着走，吃灰一千年你愿意？总之，目前美国任何一家公司都不能相信，因为美国公司才是真正跟他们政府挂钩合作的一方，是政治工具，曾经畅谈的【自由贸易】，【商业自由】的美国人，到头来却走在【闭关锁国】的最前线，有点讽刺。
荀文若,people,鸡胸肉真好吃,1,2019-05-30 17:38:21,1818,168,也不知道网络有多少智障相信这个说辞。作为一个前物流从业者。快递/物流的操作流程是这样的。假如你把货从广东省中山市，送往浙江省金华市。假设路径是这样的，中山乳鸽营业部——中山分拨——广州分拨——杭州分拨——金华分拨——金华火腿营业部。1，客户寄件，网点/营业部收货，打印出单，然后粘贴在货物上。（发车扫描）2，网点把托运货物送到二级/三级分拨，例如中山分拨。（到车扫描）3，中山分拨统一把到浙江的货送到广州分拨（发车扫描）4，广州分拨工作人员把所有分拨到浙江货物合拢一起。（到车扫描）5，广州分拨把货发往杭州（发车扫描）6，货物到达浙江杭州分拨。（到车扫描）7，杭州分拨将货物配给金华分拨。（发车扫描）8，金华分拨收到货物。（到车扫描）9，金华分拨将货配给网点/营业部（发车扫描）。10，网点收到货（到车扫描），将货送给客户。（送货扫描）——————————这中间每一个环节都要扫描，而且是扫两次。到件一次，发件一次。如果扫描某件货物条码不对，会将货物移到正确仓位。然后直接转运回正确路径。如果是对的，会放到广州——杭州的车位。——————假设20点，广州——杭州的车到达，工作人员开始做发件扫描。如果扫描发现不对根本不会搬上到杭州的车。有没有可能错，当然有！即使中间有这么多环节！我从金华火腿营业部送往中山乳鸽营业部的货，最终当然有可能一错再错再错，最后到了南京盐水鸭营业部。但是我从金华火腿营业部发往中山乳鸽营业部，从顺德乳猪营业部发往包头烤全羊营业部。最后“不约而同”都到了重庆水煮鱼营业部。————————一次有可能错，漏扫描，发错之类的。但是华为那几个文件中间这么多环节。而且还不是同一个批次，不是同一个时间，不是同一个地方，甚至不是同一个国家。最后都到了美国？R U KIDDING ME？————————这是多元多次方程，你要求出正确解，只能解开方程，如果解是X＝3.8，14.5，39.74。你怎么蒙也蒙不对所有答案。是吧？——————我只能说，联邦快递脸都不要了。下作到这地步。
文华,people,人工智能与共享医疗,-1,2019-05-29 08:37:33,923,76,有网友评论说这篇是总部申明的中文翻译，我暂时没有看到有关报道，也许没有什么公义，但这两个不相关的数字写在这里真的很有趣！————————————————联邦快递的声明很有意思，他们在其中列举了两个看起来毫无关联，却至关重要的数字，让我们看到在联邦快递工作的同胞心中那份公义：这篇声明只有两句是谎言：“被失误转运”，“没有任何外部方面要求”。为什么是谎言，您都不用去查资料，声明直接告诉我们：每天超过1500万个包裹。全球超过45万名员工。根据常识，联邦快递的运输，肯定不是一个人拿着快递，从日本飞到了美国，而是将货物按照运单归类打包，装上飞机，然后飞往目的地，这中间是有多个中转点，每个中转点都要对运单条码进行扫描的，那么，1500万个包裹，发生错误的比例是多少？此次事件，没有听到其他客户投诉，而包裹从两个起运点在两个时间分别交付，那么，每次事件产生的概率是是1/750万，连续两次的概率是：1/562500亿，声明的意思是：已经是一个天文数字的极低概率，被华为撞上了，华为应该赶紧去买彩票去。这位在FEDEX工作的同胞的意思是：别听FEDEX公关的鬼扯，这TMD就是被人指使的！
willy,people,,-1,2019-05-29 10:21:44,613,45,看到一些人为联邦快递和美国政府洗地，说美国人智商没这么低，不会范这么低级错误，当然美国人不蠢，否则怎么是世界第一强国？就是因为他是唯一超级强国，掌握了舆论话语权，他可以随心所欲，就是摆明了欺负你，怎么了？你敢反抗？你能反抗？有国际舆论支持你？连你自己都有些傻货主动为美国洗地，说美国不是故意的，不会那么傻，就是失误，在这种情况下，美国需要偷偷摸摸，抹除痕迹吗？大象无需在乎蚂蚁的想法，美国认为自己就是大象，他做的一切就是真理，这样的思维需要考虑你中国人的感受？就是干了，你中国敢把联邦快递怎样？如果反过来，中国邮政要是这么干，就算确实是失误，美国立马把中国邮政干死，劝大家清醒清醒，这是中美全面对抗，只是没有看的见的枪炮和鲜血，团结起来，为国家的强大努力奋斗吧，好好学习，好好工作，努力消费，支持国货，拉动内需，就是为国而战！
