name,type,headline,gender,created_time,vote,comment,content
齐遨,people,不再回答专业领域的问题,1,2019-01-29 11:30:31,16,13,这次控告的第三件事简直匪夷所思。华为email告知在T-mobile（美国主要手机商之一）外派的人员偷对方的测试机器人。于是华为员工就偷偷进入T-mobile的实验室，偷偷拿了一个机器人装自己包里，没出大门就被抓了。和华为总部的通信也被一锅端。还有一个是华为内部奖励偷窃外国公司技术的条例。这应该是中兴这个猪队友贡献的线索。另外，我不明白很多人吃惊什么。中共最重的话据说是“言之不预”。美国最重的话是“不可接受”（unacceptable）。没得谈的意思（没得谈，自然就只能打了，所以说这话最重）。自从很多中共人把自己定位为粉碎机以来，美国观察了一段时间，觉得被人利用自己的规则漏洞把自己粉碎这个事情是“不可接受”的（奥巴马的用词）。于是有了TPP升级、后来升级为贸易战（川普嫌TPP太慢）。从欧美人的角度看，你都把自己定位为粉碎机了（而不是合作者），那么怎么反应都有理由。美国制裁中共的公司不从华为开始。比如某军火公司，从2005年起主要公司领导（副部级以上）都上了美国全球通缉的黑名单。他们从来不去美国的引渡条约签约国。因为全球通缉不是闹着玩的。一旦进入这个序列，除非事先解除通缉，否则美国政府想松手都难办，因为西方的司法、立法、行政是各自独立的。去年华为的领导也被全球通缉，这个风口居然去加拿大看丈夫孩子。真是天大的乌龙。既然被加拿大抓了，美国提起引渡请求是合乎程序的。美国的引渡请求，历史上看，加拿大同意了90%以上。毕竟美加法理体系类似。美国司法部认定违法的事情，在加国很可能也违法。所以加拿大9成5会同意。华为由美国司法部控告，而不是商务部，说明华为欺骗美国公司和英国银行并私通伊朗的事情一旦实锤，很可能处理比中兴严厉。因为这上到了刑事犯罪的层次，不能简单罚款了事。
安然,people,公众号：anranoneworld,1,2018-04-26 06:51:39,21,16,刚才看题目的时候，还以为是假新闻，因为按理说发起调查的应该是商务部，怎么会是司法部。搜了一下，在新浪财经看到有介绍：而这一次，美国司法部对华为展开的是刑事调查，代表着华为可能存在更严重的潜在不当行为。如果调查者发现华为故意违反美国的出口禁令，可能对华为处以额外的刑事处罚。此次的司法部调查之前，华为还接到了美国商务部和财政部的行政传票，也是关于出口禁令方面的问题。华为和中兴不一样，不论是体量，还是在行业内，亦或是在国际、国内的影响力，都非中兴可比。当前，华为是全球基站电子和其他通信设备的最大厂商，也是全球第三大智能手机厂商。对中兴下手，和对华为下手，是截然不同的。尤其是在华为几乎退出美国市场的时候，如果打压成真，那毫无疑问是要阻止中国公司在高科技领域的发展。从这个角度讲，华为是个更大的靶子，也是个更好的筹码。虽然份额高，但华为还没有到不可替代的地步。虽然在手机cpu上不依赖高通，但在其他零部件上，对美国也有相当的依赖。而cpu还是委托台积电生产，也在美国势力范围内。当然华为也是美国公司的大客户，制裁华为对美国公司也有影响。中兴真是猪队友啊，这次卖了自己还不够，把华为也卖了。现在只能看后续，因为现在消息不全。如果真的制裁华为，那就真逼着我们考虑抵制苹果了。
爱带娃的好爸爸,people,十年手机玩家，PC玩家,1,2018-04-25 23:23:31,3,0,中美贸易战的一部分，先干中兴，再干华为。
明非,people,,-1,2018-04-26 14:11:54,7,6,特朗普喜欢利用人的情绪与愤怒，而且总能成功。对华为不可能像对中兴一样，因为华为购买的芯片数量是中兴的十倍之多。断了华为也是在砍美国芯片的腿脚，更是挑战世界供应链。特朗普做了美国政府想做却碍于情面不愿做的事，就是像个泼妇一般到处碰瓷，然后特朗普揽下一切谩骂，美国政府去获得实惠。对美国来说，特朗普无可厚非是一位好总统。其次我国是弱于美国的，弱者自然要清楚自己的位置，不涉及核心利益的前提下，可以做些让步。最后，联合国应该设立奖项，“世界最佳带节奏奖”，第一个人就颁给特朗普。
杨思基,people,知者,-1,2018-04-26 14:17:49,3,0,总的是这样一个大题目：美国试图掐住中国脖子的路数还会有哪些？
王牌00蛋炒饭,people,,-1,2018-04-26 20:13:30,4,2,彭博26日报道透露，中兴内部文件中提到代号F7的竞争对手违背美国对出口伊朗控制规定。FBI和财政部从去年起调查F7身份，发现文件描述与华为吻合。为什么华为代号叫F7？华为简拼HW与夫妻（husband & wife）首字母同，外加华为是任正非的夫妻店，故谐音做F7。http://bloomberg.com/news/articles/…                               
ks fz,people,程序员,1,2018-04-27 17:23:44,2,0,"怎么说呢，和外国做生意，就要想着美国如果禁运怎么办?国内没事，你就是全用盗版windows,美国也是干瞪眼。中国厂商现在才反应过来，未免太慢了。。或者说低估了美国的恶。。"
飞鱼,people,每天多一点正能量,1,2018-04-28 03:45:51,2,0,"爆出向伊朗出口禁运有家公司F7，据说就是华为。HW=husband wife,中文夫妻，谐音F7， "
赵军,people,通信设备 / 合规管理 / 摄影、游戏、电影、路亚爱好者,1,2018-04-27 23:33:15,2,0,推荐去油管看看“Death by China”，能帮助深刻理解川普究竟要干嘛。回到问题本身，一旦美国公司被禁止向华为出售软、硬件，华为的结果和今天的中兴一摸一样。海思救不了华为。
明心亮空,people,佛易道+量子相对论爱好者,1,2018-04-26 10:10:07,32,67,华为是有违反的，这个不解释。如果华为被制裁，华为同样休克。很多关键元器件还是依赖进口；海思只是芯片设计，生产由台积电完成。目前美国的意图不明，如果只是简单的敲诈勒索，贸易战认输交钱了事，这还是好的。最担忧的是美帝不跟你玩了，把中国踢出国际制造分工的这个体系。我的标准你不许用；我的元器件你不能用；我也不进口你的系统设备，我的体系内的设备不与你通用。当然，也不是说断绝了贸易往来，中国的初级产品美帝照样进口，科技文化交流继续。美帝贸易策略会这样：不卖CPU，只卖成品电脑；不卖发动机，只卖整部车；不卖元器件，只卖成套设备，你爱用不用。这样的后果是什么，中国自己关门玩，自己搞一套标准，自己生产全部的元器件。中国还是有这个能力的，问题关键是我们的设备卖个谁去？自己用是可以的，但我们用来进口石油铁矿石的外汇从哪里来？！我猜测美国的想法，当然这需要好几年时间：第一步是敲诈勒索；第二步提高税率限制对华出口，同时培养东南亚墨西哥等国家地区替代中国部分产品；第三步是把中国踢出国际制造分工体系。不知上面是如何应对？
