name,type,headline,gender,created_time,vote,comment,content
怒风zzz,people,守夜人,-1,2018-04-18 21:01:55,41,6,主要是站队和刷存在感问题。在这美帝联军围剿中俄战打的如火如荼的时候来这一小动作无疑在国际社会会引起较高关注度，增加台湾在国际社会的存在感。同时也向美国爸爸旗帜鲜明的表明立场。另外选在大陆正在海峡搞军演的时刻宣布这一决定更能为台湾捞分不少，更能向世界宣扬大陆鸭霸和台湾制裁大陆的正当性。不过按照某办的一贯作风，就算真正征反倾销税TG也会忍了。
陈通,people,,1,2018-04-22 02:59:55,34,3,正常操作，台湾政府一直很戏精，前一阵子欧美国家联合遣返俄罗斯大使的时候，台当局也把俄罗斯驻台代表拉过来谴责一顿，痛批其“使用化学武器”。本质上讲，这是台湾某些人对于“自由世界”的一种皈依者狂热。
盛京西景,people,你的布加迪再快，仍然快不过时光,1,2018-04-21 15:47:19,51,6,没什么可看待的，可以说不在乎吧。看现在舆论风向，高层早就想开了。只不过有些事不能一蹴而就。斗升小民有啥可操心的。我在意的是，美国人看中国打贸易战，是不是跟我们看台湾跟大陆打贸易战是一个态度。诶，国弱，真tm憋屈。吾辈当共勉。
匿名用户,people,,1,2018-04-21 19:33:21,38,3,我越来越喜欢菜菜子了简直推动两岸统一不二推手比起那些恶心的蓝营，这些无脑跟美国起舞的绿营才是真正的民族英雄可以的，很稳
时光灭绝季,people,知道自己的认同与追求,1,2018-04-23 12:21:20,5,0,蔡英文不是说了么，台湾是棋手，美国是台湾的棋子。显然这次中美贸易战，就是蔡英文授意特朗普发起的。台湾才是幕后大boss。
「已注销」,people,,0,2018-04-22 16:14:44,1,2,说实话，其实是高招。如果大陆不反应，那么台湾单方面占便宜。大陆反应，报复性制裁，则可以借机削弱两岸经贸往来，对泛绿也是有好处的。如果这段时间台海真的爆发战争，台湾会宣传是由于跟进制裁大陆的缘故，美国如果不出兵会导致国际社会不信任，难以合作遏制中国。换句话说，这种行为可以增加美国出兵的可能性。
雁南归,people,"stay young, stay simple",1,2018-04-20 13:23:09,16,3,某台湾人说，这些都是特朗普让你们做的，所以你们就要去做。这是啥逻辑？特朗普让你们干啥你们就干啥？套用小学老师的话，他让你们吃屎你们也吃？
小明啊小明,people,2730N,-1,2018-07-01 13:46:10,0,0,"2010年12月3日，WTO专家组就我国诉欧盟对我国钢铁扣件反倾销案作出一审判决，支撑了我国的8项诉求；一起，以为我国对11项诉求证明不充分不予支撑，并对另外9项诉求不予判决，或许以为不在管辖范围，或许没有判决必要。我国取得支撑的8项诉求是两边争议的中心，所以从整体上讲，我国胜诉。

　　重税下的抵挡

　　以反倾销之名，2009年，欧盟开端对进口我国的钢铁扣件课以重税。

　　因为真实深恶痛绝，2009年7月31日，我国在WTO申述欧盟。首要进行的是必经的商量程序，但商量无果。同年10月12日，我国要求建立专家组进行审理。巴西、加拿大、智利、哥伦比亚、印度、日本、挪威、我国台湾、泰国、土耳其和美国以第三方身份参与诉讼。

　　我国的诉求可以分为三部分：

　　一是欧盟本来的《反倾销基本法》的相关金钱违反了WTO《反倾销协议》关于依据和征收反倾销税的规则，《关贸总协议》（1994）关于最惠国待遇和关于交易办理办法透明度的规则，以及《WTO协议》关于严厉实行公约责任的规则。

　　二是欧盟2009年1月26日下发的反倾销纳税令是依据欧盟《反倾销基本法》相关条款下发的，不只违反了上述WTO《反倾销协议》，还违反了其关于国内工业最低支撑率的规则，关于倾销的界定、国内工业和工业危害的界定以及倾销和危害之间因果关系的界定等中心条款。

　　三是要求专家组在判决的一起，对欧盟怎么实行判决提出详细的履行主张。

　　2、美国商务部7日宣布对从我国进口的无缝钢管建议反倾销和反补贴税查询。此举可能导致美国对此类产品设置新关税。
　　美国商务部说，这项查询是应美国钢铁公司、V　　我只有美国提起的 你要么？ 榜首列是美国事例号（A表明反倾销；C表明反补贴），第三列是涉诉产品名称。其中2011年刚提起申述申请的分别是： 
　　反倾销： Stilbenic Optical Brightening Agents 
　　反倾销反补贴： Galvanized Steel Wire 
　　反倾销反补贴：Steel Wheels 
　　这三起均还没有立案。以下是05-10年的案件。 
 
　　  C a l e n d a r   Y e a r   2 0 0 5 
　　A-570-899 China Artist Canvas 
　　A-570-900 China Diamond Sawblades and Parts Thereof 
 
　　A-570-901 China Lined Paper Products 
　　A-570-902 PRC Carbon and Alloy Steel Wire Rod 
 
　　  C a l e n d a r   Y e a r   2 0 0 6 
　　A-570-904 PRC Activated Carbon 
　　A-570-906 PRC Coated Free Sheet Paper 
 
　　C-570-906 PRC Coated Free Sheet Paper 
 
　　  C a l e n d a r   Y e a r   2 0 0 7 
　　A-570-908 PRC Sodium Hexametaphosphate 
　　A-570-910 PRC Circular Welded Carbon Quality Steel Pipe 
　　C-570-911 PRC Circular Welded Carbon Quality Steel Pipe 
　　A-570-909 PRC Steel Nails 
　　A-570-914 PRC Light-Walled Rectangular Pipe and Tube 
　　C-570-915 PRC Light-Walled Rectangular Pipe and Tube 
　　A-570-916 PRC Laminated Woven Sacks 
　　C-570-917 PRC Laminated Woven Sacks 
　　A-570-912 PRC New Pneumatic Off-the-Road Tires 
　　C-570-913 PRC New Pneumatic Off-the-Road Tires 
　　A-570-918 PRC Steel Wire Garment Hangers 
　　A-570-919 PRC Electrolytic Manganese Dioxide 
　　A-570-922 PRC Raw Flexible Magnets 
　　C-570-923 PRC Raw Flexible Magnets 
　　A-583-842 Taiwan Raw Flexible Magnets 
　　A-570-924 PRC Polyethylene Terephthalate Film, Sheet, and Strip (PET Film) 
　　A-570-920 PRC Lightweight Thermal Paper 
　　C-570-921 PRC Lightweight Thermal Paper 
　　A-570-925 PRC Sodium Nitrite 
　　C-570-926 PRC Sodium Nitrite 
　　  C a l e n d a r   Y e a r   2 0 0 8 
　　A-570-928 PRC Uncovered Innerspring Units 
　　A-570-929 PRC Small Diameter Graphite Electrodes 
　　A-570-930 PRC Circular Welded Austenitic Stainless Pressure Pipe 
　　C-570-931 PRC Circular Welded Austenitic Stainless Pressure Pipe 
　　A-570-932 PRC Steel Threaded Rod 
　　A-570-933 PRC Frontseating Service Valves 
　　A-570-934 PRC 1-Hydroxyethylidene-1, 1-Diphosphonic Acid 
　　A-570-935 PRC Circular Welded Carbon Quality Steel Line Pipe 
　　C-570-936 PRC Circular Welded Carbon Quality Steel Line Pipe 
　　A-570-937 PRC Citric Acid and Citrate Salts 
　　C-570-938 PRC Citric Acid and Citrate Salts 
　　A-570-939 PRC Tow Behind Lawn Groomers and Parts Thereof 
　　C-570-940 PRC Tow Behind Lawn Groomers and Parts Thereof 
　　A-570-941 PRC Kitchen Appliance Shelving and Racks 
　　C-570-942 PRC Kitchen Appliance Shelving and Racks 
　　  C a l e n d a r   Y e a r   2 0 0 9 
　　A-583-843 Taiwan Polyethylene Retail Carrier Bags 
　　A-570-943 PRC Oil Country Tubular Goods 
　　C-570-944 PRC Oil Country Tubular Goods 
　　A-570-945 PRC Prestressed Concrete Steel Wire Strand 
　　C-570-946 PRC Prestressed Concrete Steel Wire Strand 
　　A-570-947 PRC Steel Grating 
 
　　C-570-948 PRC Steel Grating 
　　A-570-949 PRC Wire Decking 
 
　　C-570-950 PRC Wire Decking 
 
　　A-570-951 PRC Woven Electric Blankets 
　　A-570-952 PRC Narrow Woven Ribbons with Woven Selvedge 
 
　　C-570-953 PRC Narrow Woven Ribbons with Woven Selvedge 
　　A-583-844 Taiwan Narrow Woven Ribbons with Woven Selvedge 
 
　　A-570-954 PRC Magnesia Carbon Bricks 
　　C-570-955 PRC Magnesia Carbon Bricks 
　　A-570-956 PRC Seamless Carbon and Alloy Steel Standard Line 
　　and Pressure Pipe 
　　C-570-957 PRC Seamless Carbon and Alloy Steel Standard Line 
　　and Pressure Pipe 
　　A-570-958 PRC Coated Paper Suitable for High-Quality Print Graphics 
　　Using Sheet-Fed Presses 
　　C-570-959 PRC Coated Paper Suitable for High-Quality Print Graphics 
　　Using Sheet-Fed Presses 
　　A-570-960 PRC Steel Fasteners 
 
　　C-570-961 PRC Steel Fasteners 
 
　　A-583-845 Taiwan Steel Fasteners 
 
　　A-570-962 PRC Sodium and Potassium Phosphate Salts 
　　C-570-963 PRC Sodium and Potassium Phosphate Salts 
　　A-570-964 PRC Seamless Refined Copper Pipe and Tube 
　　  C a l e n d a r   Y e a r   2 0 1 0 
　　A-570-965 PRC Drill Pipe 
　　C-570-966 PRC Drill Pipe 
　　A-570-967 PRC Aluminum Extrusions 
　　C-570-968 PRC Aluminum Extrusions 
　　A-570-969 PRC Glyphosate 
 
　　A-570-970 PRC Multilayered Wood Flooring 
　　C-570-971 PRC Multilayered Wood Flooring"
小宇宙爆发Ray,people,骑行/摄影/法律/创投,1,2018-04-22 09:36:29,13,61,有人好像说文不对题其实很简单，我的意思就是小粉红们，民主政体当然只对公民负责也就是你们说的对选票负责这不是一个是非黑白的问题仅仅只是，老百姓会回用选票说出自己的顾虑这也是英国脱欧、川普上台所说的平民主义的胜利至于为什么中国翻译中平民主义要翻译成民粹那么其合理性，为个人理解之问题如有相关了解，自可以认识其不合理之处国民一不行就要武力统一台湾一不行就要鼓吹国内军事实力有多强一不行就要遍地台湾地区公投有多差殊不知两岸人民想要统一的也不在少数总是觉得隔离多年别人变了但不思考隔离多年我们是不是变了国民的自信力不来源于军事的炫耀、不来源于暴力的一统民主体系下的地区，当然只对公民负责比如香港的签证对欧陆比对国内宽松比如台湾为了彰显国际地位，附和美国网络上没有那么多不必要的暴力来强化国家主义平心静气坐下来一想网络往往放大了人性里对恶的揣测不单独回复评论了。累如果大家的攻击就是...你就是反华势力？台湾人骂你猪你还有尊严吗？.....大家爱喷喷我不是小粉红，但是热爱自己的民族知乎就是一个没有所谓政治正确的地方你接受不了别人的观点就多看书多看报尝试理解别人的观点这也是我选择到台湾交换的原因至于统一大业.....抱歉。等我们的法制化建设完全再说吧特别声明。支持和平统一评论：真实不虚：统一台湾可以提高大家的人权尊严
爱走薄刃,people,心亦如死海，焉能荡浪花,1,2018-04-20 11:14:28,5,0,我拿你当同胞，你拿我当支那豚。人家跟着美干粑粑有什么不对。
