name,type,headline,gender,created_time,vote,comment,content
Thomas,people,卡文迪许,1,2019-05-23 16:40:16,34,5,虽然很扯，但是感觉川酱是从异时空穿越来的，打醒了中国。川酱家族满门忠烈约翰·乔治·特朗普曾经帮助我国获取了静电质子加速器，在某蛋事业上立下了汗马功劳。在没有川酱的时空里，实业误国，地产兴邦。大量985 211的生化环材，精密仪器，机械设计等等迫于房价和丈母娘压力，纷纷转型CS和金融。当然，还有转型手游策划，研究如何让小白鼠氪金。北大18届毕业去向清华去向然后转型油腻的中年炒房族比如复旦欧神，欧神曾经也是奥赛少年，复旦物理毕业后，因故转型炒房。一线城市因为房价过高，将实业挤出，留下空壳。科研行业被SCI指标主导，大量快乐灌水。这次大家警醒了，重新回到实业兴邦的道路。最关键的点，大量科研项目和企业项目是面临紧急的deadline。过去灌水式的科研人员将没有生存空间。希望可以扭转唯SCI指标论，转为以实战论真英雄。各类科研人员，还有工程口的研发人员，起码有希望留一线。理工才是国家的脊梁。川酱强行扭转了时空。如果中国每个物理少年，数学少年，曾经自比高斯  欧拉的那些少年们，没有转型，去FLAG 去牛街，去各大地产们丫的，连量子计算机都给你搞出来好吧。
云中流浪,people,微信公号：数豆职人       ,1,2019-05-23 21:16:00,15,0,谢邀这个税收政策就是一个对已经到期的文件，对税收政策做一个延续。毕竟税收文件都有一个期限性，不可能发一个文件就说这个文件永久有效。那还要法律法规的程序性东西干啥。所以大家就不要强行和最近刷屏的华为事件联系起来。注意税务局的大厅是“为国聚财，为民收税”，人家不是写的其他的。当然税收也会考虑一些政治经济学的东西，但是如果税真的有法力无边之作用，那么土地增值税，自1994年开征以“为了规范土地、房地产市场交易秩序，合理调节土地增值收益”为目的税，为何越调房价越高？ 所以税不是万能，各种因素太多了，妄想一个税就能拯救芯片，就想立马科技强国，那你也太瞧得起税了。那还要科技部干嘛。哈哈关于软件企业历史税收文件--相信你也不会看下面文字，贴出来而已。 国务院关于印发鼓励软件产业和集成电路产业发展若干政策的通知---  国发[2000]18号 “　第六条　在我国境内设立的软件企业可享受企业所得税优惠政策。新创办软件企业经认定后，自获利年度起，享受企业所得税“两免三减半”的优惠政策。”国务院关于印发进一步鼓励软件产业和集成电路产业发展若干政策的通知---国发[2011]4号   “（六）对我国境内新办集成电路设计企业和符合条件的软件企业，经认定后，自获利年度起，享受企业所得税“两免三减半”优惠政策。经认定的集成电路设计企业和符合条件的软件企业的进口料件，符合现行法律法规规定的，可享受保税政策。”财政部 国家税务总局关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知--财税[2012]27号财税[2016]49号 财政部 国家税务总局 发展改革委 工业和信息化部关于软件和集成电路产业企业所得税优惠政策有关问题的通知---财税〔2016〕49号关于集成电路设计和软件产业企业所得税政策的公告-- 财政部 税务总局公告2019年第68号
西方雨,people,公务员,0,2019-05-23 15:37:07,11,5,时限再长一些就好了！范围更广一些就好了！能不能有千人计划以外的专项计划，固定吸引相关专业，基础专业的人才回国！同时，能不能进一步扩展到外国人才的吸引和引进上？人才引进计划中能不能创造一种生老病死子女老人配偶配套解决的方案，让人才真正的全身心地投入到自己的事业中去。
MUMA,people,理科生,1,2019-05-23 17:52:33,14,3,中国政府制定这个政策的真实目的是支持“华为公司”，而不是大多数人从字面上看到的对“集成电路设计和软件产业”予以扶持。出台这项政策，其实是以国家的力量和资源对中美贸易战中华为等企业进行补贴，以支持华为度过难关。对此，我们可以看一下这个文件发布前一天，2019年5月16日中国商务部召开的新闻发布会商务部例行发布会，发言人密集回应中美贸易磋商相关问题_国际新闻_环球网其中一个回答涉及到了一个外交部和商务部发言人经常提及，但从来不详细解释的名词“政策工具”。上海证券报记者：除了贸易方面外，中国是否在其他方面感受到了美国不断增加的压力？中国是否能应对美国更高的关税以及经济上其他方面的压力？中国更担心中美贸易战对近期经济的压力，还是贸易战长期的影响？　　高峰：首先我想再次强调，中方坚决反对美方加征关税，这不利于中国，不利于美国，也不利于整个世界，贸易战没有赢家。中国的宏观政策还有充分空间，政策工具很多，我们有信心有能力应对任何困难和挑战。中国经济产业体系完整、市场规模巨大，韧劲强、回旋空间大，前景十分光明。谢谢。果然，第二天财政部和税务总局就使用了“税收优惠”这个政策工具，但这个工具并不是按期字面意思是支持“集成电路设计和软件产业”，而是补贴华为。因为中国各级政府某种含蓄的行文习惯，中国的普通民众看政府的文件时总有一种云里雾里的感觉，普遍缺乏解读政府文件的能力，进而对中国各级政府经济部门制定的政策的实际意图摸不清头脑。答主作为某地方基层经济部门的工作人员，就简要讲解一下如何分析这个文件的真实意图吧。要想读懂这文件真实在讲什么事，得先了解文件发布的背景，结合背景来解读，才能排除中国各级政府为了不落下口实而写出的文件真实的意图是什么。首先，我们要知道，中美贸易战打了这么久，中国一向给外界传递一个中国是遵守多边规则的被迫应战者，且积极塑造美国是规则的破坏者和霸凌形象。因此中国采取的很多对抗美国政策，必须名义上符合wto贸易规则且不能留给外界明显的口实。美国指责华为是国企，且享受中国政府的补贴，所以会在通信领域听从中国政府的命令危害其他国家的通信安全。对此华为和中国政府都予以否认，以让其他国家安心。美国随意破坏国际贸易的多边规则，逼迫美国公司及与美国关系紧密的国家公司禁止向华为提供半导体芯片和软件服务——目前响应的有ARM和google，后续预计还会有其他西方国家的公司跟进。如果这个时候中国才想起重视和支持“集成电路设计和软件产业”，指望相关行业在其支持下开发相关设计，不是太晚太迟钝了么。在这个背景下，华为使用国产自主研发的替代产品已经是板上定钉（见相关华为“备胎”一夜转正的新闻）。既然华为会在短期内大规模使用国产的产品，那么国内那些做“集成电路设计和软件产业”的企业，必然会因为接到华为的业务而收入暴增，2019年企业所得利润肯定是一个漂亮的数字。之前国家没减税，这些企业都能活下来且有一定的发展（不排除活下来的企业一直在接受国家补贴），在今年的收入和利润都会有一个很好的数字，企业未来肯定会活得更好的情况下，国家为什么反而要减税呢——就好像你是贫困户时国家给你补助，等你时来运转抽奖中了个五百万，脑子正常的国家会特意出个政策说因为你之前是特困户国家为了帮助你脱贫所以这次就不收你个人所得税么？因此，该政策的真实目的就呼之欲出了，国家给相关设计企业减税，那么设计企业卖给华为的产品的成本就会下降（因为不含交给国家的税），相应的卖给华为的产品的价格就会下降，进而在整个范围内降低了华为的生产成本，相当于最终将这部分减税的补贴间接传递到了华为那里。因为在整个操作过程中，减税补贴直接对象是相关的设计企业，所以从法律上看，中国政府并没有给华为任何补贴。综上，对于近期中美贸易战，华为公司被美国政府使用行政力量，以违反贸易规则的方式进行打压，中国政府当然也会调用国家行政资源和力量予以支援。但考虑到华为所处的行业高度涉及各国的敏感安全顾虑，故中国政府任何直接补贴华为的行为，都是不恰当的。但如果中国政府无动于衷，华为一个公司肯定没有力量去对抗一个国家。既然只有国家才能对抗国家，而中国又得兼顾道义性和面子，不能像大飞机、汽车等其他行业那样直接补贴就完事了，故采取了这种复杂的“政策工具”。相关中美贸易战政策工具的拓展性阅读：美国对中国芯片禁售，中国为什么不能禁售稀土？相关答主推测的中国为了追求道义性而采取的表面示弱内心腹黑的操作：广西作为沿海省份，高速铁路里程全国第二，为什么经济落后？
ImBatman2,people,苹果开发数码达人,1,2019-05-23 15:26:45,29,5,"好事.人民群众应该感谢特朗普, 他拯救了一个正在急剧堕落的民族.华为事件后国家意识到什么才是国家的核心竞争力, 什么才是国之重器.国家终于意识到应该扶持科技行业, 而不是扶持房地产行业.国家现在陷入这个被动境地, 都是仰望星空的地质专家造成的.希望国家继续引导基础理论人才的教育, 比如数学, 物理等.一点扩展, 什么才是有希望的民族, 人民安居乐业, 追求真理, 重视教育和基础理论,重视科学文化艺术等软实力领域的创造, 价值观是尊重创造价值的人. 而现在是什么样子, 人民水深火热, 利益至上,重视房地产,价值观是尔虞我诈,没人重视软实力领域的东西.英国 ARM 公司宣布停止与华为的业务，将造成多大范围的影响？高晓松在节目里讲过, 北大清华这样的学校应该是国之重器, 名校应该胸怀天下，名校应该纵横四海。他培养追求真理的人才, 让人们更加相信真理. 他去清华演讲, 讲了一通诗和远方,然后第一个提问的人是问应该找什么样的工作, 气的他再也不去了. 如何看待高晓松炮轰梁植愧对清华教育？《奇葩说》高晓松炮轰清华学霸什么是国之重器? 德国古典时代的哥廷根大学, 他的老师和学生们有高斯, 黎曼,闵可夫斯基,希尔伯特, 普朗克,爱因斯坦,海森堡,奥本海默,狄拉克,费米,玻恩,泡利,普朗特(冯卡门的师父,高晓松外婆的师父,他外婆创建了北航,),冯卡门(钱学森的师父),洪堡, 格林兄弟,海涅等.英国的牛津和剑桥大学, 有亚当斯密, 牛顿, 开尔文, 麦克斯韦, 波尔, 玻恩, 狄拉克, 奥本海默, 霍金, 达尔文, 凯恩斯, 图灵, 培根, 罗素等大师.芝加哥大学由石油大亨洛克菲勒创办, 那里诞生了著名的芝加哥经济学派, 弗里德曼的货币主义使得资本主义的周期性经济危机不再发生, 避免了二战这样的战争. 费米更是建立了第一个反应堆并领导了曼哈顿计划.这些学校创造了辉煌的现代文明.美国的科技公司, 洛克希德马丁, 波音, 通用电气, intel, 微软, 苹果, 谷歌等.这些公司创造了辉煌的现代科技.而中国有什么, 万科, 恒大, 联想. 他们创造了辉煌的房地产业和买办产业."
花名航姐,people,互联网教育售后老油条,1,2019-05-23 16:49:04,1,2,谢邀看到这个新闻的时候，我跳了起来，在办公室跳了起来，可见我的兴奋！终于出手了，国家终于出手了！虽然还不清楚具体效果怎么样，但是至少看出了国家在这方面的态度，那就是不再怂了，刚到底！国家这样做，应该是希望有更多的资本涌入这个这个行业，希望通过资本的力量加速整个行业的发展！但，这里面也有危机，资本是短视的，也不太可控的，希望尽量少出现那种打着红旗捞钱的事情！出现多了真的伤人感情，也伤了真正想发展行业人的心，那后果更严重！
huang liu,people,,1,2019-05-23 23:16:26,5,1,国家不仅给科技企业减税，也要给从事科技的工程师减税，高科技工程师个税减免教育子女优待优先落户城市，现在科技人员在一线城市工作一点尊重都没有，还被一帮啥本事没有的土著整天DISS来DISS去。朝鲜的科学家住的是平壤最好的黎明大街的公寓，什么时候长安街的最好公寓也给科学家了也就差不多了吧。两弹一星时期，普通人吃糠咽菜，科学家好歹有肉和罐头吃，在金银滩基地有专门的一个城市，教育医疗都是特供，北京住的是二环最好的苏联专家楼，来回探亲有专机接送。朝鲜和当年的中国能完成两弹一星不是偶然撞大运，对人才的尊重深入骨髓，中国人才很多只要尊重人才，人才自然会回报社会。构建一个尊重科学家尊重人才的氛围，那是顶层设计国家才能解决。北京市给诺贝尔奖得主只是减免房租，真是可笑。
夜的四天,people,设计师/双重人格/隐蔽树洞/S,1,2019-05-23 18:46:19,1,0,想想还是要感谢老特，终于有了一点科学青年的味道了现在就是给你二倍的工资和企业福利，产品只要比老美的持平或者超出5%就行啦！想想终于不要被美国芯片行业的精湛刀法所压榨了！
啃泥周公子,people,一百只耳朵，不多不少,1,2019-05-23 18:04:03,2,0,不算是新政策，两免三减半一直都有，本次政策是应该理解为扩大了企业覆盖范围。原来只覆盖软件企业，现在算是覆盖了整个软硬件行业了吧。
古里老饕,people,科技与美食饕（tāo）,1,2019-05-23 15:53:08,5,0,谢邀，答主看到这条优惠政策的出台，切切实实地感受到了国家对集成电路设计和软件产业的重视，这一段时间，中国许多高科技企业受到了美国为首的利益集团的打压，可以说，现在中国的芯片产业到了生死存亡的时候，这一政策的出台，正可谓是为中国人民打了一针强心剂。我们可以看到，华为事件的背后，透露出的是这几十年来中国芯片产业发展不合理，不健康的现象，改革开放几十年来的中国经济虽然获得了惊人的成绩，但其不合理的经济结构，造成了如今中国经济的短板，这也是当今我们应该去解决的问题。但是无论如何国家怎么给企业减税，都并不能从根源上解决如今中国所面临的问题，在对任正非的采访中，我深深记得任老强调了一个点，社会就是应该有口号“用最优秀的人去培养更优秀的人”，“我们再穷也不能穷老师”。我认为，现在对教育的重视程度决定了这个国家50年后的发展程度，国家未来的希望全在乎教育。华为能在如今生死存亡之际还能临危不惧，靠的就是这几十年来华为对于人才的重视。华为只是中国成千上万的企业中的一个缩影，但是，如果所有的企业都重视教育，整个社会都重视教育，那中国的明天就不会像今天一样，一个重视教育的民族，终将会为整个世界做出贡献，也终将会得到相应的地位。
