name,type,headline,gender,created_time,vote,comment,content
孤独症患者,people,冰与火之歌,1,2018-09-14 09:13:20,9,2,美国的这套操作就像是：两家孩子打架，一家人有权有势包，相当霸道，另一家人老实巴交，生性懦弱，霸道的家长说：既然你家娃你管不好，我来替你管吧。懦弱的家长委屈求全不得不答应，要不然人家断你家水电，堵你家门。这是何等屈辱的事情。中兴作为中国少有的几个高科技企业，拥有电子产业绝大部分的技术储备，这样一搞相当于中国电子产业被扒掉了底裤，赤裸裸的摆在了美国面前。中国的2025战略实现的必要保证就是电子产业的崛起，如果电子产业被美国遏着咽喉，工业自动化无从谈起。其实个人觉得，当时不如直接让中兴破产，然后分拆为一个一个的小企业，国家队退出，民营挺进，十年之后说不定又造出好多家华为。总归，总是抱在怀里的孩子永远长不大！
绝不颤振顾颂芬,people,,0,2018-09-11 10:42:31,64,17,中兴死了，并且死得毫无尊严，随着美国合规小组的到来，中兴的一切经营、研发活动对于美国来说都变得透明，所有中兴的研发人员要想清楚了，你所做的一切工作，都在美国商务部的监控下，你们的美国同行总会先你们一步出成果拿专利..........如果我是罗斯科·霍华德，我会把办公室设在中兴总部最醒目的地方，并张贴布告：举报有奖！我的合规小组里面，可能有CIA的人，他们会在中兴四处乱窜，逮住选中的目标就问：你愿意和我们合作吗？听说你儿子高考连二本线都不够，想不想去美国克莱登大学留学？我可以写推荐信（当然你要和我们合作才行）.........，谅中兴也没有胆量把和我合作的人都开除了，要有这个胆量当初就不会跪了...........，当十年过后，合规小组任期届满从中兴退出，将会留下一个被阉割了研发能力、充满007的中兴。现在看来，在中兴这件事情上，美国得到了想得到的一切，一是通过杀鸡儆猴，给所有和美国有业务联系的中国企业念了一遍紧箍咒，这些中国企业以后在面对美国的时候会更加束手束脚，美共（和党）中央的决定会更顺利地在这些企业贯彻；二来高通等美国公司可以继续凭借供应链赚钱，并且有机会阉割中兴的研发能力，以后美国赚钱会赚得更顺利；第三、这是1949年以后第一次在中国执行美国的法律，并且是通过美国政府从与中国政府直接对话达到的。中国得到什么呢？一个几万人的工作机会，花了十四亿美元买来的，以及一队美国太上皇。如果回到半年前，会不会有不同的选择呢，有的，这需要眼界、意志和勇气，这个方法就是放弃中兴，用准备交给美国的十四亿美元，遣散绝大部分的中兴员工，停止大部分业务，转型专利流氓，据我所知，中兴的通信专利在中国仅次于华为，还包括很多5G专利。按这个方案，中兴也几乎没发展机会了，但是会给美国造成损失，中兴不再需要美国的芯片了，但会对美国公司挥舞专利大棒，美国会发现，中兴这个凯子变成流氓了。胡乱写的，见笑了。——————————————分隔线——————————————中兴内部通告续聘美方监察官两年 五年内双边监管   2018年10月27日 07:15      文/袁媛            日前，《中国经营报》记者独家获悉一份中兴公司名为“内部公示文件：关于监察官任命公告（根据2018年10月3日《监察官监察条件变更命令》拟定）”的文件，其中称，将延长自2017年7月20日开始的监察期。在此期间，独立监察官James M。 Stanton将被中兴延续聘任至2022年3月22日。该监察官将继续履行2017年《认罪协议》《认罪协议》附件A（修改版）以及美国法院的《同意公司监察官任命状》中规定的职责。      内部公示文件的发出，源于一份《监察官监察条件变更命令》：得克萨斯州北区美国地方法院10月3日签发命令，修改法院于2017年3月22日批准生效的协议所列载的对公司的监察条件。法院对监察条件的修改包括以下主要条款：延长法院任命的监察官的任期至2022年3月22日；授予监察官与SSA（美国社会保障管理总署）约定的特别合规协调员享有的相同的、可以接触与遵循《2018年出口管制改革法案》《出口管理条例》和命令相关的特定文件、信息、设施和人员的权限。     之所以发出这样的变更命令，据中兴通讯在10月7日发布的公告称，是因为中兴公司、深圳市中兴康讯电子有限公司及美国商务部工业与安全局于2018年6月达成的替代和解协议所述的行为导致。       上述监察官，系美国法院于2017年7月派遣至中兴。而今年9月，美国商务部派遣的“特别合规协调员”（以下简称“SCC”）Roscoe C。 Howard， Jr。（霍华德）业已进驻中兴。至此，中兴进入美国政府的双重监管时期，中兴发布的几份相关文件都提到，公司必须同时与SCC和监察官充分合作。       监管严厉       据悉，James M。 Stanton为美国得克萨斯州的一名律师，为Stanton 律师事务所的合伙人，于2017年3月22日被美国法院任命为监察官，于2017年7月20日开始监察中兴。而Roscoe C。 Howard， Jr。为美国知名律所Barnes & Thornburg的诉讼部门合伙人，曾任哥伦比亚特区检察官，于2018年8月24日被美国工业安全局（BIS）选定为SCC。       中兴公司内部的文件显示，Stanton职责是持续监察、审查、评估和汇报中兴公司及其全球子公司和关联企业对美国出口管制法律法规、2017年3月和解文件以及2018年10月3日美国法院《监察官监察条件变更命令》的遵守情况。Howard主要负责协调、监察、评估并汇报中兴公司及其全球范围内的子公司和关联企业对美国出口管制法律法规、2018年6月和解文件的合规工作。     双方相同的权限是，均拥有全面且完整的接触所有相关的公司员工、账目、记录、系统、文件、审计、报告、设施和技术信息的权利。       不同的是，根据文件显示，Stanton被视为兼职的美国司法人员，并将向美国法院汇报。其不是中兴公司或美国司法部的员工或代理人，亦不是中兴公司的法律顾问，中兴公司与其之间没有也不会形成律师-客户关系。而SCC独立于中美双方，平等地向中兴公司总裁和董事会以及BIS汇报工作，并在履行其职责时咨询BIS。任职期间，Howard将为中兴内部提供合规义务的专业知识方面的指导。而且，Howard还会成为中兴和美国政府之间的沟通新渠道：作为中美两方的中间人，既将美国政府及BIS的建议和反馈转达给中兴，又把中兴履行合规义务的成果展示给美方。      另外的不同是，Stanton需要每年向美国法院递交一份报告，其余的中期报告可自行决定是否提交；另外，Stanton需在2020年7月以前就中兴对2018年6月《替代和解协议》与《替代命令》以及受相关法律管制的出口、再出口、转移（在国内）对于美国出口管制法的遵守情况进行两次年度稽查，同时向BIS 和中兴董事会递交稽查报告。而协调官Howard在任期第一年，每季度向BIS汇报一次，自第二年起，每半年汇报一次；此外，Howard团队还会展开6次合规稽查工作，并向中美双方提交稽查报告。     中兴配合     在上述内部文件中，中兴公司方面亦表示：“中兴公司总裁已于2017年7月2日向全体员工宣布，我司将完全致力于出口合规，致力于通过协作、透明和支持的方式来配合监察官的工作。自监察期开始以来，我们欢迎并将继续欢迎监察官的监督，使我司更强大、更合规。根据美国法院的《监察官监察条件变更命令》，我在此要求中兴公司及其子公司和关联企业的所有董事、管理人员和员工全力协作，高效、真实且完全地配合监察官根据其职责所提出的要求，继续努力以促使监察官在中兴监察期内的工作顺利和成功地完成。”         另外相关的描述也再次强调了配合监管对中兴的重要性：“正如与SCC的合作一样，在整个监察期内，各位与监察官及其团队的合作至关重要。自2017年7月20日监察期开始后，部分员工将收到监察官关于获取文件、数据或其他信息的要求。监察官还将要求与部分员工进行访谈。我想强调的是，各位必须非常认真地对待这些要求，并以真实、及时和完整的方式回应这些要求，绝不干涉或妨碍监察官履行其监察公司合规情况的职责。保持快速、高效、准确地满足监察官的要求，对于中兴公司业务的持续健康发展和成功至关重要。”      类似的描述，也曾在SCC就位时出现过：“一些员工会收到SCC提出的关于文档、数据或其他信息的要求。SCC也会访谈某些员工。我在此强调，必须认真重视这些要求，以真实、及时和完整的方式回应这些要求，并不得以任何方式干扰或妨碍SCC对公司的合规工作进行监察。快速、高效、准确地满足SCC的要求对于中兴公司业务的持续健康发展和成功至关重要。”     “对于中兴这种在监管期内的企业，原则上保守商业机密肯定是比较困难的，比如销售渠道类的信息，如果不对监察官披露，可能是典型的对抗审查，但是对于技术秘密等，是否可以不公开，还要看监察官的具体要求或具体交易的情况来分析。”北京高文律师事务所合伙人、法学博士管健对记者分析。管健专业从事WTO和国际贸易法领域的案件代理和理论研究，包括贸易救济、贸易政策、贸易壁垒、出口管制和争端解决等。     在管健看来，这样的监管权限很大，但是也不能毫无边界。如果涉及中国的保密法律之类的问题，例如中兴如果承担国家级项目还需要另外研究解决方案。     双边监管状态持续     按照目前的双边监管框架，两方合规监管人员代表美国不同的系统，其工作是否会有重复审查、冲突，尚且不得而知。虽然在中兴两份不同的文件中，分别有“美国得克萨斯州法院依据公司与美国政府2017年3月达成的协议指定了现任监察官James M。 Stanton，SCC的工作职责是在现任监察官职责之外的另行的职责”“监察官的职责是美国工业安全局（BIS）根据2018年6月公司同BIS达成的协议所任命的特别合规协调员Roscoe C。 Howard之外的职责”，但尚无更明确的解释或分工。     至于合规工作的开展是否会因为要求过多，比如要随叫随到等影响员工日常工作，是否会因为监察范围过大侵犯员工本人隐私等权利，是否会有员工因为沟通不畅被判定为“阻碍调查”，因此受罚，目前还没有相关的信息提示。但一位中兴内部人士在接受《中国经营报》记者采访时坦言，工作上还没与合规官产生交集，也没有听其他同事谈及过，所以暂时不知道是否会产生什么影响，也不清楚合规官的工作流程和方式。     管健则分析，按照美国的惯常做法，对于违反美国出口管制的行为，一般都是由商务部或财政部发起调查，如果涉及刑事问题，美国司法部才会介入。       按照上述分析，中兴事件至此主导的还是美国商务部。业内也有传闻称，现在中兴内部更多主导稽查工作的还是美国商务部派遣的团队。一位不愿意透露姓名的中兴人士告诉记者，美国商务部派遣的SCC是要常驻深圳，而美国法院派遣的监察官并没有常驻深圳。     从美国商务部的公告也可以看出其对中兴事件的重视。商务部部长罗斯说：“今天的任命是美国商务部对中兴通讯采取的前所未有的措施的延续，Howard先生非常精通公司合规问题，他曾作为联邦检察官审理过100多个案件，并曾在合规和道德问题上向私营企业提供帮助。”据悉，Howard曾两次担任共和党和民主党总统的助理独立律师，并曾担任哥伦比亚特区和弗吉尼亚州东区的助理美国检察官。在担任助理独立律师期间，曾担任独立顾问办公室的首席检察官，调查美国住房和城市发展部有问题的方案、官员和活动。在第二次担任助理独立律师期间，Howard在美国农业部前部长A·迈克尔·埃斯皮的欺诈、虚假陈述和酬金调查及审判中担任首席出庭律师。中兴内部通告续聘美方监察官两年 五年内双边监管中兴还是死了的好！！！！！
dexa,people,太阳底下无新事,-1,2018-09-17 15:24:15,11,0,耻辱程度超过了银河号与南海撞机。
剑弑,people,学生,-1,2018-09-15 17:26:15,7,0,失望透顶，感觉就像晚清！
艾雷之光,people,算不上好人，但绝不是坏人。,1,2018-09-11 17:13:47,20,13,为了香港问题举行的中英谈判。英国首相撒切尔夫人在谈判刚开始时盛气凌人，表示可以把香港的主权还给中国，但管理权还是英国的，她的意思，“如果离开英国的管理，香港就乱了”。小平同志不慌不忙，但口气异常坚决，从开始就表达了“主权问题不容谈判”的态度。就在撒切尔还在不停地说，甚至以“考虑非和平的方式保留香港”相威胁的时候，小平同志突然又讲了一句话，让撒切尔脸色都变了——“中国人穷是穷了一点，但打仗是不怕死的！”
匿名用户,people,,1,2018-09-23 18:43:19,4,2,小粉红气得跑到推特下面骂特朗普谁知道查无此网。
野生的阿克蒙德,people,这条狗好奇怪哦，竟然会对自己老婆汪汪！,1,2018-09-20 07:18:08,2,0,哦成肉票了啊接下去就是全国推广，所有外国驻美企业均需要设计这么一个办公室。坚持制度创新。
踯躅的卧槽马,people,,1,2019-04-07 19:51:15,0,0,下面的文字虽然有调侃和炒作的成分，但是几个中兴的朋友证实现在公司的确把合法合规作为第一要务，每个月都要搞合规学习，各方面的监察也抓得紧，以前那些内部腐败，高层利益输送现在都被遏制了。至于说美国合规官监督是一种耻辱，这事就像当年梁启超说的，北京城以前到处便溺，日本人来了就好了，因为日本人看见随地便溺的就抽鞭子。让人五味杂陈。看好等美国合规官离任时，中兴会成为国内公司合规的标杆，呵呵。历史有时候就是这么反讽。。。
Artes,people,,0,2018-10-07 17:44:48,0,0,我对通讯是门外汉，但是我记得当初刚刚封锁中兴的时候知乎无数内行出来说中兴啥技术都没，啥技术都没怕人看么。现在你中兴不同意美国人就接着搞死你，宁死不屈对中兴到底有什么好处？有句话叫留得青山在不怕没柴烧，还有句话叫做用发展的眼光看问题。
匿名用户,people,,1,2018-09-17 14:10:58,4,0,美国学习对方，现在向在美的外国官方企业派出了自己的党代表。
