name,type,headline,gender,created_time,vote,comment,content
往来,people,,0,2019-05-16 21:02:41,63,6,不回击都忘了它是反贼，谢谢提醒.
王小化,people,汽车CG/CGI,1,2019-06-12 16:34:28,6,5,地狱级公关的典型代表No.2 奥克斯代表作a.     格力实名举报奥克斯空调不合格，参数虚标。奥克斯回应，我销量高；你嫉妒我；我报警了！虚标？风大听不见。结果：完美勾起了大家对于鸿毛药酒的记忆与不满，并且一并倾泻。b.     指责格力在贸易战期间对本国企业开枪是“置民族大义于不顾！”结果：在产品质量问题避而不谈，反扯营销甚至强行攀附民族大义，绝地求死。No.1 联想代表作a.     在民众已经几乎完全忘却5G投票风波，并且因为贸易战等事件舆论导向完全力挺华为的时候。怒刷存在感，官媒发文《解密那场不存在的5G投票》。结果：成功让大家想起来了投票时联想和美帝“同仇敌忾”的事情。b.     贸易战致命3+1，联想表示：1 封锁可以迁出中国；2 芯片我们不需要研发；3 断供与否我们会遵守各地（美国）法律。风波过后，柳传志亲自出面高呼，联想是民族企业，有人恶意破坏，不要让中国企业界丧失正气，大家要清醒，大家要支持。结果：致命3连，劫后补刀，夺得地狱头筹。联想究竟做错了什么？
弹吉他的胖达,people,萌兰研究学习会会长,1,2019-05-18 21:01:13,0,0,都这个节骨眼了，联想居然还在解释自己是不是美帝良心，投票高通不等于存在投票？
酥盐,people,唯愿此生效定远，乞得骸骨生入关。,1,2019-05-16 23:54:05,10,0,一家理直气壮说出产品价格就该是美国<中国<欧洲的公司，我都不知道该怎么洗他们你知道如果轻奢品牌自称为买不起奢侈品，又不愿意用高街地摊货的人选购的品牌，是多么大的营销灾难么？这次也差不多，美帝良心想何以为美帝良心顺便声名狼藉，和自己每天把这些不堪入目的历史辩来辩去从而唤起了自己臭名是有关系的。你见过华为天天拿疏油层，绿屏这些破事去澄清的么？
史帝文,people,少为红颜虚光阴，不惧岁月重立志,1,2019-05-16 21:17:56,3,7,其实这是是被逼无奈的反应，PC行业联想一家独大多少年了，这口肥肉被狼惦记上也是迟早的事情，如何吞下就要看怎么操作了。上兵伐谋，攻心为上联想一家独大这些年，国外用户是爹，国内用户是孙子不平等对待政策（严格来说产品出口企业近乎没有能幸免的），这是基础因素，是星火可燃的干柴是缺个导火索的炸药包，只需要一个导火索（一个舆论导向），就能引起民众的反感狂潮，从而引爆整个舆论对联想口诛笔伐。5g投票这样一个仔细甄别就能发现的近乎造谣的事件，被大肆传播作为攻击联想的把柄，是不是狼在推波助澜是显而易见的，毕竟跟狼战略合作的几家公关公司都上市了，造个舆论引发个风潮自然不在话下。当联想信誉尽毁，被人们抛弃之后，他的竞争对手们会粉墨登场，开始跑马圈地分食联想的市场份额，在这系列事件中，我们只要找准谁受益最大，就能确定谁是幕后主使。很显然，是狼。消费者是没空也不会不约而同行动一致天天抹黑攻击你的。但这也确实暴露出联想的一些长久存在的问题，希望能给联想一个教训，做一个真正为消费者服务的企业。希望联想能认清现实，重整旗鼓，卷土重来。不要辱没那句经典广告词:没有联想，世界将会怎么
hanyanmeim,people,潜水员,-1,2019-06-17 01:14:04,0,0,如果因此每年要缴3000亿专利费 那就让联想承担吧
默默Rachel,people,人生苦短 喜欢就买,0,2019-05-16 20:23:33,3,1,不太明白这种神奇的操作，为什么要时隔一年后再澄清？
俗俗俗,people,无聊,1,2019-05-17 12:58:23,0,0,可能觉得证据已经忘却消失，这样可以变出很多其他不存在的东西洗自己吧
菊花三千流,people,时光好了又坏,1,2019-05-18 16:07:48,0,0,之前不说，一定要等到这个时候说？
只会拉稀,people,网络上的东西不要太计较，对面是人是狗你都不知道,1,2019-06-13 09:32:38,0,0,你们啊，太武断，太会联想，我们不要联想，听懂了吗，不要联想。为什么不问问 @联想 自己呢？通灵术！
