name,type,headline,gender,created_time,vote,comment,content
橙橙,people,心下即知,0,2018-09-07 22:30:32,25,31,这是埃塞俄比亚的近年大豆产量。中国除了跟巴西进口大豆以外，目前国内大豆需求还差1000万吨到1200万吨。所以埃塞俄比亚这样的忠诚的友邦国家，一定会为了支持中国将全部的国民产量全部出口给中国（粗略乐观估算2017年埃国大豆产量10万吨）埃塞俄比亚自己再从美国或者其他国家进口大豆填补国内所需？同志们呐，如何发战争财？一要会站队；二要有能力源源不断从各种渠道拿到货。埃国会是新兴的优秀的大豆二道贩子吗？让我们拭目以待！如果埃国不能成为极为优秀的大豆二道贩子，以一己之力和巴西一道满足中国所需，后续大家势必会看到我国与其他国家陆续签订大豆进口协议。不想发战争财的国家不是好国家！
Hilda Woo,people,不从事西班牙语相关工作 &amp; AndrewGarfield,0,2018-09-08 12:38:29,26,16,埃塞俄比亚近些年的大豆产量趋势图2017年美国农业部统计的埃塞俄比亚大豆出口量海关总署在公告中说的也很清楚:“埃塞俄比亚是新进大豆出口国”、“丰富我国大豆进口来源”。也就是以后大豆进口渠道会越来越丰富，改变以前美国一家独大的局面。（有人说埃塞俄比亚才产那么点大豆怎么满足我国需求，拜托，这又不是什么xxx唯一指定供货商，我国也不只从这一个地儿进口好么！
天天要好好向上,people,,1,2018-09-08 13:08:45,25,14,很开心知乎下面没有看到微博上的谣言根据美国农业部最新数据，埃塞俄比亚大豆产量将增长5k公吨在MY18/19达到12万公吨。此前在2017.6-2018.2期间，印度越南分别进口埃塞俄比亚26576MT及20284MT大豆，占比达到埃塞大豆产量79％，同期中国进口量为5148MT，仅占9％。最近一期埃塞进口8900MT vs 出口48000MT
哎lalula,people,学无止境,1,2018-10-16 23:21:47,0,0,就今天超市里没看见豆油慌了，连跑几个大超市和小店，都是菜籽油，玉米油，橄榄油，葵花籽油，花生油。豆油不见了瞬间慌了，有点怕物价飞涨。
肝能补脸,people,克莱登大学马房山校区第九（女）宿舍管理员,1,2018-09-08 23:40:38,3,0,10万吨的产量，不多啊。中粮能不能搞搞合作项目，搞搞农科推广呢？中国一年要消耗上亿吨大豆，这可是一笔大生意啊。
phobos,people,,1,2018-09-18 22:19:43,1,0,国际供应链经营，被逼迫出来是件好事。埃塞，非洲之角的黑色华夏，真的该派些有志之士过去经营，就像当年郭子仪的侄儿郭昕经营龟兹一样。
张喵喵喵喵喵喵,people,搞食品安全的喵星空降物,-1,2018-09-19 07:23:57,0,0,因为国内榨油业如果用国产大豆的话直接破产。
飞雪连天,people,it民工，整年出差，加班如狗,-1,2018-09-18 05:08:55,0,0,他们种点大豆还帐，总比赖帐来的好。
剑本凡铁,people,剑本凡铁,1,2018-09-10 14:12:41,0,0,正常操作而已，远水解不了近渴，当做五年计划执行，效果会非常明显。
金甲虫,people,皮过皮皮虾！,1,2018-09-09 10:01:11,0,0,讲道理，就是把埃塞俄比亚全国撒满金坷垃 ，也补不上缺口。
小明,people,知乎正变成其曾鄙视的样子...,1,2018-09-09 08:49:40,0,0,"谢邀..不是很懂艾..是不是,从多个国家进口大豆.方便讲价?你家大豆贵.就从别家进呗."
