name,type,headline,gender,created_time,vote,comment,content
老周斯图加特,people,究天人之际，通古今之变,-1,2018-04-24 15:07:21,4,6,你中有我。我中有你。你捏着我的蛋蛋，我也捏着你的蛋蛋。鱼死网破。对谁都不好。经济全球化，产业链全球布局，是基本面。我相信双方最终会达成妥协的。这不仅仅是芯片的事，即使芯片自己做，做芯片的工具如EDA，光刻机等还是人家垄断的。短期内不具备完全替代欧美技术。从长远看，我们要发展自己的核心技术，但这需要时间和投入。短期看要积极和美方谈判，寻求双赢解决方案，解除禁运。同时要尽快完善自己的SCRM系统(供应链风险管控系统)
泛思哲,people,非典型工程师，思维爱好者,-1,2018-04-27 12:09:18,50,9,先把自己的腰杆直起来。对内，没有不敢说的话题，不黑别人的帖子，违法就追究，违了什么法敢放在桌面上谈。彻底检讨“房地产是国民经济的支柱产业”这样的国策，彻底认错改错。然后，大家才能安心工作，才能把大把的钱砸在核心科技上，砸在做核心科技的人家里。什么是高技术？拉巨多的牛人+砸巨多的钱+耗巨多的时间，弄出来的东西才是高技术。但从基本要素上说，只有两样：钱和时间。人可以用钱挖来，人可以用钱和时间培养出来，只要真的下本投时间。美国凭什么用科技来封锁你？因为在真正的高科技领域人家有实力，哪来的实力？花了一百年全民搞科技，营造了一个社会现实——有科技的个人和团体能发财，而不是有地、有房的人能发财。社会不变革文化就不会变革。我们的电影、小说，最牛的高手靠武功秘籍，武功秘籍越远古越牛逼，失传的秘籍是最牛逼的。美国的高手靠高科技，要成为最牛的高手只能靠穿越，不是穿越到古代而是穿越到未来，拿到未来的芯片，施瓦辛格才能把当世的邪恶机器人弄到熔炉里over了。真正封锁我们的不是美国的科技，是我们的制度和文化。
塔里干,people,历史,-1,2018-04-24 13:42:01,3,1,只有自主，别无他法，具体是施行公有制研发生产策略。按照gdp给薪酬嘛！！按劳分配。住房，教育，医疗等基础福利均衡分配。
吾岩修时,people,做一个有教养能思考的中国高中生,1,2018-04-28 21:52:29,1,0,提高科研人员收入，社会地位，声誉。打房地产有些难度，等过几年吧。毕竟现在中国经济还不足以通过较小的阵痛来抛弃这颗毒瘤。
不忘初心,people,材料科学学生,-1,2018-11-21 22:03:02,3,0,硬刚流: 比美国更高的科技发展速度，就一定能让科技超过美国。具体就是大量科技人才，合适的制度加正确的方向。办法就是不停的发展教育，和相关产业。培养出几倍的科学家。但靠这个方案在2050年前没戏。诱导流: 利用资本家的尿性，不停渗透利用，让许多美精英实际上为中国市场服务。工厂都在中国，获得中级技术比较便捷。这招对高科技没用，毕竟不可能让美帝把f22生产线都搬到中国吧。。。赌博流: 大力研究可控核聚变，这就像哈利波特的“金球”，一旦成功直接秒杀对手。吞噬流: 利用资本主义危机并购公司，地区产业链乃至国家资本，直接吸收一个地区的技术力量，可以考虑先搞日韩电子产业。阴谋流: 利用美国制度内耗本质，西方逐利的本质，降低其发展速度。社会分裂，内忧外患的西方有可能自己把自己玩死。。。。话说一千道一万，在这场游戏中，矛盾的一方打败另一方是全人类的灾难。只有在斗争中，世界进化到新的层次，我们才有更加光明的未来。
言西早,people,,1,2018-04-25 10:36:32,1,7,何不從把打開自己做為開始呢？海納百川，有容乃大。
嘻嘻哈哈,people,,-1,2018-06-15 15:40:26,1,0,我来告诉你  一个字偷
javames,people,程序员,-1,2018-05-10 11:37:29,0,2,修炼内功，但是科技的进步不是一蹴而就的，有发展规律。其实美国最强大的不是某一项技术，比如芯片。美国最强大的是他的内生原创力，创新能力很强。这个和我们现在所处的环境有关，我们的教育到现在还没有培养出一个诺贝尔奖获得者（基础科学方面），这个不是一时能改变的，和国家整个的教育制度，环境是有关系的。在具体技术方面我们可以追赶，但是说到底也只是在跟随美国人的脚步成为后来者。啰嗦了一些。具体到如何破解美国的科技封锁，合纵连横，最近国家也在做，适当的做些让步，其实中国入世这十多年来，就是开放倒逼改革的过程。事实证明，这些让步并没有对我们整体发展产生不利影响。遵守规则，既然和美国人做生意，就要遵守他们的法律，这样他们也找不到正当的理由封锁我们，同时还可以争取对我有利的国际舆论。
huangenyue,people,黄金外汇交易员,-1,2018-05-07 21:46:06,0,0,博弈无处不在，如果美国不制裁中兴，国内的几大手机巨头，还不是天天在博弈和竞争之中。竞争是发展的动力，不断的优胜劣汰，才能引领世界向前发展。中国无非是再和平发展而已，团结一切可以团结的力量，不断的壮大自己。据说一棵树长高大花一个月时间的话，长结实要花上十个月。美国的政局变化受到很多因素的影响，比如各大财团的做空做多的周期性变化，都需要消息面支持的。既然，我们知道了他的发展趋势，是可以顺势而为进行操作的。技术封锁无处不在，大到国与国，小到一个公司与另一个公司，或公司内部两个技术人员，或者一个外汇交易员稳定获利的交易方法。突破封锁，一个是适当的提高交易价码，一个是提升自已的实力。
滕子墨,people,模联人/传统文化爱好者/大学生,-1,2018-04-29 00:22:13,1,2,当初美国和苏联都不支持我们的时候我们怎么弄出蘑菇云、怎么弄出两弹一星的？那么，重复历史就好了。大争之世，各国伐交频频，强则强，弱则亡。总有一天，我们会回到属于我们的位置，拿回属于我们的东西，那些因，也该有果了。
