name,type,headline,gender,created_time,vote,comment,content
Gear5,people,模拟飞行玩家,-1,2018-04-21 07:55:08,46,2,川普用中兴禁令一巴掌打在作者脸上。作者喜滋滋地大喊“主子打得好！”
匿名用户,people,,1,2018-04-19 22:32:40,37,11,一开始以为是篇好文章，角度刁钻。可刚看到第二段，就发现作者思维混乱，前后矛盾了。第二段作者提出了该篇的中心论点“人精通任何一项技能，都需要长时间的训练。这就是所谓的分工，分工越细，社会越富裕。”下面作者举了个例子，拿一个个人来和中国社会做对比。上一句话不是还把人和社会分开来讲了吗，一个是个体一个是整体。下一段就把他们混为一谈了？整篇文章，作者一直在偷换概念。写到最后作者给出了当今中国唯一的出路——开放。是的，要开放，要降低关税取消关税，用中国的优势与国外的优势互补。我仔细想了一下，优势互补？中国的优势？原来作者是想要开放中国的房地产交易，让更多的外国人来买中国的房子，这样我们就有钱去买芯片了。是的，中东卖石油，中国卖房子。 
冷谦,people,不可置否,1,2018-04-21 10:09:25,15,3,一个是微观，一个是宏观，拿两者类比，作者脑袋是一泡屎？个人之所以用自己擅长的技能赚钱买自己不擅长的各类服务，细化分工，那是因为这些行为处于法律和道德的约束之下。放在国家层面，规则就是弱肉强食，把自己的命门放在别国手里，作者不知道是傻还是傻。。。
bane,people,设计师,-1,2018-04-21 07:56:42,13,1,作者脑子有问题，你自己啥核心技术都没有，都想着买别人的？老子要是卖家天天敲诈你，反正你没核心技术，比如美国的飞机制造，老子成本2亿的飞机，我卖给你就卖100亿，要么别开飞机出国了，要么乖乖送钱来！
超哥 辟谷达人,people,用科学解释辟谷，用辟谷战胜肥胖,1,2018-04-21 21:48:37,20,6,我在学生时代，玩过一款游戏，叫作《皇帝·中国的崛起》，游戏的内容就是控制中国的一个朝代，发展国家，可以与周边少数民族交易。那时我的游戏策略就是粮食、木材、铁，这些关键资源要自给自足，陶器、亚麻，这种低档奢侈品一律进口，而漆器、珠宝这种高档奢侈品，都是进口原材料加工后出口。平和时期，赚钱，战争时间不断粮，不断兵。那个所谓大V，还不如我学生时代的智商。
疯是一种生活态度,people,振动筛、超声波振动筛、摇摆筛制造商http://www.xfzds.com/,1,2018-04-19 16:04:51,6,0,不做过多评论，请看这个就知道了！！！！弱国无外交！核心技术自己不掌握哪就只能被人吊打！
butterfly,people,制图初学者,-1,2018-04-20 21:12:11,5,1,帝国主义的走狗而已，应该给他的主子看看～
醉优解,people,心情没有随着天气变好，包裹却因为下雨淋湿。,1,2018-04-30 19:05:04,1,0,有一些话没有整理好，但是还是趁着现在知道想说什么，先写下来，可能看起来有点乱，但是意思应该表达的还算到位：最近大家发现了一个明摆着却被很多人忽视了的真理，那就是全球经济一体化能实现的前提，是全球都认同它。举个例子：产品的设计国A，生产代工国BDF，资源提供国CEG中有一个环节不认同“全球经济一体化”这件事，那么他就没有办法进行下去。而生产代工国B和资源提供国C是否认同，其实不重要，因为随随便便都可以找到人替代，最关键的地方在于产品的设计国A，他是不可取代的，如果产品设计国A跟生产代工国B有矛盾，为了逼迫B国向自己妥协，就不把自己生产的产品卖给B国，同时减少了给B国的代工订单，B国就会面临【没有好产品可以用，与此同时没有代工单拿赚不到钱】的窘境，那就只好向A求饶，答应A提出的所有条件。然后A逐渐发现，这一招真tm好使，他可以随意威胁任何其他国家，提出任何条件，谁敢不听，代工就做不下去，资源就卖不出去，产品就买不到。这个时候，BCDEFG没有办法认同全球经济一体化，不是他们自己的错，而是A的错。BCDEFG要做的，就是——成为A，这是他们唯一的办法，没有其他选择。
RedArmy,people,民航安检，广泛爱好者,1,2018-04-21 14:57:35,2,1,这个大V不是脑袋秀逗，就是屁股已经坐歪了。可，麻烦他秀逗的脑子能不能想想，现在已经不是10年前了，现在再来以前的老手段，估计，效果不好，被骂不少哦。
红色有角三倍速,people,,-1,2018-04-30 17:10:21,1,0,中兴这事还不到俩星期，就又有人开始说这种话了？如果不是这文章的作者记忆力出问题的话（尚不能排除这种可能），那就应该是他的屁股歪到阿拉斯加去了
quyang007,people,,-1,2018-04-30 17:21:36,2,0,tg高举自由贸易的大旗，生意做遍五大洲，拳打贸易保护主义，这才叫政治正确，你瞧美帝弄个啥301条款，号称美国崛起，大搞什么美国制造，这不是傻、蠢是什么？啊！题主你说这条不能算钱，凭什么啊，今天五美分不打到账上跟你没完！
颜四美,people,Let&#39;s go to the new world!,1,2018-04-21 09:36:38,6,0,持这种观点的人，不是傻就是坏！
茶多酚,people,水声工程，独立摸鱼,1,2018-04-30 16:51:27,4,1,“关税保护的，只是Loser”先不管现行经济政策有没有起到保护loser的效果，保护loser有什么错？以前就感觉到知乎有些人玩印度一亿人口梗的时候并不是在嘲讽，而是在向往
文三晓,people,只是喜欢思维运动而已,1,2018-04-30 17:28:25,3,0,有人说公知是被污名化了！问题是被谁污名化了？看看这种文章，你不觉得他们是自己往自己脸上抹灰装可怜吗？写这种文章的时候，他把其他人当弱智吗？或许收智商税使他们唯一目的，因为这是一门生意。
喧嚣之风,people,会计,-1,2018-04-21 09:23:44,2,0,这个应该写给美国看，一大堆东西都向中国禁售。
陈大卫,people,编辑,1,2018-05-01 09:10:00,1,0,逆向民族主义者在中国有很多表现，此类大v就是其中一种类型。
不想说,people,王俊凯，我是你化学老师！,1,2018-04-30 17:19:29,1,0,国奥驻福建厦门街道办主任连岳不过是又在推销他那套半生不熟的理论罢了，你多关注他微博一段时间就知道了，冷饭。
北国之光,people,,-1,2018-04-21 18:56:48,1,0,要是美国人都这么想，我们能省下多少事
李毅,people,,0,2018-04-21 21:35:58,0,0,作者 连岳 就是那位批评zf5.12不发预报的南方系记者
xiaojing jin,people,平等，意思是人格平等，每个人起点基本相同，过程平等，并接受不平等的结果。,1,2018-04-30 10:46:34,0,0,每一个国家都不需要自给自足，当买东西比自己生产更便宜，从经济学角度来说，购买更合理。对小国来说，自给自足既不需要，也不可能的，新加坡这种城邦显然不能做到自给自足。对大国来说，要有自给自足的能力，但正常情况下不需要用到这个能力。比如美国，基本已经没有纺织业了，美国人的衣服鞋子基本是进口，但是，假设全世界联合起来禁止对美出口衣服，是不是美国人就衣衫褴褛，美军就得裸体冲锋呢？显然不是，美国要重新做纺织业非常容易，只是美国产的衣服比国外贵好几倍，经济上不划算。世界发展的大趋势是融合，全世界人民正在走向统一，这个过程可能需要上千年，未来的地球联邦必然是自给自足，直到我们发现了外星文明。
一口吃掉小番茄,people,求知若渴,0,2018-04-24 11:22:08,0,0,该认怂认怂，该研发研发，有精力就去解决问题，而不是解决提出问题的人。
juanjuandanta,people,,-1,2018-04-21 16:13:02,0,0,可是我们的国策不就是要保持开放吗
