name,type,headline,gender,created_time,vote,comment,content
facetothefate,people,死理性,1,2018-04-23 23:53:05,7724,508,在贸易战这个问题上。苹果是友军。在全球化这个问题上。苹果是友军。在中国就业这个问题上。苹果还是友军。苹果应该是川普最恨的一批企业之一了。利润都在外面，产业链都在外面。给别人创造就业，给自己创造逆差。在中国价位高，跟一众国产手机厂商是错位竞争，还每每赠送新机设计，消减国产手机设计成本。开刀不应该拿苹果开刀，这是送川普助攻呢。应该开刀的都是在华狂挣钱，却不制造就业岗位，给中国带来沉重负担的企业。比如浓眉大眼的高通。。。
后悔没学喜爱斯,people,ee工程师,-1,2018-04-24 16:45:08,621,41,库克：“是不是我之前扶贫资金没补够？再加2500万吧，别打我”虽然是美国企业，但是苹果是反对贸易战，支持全球化的（即便利润上苹果拿大头，中国拿小头）而且已经把数据中心搬到云上贵州了苹果还是非常非常有求生欲的相比于禁掉苹果，我觉得我们更可能的是对苹果更开放，把苹果塑造成一个典型，这样才能吸引外资来中国（用资本主义的钱来建设社会主义）
花村妇联主席,people,克莱登大学柏林陆军学院叫兽、勃湿生导师，第三炮兵协会认证会员。,1,2018-04-25 17:28:51,794,76,为什么要搞苹果呢？苹果又听话，又有政治警惕性，又能创造税收，又能创造就业岗位，还带动一票智能机的发展，至少是外观设计上的发展。更何况贸易战上，苹果这种美国资本家是中国的盟友来着……
开枪手杰克,people,张家港淫,1,2018-04-24 11:05:12,874,55,川普：有些美国企业，在国外建厂，把税收都贡献给他国，这是慷我美利坚之慨，养他国邪恶ZF啊，点名批评那只咬了一口的苹果，再不回来我就收拾你。题主：美国禁了中兴，我们也该禁了苹果。库克：MMP，我里外不是人
青山布衣,people,投资人,1,2018-04-23 15:26:52,3824,302,很多人低估了信任的价值。朝鲜这几天说要改革开放了，朋友圈里聊天说，走去朝鲜买房子去。但请问，有多少人真的敢去朝鲜买房子的？就算朝鲜颁布了各种看起来很完备的法律，你就敢去了吗？信任，不是一朝一夕建立的。中国以前就像现在的朝鲜一样，然而通过这么多年的经营，逐渐让全世界对中国产生了信任。饶是如此，国内也有不少人，想要出去，不是担心国内经济不行，而是依然对“规则环境”的不信任。江浙沪，之所以有全国最好的经济环境，很大程度上，因为这里是全国最讲规则的地方，什么事情都尽量在“规则框架”下完成，大家都遵守规则，才能给每一方最大的安全感。懂金融的都知道，信任决定了你的成本。对一个国家而言，国债利率一定是最低的，然后是公司债以及别的啥，因为国家拥有最大的信用度。而在全世界而言，国家的信用度就决定了这个国家国债的成本，看看美国国债利率就跟白用差不多，而再看看俄罗斯的国债利率……市场参与者都在看着，如果中国政府收拾苹果，在规则框架下完成，那么其他人更多的是督促好自己遵守好规则；但如果不是在规则框架下完成，那么其他人就会开始担心、甚至恐惧、再然后就是走为上了。再想想为什么你不敢去朝鲜买房？想想为什么“投资不过山海关”？想想为什么信托公司就算自己扛了也要保证刚性兑付？至于苹果产业链上的gdp和就业，那都不是最本质的问题。假如有一天我国宣布禁止城市燃油车上路，必须用新能源汽车，那牵涉的产业链gdp和就业更加广，但二者的深层次影响截然不同。信任这东西，建立很难，毁掉很容易。===大家不必纠结别的国家怎么做，所有人都不傻，大家都会自己评估在一个国家或地区从事商业活动的机会和风险，然后用脚投票。美国成本高了，大家一样往其他国家跑，朝鲜政治风险低了，大家照样会去投资，投资无非就是计算收益和风险。区别在于，风险预期不是政府发一个政策就能改变的，需要长期的经营。因此，提高别人对自己的信任度，让商业活动各方有安全感，并不是说我国要多么的高尚，也不是说我国不懂所谓厚黑，而是商业活动的参与方都会从自己的角度评估预期收益和风险，任何政府都没法控制大家的想法，能做的就是好好的去经营。2019-5-31人民日报：就中方是否会限制苹果手机反制美国，商务部30日回应，所有在华外资企业的合法权益都将得到中国政府保护。
垃圾佬史老师,people,匿名,1,2018-04-23 19:32:11,461,58,「好奇，想知道」没有错，错的是极端分子。填充论是耍流氓，一年的生产和开发、运营、人工成本能把 HMOV 全部搭进去。华为还是华为技术有限公司，不是消费者业务。禁售 Apple，大多数有脑子的左派右派中间派都能达成共识:「除非脑子进水，否则不太可能。」首先，富士康就够你喝一壶了。供应商和承包商名单密密麻麻二百多家零零碎碎加起来少说 5×10^6(五百万) 人，相当于一个城市都失业了。第二，你说「我们国产厂商可以招这些人啊！」，就算只招一百万人，每个人 ￥3×10^3(三千) 工资，￥3×10^9/月(三十亿)，够喝一壶了吧？每个月运营也得这个数吧？￥6×10^9/月(六十亿)。并购一部分国内资产，二百亿保底。一个月 ￥3.2×10^10(三百二十亿)就这么花出去了。举例说华为，华为一年本来利润率就不高，你在来这么一刀，肯定得不偿失……1/3 个小米，随随便便就是一个魅族和锤科。第三，每年，苹果公司（在销售环节）约缴纳大概 ￥2×10^11(两千亿) 人民币增值税（按照年销量和税率粗略计算，实际可能并不如这么高，还有抵扣，但仍然是巨额利润）和其他税务，（在运营环节）约缴纳￥ 1×10^10(一百亿) 其他税务，这是一个重大的税源，政府不傻。在别人那里，政府收不到那么多的销售环节税务。第四，iPhone 在中国禁售，受利的总是那些地下工作者。iPhone 国内不能买，国外买，反正绝对能用。第五，云上贵州大数据产业有限公司，这玩意纯靠 Apple 生存，是国家资本服务于 Apple，全国资全国控，不可能血本无归。第六，中国的制造质量和成本都相当均衡，东南亚地区虽然成本低，但是质量也低。可以看一下 iPhone 的 Lightning 数据线，线上会有 Assembled in China（中国制造）和 Indonesia（印尼）以及 India（印度）和Vietnam （越南）几种版本。中国制造的明显接缝和封装工艺好于其他国家。这一点就可以将制造业留在中国。第七，苹果迁回制造设施，成本太不现实，时间长，就算运回去，人力成本也很高，还没原材料，不符合环保标准。再加上，让 Apple 制造业回迁美国，根本就不是川普第一个做的。是你们喷死的奥巴马。Mac Pro 是美国生产的，是谈判来的。钱转回去根本不是问题，但是 Apple 从来就没想过配合川普。不要以为 Cook 妥协了。第八，我国是负责任的大国，是资本主义世界市场的重要组成部分，制度的优越性不允许我们干出违背阶级主义立场，伤害小动物的事情。利益相关：非常相关。不代表不退乎，已经找好后路。
岩湘,people,,-1,2018-04-21 12:01:23,1450,195,楼上回答千奇百怪，完全是直观臆想。首先，除非冷战爆发，否则当局不会禁苹果在华。为什么呢？苹果不像谷歌不识时务，库克知进退，知道在别人地盘上就要装孙子，当局的指令苹果是坚定不移的奉行。被罚款也是不多废话直接交。转移服务器到大陆？马上照办！有违大陆规矩的影视剧小说“主动”屏蔽。其次：苹果在大陆创造的直接或间接就业岗位有500w（数据来源：苹果官网相关页面、库克中国）500w的岗位可是一个非常巨大的数字。比如：淘宝第三方配件商多如牛毛，还有众所周知的华强北，深圳的人应该知道苹果东西在那里占据怎样的地位。结论：苹果在华，大量就业岗位，大量财政税收，最最最重要的是苹果听话，当局怕是石乐志才会去禁苹果。————————千赞、更新、2018.8.5中国目前以苹果公司产品为基础，延伸出太多太多远超其他同行公司的第三方产业链，各种分支数不胜数。大的方面比如以苹果公司周边为蓝本的一批上市公司我不多说，我就说说小产业链。中国目前种类最全、材质最广、价格区间跨度最大、选择余地最多的手机壳就是iPhone产品，没有之一。中国目前iPhone相关各种千奇百怪、种类不一的第三方配件多如牛毛，绝对是所有手机里最多的，没有之一。本人淘宝6年老用户，买过N多东西，平时没事除了刷新闻就是刷淘宝，有这么一大批做小本生意的专门做苹果产品的相关业务去，比如有专卖定制彩绘壳、有专卖苹果贴膜、有专卖苹果第三方小配件，太多太多，从线上淘宝店铺延伸到线下产业链。具体到实际：拿出手机、打开淘宝APP、搜索iPhone手机壳、这个时候你往下划一下、两下、三下、四下、五下、六下、七下、八下、九下居然还没有低于1万销量！！！想想好多人靠苹果产品赖以生存的不起眼行业，这个行业从业者绝对少不了。或许知乎精英看不上这些卖手机壳的，但社会就是由无数基层构成的，我们在这里叫嚣禁这禁那，很可能就是断了一些家庭的现有生计。禁不禁影响我们的利益吗？如果没有就让事情照常发展，我们做看客不好吗？
解浚源,people,深度学习/MXNet中文社区 https://discuss.gluon.ai,1,2018-04-23 04:54:09,12962,896,禁售这种手段太low了，川普无法整合国内力量，才只好搞禁售。三星在中国的份额从2013年的20%跌到现在不足1%，中国禁售了吗？boom7事件罚款都没罚，老回的官司还拖着呢。中国只要支持阿里和腾讯，在30%抽成的事上跟苹果刚到底，就够苹果受得了，还占着道德高地，完全不需要禁售这种难看的手段。但是你们要明白一点，美国不是铁板一块。以苹果为代表的美国买办资产阶级，是中国人民的老朋友。苹果手机在中国生产，为中国创造就业，返销美国，为美国制造逆差，被川普点名批评。中国为什么要帮川普打击苹果？中国反而要扩大开放，团结美国买办资产阶级。川普代表的美国民族资产阶级和工人才是中国真正的敌人。中国的反击集中在农业、汽车、飞机这些领域，就是要集中打击美国的民族资产阶级和工人。
时雨,people,iOS&amp;Android开发/铲屎官/UI设计/绝不把更新写在原答案上面,1,2018-05-06 14:36:44,159,14,我会失业。
毛病不改,people,,1,2018-04-24 17:27:56,178,88,买MacBook Pro的时候交了两千多的税中国政府靠苹果能不能收四百亿的税
