name,type,headline,gender,created_time,vote,comment,content
千里,people,从法国回来的懵懂中青年,1,2018-07-22 11:50:26,1171,206,当然不会再买了！这又不是模拟机时代了！你拿着手机只打电话呀？你是要用app的！iphone中国禁售，那就意味着iPhone独有的ios在中国的全面封闭。如果被国家层面禁止的东西，试想一下有多少app厂商会仍旧愿意针对它继续进行app开发的！低头看眼你的iphone吧，微信，支付宝，微博，知乎，有多少是国外app，国内app停止开发，你代购回来的iphone只能装facebook twiter....上个app还得vpn，所有社交软件没好友，两天半就扔抽屉了。其实反而比如禁售三星会好一些，因为毕竟还是安卓，国内其它厂商也在用，国产app都基本不可能停止开发，代购回来刷刷机还能有中文和中文软件商店什么的，正常用。iphone禁售了可真的就死路一条。人家题主假设的完全没问题啊！当年谷歌百度争雄的时代谁能想到谷歌说走就走了呀？所有人都觉得谷歌有病吧？这么大的市场啊！那人家就是没了……问问你身边的95后没有谷歌的生存体验吧？根本没感觉的！所以，一帮人说苹果交了党费不会走的什么的....我当年被狗咬了还以为打了疫苗就没事了呢！
陈磊,people,君子惠而不费、劳而不怨、欲而不贪、泰而不骄、威而不猛。,1,2018-07-31 14:45:51,65,13,审题啊同学们！人家问“如果”中国禁止销售iPhone一、你会通过代购购买吗？二、会有多少人？怎么全都在讨论“会不会禁止销售iPhone”呢？咱能不能就事论事？“如果”中国禁止销售iPhone，我不会通过代购购买。会有多少人通过代购购买呢？应该不少人，具体多少还真不好说，应该是百万级别的，但是不会像原来那么多。我个人是从iPhone 3GS用起，当时手机有两种：iPhone和其他。iPhone确实吊打所有手机，不是因为手机功能好，通话方面iPhone其实不如NOKIA、MOTO什么的。问题是除了通话质量，其他功能别的厂家基本没有。不是好不好 而是有没有的区别。这也是当初iPHONE大卖的根本原因。至于现在，谁还会非iPhone不行？反正我早就不用了。
匿名用户,people,,1,2018-04-25 01:01:45,178,33,能不能少给自己加点戏~中国怎么可能禁售苹果，苹果的价值观和中国目前的政策是一致的。以苹果为代表的美国高端技术产业是希望国家开放不设置贸易壁垒的，因为只有像中国这么大的市场，才能供应的起这些公司技术更新的费用。希望进行贸易战的都是一些传统行业，与中国是有竞争关系的。苹果在中国进行大规模的投资。如果把大部分企业资产都放在中国，大部分税交给中国，这到底是个中国公司还是美国公司还未可知呢。如果哪天库克，扎克伯格这些人加入中国国籍，把总部挪到中国来，我一点也不奇怪。非常讨厌一些人，利用这个来抹黑中国人的爱国情操，挑拨人民内部团结。你说禁售苹果好，他就说你民族主义，你说禁售苹果不好，他就说你不爱国，这些人都是又蠢又坏。苹果要是真的能为了美国牺牲他的一切，还用等着中国禁售吗？早就套现跑了好么？看看李嘉诚，跑的多快。美国选了个杠精当总统，一群人就怕的不行。历史终将证明，保守和古板最终都是要失败的，人类社会进步和发展的趋势是谁也无法阻挡的。
山月刀岚月刀,people,QQ闲聊群180608797,1,2018-06-28 17:44:46,25,15,那些说不可能禁售的，活在一年前吗请问还有比美国大豆还无辜的产品？7%的耕地养活20%的人口吃粮不算难，但是养活20%敞开吃肉那就是不可能完成的任务了，在饲料用粮只比食用粮少个零头的今天，农产品对中国来说，已经和石油矿石一样，需要敞开进口的东西。即便这样，税还是加上了。需要什么理由？理由就是报复，白纸黑字明写出来的报复。现在贸易战加税名单上没有苹果，那是因为第一轮优先攻击的是支持川皇是红州，对于泛蓝的硅谷，是威吓+拉拢的态度。但是绝对不代表蓝州的产品就安全。因为中美巨大贸易顺差在这里放着，美国人一共就出口了1300亿刀产品，不可能留着蓝州不动手。何况，对等的，华为中兴的手机在美国已经被禁了。现在只等看7月中旬的340亿刀加税会不会付诸行动，如果会，苹果手机大概率上下轮加税名单。不用禁售，就算加税个50%  100%，你照样要走代购。中美贸易战，账面上中国可打的牌就不多，除去美债外，突破口就是苹果这种跨国公司，由于在中国生产要从中国出关大量成品，搞不好账面上还是中国赚钱，然而实际上苹果赚取了大量利润。中国犯不着用自己账面上毫无意义的顺差给苹果和台湾鸿海送利润。贸易战本来就是野蛮的互相伤害，就是要忍痛互殴，不要提什么影响苹果供应链创造的财富，美国给钢铝加税结果导致自己下游产业成本提高，以至于哈雷摩托要迁出美国。打起来这点利益想都不用想肯定会牺牲。
林和,people,不会播音的编导不是好的交通爱好者,1,2018-06-27 11:37:20,219,46,　　近年来最有名的被禁售的手机，是三星note7，原因大家都懂。这种情况下，你还会买吗？代购会帮你买吗？可以预见的是，只要不出现这种作大死行为，iPhone应该一直会有市场。所以接下来我们也只讨论非质量问题导致iPhone被禁售的情况。　　中国也禁止销售过游戏机，然而PS2、PS3、XBOX在当时国内还是能买到，当然现在玩家们还是会从境外渠道购买游戏机和光盘。大家还是愉快地玩着GTA、如龙……　　早年工信部禁止手机搭载WiFi，搭载3G、4G，结果高端手机水货横行，现在手机全网通了，港版手机还是仗着便宜的优势继续卖着。　　因为有需求，有利益，所以就一定有市场和卖家。代购这个词流行之前，另一个更古老且常用的词，叫做走私。这与苹果产品在日常生活中重要与否关系不大，纯粹是利益使然。　　中国也禁播过各类电视剧动漫，许多动漫也根本没有正式引进过，相应动漫周边国内就买不着？大家追的熟肉这些年虽然大部分有备案号了，但是生肉呢，爱情动作片呢？耽误大家看了吗？GWF的作用是什么，不是用来翻的吗？（大雾~）。　　所以无论从硬件上还是软件上，禁售iPhone绝对不会像是禁止随地大小便那样容易。也得不到像是禁售note7那样的全方位配合。　　哦，对了，游戏机禁令和手机WiFi、4G禁令大多只是禁止销售、进口，但是并没有禁止生产、出口。影视动画也不乏在外包到国内制作的，至于动漫手办，大概率也是made in china。本国生产的民用产品禁止在本国销售、使用，不仅在逻辑上很难说通，实际执行起来也颇为尴尬。而且还是如此单一的一个品类。如果真的执行起来，搞不好iPod苹果皮的销量会大涨。或者有大神研发出在任意手机硬件上装iOS系统的方法。　　站在更高的层面上，涉毒案在全球绝大多数国家都是重罪，为了禁毒，能够不惜代价以至于打出鸦片战争，搞《湄公河行动》。但是能够像禁毒那样铁腕地令行禁止，必须建立在该行为严重侵犯国家和公众利益的基础上（古今中外类似但有争议的法律议题包括禁枪、禁酒、性交易等）。而区区iPhone显然不具备如此大的能量。　　所以除非哪天全球多国全面禁止iPhone生产销售，否则禁止销售iPhone大概率会成为一纸空文，并促成庞大的地下交易体系和走私链条。滋生的犯罪率也是政府不希望看到的。　　而且退一万步，苹果和中国政府的关系一直不错，如果iPhone真的被禁，大概率Mac也会被禁，到那时候，请问人民教育出版社和央视打算拿什么干活？
蓝翔研究生,people,没有故事，甚至连酒也买不起！,-1,2018-04-22 12:12:09,9123,3641,不是我诋毁国内安卓，我父母用的华为，不管下载任何软件，默认，对，是默认有查看通讯录权限，修改通讯录权限，还有一大堆各种乱七八糟的权限。我在清明节回老家的时候，我妈让我帮他下个视频软件看电视，然后我下了个企鹅的，因为我刚好有企鹅会员。等我下完之后，没有任何提示，反正用的很正常，我就顺便帮我妈清理下手机的垃圾，看看设置里面那些需要修改一下的。结果我就在权限里面看见了，腾讯视频有修改通讯录权限，访问通讯录权限，还有各种访问相册，相机。麦克风，地图，地址等等权限。我就不明白，你一个视频软件，你特么要修改通讯录权限是什么意思？？？你说你要相机我觉得很正常，毕竟偶尔要扫一扫，那你拿相册权限是为何？？还有各种推送权限。我自己IPhone 手机里的腾讯视频就没这么吊炸天，我下载以后，它就要我开启通知，通讯录，获取我当前地址权限。但是我一律否决，它也没有办法从后台默默给我开启。所以，这是我从四年前用iPhone 至今为止，不愿意再换回国内安卓手机的最大原因。因为本身硬件，体验各种对比，估计都差不多。但是国内安卓这幅流氓样，我真特么受不鸟！！特别是修改通讯录权限这是我一直无法理解的权限？？？你说你访问通讯录说是为了方便加亲朋好友，那你要修改通讯录权限，这是什么操作？？？所以如果iPhone 被禁售，而国内安卓没有任何改变，并且没把私自购买iPhone 会被抓起来判刑，吃牢饭写进国家法律里，我就一定会到香港，澳门去自己买。香港澳门也被禁售，我就去台湾，新加坡。——————————————————————————————————————————————————分割线对于评论里“洗地”的，说我污蔑华为，还是污蔑国内安卓，或者说我瞎编的？？你现在下个软件，就下载企鹅视频，你确定它会问你：允许修改通讯录？？然后让你点击：确认允许？？你确定它有问？？只要不是傻子，没有阅读理解障碍的，都知道，我这个回答，着重点点：默认修改通讯录权限。这个权限它根本没有经过我同意，它要问我可不可以修改通讯录？我会给？？而且不止这一个原因，更深层次的是，我TM不明白，一个视频软件，你拿修改通讯录权限这是什么操作？？IPhone的权限，我真的没遇见过有修改，修改，修改通讯录权限的操作。。这才是让我感觉气愤的地方：首先一个视频软件，你不管从哪方面说，它都应该没有，也不需要的修改通讯录权限。紧接着，它并不会主动问你：请允许“我”修改通讯录。然后你可以点击同意，也可以点击否。而是，默认有这个权限！！这真没得洗。。——————————————————————————————2018年5月5号更新。来来来，评论里的杠精们，我已经很久没回复了，因为你们永远拿老三样来，回复多了，很累的。就在现在我在知乎热榜看见这个问题，点进去看了以后大部分都是安卓的控诉，你们与其想说服我这个ios，还不如去稳定一下你们国内安卓的同胞。http://www.zhihu.com/question/41542488——————————————————————————再最后更新一次。这是我与其中一个网友的“争论”我希望有些人不要曲解我的意思，并且如果想说服我，就请直面解决我答案里的问题核心点。那才是我尽我真正令我生气的地方。而且我相信，我们最后谁也说服不了谁的。所以我觉得用安卓的接着用安卓，用iPhone 的接着用iPhone 。这个问题完全可以变成：如果中国禁止售卖安卓系统手机以后，你会通过代购购买吗？？然后你把我的答案原封不动的复制过去，对调一下就好了。这个问题，就此打住了。我不回再回复任何人了。想让我觉得我错的，请直接私信给我安卓系统的腾讯视频app那个权限的询问截图：是否修改通讯录。不要像这位网友，给了我一张腾讯视频的“协议”。————————————————————————真的最后倒数第二次更新。有位华为mate9用户，给我发了他的下载腾讯视频里，没有修改通讯录权限截图。我不知道他怎么操作的，最起码从他给我的截图来看，修改通讯录权限下的分类的确没有腾讯视频。所以就像他说的有必要一起放上来。毕竟我这答案已经窜到了第一，在这个问题下，影响还是很大。从他给我的各种截图来看，的确没有腾讯视频。但我明人不说暗话，因为修改通讯录权限，是我实实在在碰到的，不是道听途说来的，所以我现在对于他这个截图来说，并不全信。等端午节我再回一趟家，再去操作一遍，把那些过程截图下来上传。也可能是我父母用的手机太低端了吧，因为我不懂华为，我也没去它们的设置看具体是哪个型号。只知道花了3000上下。或许安卓里的高端机，比如三星s系列，华为高端系列，小米高端系列，OV高端系列等等安卓手机可能并没有这样的情况。所以这次更新是最后的倒数第二次更新。评论里的那些老三样，我就不一一回复了。总之，不服这个答案的，都可以截图全程下载腾讯视频，然后从设置里面查看它是否有这么个权限，最后发给我。
楚文斐,people,喜欢数码产品、武侠小说和历史。,1,2018-06-07 09:37:13,683,307,看了不少回答，似乎没有人注意到一个问题，一旦iPhone禁售，海淘回来的iPhone和现在的iPhone体验能一样吗？ios的主要优势是什么？1.优秀的生态系统；2.完善的后台管理和推送机制；3.优秀的硬件。然而，一旦被禁售，意味着什么？意味着苹果的各种服务在中国是用不了的。如果不挂vpn，那么就连最基本的激活和下载软件都成问题。当然，你可以用pp助手什么的，但是，那和安卓有啥区别呢？不挂vpn，就不可能有优秀的生态系统；后台管理和推送也无从谈起，就像安卓面临的问题一样，各种国内的app如果想在ios上运行，必然要想国内安卓环境一样，自己搞一套推送，那么iPhone那个小电池，可禁不住造，续航能力完全无法和国内安卓旗舰相比了。然而，由于ios的封闭性，国内的app很难自己搞一套推送机制，那么意味着，即使你可以安装微信，恐怕也无法推送消息了。同时，尽管谷歌退出中国市场，原生安卓在中国不能用，但是毕竟中国还存在大量基于安卓的ui，因此，微信、淘宝、支付宝等app还会为之提供软件。可一旦苹果禁售，意味着ios退出中国市场，中国就不存在ios了。这时候，那个互联网企业还在为ios提供app，恐怕就是冒天下之大不韪，是和政府唱对台戏，恐怕没哪个中国企业敢这么干吧。也就是说，iPhone一旦被禁售，在中国就是一个好点的能打电话的mp4播放器，国内软件基本不能运行。可以说，iPhone被禁售，其后果比谷歌退出中国市场后生产的pixel还有惨，pixel即使不挂vpn，也能基本正常使用。而iPhone即使挂了vpn，也没app可用。就比现在的wp都不如。
老龙友,people,不要长篇大论，只要言简意赅,1,2018-04-25 11:53:11,723,293,知乎的各种为了钱而写文章的写手，啥时候能彻底消失……为了验证某知友的『妈妈的手机』遇到的情况，我特意删掉了手机里的『腾讯视频』重新安装了一次。实际结果说一下：1，『主动要求通讯录权限』这口锅，腾讯视频不背如下所示：可以清楚看到，腾讯视频并没有要求通讯录权限。2，『后台无法禁止APP偷开权限』这口锅，华为手机不背华为手机可以轻易地设置每一个APP的权限，如下：一个号称国内排名第一/卖的最贵的手机，一个号称纳税额=BAT之合的大型跨国公司，世界五百强，一个已经发展到第八代的开放式系统，居然连个APP权限也控制不住，说给你听，你信么？谣言止于实践，更止于智者。iPhone会不会被禁，不重要。安卓到底好不好用，也不重要。重要的是，中国应该少点为了蝇头小利而昧着良心、睁着眼睛说瞎话的网友更应该少点不做调查就发言的跟风者、盲从者。应该多点认真思考、不要轻易被忽悠上当的睿智者、务实者。====================================那位答主已经更改了答案……但是他依然没有给出丝毫的『腾讯视频要求通讯录权限』『华为手机无法禁止APP单项权限』的证据……一大堆似是而非，顾左右而言他的文字，就能改变您散布谣言的事实了吗？其实您只要给出一个截图就好了，要求不高，就一个截图一个截图，不但胜过您长篇大论几千字，也能狠狠地打我的脸但是您为什么偏偏不这么做呢？
Jephonor,people,做正确的事永远不迟。,-1,2018-06-02 17:21:21,78,16,话说禁售了iphone，你觉得还有代购的意义吗？既然手机都禁了，云服务能不禁？到时候你怎么下载软件，挂个时有时无的vpn？而且长期禁售你还要面临软件的适配、更新等问题。就算都有手段解决，但你怕是每次使用都要花费巨大的时间和精力吧？这样的话，你买iphone还有什么意义呐？
张志鹏,people,,1,2018-04-22 10:25:15,128,139,伪命题呀，苹果产业链背后几百万中国产业工人，不是闹着玩的。中国是在意稳定的国家，不会蠢到搬起石头砸自己的脚。
