name,type,headline,gender,created_time,vote,comment,content
sishaoye,people,闲人  可以填写你从事的职业、取得的资格或过往的经历，让你的回答更具说服力,-1,2018-04-05 12:37:15,511,45,人家明明是冲着2025来的，明摆着是要打断你的骨头，有些人还在纠结以后能不能喝得起豆浆，脑子是不是坏掉了！2004年的“大豆危机”你肯定没听过，因为现在看来就不是大不了的事，唯一让我怀疑的就是你们那段时间喝不起豆浆，大脑发育受影响了，所以现在比比！还什么反击就是“双刃剑”，纯粹胡扯，美国人用着中国物美价廉的产品不很爽吗，干嘛征税，照你们的逻辑，美国人就是萨比了能做到不战而屈人之兵，首先得敢亮獠牙，有敢于亮剑的勇气，我是真理解“狼行千里吃肉，狗行千里吃屎”了，狼不会因为怕吓跑羊就收起獠牙，只有摇尾乞怜的狗才会惦记别人施舍的那点骨头贸易战跟我没一毛钱的关系，我本不应该比比，可是国运兴我家老狗都能成名犬，贸易战的背后是在争国运，这就是本质国际交往跟做生意本来就不是一个档次的事，国际社会更重要的政治、军事、意识形态考量，最次才是经济关系。国际社会更像江湖，你真以为老大会跟不听使唤或者有可能掀翻他的家伙之间互惠互利，和和气气的坐下来谈判一下，聊一聊一起发财赚钱的事。要么让对手俯首称臣，踩在脚下，要么打死，然后再利益分配，这才是亘古不变的真理。只是现在表现的文明点，不吞并你领土，不搞屠国屠城，但是本质没变，女人照样要征服，以前是霸王硬上弓，现在是从精神上征服，不仅没变，更特么狠，玩弄了你还让你觉得很开心，国人的媚外就是最好的印证！现在的大环境是美国的精英们集体转向，把中国看做是一种威胁，美国打的所有牌都是指向我们的高科技产业，要扼杀你的上升通道，醒醒吧！或许美国跟其他国家是贸易战，可是对中国可是刀刀致命，再不警惕死哪你都不知道帝国主义亡我之心不死这句至理名言一点没错，美国不是你大爷，不会对你有好心还真很多人把美国人当成光明磊落的民主大哥，被阴多少次都不长记性。英国这么多年在世界各地布的局到现在还在起作用，毛子翻手为云覆手为雨的本领也没少见识过。独步天下的霸主不仅不人畜无害，在民主自由灯塔的外衣下的，阴人的道行比英国人、毛子其实高不止一个档次，这才是事实鉴于某些被和谐的事实，依次排序，我们应该提防的第一是美国，第二是毛子，第三才是鬼子丢掉幻想，准备战斗吧！
啊啊啊啊啊,people,直呼咨询，祝愿国泰民安，有些事情不一定是我个人经历，走值乎吧,1,2018-10-13 13:46:17,21,1,以斗争求和平则和平存，以妥协求和平则和平亡；如果朝鲜战争是一场立国之战，这一次就是一场强国之战，如果许多人觉得强国没有用，你看叙利亚就知道了，如何看待叙利亚外交官贾法里在联合国的这张照片？，知乎不是许多人可怜叙利亚吗？我告诉你，抗战时期的中国比叙利亚要惨得多，当年苏联解体了，你觉得俄罗斯日子就好过了？苏联解体后，建立俄罗斯女性的人均预期寿命在1991年的还有74岁多，到1994年就跌到了71岁多，而男性的人均预期寿命更是从1991年的65岁左右惨跌到1994年的57岁多；在知乎有个问题，XX XXX：为什么每年有成千上万的俄罗斯、乌克兰女性南下中国？，其实我告诉你吧，大多数人就是当妓女来了，你问我怎么知道的？你问普通警察就知道了，多问几个，他们一清二楚！因为在俄罗斯找不到工作了，没有办法；人民的名义里面，陈清泉说学外语，为什么不是学英语？其实说白了，那个女人大概率不是乌克兰就是俄罗斯的，有人说来当模特，中国自己本土模特都多了去了，对外国模特的需求量真的没有你想象的大，几百几千我觉得还有可能，这么大数量，你觉得中国模特市场需要这么多人吗？至于说来教外语的，那些机构干嘛不请一些欧美人，这可以更好的学英语啊，需求量有那么大？至于很多人不说，只是装着明白当糊涂，所以你们不知道而已，如果你觉得你去美国你可以有安逸的生活，你去吧，没有任何问题，但美国政府对付你的时候，你小心点，不要觉得美国没有杀过人，你问问印度安人吧，西进运动_百度百科，你说现代文明不杀迫害人，天大的笑话；麦卡锡主义_百度百科许多人问为什么美国当年和日本打仗的时候，美国一批日裔美国人打仗获得奖励最多？根本原因是珍珠港事件爆发以后，大多数日裔美国人被迫退伍，这次队伍本来就是用来组建起来考验日本人的忠诚的，他们家人大多数还在美国了！他们敢不凶狠？说简单点，就是以战功去换取家人的和平生活，去换取自己的平安；别人都打到家门口来了，你能怎么办？知乎大多数人很好，但跪着的人也有少部分，波音飞机事情，我不懂，但农业事情我多少懂一点，大豆征收高额关税，根本就没有大家想象的那么厉害，中国进口许多大豆一方面是为了食用油，但最重要的耗费不是在这里，主要是用于饲料方面来！！说白了，喂猪一类动物，给大家吃了！实在不行，就多喂点玉米其它东西啊，中国前段时间粮食多的没办法，于是想了一招，给汽油里面加酒精长文解析 | 为什么中国需要进口大豆？当然长时间怎么办？可能只能高价进口了，或者去其它国家种田，中国也没有那么多耕地，但都已经这样了，能怎么办了？你想跪着给美国人打一辈子工吗？你打完工了，你孩子再打工吗？不要忘记当年伊拉克！也不要忘记了1998年美国收割的东亚各国，不要忘记了日本，许多人问为什么日本人现在爬不起来了？就是一场贸易战把日本脊梁骨打断了，根本原因是日本当年二战失败，美国控制日本军权，和对日本渗透，说句不好听的话，日本首相美国人不能决定是谁，但可以决定不是谁，你选上来了，美国人不同意，你肯定要下课；未来会发生什么，谁也不知道，但朋友来了，好酒好肉招待，敌人来了，棍棒招待，你要战，变战啊；
徐雨鸣,people,随便玩玩吧,1,2018-04-04 12:32:48,50,34,"泻药大豆高额征税其实是把双刃剑（贸易战本来就是双刃剑）。2017年中国大豆产量仅1,500万吨左右，但消费量超过11,000万吨，而且消费量还在不断增加。美国在大陆的大豆进口国中位居第二，单计2017年中国就从美国进口大豆3,286万吨，在约9,600万吨总进口量中占比为34%。虽然这其中有大量的大豆进口是为了平衡和美国之间的贸易差（川普上次来中国，就签了一个巨额的大豆贸易单子），而且中国已经在积极布局巴西等其他大豆主要出口国，但是如此巨量的大豆缺口，短时间还是很难用其他市场来完全弥补的。虽然中国可以通过将大豆列入“主粮”的范围，通过积极的财政补贴来鼓励农民种植大豆的积极性，但是农作物毕竟是有周期性的。我估计如果对于美国进口大豆征收高额关税，从短时间内，可能会造成中国饲料粮和成品油的价格上升，推动整个物价体系有所提高。但反过来说，平摊到中国巨大的市场里而言，并不会激起太大的风浪，而且中国也可以通过积极种植红薯等替代饲料粮来减少对进口大豆的依赖。（你没看错，进口大豆其实大部分是用来喂猪的）而对于美国而言，失去中国整个巨大的进口市场，目前世界上还没有类似的市场能够用于替代的（印度的人均粮食消耗量很少，还是一个粮食输出国），对于美国农业的影响是非常厉害的。所以美国方面才会放出风说——中国不应该用大豆作为贸易战的条件（典型的强盗逻辑）总而言之，中国这次对于美国贸易战的积极应对，绝对是有备而来的，大家拭目以待就是了。这还真有可能是新老世界领导者交替的一个序曲呢。"
迟飞,people,为中国特色社会主义理论破局,1,2018-04-04 19:17:50,9,7,看来这次是刺刀见红了。豆制品要涨价了!连带的肉蛋奶统统涨价！中国自产大豆有限，2017年中国进口大豆9500万吨，其中美国占34.39%，3285万吨。这规模和比重都太大，中国大豆进口，占世界大豆贸易的三分之二。国际市场上也是没余粮的。不过中国不好受，美国也差不多，美国大豆出口同样三分之二在中国。你捅我一刀子，我也捅你一刀子，这是七伤拳。只可惜中美老百姓都得遭殃。关税提了，该进口还得进口。大豆实在太重要了。它不止制成豆腐，豆油等各种豆制品，还是畜牧业的主要饲料来源。原料大规模涨价，肉蛋奶都会遭到波及。这会严重影响百姓生活，也是制造通胀。除非国家提供大量补贴，压住价格。看谁先撑不住。中国进口关税要涨的还有一堆，波音飞机，小汽车什么的，各种化学制剂，烤烟什么的。名目繁多。不过这害处不大，是相当于借关税清洗海外对手——美国原产小汽车怎能还有出路？额，烟民朋友主意，香烟可能要涨价。这次的名义是为国家利益服务，禁了美国来的烟草。而且可以确信，政府不会补贴！
Moork,people,来，好奇心满足一下？,1,2018-04-05 01:36:47,52,14,四更在相互加增关税以后，我国对美出口大幅上涨，而美国对中国出口几乎持平。？？？所以到底谁更受伤？我回头去国家统计局找了一下中国的进出口总额的情况。8月出口同比增长约10%，进口增长约20%。换言之，在增加关税以后，中国对美出口增幅16.6%大于平均值10%，中国对美国进口增幅1.6%远远小于20%的平均值。也就是说，我国进一步开放市场的红利美国基本没分到，而自己由于对中国市场极度依赖，依然在进口中国产品，且增长趋势强劲。川建国名不虚传。。。三更川普一边在准备和中国打贸易战，一边在怼毛子，同时还在和一家后院的原本两兄弟撕逼，最后由于剥削儿子太厉害被儿子反咬一口。我真的不知道是谁给的川普自信这么多线作战，要知道，上一个敢这么作死的人名字叫希特勒。川皇有过之而无不及，连自家亲兄弟都在死命的怼。所以只要中国在这个这个关头顶住压力，效仿中国拒绝妥协的国家就会越来越多，正所谓天下苦秦久矣，美国真的敢冒众国揭竿而起的风险风险么？而且相比与秦末，我更倾向现在的情况更接近于隋末。毕竟现在的中国可不是最底层的陈胜吴广，而是一个有强大实力的关陇门阀。~~~~~~~~~没错又是分割线~~~~~~~~~二更我再分析一下眼下的局势。美国之所以会用挑起贸易战的噱头，不是说美国人真的想打贸易战，美国只是想以此作为要挟，让中国吐出部分制造业，相应条款请参照上个月韩国签的协议，大意就是限制对美国出口钢铁的量，并保证进口一定数量的美国汽车。美国用北美自贸协议威胁了加拿大和墨西哥，并成功了，用美韩自贸协议威胁韩国成功了。这极大的助长了美国政府内对华鹰牌的士气，所以现在轮到中国，美国理所应当的以关税作为要挟，想强逼中国就范。当中国以大豆和飞机作为回击时，川普还天真的以为中国是和自己在打牌，于是马上威胁再加1000亿的筹码。毕竟中国对美国出口更多，如果真的仅仅在关税上做文章，中国肯定吃大亏。殊不知，中国压根不把这个当做牌桌上的游戏，直接说，我们不排除任何选项，一副你敢动我我死也要把你拖下水的架势。而且，中国也不是没硬刚过，朝鲜战争和中苏对质时期的核战准备，是最典型的例子。要知道，美国的核心诉求是维持美国的全球主导地位，而维持全球主导地位的目的是维持以美元为基本的全球化体系，以此收全世界羊毛。贸易战一旦扩大，中美都会收到重创，美国势必会失去其主导地位，美元将没有一个强大的美国背书，谁还买美债，谁还用美元？美国还怎么great again?相反，中国经济增长的现在最为核心的内因是完整的工业体系和成熟的产业链，中国未来发展的最大依靠是每年走出大学6-8倍于美国的工程师和科学家。不同于美国依靠霸权维持的经济和依靠留学和移民支持的科研团队，中国即使同美国两败俱伤，也拥有内生的发展动力。而如果美国没有霸权和移民，其会在衰落后真正彻底陷入衰落。而这就是中国敢通美国硬拼到底的底气。所以，如果川普还是个正常人，读读基辛格的《论中国》，他就应该知道只要不去触碰中国的底线，很多东西都能谈。到如果他真是个疯子，那就请做好准备，毕竟这一天是迟早要来的。或许中国韬光养晦太久了，让某些人忘记了中国人的血性。毕竟熊猫吃竹子卖萌太久，人们也会意识不到那也是一只熊。~~~~~~~~~分割~~~~~~~~~~更新一下再次强调一下，加关税是一种打压目标国产品在本国市场份额的行为，而这个过程相对较为缓慢，不是瞬间的贸易禁运。短期内，目标国产品的相对价格会上涨，消费者会逐渐的寻找新的较为便宜的替代品。这不意味着目标国产品会瞬间从本国市场上消失，而是会逐渐失去在本国的市场份额。其对目标国的坏处在于，短期内由于消费习惯，缺乏替代品等原因，相应的商品价格会出现一定上涨，但是一般额度不会超过征税幅度(因为还有没征税的)。但长期来说，由于在本国市场上目标国产品会更贵，其会渐渐失去这个市场。本国厂商更有机会占领很多市场。所以加关税是一种进攻行为，而不是闭关锁国那种自残行为，相比担心大豆和飞机，多担忧一下美国给加税的产业重要好吧~_~~~~~~~以下原答案~~~~~~纠正一下常识性错误。首先对大豆加25%的税不等于说立刻禁运，其影响是长远而缓慢的，所以说缺口巨大的可以洗洗睡了。对美国大豆征税的本质影响是，国内市场在采购的时候会更加不愿意采购来自美国的大豆，使得美国大豆失去其通过低价优势建立的市场。市场有空缺，你不去填总有人去填。可以预计到最为严重的后果就是，在国内大豆和其他国家的暂时无法填补空缺，会使得国内国内的大豆价格小度上涨。但是大豆的均价上涨会同时刺激国内的大豆种植以及国外其他卖家的出口来弥补这个空缺，所以在最终市场供应重新均衡时，你会发现美国大豆市场份额大度缩水，而其他卖家则能过得价格上涨的甜头。中国不一定是输家，毕竟对国内大豆种植有好处，从粮食安全的角度来说也是好事。毕竟大豆问题一直是一个隐患，能够通过这种温和的方式解决，比哪天美国真的禁运大豆了好很多。但美国肯定是输家，多年深耕才换取的市场份额被川皇弄的一下就吐出去了。其次，对波音来说其实影响也是很大的，去看股价就知道了，华尔街大佬们肯定是比我们敏感的。当然有人说空客恐成最大赢家，也不一定。别忘了还有中国商飞的存在。同大豆一样，空缺的市场总是需要有人来填补的，现在同时有市场和zf的力量支持，商飞现在估计眼巴巴的盼着打起来呢。总的来说，这次征税的项目选的其实非常好，因为要注意到川普的支持者主要来自美国中西部的农业州，而波音又是美国一大军火商，其对美国军队还是有或多或少的影响的，而军队也是川普重要的支持力量。以打击川普重要支持着作为回击，同时还能兼顾国内相关重要产业的发展，上面的政策水平还是挺高的。所以说，该干啥干啥，这才哪儿跟哪儿啊，真打起来了大豆涨的那点价格影响还比不上一次打车钱。不说了，我要赶紧回去买两斤大豆屯上(手动滑稽)。
只增笑耳Jason,people,Simple and direct,1,2018-07-14 22:17:34,6,2,就转帖一个新闻LOL
weakleilei,people,customs技术狗一枚,-1,2018-10-17 18:24:37,2,0,这个，空客怕不是要笑疯了。然后看看C919的合作方，也推到重来吧。大豆就是猪消费降级少吃豆柏，人消费降级少吃川菜。
阿克德,people,,-1,2018-04-06 23:43:47,3,0,经济基础决定上层建筑，上层建筑反作用于经济基础。两会为什么国务院要大改机构？因为我国经济水平已经达到需要整顿的时候了，所以中美贸易，没什么事的，国家这么做，自然有对策。
冷眼热心,people,公职,-1,2018-10-14 15:42:18,0,0,简单说下大豆。大豆属于国际粮食贸易货物。国际厂商操控美国大豆会卖给国际商人价格肯定略低于卖给中国我们算百分之5好了.国际粮商会货物转运比如巴西再从巴西卖入中国在提高价钱。然后美国和中国都亏了。国际粮商赚了战争财。
louis,people,其实，我是一个演员。,1,2018-04-04 10:22:57,11,33,波音的的订单已经排了很多。对波音飞机加关税，波音不在乎。全世界大型飞机的生产商就两家。如果不买波音的，去买空中客车，会把空中客车的原来的客户挤到波音来。对美国大豆征收高关税是不可能的。美国大豆是北半球唯一的大宗进口来源，不买？就根本没地方买去。南半球的气候和北半球是反的，农作物的收获季节差半年。如果不考虑囤积的问题，南美的现货大豆只够半年用的。这就是美国大豆不可能被代替的原因。而且，这种大宗农产品，出口方一定是早有安排好的客户的，突然一下子找上门去跟人说要买大宗，人家手里也没货。关于4月4号的事情，有下面的问题：1.实行时间不确定，很像是试探或者吹牛。2.对波音的重型飞机并不涉及。第二天道指低开高走。波音股票下跌2.3%各位尽可wait and see.好戏在后面。欢迎各位半块钱们抬楼。
