name,type,headline,gender,created_time,vote,comment,content
小肥熊,people,,-1,2018-10-25 10:09:30,12,8,在退出TPP的情况下，通过回流制造业替代made in china 会带来可怕的经济问题。美元的实际购买力下降，真实所得降低，经济停滞，由于历史的积累问题，物价可能会爆发式上涨。日用消费品价格的提高，会带来连锁反应。日用消费品价格上升→劳动力成本上升→商品价格上升→货币价值下降。当时欧美国家解决滞胀的方法，是通过自由经济还是全球化，我更倾向于是后者。全球化，带来了廉价消费品，廉价消费品替代了原先的高价消费品，使整个社会的生产、生活成本降低，培养劳动力成本降低，变相提高了货币的真实价值。通胀的问题得以解决，市场的扩大以及富余的劳动力也为经济增长腾出空间。 那现在反过来呢？经过多年的积累，美国生产的消费品价格和发展中国家的消费品价格差距越来越大，日用消费品与富人差距确实不大，但却与劳动者息息相关。消费品价格的上升，先不说通胀的问题，首先带来的是“生产”劳动者的成本大幅提高，那雇佣成本必然进一步提高，通胀和经济停滞在预期之内。
netsys,people,无业游民,1,2018-11-03 10:49:37,8,12,"如果美国把中国人家里的CPU、GPU、操作系统、各种控制芯片都撤走，楼主还能发帖吗？楼主还能玩手机吗？中国研发能力最强大的华为手机：（下图转帖：华为手机中最为精密、昂贵的技术是主板，而它主要由来自美国、韩国和台湾公司的芯片构成。这个2.8英寸的主板成本占手机实际成本的52%。—nyt中国专题报道中细致入微的拆分图。 ）甚至，你连电视都看不了，先不说电视台的各种设备和网络设备，就只谈你电视最核心的控制芯片，只有百分之几是大陆产，其余都来自海外。中国彩电以前“缺芯少屏”，屏的国产化已逐步解决，而芯片还主要靠进口，主要是难在芯片开发和生产工艺。创维集团首席技术官（CTO）王志国2018年4月24日向第一财经记者表示，彩电芯片要完全实现国产化，瓶颈在精细化制造和专利。他乐观预期，三年内彩电芯片将能实现国产化。没有美国，中国将倒退到80~90年代，没有中国，美国人民顶多需要多支付10%的费用，而且很快就就买到平价东西了。NIKE、阿迪已经把厂迁移到东南亚了，很多纺织行业、鞋业都去东南亚了，富士康去美国开厂，当地政府给了40亿美元补助。富士康美国威斯康星工厂今秋动工 补贴40亿美元 （原标题：As Foxconn breaks ground on Wisconsin plant, incentives hit $4 billion）网易科技讯 6月28日消息，据VentureBeat报道，美国威斯康星州多位政界和商界领袖证实，富士康计划最早于今年秋季在威斯康星州东南部的第一个工厂破土动工，并最终计划在整个地区的多个地点设立组装和制造业务。然而，威斯康星州和地方政府将为“赢得”这笔交易付出高昂代价——约40亿美元的激励措施，比最初估计高出近10亿美元。富士康美国威斯康星工厂今秋动工 补贴40亿美元郭台铭和沃克周四签署了一份谅解备忘录，概述了该项目以及政府将提供的高达40亿美元的激励计划。这相当于政府为富士康创造的每个工作岗位提供307692美元的补贴。威斯康星州最初宣布激励措施为30亿美元，当时已经引发了许多争议。不过随后当地媒体报道称，刺激措施可能达到45亿美元。即使是30亿美元，威斯康星州也不可能在25年内收回对富士康的投资。为了赢得这个耗资100亿美元的工厂项目，州、县和村镇官员们总共拿出了近40亿美元，承诺提供从补贴到新道路和工厂周围基础设施等一切援助。其中大约30亿美元来自所得税抵免和销售税免税，大约有9亿美元的地方激励和改善措施。如果项目失败，威斯康星州必须偿还40%的公共债券，尽管富士康董事长郭台铭也承诺会承担责任。正如《华尔街日报》报道的那样，这个有争议的交易是由威斯康星州和地方谈判组成的，这是一种“糟糕的做法”，显然是富士康坚持要在公告上迅速取得进展而被迫进行的。此外，富士康的基础设施正从其他紧迫的国家道路项目中获取大量资源。威斯康星州的官员和立法者们仍然不看好这项协议，不认为它是个“千载难逢的机会”，可以帮助该州打造高科技经济，而完全是滥用公共资金。将外国制造业工作岗位带回美国始终是特朗普政府的首要任务，尽管这样做的成本可能令人望而却步。富士康的大部分工厂都在亚洲，那里的工人工资远低于美国。富士康的主要业务是组装消费电子产品，包括许多苹果和其他大品牌的主流产品。威斯康星工厂预计将在未来几年内为即将发布的产品生产液晶屏幕，并雇用1.3万名威斯康星州居民。（小小）--这就是特朗普悍然发动贸易战的底气。不过中国人民不是吓大的，我们郑重发誓：宁愿中国不长草，也要让美帝难受。"
米红卫,people,,-1,2018-10-23 02:14:13,5,2,如果搬走富人家里穷人生产制造的东西，那么大约还能剩下多少东西？ 
咚咚锵,people,,1,2018-11-03 02:58:15,3,0,你虽然能进到了他家里，但有没有命出来就不得而知了。
superyu木师,people,,1,2018-10-21 10:11:18,23,7,这问题毫无意义，是来找存在感的么？如果搬走中国人家中所有用美国技术日本技术授权的产品，那我们还剩下什么，衣食住大概没问题，行是别想了，手机电脑电视等等科技含量高一点的电器也没了，然后这有什么意义，和搬走中国产品的美国人比惨么？
多啦AV梦,people,短篇作家，随便写写，欢迎点赞,-1,2018-10-21 08:44:40,48,67,这个问题没意义在于中国不生产这些东西美国也能生产，只不过贵一点罢了而美国如果不提供波音，高通，英特尔中国就束手无策谁受到的影响大？忘了告诉你，C919的发动机也是美法生产的
兔子,people,,1,2018-11-01 19:42:01,6,1,美国已经讨论生子国籍的问题了，笑看回答这里一群美分党跪舔。很多行业正是因为全球化，中国资本竞争不过美国资本和之前指定的标准才落后的，中美互不来往，什么结果还不一定呢，川普都玩贸易战加税了，美分们还吹呢，如果能一直能站在制造业最高端，为啥怕中国做中低端的发展壮大，高中政治都白学了吧，用发展的眼光看问题，白学也对，毕竟要移民的人，念着基督的好才真真理
TATa,people,,-1,2018-11-11 15:30:03,1,0,你确定只是贵一点？起码美国人的生活开支提高一倍以上。据我行业所知，同等质量的货物美国制造是在中国批发价格的3倍以上
水仙已乘鲤鱼去,people,,-1,2019-05-16 10:31:10,1,0,emmm基本上不剩啥了。参见B站up毒角show做的一个相关视频链接https://b23.tv/av37479547
其意如风,people,禅,-1,2019-02-02 00:26:22,1,0,什么都没有了，在美国生活过的都知道，没有中国制造就得光腚。
