name,type,headline,gender,created_time,vote,comment,content
Bob Zhang,people,职业黑,1,2019-05-16 15:37:39,105,34,谢邀，很多人老觉得这些民用产品不给中国中国就活不了了，就要回到石器时代了，这是典型的屁股决定脑子的思维! 民用产品代表最高科技水平吗? 无稽之谈，相反，民用产品并不是以先进著称，而是以稳定廉价著称，不然谁买? 为什么中国在很多民用领域不及西方，因为西方起步比中国早，资本和技术的长期积累，把东西做得物美价廉，把国产打得抬不起头，这就是为什么中国对外资汽车加税，否则中国汽车工业将彻底沦为买办，完全被外资占领。然而近几年，中国技术的飞速发展，使得中国民用产品迅速抬头，西方的压力非常大，他们的民企一个个倒下，被收购，令美国坐立不安，这就是美国为什么疯了一样要打贸易战。好了，那么从现在开始西方全面制裁中国，什么都不卖，全面封锁，会怎样? 呵呵，在军工领域，就是如此，西方一颗螺丝钉都不会卖给你。可是中国照样做出了五代战机，大运，055驱逐舰，电磁弹射，综合射频，北斗系统，天宫站，蛟龙潜艇，太行发动机，量子通信，这些都是集顶尖科技于一身的结晶，这说明什么，中国在完全被封锁的军事领域并不差，有大量的技术积累。而军工技术是远远领先民用技术的！ 之所以无法转化到民用，就是因为西方卖给中国民用产品，成本优势非常大。然而一旦被封锁，中国可以将常年积累的先进军工技术迅速反哺民用，并且无需担心外来竞争。对于普通人来说，顶多就是初期体验差一点，但13亿人口的优化迭代速度可以快到你难以想象，民族产业会比现在更好。事实上，韩国的汉江奇迹就是这样搞的。。。在封闭市场内迅速扶植民族工业。真要玩全面封闭，中国只会搞得更好。再说西方，不要拿中国人的思维去看西方，中国人的思维是大一统思维，是国家意志思维，民族利益高于一切，所以中国人觉得西方也是如此。可惜，西方是资本利益高于一切，挡人财路，如杀人父母，全面封锁就是杀人父母，即便是在冷战时代，西方人都变着法的想跟中国做生意，想侵占中国大市场，你现在要全面封锁? 资本集团怕是要手撕了你。。。。最后，为什么美国要发动贸易战，因为资本集团在华利益受到民族工业的挑战，所以要打，但是打的目的是进入中国市场，而不是封锁啊。。。我特么打了半天，你把中国市场给锁了，what the fuck! 我八千里长刀何在?美国逻辑：资本集团需要市场——中国民族工业挡我财路——我要打贸易战干死他们——中国服软市场洞开——民族工业被我打垮——我继续捞钱剪羊毛。中国逻辑：国家崛起需要民族工业——我们要限制外资保护民族工业——美国要干死我的民族工业——这是核心利益绝不妥协
曾经的用户,people,他离开了知乎。,1,2018-04-21 13:17:18,131,24,收到一堆邀请，要我回答贸易战有关的问题。。不会，顶多倒退10年左右吧，而且未来有与美国赶齐的余地。如果美帝完全封锁他们的硬件，那么中国会自成一个独立发展的软硬件生态。最难做的是桌面级芯片。短时间内只用国产芯片，大概会回到2005年左右的水平。不过美帝探路在先，中国市场又这么大，做桌面级芯片的厂家很容易收到大笔订单，也就有动力（和政府的压力）搞研发，追赶速度不会慢。毕竟慢了也会被全国用户喷死。其他的，内存和硬盘都有国产货，倒退顶多5年吧。软件方面完全不用担心。操作系统这个东西本就是一方提出，大家合作才能做出来的。对于中国来说，如果没有了微软的支持，完全可以搞出来一个自己的操作系统（我非常期待这件事情，我觉得如果操作系统换国内的公司来搞，维护力度和效率肯定比微软要好。）。这类新系统必然在技术上，在易用性上，在兼容性上，一开始会有各种各样的问题，不过给他们几年时间，会改的很好的。手机系统同理。事实上，即便没有市场，即便没有赚钱，即便微软还在中国占据着绝对的地位，中国也有一批搞linux的，而且在亏损状态下依然搞得风风火火。如果要让这批公司拿到国内的市场，他们敢闹翻天。至于你问，那既然如此，为何不现在就把美国的软件给禁了呢？安卓是开源的，免费用。Windows的扩张主要靠各种盗版，ghost。都是免费现成的玩意拿来给你用，禁了干嘛？
环球同此凉热,people,时事观点看的东方时事解读，但只代表个人理解，不代表东方,-1,2019-05-15 12:24:34,88,28,CPU有x86的兆芯，ARM的飞腾。还有龙芯和申威。内存，紫光的差不多了。硬盘，机械硬盘是不行。但是固态硬盘现在颗粒有紫光，目前产量很低，预计年末开始上量。主控芯片有国科微和龙芯合作的主控。 目前市面上已经有国产主控的固态硬盘了。安卓，国内不用谷歌的服务，中国根本不鸟他。 要封锁也只影响海外市场。而且华为的备份方案已经出来了，方舟编译器实际上就在为日后app迁移到国产系统做准备了。中国现在差的就是一个市场机遇。一旦美国敢封锁，首先美国芯片企业自己很难受。其次，正好申威之类的获得市场机遇，开始建立生态。 所以美国封锁这些东西不过是七伤拳，吓唬吓唬，实际上中国非但不怕还可以借机把美国把持的生态体系给咔擦掉。我的观点就是贸易战打到这一步更好。直接搞申威的电脑，围绕申威的alpha架构打造一个生态。现在qq之类的软件确实不会去兼容这个平台，但贸易战如果达到这一步反而是个机会。一旦这个架构的生态建立起来，把握了市场，美国企业就永久失去这个市场了。
游玩一天,people,我很傻，什么也没有留下,1,2019-05-17 12:40:39,32,16,美国快点禁，越快越好。这样中国就可以开发操作系统以及许多应用软件了，程序员的春天来了
宅男,people,网站设计,-1,2019-05-19 18:43:29,12,0,美国估计没有这么傻，要知道美国封锁中国的行业，中国基本上都能做到世界领先，美国对中国开放的，中国很多都做不到世界领先，典型的就是汽车，开放这么多年都是外国车垄断的，毕竟人都是懒的，有现成可用，就不愿意去钻研。有电梯，就不愿意再爬楼梯了一样的道理啊美国对中国禁售操作系统，华为，阿里巴巴，腾讯，百度，360这样的公司做梦都会笑醒。很短时间内中国将涌现十几个国产操作系统，我们用户一开始用的不习惯，肯定会大骂粗口，但没有选择只能用国产最优秀的系统，几年时间的完善，市场淘汰，就会留下一两个最优秀的操作系统。到时候美国苹果，谷歌，微软将面对的是一个全新的牢牢占据十几亿市场的世界级的对手。想一下都知道美国不会对中国禁售操作系统，除非他脑袋进水了。芯片问题比操作系统问题严重一些，花的时间要长一下，同样的道理，几年不行，那就十几年总会赶上的。所以芯片和操作系统中国不怕禁售，最多就几年时间难熬一些，但几年后，美国面对将是一个极为辣手的竞争对手，所以目光长远的美国人是不会对中国禁售的，他们更愿意是温水煮青蛙，免费给你用，允许你盗版，不让中国这样的企业出现。
发财,people,2015.5.2集齐温兆伦，2015.12.8成为程序员，2015.12.11被踢回运营狗。,1,2019-05-17 10:25:03,28,1,就像当家长拿着棍子逼你弹钢琴一样
陈先森,people,北方男子曲艺专修学校优秀学员,1,2019-05-16 10:03:18,31,5,路过。利益相关：xue微相关。答主的原问题：可见，题主还是心系本朝的。不过很多事情还是要多方面去了解。IT这边的软硬件技术前面有答主说的很明白了，全世界最大的市场在亚洲，准确的说在我朝。原因很简单，亚洲人最多……同理，我朝有消费能力的人在亚洲也是最多的。大洋隔壁的大统领要是打算把位子坐明白了，大概应该会想清楚，加州IT新贵们的利益要不要顾及。自己主动脱离市场，此前百亿美元论的研发投入找谁去摊呢？这么搞可别把加州弄独立了哟～说回我朝，建议题主不要被互联网公司忽悠了。至少现阶段，不管是送外卖、出行、电商、还是社交等等，大家干的都是基于互联网提高社会效率的活儿。技术创新不能说没有，但是能引领基础科技发展的确实太少了。当然了，为了讲好故事还是要说自己是高科技企业。然而我朝真正能够带动基础科学进步、推动工程技术发展的科技企业或者主体是谁呢？恰恰是以内些在互联网时代让人很看不上的各种研究所、高校、央国企等为主力。题主说的航空航天也都是他们在折腾，然而因为不怎么赚钱日常被diss，23333～综上，建议题主能够对互联网公司和科技企业进行正确区分。
锦鲤,people,//bug制造者/伪骑行党/团灭发动机,0,2019-05-17 19:52:58,23,3,桌面CPU方面，x86这边目前有海光的处理器可直接供重要部门替换，MIPS这边如果龙芯3A4000真的有宣传的那么好的话在加大投资的情况下三五年内拿出足够日常使用的CPU问题也不大。服务器/超算CPU方面，x86有海光，别的架构还有alpha这边的申威手机SOC方面，严格说属于高性能的嵌入式方案，除了海思还有全志展讯等等，但是基带靠谱点的也就海思和展讯。嵌入式方面，海思龙芯展讯全志等等还都不错，给点时间完全能够发展起来，特别是海思的嵌入式芯片已经在一些应用上有极大的份额了。内存/硬盘都能自产，只是性能上限比国外低一些桌面操作系统方面，可以直接搞linux桌面，linux是蓝星共享的，开发用的工具链也很完善，也都是全人类共享。手机操作系统方面，阿里自己搞了一套安卓虚拟机的实现，华为好像也有。拉上ov小米等厂商维持技术演进问题不大。周边的元器件及芯片国内都有，就是性能差点最大的问题在生产上，毕竟国内中芯国际现在也就那个样子，而且制造设备国内还很落后甚至没有。其次还在进出口贸易上也会有很大问题，像小米ov这种没有自己核心器件的公司只能选用次很多的产品，在性能上会失去竞争力，但国家也未必不会通过行政方式让海思开放自己的芯片供应。不过GPU要凉凉啊影响嘛，肯定是会痛苦几年了，不过还不至于离了美国红绿灯都亮不起来
不知名股市砖家,people,,-1,2019-05-14 21:58:13,301,141,不会。这些高科技产品在中国市场占70%份额。芯片可是高投入高回报产业。任何产业瞬间失去70%的份额，制造商会破产的。高端的我没有，我就凑活用中低端的。必须用高端的，我就从特殊渠道搞，毕竟是商用芯片。市场上还是能找到的。比如某宝上的那些至强处理器。。。美国突然放弃70%的市场份额，欧洲和日本会乐死的。今天看新闻，华为有足够2年半的元器件囤货。。。再结合方舟编译器。这是有备而来啊。
江河万古流,people,,1,2019-05-16 09:47:13,8,0,“老美，你有本事打贸易战，你倒是有本事硬件软件一刀切啊！你一刀切啊！”——————————正经的，海思麒麟＋方舟编译器，一两个礼拜就能拉扯起一套手机生态，如果老美肯大慈大悲的让出市场的话。国内已有X86CPU不可能直接原地爆炸吧？win7过期了，可以自行维护了吧。再你想想你几年才换一次电脑，所以老百姓将就个三年没事。国家科研国防将就不得，但是咱有自己的芯片，申威龙心只是代表。并且用这些市场养技术，三年之后，龙心赵芯的笔记本完全基本可以达到win的体验。航天科技，航天科工的活，你不要硬塞给互联网公司。各司其职，民生也重要，而且往往吵的最凶。
