name,type,headline,gender,created_time,vote,comment,content
南野见闻录,people,人生不用急，好吃，慢喝，来日方长。,1,2019-04-02 11:23:28,170,10,很多人听说过“广场协议”，一般人都以为，当时的美国是逼迫日本签订了丧权辱国条约。事实上，在对“广场协议”的背景和影响充分研究后发现，这一协议并不是导致日本经济长期衰退的直接原因，还一度对日本有极大好处，只是后来美国的施压和日本的政策失误导致了日本经济的悲剧。广场协议”诞生的背景脱缰的市场美国的施压与日本的政策失误日本经济的崩溃给中国的启示“广场协议”诞生的背景上世纪八十年代初，美国经济出现了严重的通货膨胀，而且受越南战争、美苏冷战等影响，美国政府财政赤字严重。里根总统决定采取金融紧缩政策，美联储将美元的利率提升到了两位数，一时间海外热钱大量涌入美国市场，将美元越推越高，导致美元大幅升值。美元升值严重影响到了美国的出口竞争力，而当时正是日本制造风靡全球的时代，日本的汽车、半导体、摩托车、机械设备不但质量不逊于美国产品，还因为美元升值的原因明显具有价格优势。在日本厂商的冲击下，美国传统制造业基地五大湖区的企业出现破产，大批工人失业。美国第一次感受到巨额贸易逆差的压力，在此背景下，里根政府决定让美元贬值，于是诞生了“广场协议”。1985年9月22日，在美国纽约曼哈顿中心的广场酒店，美、日、德、法、英五个国家财政部长和央行行长达成以这个酒店命名的协议——“广场协议”。协议决定五国政府联合干预外汇市场，诱导美元对主要货币的汇率有秩序地贬值，以解决美国巨额贸易赤字问题。脱缰的市场“广场协议”签订后，上述五国开始联合干预外汇市场，在国际外汇市场大量抛售美元，以实现美元贬值。9月23日最早开始营业的市场是新西兰惠灵顿市场，美元对日元比价从239跌到234，然后是香港和新加坡，美元不断走跌。接下来的是纽约市场，市价到225，10月后东京市场日元也进入210。全世界都在卖美元！让人没想到的是，日元升值如脱缰的野马，根本停不下来！1985年9月底，《广场协议》签署，日元开始升值，初值是240元；1986年2月，190元，就已经达到了当时财政大臣的预设目标；1986年9月，150元，超过目标完全停不下来；1988年1月，120元……由于美元贬值速度过猛，1987年上述五国与加拿大又签署了《卢浮宫协议》，意在结束广场协议，阻止美元的持续贬值。但日元的升值势头却无法遏制。仅仅两年三个月的时间，日元兑美元已经升值了一倍！在美元结算的世界里，这就相当于日本国民的平均财富值凭空增加了一倍！由于日本的生产资料严重依赖进口，在日元大幅升值的情况下，日本企业制造成本下降，缓解了出口成本上升的压力，所以当时日本的通货膨胀率也是非常低的，不超过1%。于是，一向以高储蓄率和节俭出名的日本人，开始在银座排着队买LV包；学生没毕业就有企业成群结队来招聘，甚至可以预付半年工资；夜店里的见面礼是金表，卡座里用来擦汗的是现钞……日本企业展开了全球疯狂买买买的模式。1987年，日本三菱地产以14亿美元购买了纽约洛克菲勒中心，美国媒体称日本人“买走了美国人的灵魂”。同年，索尼以34亿美元买下了哥伦比亚影片公司，更名为索尼影像娱乐公司。1991年，亿万富翁横井英树又以4000万美元，将被视为纽约心脏的帝国大厦收入囊中。美国社会惊呼“美利坚被推上了拍卖台”！美国的施压与日本的政策失误前文提到，日本国民的生活变得更富有，但美国对日本持续施加的压力加上日本失误的货币政策，最终让日本经济濒临崩溃。在贸易逆差的背景下，美国从上世纪70年代中期开始逐渐转向贸易保护主义，采取单方面贸易制裁措施，以应对日本带来的经济威胁，我们熟知的“超级301条款”也因此而生，这个贸易保护大棒打得最多的就是日本，直至中国经济崛起。美国对日本的优势产品不断加征高额关税。高到什么份上呢？举个例子，1987年，美国对日本电视和计算机征收100%的关税，1995年，对日本豪华轿车征收100%关税。贸易制裁加上日元升值，日本的出口肯定会大打折扣，1987年，日本出口总额下滑了20%。美国有赖于国际利差来吸引国际资本流入，减缓美元过快贬值，但不愿意支付更高利息，遂要求日本、德国协同降息。另一方面，美国继续要求日本增加对美国产品的进口。于是，当时的日本中央政府财政机关和央行计划刺激内需，同时想办法停止日元升值。谈到短期刺激内需的经济手段，财政政策和货币政策是必然考虑的。因为当时日本政府债务占GDP的比例高，政府担心债务规模继续急剧扩大，便否认了财政政策，将压力落到日本央行身上。考虑到当时日本通货膨胀率低的优势，日本央行实施宽松的货币政策便有恃无恐。1986年1月30日，日本宣布将银行利率从5%降到4.5%，同年3月，美、德、日降息，法跟进降息。4月，美、日再度降息，日本银行利率降到3.5%。7、8、10月，继续降降降，不到两年的时间，日本的银行利率已降至不到2%，广义货币（M2）以两位数的速度增长。过度充裕的货币数量，带来房地产的火热和股票市场的爆发，民众和企业大举投资房产和股市，坐等大赚特赚，民众为炒房背负了沉重的债务。东京金融市场变的越来越投机，大量企业炒股票、炒外汇、炒期货。1985年后的五年时间，股价上升3倍，东京证券交易市场成为世界上最大的市场。1985年地价开始上升，很快地价暴涨在全国泛滥开来。到1987年底，日本全国土地总价1673万亿日元，是美国土地总价的2.9倍。日本经济的崩溃1990年开始，面临金融风险的日本开始对市场进行调控，连续五次上调利率，导致房地产泡沫在1992年破灭。房地产价格大跳水，大量民众因为炒房破产，股市又从38000多点的顶峰迅速滑落，实体经济陷入硬着陆。加上海湾战争爆发，石油价格暴涨，日本制造业成本急剧上升，大量资本被套牢在房产和其他投资品上，导致企业资金链断裂频发，日本制造企业开始成批倒闭，社会失业率大增。而制造业的贷款也成为不良贷款，让银行疲于应付。整个九十年代，日本经济的增长率始终不足1.5%。90年代中期，日本又经历了货币迅速贬值，即“抛售日本”，日本经济雪上加霜，至今也没有走出衰退阴影。1996年，三菱地产因巨额贷款被迫破产，美国人又以14亿美元买回了洛克菲勒中心，只不过当时的汇率是1989年的一半，美国人实际上只花了当年一半的价格。1985年3月 - 2013年3月 日本房地产价格趋势（设置2000年3月为100）给中国的启示昔日的日本与今日的中国似曾相识，经济迅速增长、与美国巨大的贸易顺差、国人全世界买买买、狂飙猛进的房地产、金融市场风险……所以国家很早就开始了外汇管制，近几年还密集出台措施限制炒房，2018年出台《资管新规》，将防范系统性金融风险作为重中之重。央行继续实施稳健中性的货币政策，既要减少热钱的投机行为，又要防止实体经济硬着陆。我国应该从日本的教训中看到，日本经济政策缺乏独立性，美国的施压和政府的短视让日本央行施行了错误的货币政策，进而形成泡沫经济。而与日本几乎顶着美国砸下的相似压力的德国却懂得灵活调节各项政策，让本国经济稳健发展，这与德国央行的独立性分不开。我国的货币政策也要对独立性有充分的保障，像德国那样，对通货膨胀保持高度警惕，同时政府要善于运用财政政策刺激内需，避免大起伏的货币政策来刺激经济。从日本的经历中吸取教训，相信我国的经济会更健康。
海树,people,公众号：游磐 youp193,0,2019-05-11 09:50:32,15,0,贴一下研究的一个结论，广场协议并非日本经济崩溃的原因。………那么，作为日元升值系列的最后一篇，本文所试图解决的问题是，从85年广场协议后日元暴涨到87年日元波动不再影响经济景气，这段跌宕起伏的历史进程的发展逻辑与深层结构。具体而言，首先回顾一下这段历史的各个阶段，梳理一下其起因与发展逻辑，以及带来的后果。其次，从理论的角度分析创造历史事件的主体之间的关系，与其背后的深层结构与模式。从整体来看，日元升值的历程可以分为五个阶段。第一个阶段是85年9月到86年1月，日元从250左右升值到200日元左右，这是日本意料之中的范围。第二个阶段是86年1月到3月，日元从200左右升值到180左右，这时开始接近日本政府的接受底线，日本制造业开始发出悲鸣，经济开始出现不景气。对此，日本政府发表著名的前川报告，提出经济转型与内需扩大的方策。第三个阶段是86年3月到12月，日元从180升值到160左右。4月初日本银行通过降息来稳定日元，不成功后又换了对财政支出和利率调整更积极的财长。9月时经济开始缓解，但迫于美国压力再次降息。10月日美就汇率稳定达成协议，日元稳定在160左右。第四个阶段是87年1月到5月，日元从160升值到140左右。86年11月美发布了历史最高的贸易赤字，1月美表示美元下跌合理，于是日元走高。1月19日，日元升破150，日财长急速访美，未果。20日日银降息以稳定日元。4月日元升到140左右，日首相携经济经济对策访美，内需振兴，利率调整，减税预算等，什么条件都可以谈，以此请求稳定日元，并解除对日半导体制裁。第五个阶段是87年5月到10月，日元稳定在140-150之间。5月巴黎举行的OECD阁僚理事会上通过了稳定汇率的决议，日本企业通过自身调整走出困境，内需也开始扩大。10月黑色星期一之后日元再次暴涨，但此时汇率对经济的影响已经很小了。从广场协议开始溯源其历史逻辑，日元升值并非是一般观念中，日本受美压迫而接受的。而是，日方出于自身情况而自愿提议，并拉上了不情愿的西德。其社会背景是，第二次石油危机中，日本经济靠政府干涉迅速走出危机，但给政府带来了很大的财政问题，经济好转后民众又拒绝通过增税来再建财政，于是政府在美国的贸易不均衡压迫下，草率地选择了干涉货币汇率，通过降低制造业的竞争力来减少贸易不均衡。（具体分析请看这篇镜中日本（十一）：被冷落的真相——广场协议中日本提议的日元升值）但站在历史事件外围的人们，却很自然地认为美意图通过货币贬值来解决贸易不均衡，毕竟当日本提出升值日元时，欧美各国也是非常震惊，竟然还有自毁城墙的。但事实上，日元升值固然给日本的汽车、家电、半导体这三个支柱性出口产业带来打击，但日本也利用日元升值收购了欧美企业，以梵高的画为代表的大量艺术品也流入了日本。美方其实是更希望通过财政政策和内需扩大来解决贸易不均衡问题，由此，现当下也没有出现第二个广场协议。…………全文在这里~镜中日本（十五）：广场协议后日元升值的发展逻辑与深层结构（85-87）
周陆军,people,全栈工程师，热衷于前端，也打打java的秋风。摸IT前180，码码后178,1,2019-05-06 17:04:27,29,4,在阴 毛论的眼里，都是美敌威逼利诱，才使 日本失去二十年所以，到了东南亚危机，也是索罗斯造成东南亚危机其实，这个只不过是个导火索。根本原因在于其内部的经济矛盾日本当时和我们现在很像，金融业空前发达，资金空转——地产兴国，实业败家。制造业出现了很大的困难，疯狂的印钱，房地产狂欢1986-1987年就连续五次调低了贴现率，资金成本大幅降低。最终，由于制造业成本过高，资金并没有流入制造业，而是疯狂的流入楼市和股市，最终才出现了1989年的超级大泡沫。在此期间，日本的股市上涨了三倍，地价平均上涨四倍，核心地区地价甚至上涨接近十倍。1990年，一个东京的楼价可以买下一个美国。我们有没有泡沫，自己心里衡量深圳作为改革的前沿地，一个好点的楼盘一栋楼，可以买下深圳机场。一个小区，可以买下n个科研机构。这个跟小老百姓不相干就比如一个卖菜的摊位，一平米左右，月租七千（比如深圳坪洲，旁边的义鸟菜市场），一个水果店的门面租金（8平米左右）一万三，一个果农，菜农的 产品，从出土地，物流成本——高速费比油费还贵如此高昂的成本，百姓在生存上挣扎——个人理解是，有钱，有闲，才有功夫去琢磨 创新
萨拉斯的血骑士,people,国际贸易专业学生，喜欢各种pc主机游戏和日本动画,1,2018-03-30 11:06:53,3,0,最广为人知的内容就是日元升值了，从1美元兑200+日元，升值到1美元兑120日元，一年多的时间升值一倍多。使石油危机后的日本经济雪上加霜，出口受挫，政府为了缓解经济困境采用扩张性的货币财政政策，同时大量外资为了汇率安全流入，大量的资金流向股市和房地产，产生泡沫经济，为泡沫经济破灭和经济发展陷入长期停滞埋下祸根。对中国的一些启示：防止经济过热、保持汇率稳定之类的吧。至于楼上说的日本是出口导向型而中国是最大的市场的观点，日本在很多年前就已摆脱出口导向型经济，反而中国不久前仍是出口导向型的国家。据我所知，中国的出口导向战略比日本晚30年，我国直到最近几年才基本结束出口导向战略。前几年中国的外贸依存度(30+％)是远高于日本(9％)的，近几年中国的内需的确扩大，但日本由于本身产业较完整，外贸依存度其实并不高。即使中国出口的依赖性现已小于日本，也不会产生决定性效果。
孤叶,people,这个世界每个人都是演员？也许吧！,-1,2018-03-27 11:50:14,5,0,对于中国的借鉴意义不是大，日本是一个出口导向型经济的国家，经济的发展需要大量的出口经济，而中国有一点和日本不同的地方是，中国本身是全球最大的市场，对于国际市场依赖度没有日本那么高，但也不能盲目乐观，日本经历那样的经济冲击没有倒下，依靠的是自身的硬实力，中国在这方面还是差很多的，依然是全球最大的代工厂，制造业还需得到更多的国家层面扶持，所以现阶段中国还需磨练功力！
凌柏超,people,实用派前端 処女はお姉さまに恋してる,1,2019-02-11 16:32:19,1,0,"《广场协议》（英语：Announcement of The Ministers of Finance and Central Bank Governors of France, Germany, Japan, The United Kingdom, and The United States，简称：英语：Plaza Accord）是美国、日本、英国、法国及西德5个工业发达国家财政部长和央行行长于美国纽约的广场饭店会晤后，在1985年9月22日签署的协议。目的在联合干预外汇市场，使美元对日元及德国马克等主要货币有秩序性地下调，以解决美国巨额贸易赤字，从而导致日元大幅升值《广场协议》签订后，上述五国开始联合干预外汇市场，在国际外汇市场大量抛售美元，继而形成市场投资者的抛售狂潮，导致美元持续大幅度贬值[1]。1985年9月，美元兑日元在1美元兑250日元上下波动，协议签订后不到3个月的时间里，日元兑美元迅速升值到1美元兑200日元左右，升幅20%。1988年与1985年相比，主要货币对美元的升值幅度大约分别为：日元86.1%、德国马克70.5%、法国法郎50.8%、意大利里拉46.7%、英国英镑37.2%、加拿大元近11%。但是我说一句 日本本来就是作为远东堡垒而存在的  1985年 苏联共产党和戈尔巴乔夫开始宣布他们的“新路线”苏联都已经向美国妥协 美国就没必要再向日本退让了 所以美国决定于当年开始兔死狗烹计划 干掉日本"
小白读财经,people,金融研究员,1,2018-11-26 11:46:42,20,0,1985年9月22日，美国、日本、联邦德国、英国和法国在美国纽约广场饭店签订历史上著名的广场协议。而这一协议，也被后人称为日本“失去二十年”的转折点。广场协议都说了些啥？广场协议是在美国经济陷入滞胀，而日本经济飞速发展，日本货“浪”遍全球的背景下诞生的，因此广场协议的内容主要包括：1、遏制通胀。上世纪70年代，正值中东石油危机期间，同时期美国的GDP增长率从0.2%一度下降到负值以下，而CPI增长达11%。2、扩大内需、贸易开放，资本自由化。1960-1979年，日本的出口占日本 GDP 总量都在9%以上，贸易顺差不断扩大的基础上，经济还在不断增长。而这却大大挤压了日本贸易伙伴，尤其是美国的消费内需和市场份额。那时候美国工人甚至会当街打砸日本汽车，称其抢了他们的饭碗。3、汇率弹性化，即美元贬值。这主要是出于贸易国逆差的考虑。日本对外贸易顺差从1981年的20048亿日元扩大到1985年的108707亿日元，而其中大部分都是针对美国的。到1985年，日本对美出口额占比高达37%，美国当然不高兴了，所以希望通过美元贬值来缓解逆差。另外，广场协议中美国、日本、联邦德国、英国和法国也达成了不少共识，其中包括：缩减公共开支，转变经济增长方式，扩大内需和民间投资；推动金融和资本自由化以及汇率弹性化，抵制贸易保护主义等。为什么让日本失去了20年？在广场协议签订前的几十年里，日美两国就已经在纺织品、钢铁、彩电、汽车、半导体和电信行业发生过许多贸易纠纷，美国也多次向日本发起毛衣战。不过最终都以日本妥协收场，比如出口限制、自愿扩大进口、开放市场等。不过，这并不是说日本被美国“蹂躏”，所以才失去了20年。究其原因，还有很多更深层次的。1、广场协议签订后，日元大幅升值，打击了日本的出口。而当时日本的出口带动经济增长高达14.72%%，为了不让经济增长引擎熄火，日本央行采取过度宽松的货币政策进行刺激，短时间内连续下调贴现率和利率。而这又导致了股市和楼市的泡沫。为了防止泡沫破裂，又开始实行紧缩的货币政策。这么一松一紧，贴现率和利率都走成了V字型，经济肯定吃不消，资产泡沫崩溃也就自然而然了。就好比当下国内的去杠杆，如果一下子央行加息，或者任其暴跌清理资金杠杆，任其P2P和债务暴雷的话，我想我们并不会比日本的下场好多少。2、在资产泡沫期间，日本的银行和企业交叉持股，金融产品层层嵌套，利益关系错综复杂，使得风险并没有减少，而是层层转嫁。因此最终在泡沫破灭时也摔得很惨。反观国内，我们的银行、资管也同样有资金空转，金融产品嵌套等问题，好在监管层及时发现，及时处理，也将这些风险扼杀在摇篮中。2、从某种意义上说，日本这失去的20年，其实是“很正常的”。为什么？因为在资产泡沫破灭后的90年代，日本已经完成了战后复兴和崛起的任务。在1991年，日本人均GDP已超过美国，达2.87万美元，处于高等发达国家行列。经济体量大了，之后的经济增速放缓、老龄化、消费欲望降低等现象其实每一个国家都存在，很正常。如今国内的经济增速虽然还保持在6%以上，但相比之前已经放缓不少，年均增长10几的日子已经一去不复返了。那如果这么说的话，难道国内也要失去几十年吗？不一定，主要还是看自己能否找对路。况且现如今日本经济也并没有想象中那么差。4、80年代的日本是出口导向型经济，所以大家都在拼命生产然后赚外汇。而后由于广场协议，出口失去了优势，这就导致大量产能过剩，因而使得在协议签订后的几年里，物价同比都在跌，直到日本央行放水后物价才慢慢回升。最后泡沫破灭后，这么多商品没有买，企业倒闭，工人下岗...国内的话，前几年的经济格局和日本几乎如出一辙，而之后的很长一段时间直到现在，一直都是在消化过剩产能，楼市、基建等等。不过目前国内的经济潜力依然还有，距离发达国家还有很大的上升空间，所以不至于到过剩产能完全消化不了而拖累经济的地步。如果你觉得文章很棒，对你有帮助，可以关注作者的微信公众号：小白读财经（ID：xiaobaiducaijing），订阅更多的优质原创推文！我们不追求高大上，只用普通老百姓都听得懂的大白话，让你学财经，懂理财，跟着小白读财经，财经从此so easy！
as蓝月儿,people,我不爱听的回答都是错的,1,2019-05-14 11:40:57,0,0,广场协定只是一次点燃导火索的尝试。真正的炸弹还是国家商家我们自己一手制造的。那个炸弹就是印，就是房价。日本如此中国也如此。阻止一次点火还有千千万万次点火，还有自燃等无数原因。拆除炸弹才是避险之道
匿名用户,people,,1,2019-02-21 12:04:51,11,2,没啥影响1985年9月22日，美国、日本、联邦德国、法国以及英国的财政部长和中央银行行长（简称G5）在纽约广场饭店举行会议，达成五国政府联合干预外汇市场，诱导美元对主要货币的汇率有秩序地贬值，以解决美国巨额贸易赤字问题的协议。因协议在广场饭店签署，故该协议又被称为“广场协议”。美国因为汽车工业和其他产业被欧日抢了，加上石油危机，开了个会，表示自己站在对抗苏东集团的最前沿，出的力最多，你们不能这么不厚道，让美元稍微贬值一下，提升美国产品的竞争力。问题是，为啥调控汇率的四个国家中，只有日本崩了，德英法势头依旧，现在到了某些人口里，如果不听“公知”的话，中国必将走日本的老路，这你能信？国情不同啊，事实证明，中国也不可能走日本的老路。日本货当年的竞争力太强，美国工会带头砸日本车已经是司空见惯，日元升值导致的结果是价格没有竞争力，那怎么办，日本的神操作来了1.大量海外并购地产。远的有洛克菲勒大楼，近的有夏威夷，夏威夷的投资价值到底在哪？事实证明，亏的一塌糊涂。当然了，这些都是日吹的常用套路，“海外还有一个日本”。而中国的操作就比较实在了，趁着2008奶奶经济危机，在海外买矿买港口，比不动产强多了。2.热钱涌进股市。结果是股灾。3.房地产。这也是某些人说中国走日本老路的理由。但是，中日真的是不同的国情，日本房价暴涨有点像福建人都要在厦门买套房子的那种逻辑。涨的都是东京京都大板这种，其他地方也有涨，但是幅度没那么大。4.基建。还是国情，日本建了不少度假村游乐场，接踵而至的就是人口老龄化、少子化。不像中国，一方面中国人口基数足够大，另一方面中国稳步推进城镇化。大家看到的是中国少子化，其实城里的人是越来越多了，公共建设没一点毛病。而日本就不行。好，现在我们来回想一下现在国运走的最猛的那几个国家当年在干嘛。美帝。放弃和日本的汽车工业竞争了，家用轿车就是干不过你，你厉害，我守住自己的国民品牌福特雪佛兰就行。资金大量投入半导体和互联网科技，当时的apple、MS、思科远没有现在强大，IBM才是大佬。为了树立威信，打了场海湾战争。f22，c17都是这时候憋出来的，日本觉得钱多，从f16抄出了f2，结果比买f16还贵，稳定性差的要死。此时，日本军费是中国快10倍了。而中国正在搞歼9呢。韩国。三星的目标其实是索尼，那时候大法简直如日中天，比如今的apple有过之而不无及，三星的电视是copy松下起家的，白电是copy东芝三洋，消费电子是copy索尼，当年的存储芯片还是极为昂贵的，Intel amd 都差不多放弃这块业务了，三星不惜重金持续投入，才有今天韩国在存储芯片上独占鳌头额地位，90年的时候，三星的存储和面板业务每年亏损5亿美元，这笔金额在当时很不小啊，这才有了今天的三星。德国。德国人忙着和一汽搞好关系呢，明明是中日一衣带水却被德国人占了先机，现在还有日吹嚷嚷为啥德国车在中国卖那么多，因为人家未雨绸缪啊，人家务实啊，人家知道有钱不赚王八蛋，知道中国改革开放，市场肯定会成长起来。当一汽说出自己的销量目标是第一年年产4w辆时，法国日本都露出了不屑的表情，只有大众放下身段和一汽谈。中国汽车销量第一多少年了，日吹还在酸不拉几，当年日本干嘛去了，觉得有钱了，日本岛是中心岛，隔壁穷邻居怎么可能买得起车，这点远见是真的差。你看中国的手机厂商，为了在印度多卖点手机都are you ok了好了，了解这么多，就大概知道中国有没有什么借鉴意义的了。没啥借鉴。中国也会老龄化，但是中国人口基数大，人口不会断崖式暴跌。中国即使在最穷的时候，都依然没有放弃科技投入，要不今天怎么会有歼10，歼20，现在有钱了，科技投入都是日本2.5倍了。基建，中国还是得建。一线城市地铁已经差不多了，二线城市才刚开始，高铁密度明显不够，不说春运，节假日都难抢票，标准再高点，380起步最好。2008年4w亿没任何毛病，这四万亿投入的不是房地产，是基础建设，和罗斯福新政一个套路，而且刚好那年是汶川地震，1w亿是恢复重建，这4万亿不是在北上广盖房子，是实实在在的基础建设，光高铁就分了1.5w亿，如果武广和京沪放到现在来建，我估计成本能翻两倍，早建早享受。房价，中国没有房产税，往前十几年沉淀资金的主要渠道就是房地产，中央早就意识到这个问题，也在调控，还是没用，房子涨价，有人反对，房子降价，反对的声音更强烈，中国在过去30年，形成了一股不小的中产力量，而房子就是中产阶级的主要资产，强行刹车的结果就是中产消失，买不起的还是买不起，有房的会断供，中国城市化进城太快，没有一点缓冲余地，那房子这种不动产，就成了主要资产，现在中央开始试点房产税，可能会有所改变，但我保持谨慎乐观态度，中国国情太复杂了。我在深圳，天天新闻上有人嚷着深圳房价暴跌，经历过几次房价调整，我已经绝望，涨的时候是翻倍，跌的时候是一年跌2000，稳成狗，南山目前成交均价10w+，主要还是2016年初那一波太猛了。我对本届政府信心很充足，中国其他方面都没问题，唯独房价这一块很棘手。2018年中国消费总额和房地产销售额差不多，可想而知地产血吸的有多猛，就算放出再多的人民币，还是会流向房子这个洼地。和日本当年一个道理，日元升值，加息什么的都没用，你加10%，房子那边涨20%，钱越来越热，根本没用。但是中国和日本完全是两个国情，中国有巨大的人口基数托底，中国的阶级还在流动，城镇化还在进行，对城市住房的需求还在增加，这种需求不是投资需求，是切切实实的住房需求，泡沫化根本不可能。
长空,people,,1,2019-06-03 19:56:26,0,0,有人写了一篇对比1980s日本与当今中国的，有参考价值https://www.project-syndicate.org/commentary/for-america-china-is-the-new-japan-by-stephen-s-roach-2019-05/chinese
