name,type,headline,gender,created_time,vote,comment,content
朱元,people,cort_proto作者(http://dwz.cn/7v6Lin)请指教,1,2018-04-23 10:42:50,308,28,8年前，我才本科毕业的时候，还好好学习了一波都江堰操作系统。 也是货真价实的100%纯手写国产嵌入式操作系统，不基于linux的。当时还经常和他们作者讨论。2017年他们还在招人。好像公开版也很久没更新了，论坛也打不开了。 不知是否还活着。作者当时牺牲了很多陪他老婆孩子的时间在这系统上，祝他们幸福，健康。
匿名用户,people,,1,2018-04-23 07:06:25,299,59,说点负面看法。如果中国连拖拉机都造不出来，就应该先从拖拉机开始造，没有道理一开始造跑车；即使造跑车，也不该跟保时捷比。倪院士他们连拖拉机都不会造，才刚刚把内燃机的原型做出来，能不能用还不知道，他们就计划要造跑车。这还不算，他们还要把橡胶、齿轮、轴承、喷漆全自主研发。用这种思路，给他们一千亿也成不了。从他们制定目标开始，这个项目就死定了。同时做Intel芯片、Windows系统、Office软件，既是无畏，也是无知。这项任务不是一个团队、一家公司能搞定的。提出这么一个宏伟的目标，无异于大跃进。从零开始做一个RISC架构的芯片难度自然不用说。即使有了芯片，想要实用，必须要有新的汇编语言、编译器、科学计算库、操作系统接口，这些的难度也已经超出他们团队的能力范围。更进一步做国产操作系统、办公系统，明摆着是不可能完成的任务。即使今天中国的计算机技术已经明显进步，也不可能有哪一个学校、公司能做出一整套生态系统。倒是交大的陈进更现实一些：抄袭摩托罗拉，生产能用的DSP。如果不是陈进走上歪路，这个思路倒是有可能成功。如果倪院士他们更现实，目标定在手机、电视的芯片，说不定能落地商业化。倪院士他们的思路更像是申请科研经费，而不是做商业产品。申请经费就是要想法天马行空，不需要考虑产品落地。他们可以放心地烧ZF的钱，把不成熟的东西用行政手段强推（如果你是当初那个被迫使用他们不成熟系统的ZF公务员，你心理肯定天天妈卖批）。这样不切实际、计划经济的思路要是能做出商用产品那才见鬼了。即使在今天，全世界也没有哪一家公司和高校能够做成。
洪春涛,people,做系统的,1,2018-04-23 11:30:27,40,9,其实这文章还是把问题想简单了。芯片产业的问题不只是投入多少的问题，还有怎么投入的问题。芯片产业是个大生态，从上游到下游一大堆产业链，从晶圆生产到光刻机，到芯片设计和流片，再到编译器和编程语言，再到操作系统，最后到应用软件生态，链条太长了，光靠行政投入做不起来的。一是国家很难投入那么多钱，二是即使有钱，这么花也不一定有效果。先说数量问题。就说刚才说的这几个链条，其它阶段我不熟不乱说，就说芯片设计和流片，Intel每年投入研发的钱是千亿级别的，微软也是千亿k级别的。2015年中国总的科研预算是7千亿。难道咱们别的都不投，把钱都放到芯片产业链上？显然不现实。退一步说，即使真有那么多钱，那么在这个产业链上，大家怎么分配呢？光靠政府是很难做精准决策的，首先政府并没有那么好的专业知识，其次情况也一直在变化。而且如果政府只支持少数几家，很容易出现踏空的情况。比如京津翼在上一轮手机产业链中赌了moto，nokia和samsung，结果全踏空了。所以最好的做法是，政府从方向性上提供一定的补贴，然后靠市场去做。这样政府可以以相对少量的资金去驱动整个产业的构建，就像现在在新能源领域一样。所以芯片这个，其实最主要的问题还是，之前在大方向上没有看好，补贴不到位，导致绝大多数产业链上的公司都没有机会做大。
袈裟披肩上,people,嵌入式老司机 / 专业搅屎棍,1,2018-04-24 09:05:36,47,14,"曾经的我，为能够免费使用各种盗版软件沾沾自喜。整个学生时代，从操作系统到各路应用软件，我没花过一分钱。软件厂商和中国政府，也睁一只眼闭一只眼。软件嘛，""读书人的事，能算偷么""。多年以后才幡然醒悟，我们节省了购买软件的费用，却输掉了软件的生态。免费的才是最贵的。现在轮到中国政府和人民付出代价了。"
黑祭司,people,"Veni,Vidi,Vici.",1,2018-04-25 00:44:49,14,5,不要总想搞个大新闻。做技术、做产品，跟搞基础科学研究不一样，你做出来的东西需要有核心竞争力，市场才会认可，才有可能持续性发展。你总是烧钱，先不说要你赚钱，你做出来的东西，没有人用，画个饼都画不出来，连风险投资的价值都一点没有，活脱脱就是个无底洞，而且一黑到底。不是容不得你们犯错，而是你们没给人看见光亮的希望！不要一开始就想作什么计算机操作系统，去跟微软Windows比，从小做起，先做点符合工业和企业用户的小系统。比如说，扫码机的系统，很多还是装微软的系统，微软的系统不可替代吗？并不是，我觉得很垃圾。这个系统很难吗？也不是。那为什么你们抢不到市场？20年前，追赶微软，要做windows一样的系统。10年前，移动端系统发生革命，苹果跳出来，google跳出来，10年之后你们又要去追赶IOS、安卓。到底何时是个头啊？？10年前你们在干啥？？？10年后，物联操作系统XX雄霸市场，你们大概又要去追赶了！你们的追赶，对人类的贡献是0.00000，对中国的贡献是负数！希望从突破0开始，中国负一阵子，也没关系，关键你们一定先得突破为人类贡献为为0这一点！这是一个工程师应有的基本尊严！ 建议那些还在奔走的“老专家”，先从找回自己的尊严做起！
开心就好,people,,1,2018-04-27 10:52:21,2,0,有些事大概说对了，比如确实是系统对抗，你要赶超微软确实是面对的整个微软的体系；有些事则是错误的，你要赶超微软，你并不能在微软已经占领的领域和他对抗，因为成本太高，效果还不一定好--作者从产品领域说了替换成本，但是没考虑整个产业的对抗成本，我是说你要在PC操作系统领域对抗微软你需要付出多少成本。作者的表达里最大的问题是，理解了国家上层对于信息领域的潜在风险的焦虑，没有找到正确的办法。政府需要确定确定再确定，但是政府也有不确定的地方，也有允许不确定的地方--政策。国产汽车最后靠不了国企，反而私企做的很好，因为政策至少允许私企去做。至于通用软件，office已经有 web化实现方式，操作系统可以放在云端虚拟机。只是政府不一定放得开而已，12306也挣扎了很久才用阿里云。
匿名用户,people,,1,2018-04-23 09:05:43,72,2,红头文件，白发院士；特色科研，立项骗钱；满纸心酸，一派胡言。
醉卧沙场,people,A programmer under GNU/Linux,1,2018-04-23 10:58:49,9,3,我们可以做出让卫星上天的专用系统，这是可以靠国家出资由英雄们完成的事。但是我们做不出通用操作系统的生态，那不是国家投多少钱可以搞定的事情，不是几个院士就可以搞定的事，这不是一个靠英雄力挽狂澜的故事。对这个话题不想再说了，说多了累（芯片业没参与不多说）。
JX Consp,people,朱门酒肉臭，路有克苏鲁,1,2018-04-25 01:43:47,3,0,这篇文章讨论了如何申请经费和如何，考虑必须让部分外行理解时，写 proposal；对将要回国的科学研究工作者应该很有帮助
池龙,people,清风数柳叶，淡月描梅花。,1,2018-04-26 09:58:33,2,0,一篇蹭热点顺便给自己贴金的文章而已，没什么好看待的。前面都说了障碍是生态，后面怪国家不砸钱。生态是靠国家砸钱能砸出来的？笑话。
waller,people,,-1,2018-04-25 18:19:54,5,3,不赞同原作者的观点，windows+intel、android+arm所形成的生态壁垒，不是靠撒钱就能解决的。马云想做第二个微信都如此艰难，是因为缺钱吗？国产通用芯片和操作系统的难度，相对于马云的社交梦，那是九牛一毛！
