name,type,headline,gender,created_time,vote,comment,content
拒海,people,健身爱好者,1,2018-04-09 17:02:25,4,0,我觉得知乎的键盘侠太多了在中美贸易战下面一水的支持国家对美国的贸易战进行反制的，那不过是因为贸易战没有影响到你的生活罢了如果贸易战包括对好莱坞电影的限制呢，且不说封杀好莱坞电影，就说好莱坞电影延期半个月或者征收百分之百的关税？看看妇联3延期和这个问题的回答吧，键盘侠纷纷露出了原形
张居正,people,业余写小说，黑色幽默为主。,1,2018-04-08 09:46:36,28,4,谢邀。我另一个回答，可以用在这个地方。如何看待六小龄童痛批周星驰版西游：颠倒是非侮辱原著，应该向悟空道歉！？中国历史上有不少这样的人物，他们满怀理想，有行动力，业务水平也很高，于是他们认为他们要站在比一般人高的地方，指导大家来做事。古代儒家思想讲，民为贵社稷次之君为轻，同时也讲，君君臣臣父父子子，这不是矛盾吗，一边讲普通老百姓最重要，一边讲君父最重要。其实不矛盾，我们现在讲的儒家思想已经是经过改造的了，他实际的含义是，在等级体系之下，君父地位天然比臣子地位高，权力大，同时君父要爱护臣子。他是一种在地位权力不均等的情况下，劝诫统治者以较高的道德水平，对被统治者施行仁政，是一种施舍赠予。民国以后平权思想逐渐深入人心，但是文化并没有彻底根除。这位专家，我不知道他是谁，但是我不认为他是万达影业老总。在中国人的道德观念里，金钱是可恶的，商人是没有政治地位的，他们的权利和义务，必须经由那些道德水平高尚的，心怀忧国忧民的统治者们来决定，偏偏当事人不能出来主张自己的权利。对于统治者来说，老百姓是愚昧的，是偏狭的，只考虑自己的利益，不能顾全局，不能把权利交给他们，而是要由统治者们来全盘考虑，至于说老百姓受到点损失，只是为了维持大局做的必要牺牲，老百姓必须要有毫不利己专门利人的觉悟。
考夫,people,,-1,2018-04-19 17:19:27,3,0,每年枪毙一批砖家叫兽有利于社会发展
Lin州,people,,0,2018-04-09 00:01:54,6,5,什么妇联国内不给放了？劳资以后打死也不去电影院看国产片
traveller69,people,,-1,2018-06-04 15:52:33,0,0,这个可以，正好打击虚伪的白左大本营，好莱坞。
逍遥自在云,people,咸鱼,-1,2018-04-19 16:55:05,6,3,制裁来制裁去，最后制裁的还是老百姓，去电影院就是图个消遣，连消遣都没得选择那老百姓对政府的支持度只能更低。哦，我忘记咱们这边不讲究这个的。但是我们引进电影主要是合约制和买断制，付给外国片商一部分钱后剩下的大部分都是自己人在赚，从利益的角度来看，你制裁好莱坞反而是国内的电影院线更吃亏哦。如今这个时代讲究开放和合作，排外是没有前途的。很奇怪为啥有关于贸易战的问题下面都充斥着鸡血和口号，那些个动辄几千赞的答案都是些什么鬼？这特么是2801年还是1970年？算了，随你们高兴吧。
朽木Sakura,people,,1,2018-04-08 11:11:21,21,8,好莱坞可是反川普的主力之一啊
匿名用户,people,,1,2018-04-09 01:54:28,3,1,中国自身的电影那种水平，你以为削了进口群众就会支持国产？？我还是那种看着青春校园偶像片的小孩？？真把把观众当傻子？？
匿名用户,people,,1,2018-04-08 20:09:00,1,0,很多人分不清现在是什么情况。现在双方还只是在试探对方的底线，国家都没逢美必反，一个老百姓何必草木皆兵？反过来，假如贸易战真的升级了，覆巢之下，安有完卵？那个时候打赢贸易战才是第一要务，别说一两部电影了，CPU都可以不买，不管输赢，只有咬牙坚持下去民族才有未来。
凡人谷,people,,-1,2019-01-13 21:17:09,1,0,中国自身的电影那种水平，你以为削了进口群众就会支持国产？？我还是那种看着青春校园偶像片的小孩？？真把把观众当傻子？？
尼禄先辈,people,树洞/INFP/伪影迷/音乐生/人形自走炮,1,2018-06-09 14:43:27,1,1,首先这位专家先自裁一下请好了我们来说说好莱坞和川普的立场大家都知道，你要削减那不是猪队友吗？《妇联3》这波枪躺的没话讲。虽然国产影片近几年势头相当猛，但可别忘本。前几年是谁撑起来国内总票房？即使现在这些所谓的大片也算是一个主力军。削减进口片份额？没有这些进口片你指望多少个《战狼2》撑场面？天天叫的响的总票房怎么继续高升？于冬一千亿的梦想怎么完成？笑话。以及，电影引进还分批片和分账片呢。我想不管怎样赚点钱总对国内经济没有害处吧？行，大家都是中国人有骨气，打贸易战不看美国佬的东西。那就打发走吧，我们看我们的情怀小鲜肉岂不美哉？那我宁愿选择所谓好莱坞的流水线电影。真是，国家都没敢动这块怎么就有人猴急。打贸易战怎么办？对不起，我真不知道。但我真觉着这事和电影什么没关系。
带带带丶法师,people,,0,2018-05-24 12:19:40,1,0,我想起老郭说同行的段子了:就算我死了，你们还是卖不出票来。
Irlans,people,为成为成功的家里蹲而努力的社畜,1,2018-06-10 14:59:55,1,0,假设这个方案真的成立，那么这2 300亿的票房也肯定不会归国产电影，可能的情况是，商家会引进更多非好莱坞优秀外国电影来填补这块空白，比如印度电影，欧洲电影，日本电影等等，因为有进口名额限制，所以挑选出的都是年度精品，质量可能比好莱坞流水线更胜一筹，某种意义上也算是好事吧。到时候对本来就孱弱的国产电影可能压力更大，毕竟进来的不是剧情充满槽点的无脑特效片，题材和内容更加丰富，对比更加强烈。
泪无期,people,每次来知乎，我都觉得我国GDP已经超越美帝。,-1,2018-04-14 23:48:38,0,0,出则无敌国外患者，国恒亡。禁掉好莱坞对于贸易战有没有影响我不知道，反正国产电影甚至国内电影业基本玩完。有好莱坞压迫之下国产片还是烂片横行，没有的话，恐怕三个小学生拍个90分钟短片也敢上院线。
木子岛力,people,就是一水煮白菜。,1,2018-04-09 06:08:27,0,0,专家就是专家，舆情分析到位，真是你怕他说啥他就会说啥，一点都不意外。
匿名用户,people,,1,2018-04-09 00:49:35,0,0,简单了解一下进口片的发行模式再来提（che）问（dan）好不好，基本上以买断发行为主，大头中国挣。要不就是被两家拔层皮。况且好莱坞还是反川普主力。而且我们国家也在搞国内电影海外发行呀。¯\_(ツ)_/¯
匿名用户,people,,1,2018-04-08 21:51:46,0,0,有种神仙打架，小民遭殃的赶脚呢？我喜欢钢铁侠，蝙蝠侠，蜘蛛侠。但也不喜欢超人，美国队长，雷神，绿巨人。所以连带着不看复仇者联盟了。因为好像在吃什么都掺和一起的饭，所以我不就贡献这种电影票房啦。PS.之所以喜欢上述三位，他们自身都是球人= =
夜秀千里,people,我可是天才,-1,2018-04-08 21:12:02,0,0,怎么看待？现在中美贸易战打的貌似很激烈，我估计这也是针对美国的一种举措，但实际上这其实并没有什么实质性作用，老美的电影就是好看，即便打压也是如此，而《复仇者联盟3》首当其冲怕是因为这是现今最受国内影迷期待的一部电影，很可能没有之一以上
匿名用户,people,,1,2018-05-18 07:27:58,0,0,可是如果替代它们的是国产烂片，我还是不会选择去电影院消费。同样的人应该不止我一个，这个所谓的几百亿市场会缩水多少还真不好说。
奔跑的牙哥,people,知乎一大帮营销号，为了流量，制造矛盾，简直傻逼到极点！,1,2018-04-09 01:51:09,2,7,如果国家需要，我会拒绝看好莱坞电影。电影不是刚需，我骨头没那么软。生死存亡时刻，孰轻孰重，我还是分的清。我不玩游戏，不看电影不会死，如果国家衰弱甚至灭亡，我可能连饭都吃不起，这不是危言耸听，有多少小国家被搞的通货膨胀，民不聊生。如果中国变成这样，有限的资源面对巨量的人口，情况只会更糟。可能我说的有点不太现实，但不是没有前车之鉴。
Jumbo,people,银行板砖员工/国际关系学渣/文科科技爱好者,1,2018-04-08 17:03:35,5,0,神经病，制裁好莱坞要笑死川普吗。拉着跨国企业 好莱坞 和硅谷怼贸易战才是正道啊，谁是敌人，谁是朋友。还是没读好毛选啊。
小小鱼,people,,-1,2018-04-08 18:48:44,0,0,我去，这都是什么回答？几岁啊都是，还抱着我爱你们，你们就爱我的想法呢？明确的告诉他们，平衡经济，保障国内，所有投资美国影视的必须在X月X日前上报审核。所有的美国电影都必须严格过审，包括只是与美国演员参演，美国资本投入的。借口可以改的更好听一点，不过意思要表达清楚，问题不解决，国内市场，没得谈。
木心飞走,people,网管,-1,2018-06-03 15:09:16,0,0,同意，建议一年只引进十部以内好莱坞电影，够我看了，再少可能就不够了，毕竟我不看国产
匿名用户,people,,1,2018-04-08 15:02:46,0,0,你尽管折腾 我不信你还能把所有网络资源都整没了
氯慮褛綠,people,,-1,2018-04-08 15:52:57,0,2,好莱坞本来就是反+黑川普的急先锋，这个时候打压敌人的敌人，从战略角度完全说不过去啊。
