name,type,headline,gender,created_time,vote,comment,content
JUDY,people,,-1,2018-04-21 22:45:03,13,13,看到中兴让所有员工集体学习欧美法律不到满分不过关这条新闻之后，真是哭笑不得，有这种领导想出这种甩锅方法，被保下来了又怎么样？
LittleRunner,people,电信行业杂学爱好者,-1,2018-05-02 18:19:19,6,2,不会。美国政府未必想让中兴倒闭。如果过渡刺激中国、以及全球其他有一定实力的国家，可能会促使各国宁可放弃高性价比的美国产品也要自力更生大力发展自主。要知道在很多领域，美国公司已经取得了非常明显的领先优势，这种情况下，倡导全球统一市场、自由竞争，对美国是最有利的。如果各国都因为担心被美国时不时卡脖子而“自力更生”，美国已经取得的科技领先优势，可能就只能在对其他国家的军事冲突中体现，对全球的影响力和干预手段会大大降低。另一方面，美国产品虽然在市场上有非常明显的优势，但也不是高枕无忧，没有对手。比如，80年代日本的芯片业就很强，现在的三星也很强，欧洲人从来没有放弃过与美国人竞争的想法。如果供应商多元化成为很多企业选择上游供应商的重要考量，很多被美国企业搞的奄奄一息的对手未必不会死灰复燃，还会有更多的竞争者从世界的各个角落里冒出来，这等于是在给自己培养对手。
han han,people,建筑从业人员，北京,1,2019-05-09 00:53:58,0,0,不会，政府会保的，这种大企业没有纯粹的民企
奔跑的果壳,people,十一的主人,0,2018-07-20 11:55:16,1,0,制裁中兴是目的吗 别忘了某军已经在我国台湾岛驻兵了 所以还是不能看到表象 当今的世界 没有一个跨国企业是一天建成的 也没有一个企业做到真正的干净 支持中兴 中国复兴
匿名用户,people,,1,2018-04-20 15:40:00,6,9,下一个是华为哟，笑看任姓奋斗逼这回如何用心灵鸡汤安抚那些被裁员的员工“重头再来”
匿名用户,people,,1,2018-04-28 10:58:43,2,0,   xx  人民 发来贺电，，看看 会怎么样
jc zzz,people,一个学医的程序猿,0,2018-04-20 14:50:30,2,1,解决不了半导体和芯片原材料问题就凉了，具体怎么凉请看中兴通讯被美国商务部下达出口禁止令，会对其本身和行业产生多大的影响？
格鲁特大人,people,网络强国，炒房兴邦！,-1,2018-04-28 00:33:51,1,3,应该会有很多中兴背负房贷的人跳楼自杀。类似以前富士康的连跳。美国人最喜欢看中国经济崩盘，知识分子像反右和文革时候一样移民或者死掉。房地产崩盘，金融崩盘，通货膨胀，民不聊生，卖儿鬻女。城头变换大王旗。
舒生气质,people,三观比五官端正,-1,2018-04-21 21:17:22,1,1,两个年后
Philos Tung,people,1,1,2018-04-21 12:47:39,1,0,最多拆分重组，不会倒闭。
法克油,people,,0,2018-04-19 23:31:40,1,2,如果大哥不去求和，那么答案只有一个:会。
月球上的喵,people,,-1,2018-04-28 10:06:52,0,0,这个问法就有严重语病，历史是什么，是已经发生过的事情好吧。
匿名用户,people,,1,2019-06-20 23:40:14,0,0,会不会倒闭我不知道，但是我不相信它会走上坡路，但愿有生之年还能看到它倒闭，见证历史前ZTE员工
Hans,people,工程师,1,2019-05-16 07:43:15,0,0,"哪有你说这么多的各种政治考虑, 你以为美国是社会主义国家? 就一条你违反了法律, 我就要制裁你, 就这么简单, 什么为了将来, 为了压制中国, 为了这了那了, 哪有那么多门门道道. 法律在美国的地位, 不用解释吧?"
