name,type,headline,gender,created_time,vote,comment,content
匿名用户,people,,1,2019-05-18 16:36:26,48,0,只说电路设计。培养人才，然后去了华为。华为的员工不是地里长出来的，是从学校、中科院毕业的。即使是华为，也有很多前沿科研是在学校、科研院所以横向课题的方式进行的。即华为出钱，学校、科研院所的课题组攻关，双方共享成果。学校、科研院所做出了国产的XXXX，你才能在市场上买到国外的XXXX。如果学术界无法自己研发出XXXX，那么只能接受禁运或者高价的国外XXXX。这里尤其是军工项目。近几年，由于工艺、人员限制，学校和一般的科研院所很难承担高性能CPU、基带芯片等大系统芯片工程。所以视线主要集中在专用领域、前沿器件等远离消费者的领域上，一般做一些小而美的东西。例如华为的神经网络加速内核的供应商寒武纪就是诞生于中科院，但是在AI芯片上，学术圈比工业界走得要远得多，目前的研究热点是在模拟计算。
ZEGBUL,people,一个没用的人,-1,2019-05-18 23:17:44,23,0,这个请具体查研究所官网，都有新闻的。科研院所和企业在业务上可以说是两个方向，打个不恰当的比方来说就是中科院和工程院的区别，但是也不绝对。科研院所主要偏重于原理性研究，比如说研究5G的基础理论都是由研究所和高校搞出来的，得到的往往是一堆公式，一堆论文，副产品就是每年一批的，掌握了基本科研操作技能的研究生。但是前面也说了不绝对，很多研究也是偏应用的，不过这个应用跟消费者理解的应用可能不一样，消费者的应用可能就是直接拿到手上的产品，但是科研上的应用主要是指方法论和产业应用，而不是实际制造。比如去年的全国科技奖，半导体所4项成果获奖，分别是：“新型半导体深能级掺杂机制研究”荣获国家自然科学奖二等奖。该项目针对宽禁带半导体材料、二维半导体材料和半导体纳米器件能带结构特点，系统地研究了几类重要的半导体材料与器件的掺杂机理和性能预测，发展出一种基于第一性原理大元胞的并行计算方法应用于半导体掺杂系统，指导GaN和ZnO等第三代半导体材料的p型掺杂技术、异质结器件的结构设计，为提高TiO2基材料的光催化效率和未来制备自旋电子器件提供理论指导依据，为新型二维半导体材料的掺杂机制与输运性质的研究以及器件应用都具有重要的指导意义。“光纤输出高功率全固态激光器关键技术及应用”项目荣获国家技术发明奖二等奖。该项目历经十多年自主研发攻关，在光纤输出高功率全固态激光器关键技术、激光器工程化技术、激光焊接和表面淬火等技术领域取得一系列创新性成果，项目授权发明专利56项，解决了我国在高功率全固态激光器领域核心专利缺失的问题，有力地支撑了产业发展，成果广泛应用于北京奔驰、奇瑞汽车等汽车产业，提升了国产汽车的核心竞争力。“低发散角半导体光子晶体激光器关键技术及应用”项目荣获国家技术发明奖二等奖。该项目通过在现有半导体激光器外延材料和器件结构中引入光子晶体结构，攻克了半导体光子晶体激光器的理论模拟方法、结构设计、外延材料生长、工艺制备和封装测试等一系列自主关键技术，实现了电子能带与光子模场的联合调控，在保持激光高效率输出的同时，输出光束的方向和模式得到极大改善，可不经整形直接使用，使光学系统大为简化。项目发表SCI论文80篇、授权国家发明专利35项、软件著作权3项。“光网络用光分路器芯片及阵列波导光栅芯片关键技术及产业化”荣获国家科技进步奖二等奖。该项目团队经过十多年潜心研究，光分路器芯片及AWG芯片设计、工艺及产业化取得了全面突破，设计并制备出1×N 和2×N (N最大可达128)两大系列20余个品种的PLC光分路器芯片及AWG芯片，建成国内规模最大的光分路器及AWG生产线，近三年新增销售额7.01亿元，新增利润0.85亿元，推广应用企业新增销售额50多亿，新增利润4亿元。产品广泛应用于国内外FTTH及光传输网建设中，打破了国外对我国光分路器芯片的垄断，填补了国内空白，为“宽带中国战略”顺利实施做出了重要贡献。来源：http://www.semi.ac.cn/xwdt/zhxw/201801/t20180108_4929737.html看得懂吗？看不懂就对了。其中，第一项为原理，后三项为应用。而且第四项可以注意到它专门提了经过十多年研究，这种需要很长时间的研究，一般企业是不会做的，主要还得研究所来完成。然后企业，比如海思，就拿着这些成果一看，发现可以解决某某问题，或者可以优化某某性能，于是就投入实用化研究，最后得到工艺流程，专利和具体的产品。我估计这才是消费者理解的应用，也是看得到的应用。不过，研究所官网上也有产品目录，为自己联系厂家生产，基本上应用于其他科研单位和企业，普通人看不到：都是面向工业化和科研应用的产品，非业内人士看不到的中科院是全球论文第一大户，没点成果还真灌不了这么多文章。
程鹏,people,EE phd. IoT技术、多传感器信息融合算法研究者。,1,2019-05-18 19:46:16,77,7,这个问题更应该去问清华啊，中国的半导体基金那么多钱大多都掌控在清华系手上。清华紫光花了国家那么多钱，每年买买买，结果了，这么多年还是没搞出来什么东西啊。换个方向，海思每年得研发经费至少是几百亿（具体多少不太清楚，但是上百亿是肯定的），整个中科院110多个研究所2017年的经费才六百多亿。平均到半导体所，微电子所，包括微系统所这点钱，扔到半导体行业里能干出来啥。国家在半导体方面的支持根本就没到半导体所，微电子所等研究所的手上。当然靠所谓的名牌大学，更是扯淡，特别是“汉芯“事件后，一群小作坊，只会发论文。国家真正把大量的钱都投在了半导体大基金上，用在投资各个半导体的国企，而这些半导体大基金大多都是被清华系掌控的。
独孤剑二,people,物理学本科生,1,2019-05-19 09:34:23,24,8,中科院系的研究所是国内为数不多搞实事的了，我简单列举一下其近几年对国内半导体产业的贡献1、SMIC的14nm FinFET工艺北京市科学技术委员会 国家技术发明奖 22-14纳米集成电路器件工艺先导技术这个的意义不多讲了吧，2019年SMIC 14nm FinFET能量产微电子所出了大力的。2、长江存储的32层 3D NAND叶甜春详解中科院微电子所与长江存储合作研发3D NAND始末长江存储NAND技术研发部项目的资深技术总监霍宗亮博士就是微电子所三维存储器的研发中心主任。（这TMD才是人才呀，从三星电子挖回来的）3、02专项光刻机项目（光学系统）新闻中心 - 国科精密 - 长春国科精密光学技术有限公司光刻机的核心组件之一，ASML收购的卡尔-蔡司的产品线，还有日本Nikon能做一点高端的，就这不多几家了。主要是长春光机所和上海光机所在做，前者负责物镜系统，后者负责照明系统，国科精密是长春光机所的子公司，负责商业化。对，就在某些人口中衰落的东北和互联网荒漠上海，让某些互联网吹见识一下什么叫硬科技。4、02专项光刻机项目（光源系统）科益虹源准分子激光技术打破国际垄断光刻机的核心组件之一，ASML收购的美国Cymer公司，还有日本的Gigaphoton（Nikon的供应商）能做。中科院光电研究院的研究成果，北京科益虹源负责转化。想到再补~~~华为被搞了，大家都来找中国的科研体系算账，这个思路没有错。但是冤有头债有主，是哪些专业破坏了国内的科研生态，是哪些人在浪费国家科研经费生产垃圾论文，大家要找对火力方向。没错，就是伪材化生专业，每年耗费了国家数百亿的科研经费，生产了不计其数的垃圾论文。牛皮吹破天的什么石墨烯、钙钛矿、碳纳米管、二维材料之类，像炒菜一样换个配方掺个杂就可以再水一篇文章，投入巨大产出基本为零，把学生塑造成科研民工。如果伪化生只停留在它们自己的圈子里自吹自捧、自我陶醉也就罢了，最多圈子彻底烂掉。但是这种多快好省的发SCI的模式入侵了各种学科，电子、机械、化工、光学等关乎国家工业命脉的学科也全面转向伪材化生，荒废主业生产垃圾论文。现在甚至临床医学的为了晋升职称也开始水伪材化生的论文，简直滑稽。 你问搞半导体科研的都去哪儿了，抱歉，大都水伪材化生论文去了。还有中科院高能所的那一群，整天在媒体上为对撞机造势，以基础科学研究的名义混淆视听，裹挟民意向政府施压，只为个人的名利，根本不顾国家社会的迫切需要。强行让一个发展中国家上马世界第一强国都放弃的项目，为他们虚无飘渺、毫无实用价值的计划投入数千亿的资金，用心何其险恶。
zjucarnegie,people,产品经理 证券行业研究员,-1,2019-05-18 17:37:27,16,11,1.我们国家的半导体行业整体水平确实比较落后，至少和我国大天朝GDP总量的地位很不匹配。2.企业和科研院所的导向完全不一致。企业要更多考虑商业化，研发要以创造利润为核心目标。而科研院所往往要做一些前瞻性或者创新性的研究，非常重视去申请各类基金项目，或者发各种重量级的论文。3.大学和科研院所还有一个重要的任务就是培养本专业人才，否则你以为每年华为招的应届生都是高中生吗？说实话这种基础培养工作也只能由高校和科研院所来做。4.半导体行业的现状，还是和国家大环境有关。毕竟现在整个社会太浮躁了，压力太大了，急功近利的方式也太多了。对于产业资本，宁肯去投毫无技术含量的房地产，也不愿意去碰投入大见效慢不确定性极高的半导体。对于现在优秀的年轻人，要么去了金融，要么去了互联网，要么去了公务员或者垄断国企……你和他讲“要为了祖国半导体产业崛起而奋斗终身”，他问你“首付和房贷国家会管吗？”你又怎么回答？5.当然科研院所也有自己的问题，光顾着发文章，却很少解决行业的问题，造成科研成果和产业需求脱节。比如某位科学家发现某种材料具有某种优异特性，他就可以凭此发一篇文章。但对于企业来讲，这种材料可能还有十个无法解决的缺陷，短期很可能没有商业应用的可能，那这个科研成果就是无意义的。6.此次中美冲突，对于国内的半导体产业冲击是非常大的，颇有“背水一战”的意味，至于“置之死地能否后生？”确实很难讲，就看郭嘉能否调整发展思路了：一种是发现不能靠钢筋水泥高楼大厦持续发展，要坚决扶持半导体产业；一种是发现短期半导体产业真的很难见效，所以花更大力气去建更多的钢筋水泥高楼大厦……让我们拭目以待。
白驹,people,IC Design 预备役,1,2019-05-18 17:56:29,13,1,半导体行业发展主要是靠企业推动的，这点国外也一样，核心技术的攻关靠的是英特尔这样体量的大公司投入巨额资金完成的。学术界做一些前沿的探索和补充，有了成果也是拿到工业界去实现。微电子所培养了不少ic设计的人才，自动化所也在反向设计有所研究。我觉得不能因为海思太过耀眼就否定科研机构的努力。
匿名用户,people,,1,2019-05-18 19:25:36,11,7,猜猜这是哪儿。（举个例子，和半导体所没关系。）
胖胖熊,people,搬砖的,1,2019-05-18 13:47:00,87,40,这个问题提的就很有意思先说个人观点：你不能指望一个国有性质，没有市场化，有科研经费支持的科研机构，在个人激励一般的情况下能够比肩一个全球前沿的市场化的企业，然后实现重大突破。海思牛逼的地方在于，人家给每个来这里工作的人支付了相对足够的薪水，而不是跟你画大饼讲情怀。说实话，被老板画了这么多年的饼，真的觉得海思是良心企业。个人感觉，尤其是后来几年，很多人黑华为血汗工厂，但是，干这行的哪个不加班？有多少公司加班是不给加班费的？除了外企比较爽，但是参考甲骨文，外企裁中国部门还不是就一句话的事？所以，你觉得，中科院在一年给员工的薪水，平均只有海思的2/3甚至一半的时候，你还要指望他们干什么？要想让一个机构真正实现高效进步，产品具有竞争力，就直接把它扔到市场中去厮杀，看它能否在市场中存活下来就行了。而且，中科院本身也有前沿探索，培养人才的作用，这也是企业不具有的功能。
ImRoot,people,,-1,2019-05-18 23:33:03,18,2,我终于忍不住了，这个我必须要答。首先，这个问题问的具有强烈的导向性。旨在问责这两所研究所，我不是杠，这是很明显的，比如说:你在上路没打好挂彩了，然后你打字说，我在上路扛了这么久，打野在干吗？-分割线-回到正题，一个是学术界，一个工业届，所以你拿这两个比有意义吗。研究机构就应该研究更加前沿的东西。工业届负责将研究成果转为应用。至少这是我接触的行业的常规做法。-结尾-我不是内行人我不懂半导体行业，如果有错误的地方请大佬们轻点指导。我只是看不下去了。还有一堆喷体制喷过国企的人，我服了，这都什么逻辑。
Hellc,people,IC专业在读，文章比代码写的好一点,1,2019-05-19 09:02:24,5,0,笑死我了。在什么样位置做什么样的事，我做我的前沿研究培养我的人才，你搞你的产业规划开发商用芯片，就如同题主上上班买买菜给国家贡献点GDP，都是在推动技术发展。怎么，你觉得华为愿意把赔钱的大学和赔钱的学术研究这种工作也揽了？还有，不宣传=没有？不是所有人都需要向社会宣传自己的贡献的，等到哪天研究所还需要通过向社会公开自己的“艰苦旅程”来博得社会同情认可的时候，那只能说明国家的人才和财政支持体系烂透了。顺便一提，两周前华为刚派团队专程来所里宣传招人，请问题主怎么看这种事情？
