name,type,headline,gender,created_time,vote,comment,content
李建秋,people,公众号：李建秋的世界,1,2018-04-28 20:37:58,2052,121,有。但是这对于特朗普来说有点难做：联合盟友对中国进行经济和科技双重封锁。这需要美国的让利，然而现在连日本都谈不拢，这次默克尔和特朗普谈判，十有八九还是谈不拢，伊朗核协议、贸易和北约问题非常头疼，马克龙和特朗普见面实质意义不大，马克龙和特朗普政治观念差别太远，如果现在是民主党在台上，尚有希望，但是这有一个薛定谔的矛盾，如果民主党现在还在台上，又不可能这么极端。还有一些牌是无伤大雅的牌，典型的就是台湾问题。我现在下定义：美国对于台湾的任何承诺，任何动作，卖武器，大官来台湾，美国高管在刊物上发表要让美军进驻台湾，我用列举的手段来表示对这方面的无视，不要知乎到时候又来一个问题：如何看待美国某高管扬言要把美军基地搬到台湾？然后一帮人又义愤填膺，另外一帮人冷嘲热风。我先把话扔到这里了，到时候如果还有人在说，我就把这个答案截图，以表示对未来这个问题下无论义愤填膺还是冷嘲热讽这种一惊一乍似的反应的讽刺。我五年前加入知乎，一直谈论键政问题，当时知乎的键政圈是个小圈子，没什么人关注，知乎第一大帮派是程序员派，其次是文艺派，基本上属于豆瓣那边转过来了，键政是个小圈子，我记得当时还有回答日本的互联网如何如何厉害，然后周源还去点了个赞，现在基本上已经没有这种声音了，想想周源自己还是互联网圈子的顶尖人物，不由得觉得十分有趣。键政也就是这两年在知乎火起来的，尤其是特朗普当选和这次贸易战，键政圈子猛的扩容。对于中国经济知乎现在非常极端，要么认为天朝完蛋了，天朝是靠着欧美，要么就认为我大天朝十分牛逼，拳打欧美，脚踢日本。键政圈子扩容就会发生这种事情，平时不看政治新闻，临时抱佛脚，看一篇是一篇，张口就来。举个例子，关于外贸的问题。国际贸易本身是双方依存的问题，一个产品，比如说手机，可能它的元器件来自韩国，日本，台湾，它的设计可能来自于美国，而且利润最为丰厚的部分可能就是美国，韩国，日本，但是由于在国际贸易上的统计问题，这个商品出口到美国，被计算成中国制造，是中国对美贸易顺差。这种方式的计算到底对不对，是不是中国就赚了整个手机的利润？不是的，实际上大头被他国拿走了，这种情况不但发生在手机，电脑也是如此，比如说神舟电脑里面的CPU ，芯片组的利润远比整机要高，线路板、液晶屏、硬盘等零部件成本也比整机要高，中国只赚了一个组装费而已。而这个组装费之所以看得重，其实是由于就业的问题，而不是进出口本身的经济问题。而同样的，由于要完成一部手机的组装，所以中国需要从韩国，日本进口一些芯片和镜头器件，这算成进口，这也是为什么韩国对华如此巨额顺差的原因。至于国家的经济实力到底如何，实际上是要看该国在全球产业链中的位置。因此顺差逆差并没有特朗普自己说的那么重要。一旦强行搞贸易战，导致企业出走会出现什么情况？这是很难预测的，有人说那中国经济完蛋了，他说的这个完蛋实际上是建立在：假设外国企业出走，然后中国人什么都不干，那自然是完蛋了，但是这是一种不存在的情况，商业环境厌恶真空，一旦有企业撤走就必然有企业填补进来。同时对于企业本身也是问题，我看到这个回答下有人拿其他发展中国家来说事，认为这些国家会填补出走的空缺，这本身就是扯淡的，如果其他国家真能填补早就填补了，不能填补说明是有一些客观原因的，我早就在关于印度方面的问题回答过为什么韩国浦项钢铁在印度整整游说了十二年被迫退出的故事，我也说过美国沃尔玛和印度谈判谈了好几年，被迫出走的故事，这些东西有些人你们必须要先知道，知道外国是一个什么样的环境。芯片问题本身也是双刃剑，去制裁中兴，华为，高通股价出现了断崖式的下跌，这是近期高通的股价，两个破位下跌我一直在强调双刃剑的问题，可惜知乎就只存在：要么弄死你，要么被你弄死的思维。目前美国处于不适期的阶段，这个阶段其实美国有过，当年日本和美国竞争的时候，整个美国跟发疯了一样，到处谣传日本要如何如何，其实日本在美国的控制下，日本是民主的，日本是法治的，日本在某些人看来不就是天堂？当年天堂一样和美国正面冲撞，不妨碍美国媒体写大篇黑日本的稿子，今天中美关系其实和哪个时期没有本质上的区别。其实假设今天的中国如果和印度换位的话，印度成了世界第二，而且有和美国竞争的趋势，那么在美国的媒体上我们看到的就是《印度还是民主国家吗？》《带你领会印度残酷的种姓制度》《当年英国撤出印度是不是一个错误？》《殖民主义真的错了吗？》《不是甘地的那种和平：揭秘印度独立后的侵略》之类的稿子，这很正常，你得平常心看待了，如果不能平常心看待，那就学我嘲讽一下这帮媒体，但是不要大惊小怪。每一个国家都有自身的优势和劣势，不要把劣势或者优势无限度的扩大化，要么就是我大天朝五千年文明，区区蛮夷算个啥，要么就是外国势力太强大， 天朝只能求和。就跟2008年媒体的稿子，就跟2015年中国经济低谷似的稿子一样，一惊一乍，好像翻天了， 日子过到今天，翻天了吗？也没有，该吃吃该喝喝。差不多行了。
Eidosper,people,好好学习，天天向上；珍惜时间，用功读书。,1,2018-04-29 15:54:45,143,20,“美帝物产丰盈，无所不有，原不藉外夷货物以通有无。”
腹黑的微笑,people,不要看不起打杂的,1,2018-04-26 19:19:56,620,183,别的话题太多跪久的人了。家里有亲戚在运营商做，90年代的时候大哥大多少钱？那时候用的都是爱立信之类的通信设备，交换机，路由器之类的中国别说生产，连有点小故障都不会修。知道有故障打爱立信咨询一个电话多少钱吗？20000元！90年代的20000元。后来中兴华为是免费送设备，24小时驻点解决问题，全程免费。其实运营商基层员工是希望中兴华为坐大的，因为国外那群大爷真心伺候厌了。20年后，运营商机房国产品牌占大头，自费也慢慢降下来了。说到资费那是另外一个问题了，现在应该不贵了吧。但是在国产品牌占优势的这个过程，国外品牌的成本使得话费就得那么贵，更别说漫山遍野建基站，荒山野岭建铁塔。
夜半城厢,people,,1,2018-05-05 17:06:20,131,70,越是高端的东西，市场越小。美国禁售芯片给中兴，问题来了，怎么不直接给全中国禁售呢？很简单，美国企业也要吃饭啊。有能力大量使用美国高端芯片的国家手指都能数过来。这次禁售，不说自损800，美国本身也要流血不少。有些东西中国不是没有，只是你的更好，所以用你的。有些东西，中国就是没有。问题在于，除去中国，没有哪里能消化美国这么多芯片了。石油输出国组织就有这样的矛盾。给你禁运石油，最后自己先没钱撑不下去了，最后又开放卖油。（例子不太恰当）给中国禁售而美国自己又不受太大损失的行业，还请大家多举几个例子。这样的行业是下面特点：1.中国绝大部分此产品从美国进口，而自身产量不足，不能生产或者质量不行。2.美国此产品出口到中国的比例并不大，即使不卖往中国也能不愁销路。否则就是比谁血多，看谁先流血过多而死。
刘刘,people,美国工人，奔四十，TFT-LCD成本,1,2018-05-06 10:27:05,196,52,放大招了啊，接好咯！
秦王虎视,people,生活如水，内心无数波澜。,-1,2018-04-30 22:33:48,243,64,美国的牌确实不多了。先看看老美这么多年以来对中国做了哪些事。建国后我们属于选边站，那个时候以中国的量级还只能是作为大国（美苏）博弈的砝码，当时中国把自己放在了苏联秤盘上，前面有苏联老大哥顶着，我们虽然自己折腾的比较厉害，但老美的注意力还在苏联那边，我们最终还是站住了。接下来，改革开放，老美意图通过西风渐进在意识形态上做文章，以内变促颜色革命。老美应该是下了一盘大棋，中美看似蜜月，暗线则草蛇灰线，那一次也是我们最为危险的一次。好在我们意志坚决，行事果断，及时刹住了车，最终扭转了局面。虽然之后老美继续在这个问题上做了一些文章，包括边缘化我们，但是最终还是被我们成功瓦解。再之后，老美利用台湾问题和我们走了一回战争边缘政策，那一次老美的做法也着实吓了中国一跳，可以说老美达到了战略恐吓目的，根本原因就在于那时候我们自己确实很弱，特别是在军事上，当时包括老美出售宙斯盾和空中预警机给台湾，还有**空情事件，***泄密事件，都让我们很是紧张。要知道，台湾预警机升空，我们国土某线以南区域的空情基本就在台湾（老美）的视线之下，而我们呢，没有预警机，空军力量不足，渡海作战能力基本没有形成，当时甚至有千帆竞渡打台湾的说法。这些都折射了当时我们军力不足的问题，甚至在战争核心环节我们落后于台湾的事实。老美制造的某空情事件，更让我们意识到，面对战争，我们的军事储备欠缺是全方位的。再之后，美国采取的是低烈度的经济控制，如最惠国问题，世贸问题等。要知道，当时每年老美审查最惠国待遇之前，中国的经济增长就会明显放缓，等着这一年的签证过去，我们长出一口气，工厂才敢开足马力。后来我们一个一个都逐步攻克了。以不惜代价的姿态加入世贸，当时全国上下也是心里没底，好在我们适应能力强，在掌握国际规则之后，反而如鱼得水，借助全球化，迎来了经济大发展。加入世贸若干年之后，当时主导加入世贸工作的某人士都说，有很多没想到，原来以为会迎来洪水猛兽，但是没想到我们这么能干，当年主要担心的东西愣是没发生，或者是没有想象的严重。再之后，就是大家都很熟悉的了。利用南海、边境问题，妄图四处开花，让周边国家出头，给老美打代理人战争。不过我们基本化解了这些敌意。这里面有我们外交成功的地方，也有老美贪婪的原因。一方面让人家和区域大国对抗，一方面还想好处占尽，最终让我们有机会零敲牛皮糖，将来势汹汹的敌意一一化解，至少把火苗摁住了。但在这个问题上，老美还会继续做文章。例如在在台湾问题上加码，卖军火，走边缘政策，包括触动底线，但好在我们现在已经确立了对台的绝对综合优势。而台湾也是扶不起来的阿斗，对于现在台湾的政坛闹剧，我们看着闹心，老美看着也会闹心，但是既然有利用价值，老美就不会松手。再之后，就是现在的贸易战+芯片恐吓了。这一招，老美确实戳到了我们的痛处。老美意图用此来锁死中国科技发展，打掉中国发展势头，进而给我们制造混乱，重构双边发展战略均衡。但是除非老美能够联合全世界与中国为敌。老美可以牺牲自己的一些利益，但是如果让全世界让渡利益帮着老美实现战略意图，这个难度会很大。从目前老美和欧盟的关系来看，围堵的局面很难形成，对自己有利的就拉着人家，对自己利益不大的就想脚底抹油，相信别人心里也有数。这次的贸易战+芯片战应该是美国提早拿出了战略武器，至于诸如航空、生物技术等等，这些我们已经解决了有无问题，有好的用当然更好，没好的用，我们也不会受不了，它们不构成决定性影响。金融安全、网络安全也应该是双方博弈的重点，也好在我们目前在集中精力解决。至于这次的知识产权问题，只是双方根本矛盾之上的表象问题。综合历史来看，这次的贸易战+芯片战是除了直接战争之外烈度最大的一个，是对我们空前的挑战，这取决于老美的决心到底有多大，在他们的体制下是否能真正做到全国一盘棋。但不管双方最终如何谈判，这次老美都会给我们制造一场高烈度的阵痛，不过这件事之后，老美也会深刻理解中国的政体和国情。
诶呦喂,people,在力所能及的范围内，给自己一个风险敞口。,1,2018-04-28 02:17:20,237,92,自己家有好商品，不卖给别人让别人难受，这是好牌？这是蠢牌。你费劲吧啦的研发生产，不卖了，不赚钱了，不是有病？你拿着自己的独有商品到处对人施压，不是刺激别人自产好替代你，谁还信得过你？中断供应真是好牌的话，那早就被人打烂了。这就是个短时有效施压，远看副作用无穷的烂药。美国大可以什么都不卖，是不是就霸权永固了？倒是可以试试，然后看看能撑几年。
任易,people,公众号「任易」，只写对工作有用的,1,2018-04-29 08:07:28,128,5,301报告中写道：最终降低，减少或取代（中国）与美国在关键部门的竞争。 这些关键部门包括航空，集成电路（IC），信息技术（IT），生物技术，工业机械和机器人，可再生能源和汽车行业。美帝认为中国企业将能够以牺牲美国企业为代价来获得显着的市场份额，从而威胁到美国在这些高科技行业的竞争力。美帝的目标就是避免中国的崛起，减少或者取代美国在关键部门的竞争，包括了航空，集成电路，信息技术，生物技术，机器人，工业机器，可再生能源以及汽车。接下来的牌，都会在这里打。除了军事之外，所有经贸往来、商业调查、警察海关、知识产权的牌，美帝都可能会打
Colin,people,实话实说,1,2018-04-30 18:21:37,82,11,看完各评论我真的觉得美国人太善良，是我们的好朋友。按照知乎er的建议，有一百种现在就能搞死中国的办法 偏偏不用 在那里和空气斗智斗勇。白宫最大的失误就是没把各位招去当参谋
ian,people,资深教育研究者,-1,2018-04-24 20:22:05,338,151,简单来说，美国真的没有什么特别好的牌可以打了（仅仅就贸易和技术领域而言，咱们先不说什么美国不高兴搞台湾，打冷战，扔核弹行吗?）美国掌握了高科技没错，可是他却没有什么工厂，还有一个问题，就是市场。有核心技术很棒，但是要能造出来，然后能卖出去。当然美国有了核心技术，只要他愿意，它可以建厂，不过这也不是一两天的事情（比如说成本，环保，地皮，生产周期，熟练工人，管理体系等）。然后他又要把这些技术和芯片卖出去，老实说，美国国内的市场根本就不够大，其他国家也很难填补上这个市场大窟窿。技术不变成产品，卖不出去反过来又影响企业创新意愿和创新投入，对创新本身产生不利影响。我不是说核心技术不重要——那是另外一个话题，而是说在一个全球化的市场体系里面做出这样的举动，无疑是杀敌1000自损800。更为糟糕的是美国的市场经济体系和自由主义思想，使得她的政府较少干预企业，而任何一个企业都经受不了失去市场的打击，这时候我国的体制有它的优越性的一面，那就是如果是国家需要的战略性企业，是无论如何也不会垮台的。美国的创新是利益推动的创新，我国的创新是所谓肩负着国家使命的创新。所以一旦没有利益美国企业的创新步伐是可能放缓的，但中国不是这样的——我没说中国的比美国的模式好，不要误解。这只是两种模式而已。其余还有什么牌好打的吗？情况都是类似的。比如说飞机，我们的技术差一截，但是好歹自己有。美国的技术很领先，但是如果失去了一个大市场，企业哪来的钱和动力去不断研发呢？卖欧洲？人家自己的还卖不出去。卖非洲，人家买不起。所以他的日子也很难过得愉快。用一个不太恰当的比方，你一个知识分子看不起乡下来的扫地老农，你可以欺负他，但是当真没有他的时候，你家高档小区一样堆满西瓜皮。更何况是老农一家子还特别庞大，大儿子还开了工厂，生产你设计的产品; 你的东西有一半卖给这个大家子的二儿子、三儿子直到N儿子; 这N个儿子还是训练有素的工人，不断生产廉价产品满足你的高档生活。 你可以嘴上说，你们一大家子都靠我过活，然后占些便宜，但是要是彻底翻脸，大家似乎都没有什么好处。毕竟贸易战打的是贸易，为的是多挣点钱不是玩命不是?我不大同意一些人盲目乐观的认为我们随时就可以超越美国，但是也不同意一些故作高深的判断，就好像我们一无所有，没有任何贸易对抗的本钱。这两种观点恐怕都不太客观。————————我觉得已经很理性很中立地表明了观点。我没有说过打贸易战谁赢谁输，我的结论是，如果打贸易战双方都是“杀敌一千，自损八百”，美国损失可能小些，中国损失可能大些。但是美国和中国的体制不同，双方的承受能力和损失未必成正比。有部分朋友不同意的没关系，但是看清我的回答再评论好吗？对于那些持有特定立场的朋友，不要再争论了，我万分尊重您，您赢得了辩论。
