name,type,headline,gender,created_time,vote,comment,content
尹冲,people,中二病晚期的实习生,1,2018-11-29 15:06:51,118,15,我觉得历史既然已经证明没有牢不可破的联盟，也会证明没有永不落下的旗帜。一个民族永远在处在最危险的时候啊……
风过耳畔,people,及时拉黑沙雕，不给它机会,1,2019-06-07 08:41:40,376,56,有极大的可能。特朗普是不是下一个戈尔巴乔夫不知道，但特朗普的确是为美国解体进程中重要的掘墓人，他在一点点消耗美国的软实力。另一位是小布什，他的三万亿美元伊拉克战争，极大消耗了美国硬实力。美国现在的富强得益于美元霸权，而美债的飞速增长趋势又打击美元霸权，美元必将崩溃，随着美元崩溃，美国就有解体的危险。因为美债爆发后，美国各地区发展不平衡凸显、矛盾加剧，就会有人如(叶利钦)那样跳出来，谋求脱离联邦。多说两句，再遭遇一、二次经济危机，美元崩溃就是大概率的事。首先，08年金融危机造成4600万人没有医保，4500万人要靠食品券生活，近500万美国家庭失去了房子。当时底层美国人的惨状，可见于占领华尔街运动时美国人的自述，天涯有个帖子《关注华尔街发生的那些事》就是。当美国人为声讨金融资本贪婪和社会不公发起占领华尔街运动时，美国国会快速通过一项法律，将此行为定为重罪，FBI称之为国内恐怖主义。其次，美国是如何走出这场危机的呢?美联储在很短时间内，偷偷救助银行77000亿美元，这些银行的资产在两年多时间内，增长了39%。随后，美联储又进行了多轮量化宽松，给世界带来通货膨胀，引起各国声讨。而美债也由08年9万多亿美元，增长到现在21万多亿美元，而美债飞速增长的势头并没有减缓的迹象。从另一个角度，用台湾网友YST的话，来分析美国为什么会有解体的危险。跟中国相比，美国的民族自尊心，主要来自于过去二百年里面相对于其他民族的强势，头一百年是相对于印第安人，后一百年是相对于地球上其他国家。其自尊心的核心思想即：因为我们这个民族比其他民族先进、强大，所以我们这个民族值得骄傲，我们这个民族无论做什么都是正确的。对于这种心理的描述，好莱坞的作品做得最为到位。台湾网友YST曾经在其作品《台独的作品“阿公的皇民岁月”》里面阐述过：好莱坞是宣传美国文化的大本营，因为全世界的人几乎都看好莱坞拍的影片，它的影响既广又深。我们今天就来揭开他们所用的共同手法。美国电影，尤其是西部片最为典型。片中的男主角英俊魁梧，女主角美丽大方，小孩子天真无邪，他们穿着华丽的衣服，过着富裕而又幸福的日子，当然他们都是白人。片中的配角是红蕃，他们肮脏、迷信、头上插着吓人的羽毛、脸上涂着恐怖的油彩，过着贫穷又野蛮的生活。然后好莱坞的导演开始做对比的宣传。白人穿着细致的、精心设计和剪裁适度的衣服， 干净又美丽；红蕃穿着劣质的、胡乱剪裁的衣服，肮脏又粗俗。白人梳头又喷香水，风情万种；红蕃几天不洗澡，一身臭烘烘的。白人在史特劳斯的管弦乐下翩翩起舞；红蕃在单调的鼓声中吓人地扭动身躯。白人有细腻的和缠绵的爱情文化；红蕃除了动物本能的性交不知道男女之间还有任何其它的东西。接着好莱坞导演安排一次「意外」。在一次温馨的庆生会，或是一次郊外野餐，或是欢度结婚周年，反正是在最幸福的时候，突然出现一阵鬼哭神号的叫嚣，一只红蕃的箭射进了美丽女主人的胸膛，白人幸福的家庭生活破灭了，激起了男主人复仇的意志。于是有一天他聚集了一批人马，把红蕃的营帐团团围住。红蕃出来一个，他们就用枪打死一个，非常的英勇。这一幕约翰韦恩演的最好了，为此还拿了美国最高荣誉的国会勋章（medal of congress）。故事的结尾当然是红蕃都被消灭了，白人终于报仇雪恨，伸张了正义。等一下，双方杀来杀去，什么是正义？难道不是白人私自进入了本来属于印第安人的北美么？遭到印第安人的抵抗和驱逐也是情理之中，怎么不知不觉成了正义了呢？呵呵呵，巧妙就在这里。所谓正义不过是一种主观的价值认同，这是可以诱导的。怎么诱导？用的就是前面说的对比手法。好莱坞导演 要表达的是：因为白人先进、文明、干净、美丽、浪漫，所以白人做什么都是正确地，因为印第安人落后、野蛮、肮脏、丑陋、粗鄙，所以印第安人做什么都是错误地。如果白人杀死红蕃，那是勇敢；如果红蕃杀死白人，那是残忍。为什么好莱坞导演这么钟情这种宣传手法，因为他们实在没办法，除了衣服干净他们实在没有任何肆意侵略的理由。无论是从主权、人权、先到先得还是民族传承角度，殖民者对北美的侵略都没有任何站得住脚的根据。唯一可以宣扬的就 是白人的相对富裕和印第安人的相对贫穷。所以好莱坞除了在白人服装的干净整齐和土著衣服的肮脏破烂上做对比文章外，写不出任何其它的东西。'这种手法其实直到今天都在使用：白人演员都是选择白人中间最英俊、性感、能干的，有色人种演员都是可以选择在相貌、品行或者能力上有瑕疵的，由此来为美国这个国家的历史和存在辩护，为美国这个国家的自尊心辩护。所以说，美国文化中的凝聚剂，就是强势文化。美国人的自尊心，就来自于这种强势的唯我独尊的心理，或者说优越感。举个例子来说，美国人正在搞“上帝之杖”计划是利用太空平台搭载大量直径 30厘米、长6.1米的钨、钛或铀金属棒，然后在太空用这些金属棒指向那些任何不听美国号令的国家。在美国人看来，这是很正常的，因为他们认为他们比别人先进和强大，其他国家和民族都是野蛮人，就应该听他们的。可是如果别的国家和民族也搞一个类似的平台，也搭载一些金属轨，指着纽约曼哈顿呢？在第三者看来，这其实不过是互相制约，没什么大惊小怪的。但是美国人内心里面是绝对不能接受的——你只要想象一下自己的家园也被一帮野蛮土著用太空武器时刻瞄准着的时候的那种感觉，就能理解美国人的心理了。于是美国人肯定会想尽一切办法，投入一切资源，力图让自己比“土著”们更先进。而且仅仅先进一点都不行，得是大大超过。为什么？因为他们是美国人。这种强势文化的核心，就是一个循环逻辑（circle logic）：因为我们先进、强大，所以我们做什么都是真理，可以不择一切手段的掠夺资源、能源和利润；而掠夺来的资源、能源和利润，又支撑着我们的先进和强大。这就是为什么美国人特别喜欢贬低其他民族、信奉美国特殊论的原因，——因为这是他们赖以保持民族自尊心的根本。当年苏联发射第一颗人造卫星的时候，其实只不过是在航天这一个方面稍稍比美国领先一点，整体水平其实跟美国仍有较大差距。然而美国人的反应是非常激烈的，认为绝对不可接受，将苏联的行为视为对美国的严重挑战。美国政府立刻斥资265亿美元展开登月计划，而苏联发射一颗人造卫星的成本仅仅为40亿美元。美国人唯我独尊的心理可见一斑。而如果说前面所述的循环逻辑是个无比美好的甜甜圈的话，那么中国的快速崛起就是在啃食这个甜甜圈，取消美国人的特殊性，就是在刻意说明其他民族也完全可以跟美国一样先进和强大的，是完全可以跟美国平起平坐的。这是美国人绝对不可接受的，因为这其实跟苏联发射人造卫星一样，是在严重腐蚀和打击他们自尊心存在的基础。更为严重的问题是：如果中国继续这样下去，有一天变得也跟美国一样先进和强大了，那么是不是也意味着中国无论做什么都是正确的？是不是也意味着中国也有权力通过各种手段享受人均跟美国一样多的资源、能源和利润？后者在目前看来已经是不可接受的了，因为西方7国以15%的人口享受着全球80%的能源。如果中国人均也跟美国一样多，那么意味着美国必须把目前享受的这些能源拿出至少一多半来给中国。最为严重的问题是：真若如此，那么中国占有的能源和资源比美国还多，没有理由比美国发展的差，如果中国比美国还要先进了，那么是不是意味着中国也可以反过来对北美和澳大利亚殖民？是不是也可以像当年对待红藩那样对待美国白人？这样的可能性，从逻辑角度是无法否定的，美国人只能从情感角度否定。好莱坞少数电影也曾经描述过类似的情景，但是那都是作为噩梦来出现的，背后的含义就是：这是绝对不可接受的！！这就揭示了美国这个国家的自尊心基础的内在脆弱性：它的存在不是靠相同的文化、种族或者民族，也不是依靠几千年光荣的历史，而是凭借一时的相对于其他民族的先进和强大来保持的；一旦不先进了，跟其他民族总体水平一样了，先进强大的光环消失了，那么这个国家的自尊心和自豪感就无法继续保持，以前被这个光环掩盖下的各个民族、种族和宗教派别之间的矛盾，就会立刻迸发出来。因此，美国为了证明自己的先进和强大，保持自己NO.1的地位，是不遗余力的、不惜血本的，就好像当年苏联为了保持自己的安全而不顾一切一样，因为在美国人看来，美国就是先进和强大的代名词。也就是说，必须保持美国的先进、强大和富裕，美国这个国家才有团结一致存在下去的理由，她的存在才有意义，如果不是这样了，那么美国也就失去了自身的意义，变成了彼此毫不相干、生活习惯毫不一致的若干个民族、种族、宗教的大杂烩，美国的延续也就毫无意义了。
破壁人,people,和平年代长大的儿童，逃脱不了战争的命运,1,2018-11-29 13:00:13,53,20,只有领土分裂才是分裂？互联网时代，个体的意志体现的会更彻底！人类很难再像5000年前一样采用极端的方式解决争端。但每个人都能发表自己的看法，团结与自身相同理念的人，这在从前是无法想象的！人类对互联网时代的政治经验为零！美国已经分裂，并且这种分裂在逐渐加大，希望我们能从这个衰落的帝国身上学到网络时代的政治经验！
Eidosper,people,好好学习，天天向上；珍惜时间，用功读书。,1,2019-06-07 13:27:29,32,13,苏联国歌，歌名《苏联颂》，因第一句“牢不可破的联盟”被翻译成《牢不可破的联盟》。美国国家进行曲，歌名《星条旗永不落》，地位仅次于国歌。波兰国歌，《波兰没有灭亡》。
i.o,people,无产阶级,1,2018-11-29 12:44:23,22,10,美国分裂有一个前提是在全球范围影响力变弱，薅不到羊毛了，要不然国内的危机就能持续对外转移，分裂，难。
流年忆影,people,,-1,2018-12-03 09:57:20,33,9,。。。讲真现在看到这种问题总让我有一种在外网上看到“中国会崩溃吗”的直视感。。。（没有冒犯的意思，只是觉得世界人民对竞争国的态度出乎意料的一致啊emmmm）
Shinku,people,"无论如何, 我们有马克沁机枪, 而他们没有。",-1,2018-12-09 07:30:48,190,44,八成会爆internal conflict的灾难。不过问题不大，顶多就是把民主折腾没了。原汁原味的美式民主是持枪暴民的民主，和海盗船上海盗的民主是一回事。这个制度的核心是持枪的欧洲殖民者。大家合伙有油水就好好干，有利益冲突就散伙。民主的基石不是什么三权分立，而是实打实的枪杆子民主。比如南北战争时期，南北真正的分歧不是奴隶制度的存废。而是南北经济之间的冲突。北方想要高关税把自己的破烂卖给南方而南方想要低关税把农产品卖给欧洲而不管北方的工业化。这其实放在别的国家就不是个事，但在美国这个因为提高税收就造反独立的国家，那就是致命伤了。再加上废奴的经济损失。这个问题不是和和气气的民主辩论能解决的，所以美国就打了一场内战来让南方为北方的工业化买单。结合美式民主在二十世纪开始的在俄国临时政府，在魏玛共和国，已经如今一大票非洲和中东国家的失败，我们可以得出一个非常有趣的结论：美式民主的正常运行是有条件的，这个条件就是国家的左右两派不能有实质性的分歧。但是在国家遭遇危难的时候，美式民主会放大而不是缩小对立两派的分歧。从而彻底的削弱政府的统治效力和合法性。比如魏玛共和国的崩溃。倒不是制度设计有什么问题。问题在于其在金本位时代根本无法还清的巨额赔款。这笔钱怎么办？根本没办法通过民主的方式商量出一个能够让人民接受的分摊方案。只能通过集权专制再打世界大战来解决。打赢了自然不用担心财务问题，打输了就不必担心财务问题。而今天的美国其实也处于一个冲突中，不得不说美国这块天府之国本身，和其夺取世界霸权的轻松拉低了美国人民对苦难的耐受能力。在上层资本家看来，美国人均能源消费超高世界水平好几倍，过得日子比国外好多了，却偏偏不知足。而底层工人则是另一种观点，他们只看见随着资本家把工厂搬出国外，他们失业而资本家利润蹭蹭蹭的涨。于是认为这些家伙是混帐王八蛋。这个矛盾，我是不知道在美式民主下该怎么解决。而且，随着军事科技的发展。军队从近代的全民军队回复到了中世纪的贵族军队。就像一个骑士可以随便把农奴砍到手软一样。现在少量武装到牙齿的军队打大批持枪暴民也是轻而易举。在物质上，民主已经走到了末路。只要有人渡过卢比孔河，控制一支军队用于内部镇压，他就可以成为美国的凯撒。19世纪，如果那个美国总统想独裁，他绝对会被持枪暴民乱枪打死，而如今，美国暴民手中的老古董除了自相残杀，还有什么作用？所以我得出结论，未来很有可能出现一个掌握军队的独裁者把暴民镇压然后把皇冠带到头上。当然这个过程会怎么进行，以及这会对美国造成多大的冲击。我就不得而知了，只能参考罗马的历史进行猜测：这个过程不会太剧烈，还要有很长的时间来让其充分的衰退。至于制度设计可以避免内乱什么的，我是一百个不信的。前苏联的制度一代代的教育人民信仰马克思主义。等苏联解体时也没见有真正的信徒为了国家拼命的。那个政变反对戈尔巴乔夫的委员会更扯蛋了，居然怕担责任而不敢下令去镇压反革命暴动。这和当年列宁带领几千人在几个月内就夺取俄国政权时的共产党员完全就是两种生物。可见物质基础才是根本，制度设计就是上层建筑，是附属于物质基础的。或者说，内乱就是制度与现实的大规模脱节才产生的。这里说一下我对民主的看法：民主的根本在于有民主权力的公民阶层有足够的武力做后盾而不是各种民主制度。罗马共和制度的消亡其实就是罗马公民军队消亡的结果。这也是军事科技发展后让骑兵凌驾于步兵之上的结果。比起步兵，骑兵是少而精的。而民主制度的再次出现，则是由于火枪的出现，一个从小就苦练马上功夫的贵族骑士可以被一个练几个月火枪的农奴轻易打死。这直接给了底层民众参与政治的力量。而如今的时代，大规模的动员兵在信息化战争前没有任何意义，原子弹更是可以轻而易举的消灭大量的人员。资本权贵对普通民众的武力优势就如同人类对各种牲口的优势一样，难道有人会因为牛羊游行示威或是投票反对就害怕而不敢吃肉了？关于民主制度：民主虽然能解决很多问题，但唯独不能让国家在艰难的时刻做出痛苦的抉择。因为“人民可以忘记杀父之仇，却不能忘记夺财之恨”，比如一战后的德国人民就“民主地”选择用第二次世界大战来偿还一战赔款。如今美国的社会的分裂和美国本身人民收入的多少无关，而起源于人民对失业的不满和前1%收入迅速增长的愤怒。而特朗普现象其实也能在古罗马共和制度的崩溃中找到影子。落魄的公民阶层需要一位强人来保护他们，于是就有了凯撒，有了特朗普。
匿名用户,people,,1,2019-01-30 13:56:35,51,9,个人胡说几句，分裂够呛，但是衰退还是很可能的。感觉特朗普形式上很像海瑞，但是跟海瑞差了十万八千里。特朗普貌似非常犀利的指出了很多问题，但是没有提供解决问题的办法。例如，特朗普要求欧洲国家承担军费，否则就撤出。比如特朗普修建隔离墙。比如贸易战。特朗普说这些事情对美国损害极大，必须改变现有局面。这些问题好像蓝营的人没有发现，其实并不是，只是，很多问题，你不能上称去称，因为没有可以承受这么大重量的称！比如要求盟国提供军费，美军在欧洲对俄罗斯的施压是为了保护欧洲盟友还是为了制造风险、激化欧俄矛盾、强化欧洲对美国的依赖？如果美国彻底撤出欧洲，把欧洲交给德国，让德国去构建一个更为统一更为团结的欧洲，对美国有好处吗？蓝军不可能对全美人民大声喊，我们之所以不让欧洲盟友支付高昂的军费，是因为我们需要实质性对欧洲进行殖民，我们需要把欧洲牢牢控制在自己手上，我们因此攫取的利益远远大于军费！我们之所以不让日韩缴纳高昂的军费，是因为我们需要他们把中国堵在第一岛链内，而且我们还统治着他们国家的财阀，我们不亏！这话能说吗？？？比如贸易战，以国家为单位对中国进行贸易战。华尔街和硅谷都在中国拥有巨大的利益。蓝军当然也希望继续经济殖民中国，让中国继续充当血汗工厂，但是方式是一边同化策反洗脑平民搞颜色变动、一边划个小圈子（TPP）胁迫。蓝军不可能对着全民人民大喊，中国人民赚的钱都是血汗钱，大头都被我们的跨国集团带了回来，补贴了我们国内的消费者，我们在中国扶持了大量的代言人，已经具备相当的群众基础搞事情！这话能公开说吗？？？非法移民的事情就更不用说，蓝军大声喊，我们在养猪？？？然后特朗普犀利的指出这些问题，并且要按照他的方式去解决，怎么解决？让德国接手欧洲？逼迫日韩缴纳高额军费让日韩造反投向中国阵营？让中国老百姓认真的放弃幻想真正认识到美帝亡我之心不死？把事情放到称上，是一个很好的解决方式，一些勇者往往喜欢这么直面问题。然而，与莽夫的区别是，勇者有把问题抖出来并且解决掉的能力。海刚峰作为大明王朝的一把利剑，人们对他的印象除了刚正不阿以外，甚至有些负面的评价，比如迂腐。但是，海刚峰真不迂腐……隆庆元年，徐阶为御史刘康所劾，瑞言：“阶事先帝，无能救于神仙土木之误，畏威保位，诚亦有之。然自执政以来，忧勤国事，休休有容，有足多者。康乃甘心鹰犬，捕噬善类，其罪又浮于高拱。”人韪其言。高拱要搞徐阶，海刚峰站出来说，徐阶在嘉靖朝干了很多坏事，但是，他没有办法啊，可以理解。你现在如此咄咄逼人，是在做什么好事吗？
ALPHA I,people,跟随创世者前行,-1,2018-12-01 18:12:57,15,7,牢不可破的联盟已经破了，永不落的星条旗也会陨落。美国在可预见未来的分裂，只会因为一个因素，那就是人口生育率的结构性不平衡，以及悠久深厚的种族歧视传统，两者共同作用，导致的人口问题终极大爆发。川普已经意识到了这个问题，所以才要限制拉丁美洲移民进入美国，不过这最多算是扬汤止沸，美国国内的拉丁美洲人已经足够多了，越过了质变点。
川哥,people,和无限的时空相比，我们的一生不过是巧合而已,1,2018-12-09 12:15:18,29,9,16年大选的时候，刨去一些不投票的，民主党的支持者起码有5000万，美国整个泛左翼的支持者接近一亿，这已经和韩国日本，德国，法国这样的传统发达国家人口相当了，就因为在美国大选的时候，几个州差了选票，相当于一个世界大国总人口的群体的政治观念就完全不被考虑了。之前还会弥合分歧，还会照顾少数，还会采用协商之类的其他民主方式进行补充。现在呢，大选结束两年了，双方的分歧愈演愈烈，而且平时不再尝试沟通与求同存异，都等着投票选举的时候一战定生死，选举赢了就把对方往死里踩，赢了对方的政治立场就是垃圾，就是不予考虑必须抛弃的。完全不考虑至少几千万人的诉求。竞争性选举本身就会带来分裂的因素，牢固的法统性和对民意更好的反映是选举最大的优势。如果没有其他机制来弥合冲突，每次选举在反映一部分民意的时候都极力的打压另一部分民意，那选举制度的缺点就会被无限放大。什么争议都诉诸选举，固然可以靠选举制度现阶段无与伦比的合法性大杀四方，但选举的缺点和劣势也会最大化的承受投票选举本身自带投票范围无法用投票决定的本源BUG，为什么是这些人投票，为什么那些人不能加进来投票，为什么一部分人不能独立出去自行投票，原因无非四个字：威逼利诱！大家一起有钱赚的时候都说民主大法好，没钱赚的时候一个个或是闹独立，或是要取消部分人的投票权，当然理由还是捍卫民主。当川普决定放利诱美国国内全球化利益联盟后，下一步就是威逼了，就像刚刚对通用汽车做的那样，如果威逼成功，那么国家还在，但民主自由招牌彻底臭了，美国梦也就变成部分美国梦。如果威逼不成。。。。。
