name,type,headline,gender,created_time,vote,comment,content
山高县,people,历史给皇罗的代号叫拜占庭,1,2018-04-27 01:28:43,74,11,目前美国制裁对中国科技的打击程度，不及1960年苏联撤回专家的1/156。打击固然是有，至于那么大惊小怪吗？新中国从建国起，乃至上溯到建军，建党起。遇到的坎多了去了，不差现在这不痛不痒的一个。这世上没有过不去的坎，只有因惰于改变而恐惧变化的人。别忘了:————当代世界的这点斗争强度，放到真正血雨腥风的20世纪上半页，怕是连过家家都算不上。经历过那个年代的人还没走完呢。。。。温室里待久了，就容易听风就是雨。这样不好，显得图X，图XX。。。。。。。
terry wang,people,,1,2018-05-10 02:58:43,3,5,利比亚、伊拉克没有大规模杀伤性武器，被打了;伊朗弃核了，伊核协议要被废除了;朝鲜有原子弹，现在美国光喊不打。美利坚玩儿的还是当年对印第安人那一套，进两步退一步，最后步步绞杀。中兴对美国芯片的依赖要远远高于华为，所以被制裁的是中兴; 今天华为手中有粮，美国制裁的话，华为真搞出个不用美国芯片的5G，美国不是糗大了。美国制裁中兴是吓唬华为赶紧去跪舔国会和川普，结果华为要撤出美国了，手里有枪才能不怕流氓
Boris,people,电子工程师,-1,2018-05-11 10:46:21,1,0,有可能，不过中国也不会坐以待毙。这种精确打击对于中国这样的大国没什么用，会把自己给葬送掉的。
寰宇视野,people,期货股票作手/有用的坏人/资深金融流氓/公众号：交易哲学家,1,2018-04-21 14:19:42,1,0,不会，反而会促进崛起。另外美国也受不了。美国绝对不会拾起生产八亿条裤子的时代
王旭东,people,电子电气工程师兼软件工程师,-1,2018-05-11 11:09:34,1,0,我们从来是制裁什么就会有什么。这次危机，不如说就是因为以往这一块没着么制裁，所以产生依赖。所以与其说是危，不如说是机。毕竟少了芯片地球还是得转，日子还是得过。
戴意行,people,经济学者,-1,2018-05-11 17:33:30,2,0,制裁华为是迟早的事情。但是说中国的高科技产业就会因此被消灭那就多虑了，因为中国已经从过去的技术吸收中积累了一定的经验和基础，并且中国已经实现了工业化，那么剩下的就是在某个领域的技术攻坚。而中国之前从美国进口了那么多芯片也不可能对美国的芯片技术一无所知吧。所以美国这次对中国的芯片实施制裁有可能促进中国更快开发出更先进的芯片，因为中国发展5g网络技术已经是箭在弦上不可能轻易放弃，而美国的制裁就会逼迫中国政府投入更多的人力物力财力去搞出芯片。因此实际上就剩下技术攻坚了。
莲燦,people,灵魂上的独身者。,-1,2018-04-22 08:12:59,2,0,这样打击应是下策，帝国主义不是争着强铁路权吗？而不是说，你别用我铁路，这不是逼着人另起炉灶？
帅帅的阿敏,people,性爱砖家,-1,2018-05-17 09:57:01,1,9,光刻机    光刻机    光刻机     只有突破光刻机技术我们的芯片才不会被卡脖子     中药的事情说三遍      加油中国
ranBo,people,不要乱说,-1,2019-05-24 18:11:02,0,0,当然不会了，美国玩手段阻挠别的国家发展真不是一天两天了。二战后就没停过。德国、苏联、日本，哪一个不是一肚子苦水。只不过两个是小弟，不敢说，一个是敌人，不用说。其实特朗普也挺不容易的，前人干坏事都能有漂亮的各种理由，到他这里，小布什和奥巴马留下的烂摊子太大，国力衰退，还没收拾完，就得应付强势崛起的中国，所以也就顾不上脸面，直接开整了。像什么伊朗、伊拉克、北朝鲜、索马里这些国家，被搞得都快穿不上裤子了，只是他们属于被世界无视的国家，没人在乎。中美争霸赛，才刚刚开始。
颜色,people,,-1,2019-05-24 15:48:26,0,0,没错，华为现在也被制裁了，不排除继续下去还会有被制裁的公司
