name,type,headline,gender,created_time,vote,comment,content
北野文,people,有没有合适的主公,1,2018-04-19 23:08:56,42,44,斗胆献几条计吧。1.房产税尽快推出，事不宜迟。房价在某种程度扭曲了国人的价值观。国家必须要对现有的激励机制和资金流向进行纠偏。没有说房地产和互联网经济不对，只是这两样占据了太多资源和人才，挤压了实体经济的空间。2.高校的集成电路专业，教材和实验都要课改。3.国内的芯片企业不能再闭门造车了，比如FPGA芯片及EDA工具，就可以在高校推广，一定要用起来，实话说，高校也不需要太高端的芯片，多搞点国产芯片的电子设计竞赛，国家出钱(花不了几个钱)，大家来找茬，芯片和软件哪里不好用的，反馈给国产芯片公司，这点很重要，慢慢改进，憋内功。如果国产芯片慢慢起来了，可以替代一些国外低端芯片，就有可能在一些场合被国内的公司采购，整个就会良性循环。国内芯片公司才有资金去招人研发下一代产品。政府的扶持也可以慢慢退出。4.扶持芯片创业公司，减税，减租金，对实力强的个人，提供衣食住行全方位补贴。补贴一定要严格甄别，防止骗补。5.挖人。说了这么多，国产芯片和软件只有被大量使用了，才有性能提升的快速迭代。国产芯片公司才能扩张，高校的相关专业毕业才有出路。
uciicu,people,看什么看,1,2018-04-19 16:14:57,19,2,刚听到小道消息，tsmc已经停了中兴的单子。我国任何一个芯片设计公司，脖领子都套着一根美国司法部的绳子。说整死你就整死你。全世界的foundry都大量使用美国佬的技术设备，除非有足够的替代选择，否则美国佬一条命令，就可以让全世界的foundry停止对中国某公司的服务(停多了也不行，会逼foundry造反)。这个叫定向打击，比巡航导弹厉害多了。无论华为海思在ic方面怎么布局，只要底层光刻机之类的技术设备不握在手上，被美国佬一捏就死...你说会不会促进我国芯片产业发展，我觉得中长期必然促进，但是前提是一定要解决被人攥住蛋的问题。底层光刻机这玩意需要拿出两弹一星的组织度(强调一定是组织度，组织度不够投再多的钱也白搭)和资金投入来强行攻克。怎么组织我就不知道了，但是需要下定决心，需要有钱学森一类的战略科学家，还需要有把接了任务干不出活的单位直接打死的奖惩制度。这事儿才可能成功。但是短期内有可能被美国佬一个个定向搞死。中兴微电子已经基本凉了，不会再有foundry接流片单，不会再有eda工具服务。美国佬的狙击枪已经抬起来了，下一个倒霉的不知道是谁。
捷克甜糖,people,搜索公众号“微观系列”，关注我 获取更多好文,1,2018-04-18 20:03:46,323,84,"美国制裁中兴，其实是中美贸易战一个猛烈战火的信号。而中美所谓的贸易战，归根结底，是一场“科技冷战”给大家看两张图吧这两张图非常明白的告诉大家，美国在干什么，而且美国是在干真的。美国全面针对中国2025，制造业强国计划中兴被制裁的时间为7年，7年后正好就是2025，这不会是巧合。实话实说，中美科技冷战的第一个牺牲者，中兴，如果不能与美国达成新的妥协或者和解，其面临的处境将会非常凶险。肯定有人问，为什么美国的这次制裁影响这么大？美国一句话制裁你，你就完了？中兴通讯，虽然是中国第二大的通讯设备厂商，包括中国移动和中国联通，都是中兴的主要客户。但“中兴”设备的上游供应链，主要来自美国。中兴一季度对外采购额上图可以清楚的看到，在一季度“中兴”对外采购的金额上，美国以34%的占比，一枝独秀，遥遥领先于日韩，和港台地区。也就是说，中兴公司能够良好运作，其对于美国“产品”的依赖，高达34%。超过三分之一。那中兴到底向美国买了什么东西，让这次制裁对中兴可能是生死存亡的大事呢？从下图可以一目了然。中兴主要采购的十家美国公司中兴公司几乎所有的高端芯片，核心专利权都是向美国购买的。高通、博通、微软、英特尔、美光、英伟达，这些鼎鼎大名的美国科技巨擘，都是中兴的产品供应商。4月16日，美国政府一声令下，这些巨擘公司一刀，将所有与中兴公司的联系，完全切断。少了美国那34%的关键零组件的出口，中兴还如何运转？说到这里可能有些朋友还是不太理解，我尽量用最简单的方式把事情说清楚吧中兴公司总共有三大业务板块信号基站光通信手机这三大板块，如果少了美国的关键零组件或美国关键专利授权，这三大板块都很难活下去。信号基站领域信号基站大家都知道吧，最容易理解的例子就是没有手机基站转换和发射信号，那我们的手机就是一块废铁。而基站发射端主要是将基站信号BB转化为中频IF，然后再进一步调高到高频RF，最后发射出去的过程。在这个转换过程中最关键的一样东西，是“射频芯片”。“射频芯片”是什么概念？无线电信号通信转换成一定的无线电信号波形， 并通过天线谐振发送出去的一个电子元器件打个形象的比喻，一个人体格强壮，四肢发达，但是它脑子不好使，大脑发出的命令无法传给四肢，那这个人，就是个废人。中兴的信号基站也一样，什么东西都很好，可如果没脑子不好，“射频芯片”不好，那它就是一块等着生锈的废铁。而这关键的大脑“射频芯片”，完全是美国独家提供，日本韩国欧洲，其他任何国家的技术成熟度都替代不了美国。这就是为什么中兴每年要花那么多钱向美国购买，因为美国是独此一家。光通信领域最简单的讲光通信就是让我们能长距离，快速传送影片，图像等信息的一种通信技术。没有光通信技术，你手机看不了片，电脑上网贼慢。而在光通信技术领域里，最关键的三样东西是模块，光芯片，电芯片。上图来源于工信部的产业路线图，能一目了然的看到在光通信的三样关键零组件的自制率上，我们还只能造中低阶的。中低阶的概念就是10Gb/S以下的目前世界主流产品使用的都是40-100Gb/S的，而中低端的10-40G/S的产品，利润很少，而40-100Gb/S高端的产品，则始终牢牢卡死在美国手中。上面这张图只列到25Gb/S以上的，没有继续细分下去，因为再细分的话，在40-100Gb/S的高端光通信领域，我们的国产化率，几乎是0换句话说，如果中兴无法进口到美国的“模块，光芯片，电芯片”，那中兴的另一大领域，光通信，也将一败涂地。手机领域中兴的最后一个领域，手机。中兴手机一直不是热门品牌，在公司内的占比也不如基站建设和光通信来的大，而且和之前两个问题一样。中兴手机，就算99%都能自制，而且自制的很好，但就是那1%的核心零部件，芯片，被美国人死死恰在手里。中国的其他手机也一样，小米，OPPO,VIVO，牌子再响，广告做的再大，那最关键的大脑，那1%，全都被美国人死死掐住。华为是唯一的例外，华为旗下的海思半导体是极富远见的，让华为手机不受制于美国人。但是不得不说，手机不受制于美国人，但更重要的射频芯片，华为还是必须向美国购买。那为什么是中兴？中国那么多高科技公司，为什么美国选择拿中兴开刀？一张图告诉你。这张图说的是从2G时代开始，到今天,已经在布局的5G时代，电信设备制造商的不断厮杀，优胜劣汰。从2G,3G,4G,5G（测试中）各家设备厂商所占的份额一直在变。2G时代，群雄逐鹿，各显神通3G时代，先死一片4G时代，格局逐步奠定。而即将到来的5G时代，通讯设备的蛋糕由诺基亚，爱立信，中兴，华为，四家公司瓜分，其中两家中国公司合计占有的份额超过了50%五大电信设备制造商的5G测试量全球五大电信设备制造商的5G测试量排名中，我们的华为和中兴分列2、4位。中国依旧占据5G的“半壁江山”。也就是说，中国正在拥有5G时代的话语权。三流的公司卖产品，二流的公司卖服务，一流的公司卖标准。我之前就不断强调，谁拥有5G时代的话语权，谁就能制定5G时代的标准。而谁能主宰5G时代，谁就能主宰未来世界。中国将主宰5G时代的光芒正逐渐闪现而此时，美国出现了一纸贸易禁令，直接将中兴打残。打残中兴等于是打残中国未来5G的一条腿，再看一次我前面放的那张图。这样你就能很清楚的明白，美国它的险恶用心，它究竟在干什么。美国在准确，凶狠，恶毒的狙杀中国的高科技未来，尤其是美国最在乎的5G领域。那朋友们肯定会问，中国5G的一家已经被打，美国下一步是不是要打华为了？我个人分析，美国并不会那么快的去打华为。原因有二1，伤敌一千自损八百。没错，美国可以打残中兴，但同时也会对美国自己的企业造成重大贸易损失。别忘了，中国的这些科技厂商，是你美国公司的最大客户。2，让中国在谈判桌上处于被动。美国最终的目的是遏制中国高科技发展，但它同时又需要继续从中国这里赚取巨额利益。《经济学人》中美科技冷战那怎么办呢？就是通过谈判，谈判出一种即限制中国高科技发展，又不至于和中国彻底撕破脸的结果。而为了达成这结果，先打你的中兴，让你知道我的实力，让你怕，然后再打你的大疆，你的小米，打你所有需要我美国核心零组件和专利权的科技公司。这就是美国的最终套路，他不能让中国爬到他头上，但也不能让中国过于矮，中国像十多年前一样给美国人当奴隶，当生产玩具、衣服、洗脸盆、运动鞋的廉价国家对美国来说是最好的。但这又怎么可能。中国永远不会再成为那个用几亿条牛仔裤换你一架波音飞机的中国。但目前的情势，对中国很不利。中美贸易战有个很严重的问题，就是它完全不对等。大家有没有想过这问题呢？美国先后对中国卖给美国的商品施加总计1500亿美金的惩罚性关税。中国反报复美国50亿美金再加之后的500亿。那么问题来了中国卖给美国一年5056亿美国卖给中国一年1034亿美国制裁中国5056亿商品中的1500亿中国制裁美国1034亿商品中的550亿那么，美国再继续制裁我们，我们该怎么办？美国如果将制裁金额提高到2000亿，那我们怎么办？我们一共才买美国1034亿，换句话说在贸易战中我们的报复弹药一共就1034亿，可美国有5056亿。那我们的弹药打完了，该怎么办？还有一个更严重的问题。我们制裁美国大豆，玉米，猪肉，牛肉，葡萄酒一堆东西是很好，也能打到特朗普的支持州。可正如我上面所说，大豆玉米，猪肉牛肉葡萄酒，这些东西所占每年进口1000多亿的一小部分，剩下的绝大部分是类似于中兴公司这种，向美国购买核心零组件，关键专利权的。我们可以完全不吃美国的大豆，玉米，牛肉，猪肉，我自己就从来不吃美国的猪肉和牛肉，但我们的中兴公司，华为公司，小米公司，大疆公司，一大堆高科技公司，能不向美国购买核心零组件和关键专利权吗？如果不买美国的，那我们买谁的？日本还是欧洲？那像中兴要买的射频芯片是美国独此一家的技术呢？该怎么办？没有这些芯片和专利，中国的高科技公司将立刻陷入困境。有人说那正好借这个机会中国人自制。我们当然要自制，也一直在自制，我查阅的大量资料中，也很清楚这二十年来我们一直在自制。最好的例子就是当年美国利用GPS钳制我们，我们痛下决心，投入巨大人力财力，开发了自己的北斗卫星系统。北斗系统，完整构建后，一点也不输美国的GPS但，远水救不了近火。眼前美国正在制裁我们，一把刀已经砍掉了我们的一条腿，而这些尖端科技产品，从研发到产品成熟再到量产，没个三五年是不可能成功的，这三五年，怎么办？除了谈判，恐怕别无选择。中国可能需要牺牲其他利益，来换取与美国的和解。不过历史一直证明，委曲求全来的和平，从来不是和平，美国上半年和你和解了，下半年会再制造个借口来讹诈你一笔。大家都知道我经常在文章里骂美国，基本十篇文章有六篇是骂美国的，但正因为我对美国的险恶有所了解才更觉得忧心忡忡，更觉得美国可恶。中兴的例子，证明了美国的凶恶，它把中低端的东西都放给你，自己却牢牢掌握着所有核心零部件，虽然那核心零部件只占整个生产链的1%。它如果想对付你，只要掐住这1%，你就从一个巨人，成为了一个残疾人。华为是少数真正在改变这点的公司，也是我最佩服的公司。关于中美贸易战，微观系列会持续为您观察。请看完的朋友，欢迎关注我的微信号，搜索，微观系列，关注版权所有，转发请注明我是江平舟，平凡世界里的，一叶孤舟。"
咆哮山洪,people,挽弓当挽强,1,2018-04-19 16:52:19,20,0,首先要搞清楚，美国的封锁，是对中兴的封锁，还是对中国的封锁？前者是毛衣摩擦，后者才是毛衣战。说白了，目前其实还是试探阶段，你不卖给中兴，那么华兴你卖不卖？夏兴卖不卖？中国政府直接采购卖不卖？牌总是要一张一张的出的，图穷方见匕。荆轲刺秦，我们要给荆轲亮剑的机会。说点题外话，这个热点下，很多答案一派未战先怯、惊慌失措的窘相。却不知，企业层面，有企业层面的战法，国家层面，有国家层面的战法，两者招法相差是极大的。但有一点，人家刚开始制裁我们的企业，我们就必须在国家层面割让利益？慈禧李鸿章也没这样玩过！最后，相信顶层智慧。我等小民，没有战略定力，至少要有点吃瓜的定力。
phobos,people,,1,2018-04-19 23:29:29,3,0,要争气的话，这个答案是现成的，不言而喻的，毫无争议的。要争气的话，也就没这问题没这事儿了
苍白王,people,,-1,2018-04-19 14:03:57,2,1,会，中国当今的芯片技术落后就是因为当年半导体技术最肥最赚钱的时候没有机会进军这个领域，利益驱动下资本的力量会超出人们的想象。这种大潮来临的时候其威力不是一两个项目和政府拨款能比的了的，举个例子：当区块链技术和比特币在中国火起来的时候，发展的最快赚的最多的不是矿工而是卖矿机矿卡的企业。发展的机会来临的时候这家企业没有政府扶持也能照样制霸国内市场。
匿名用户,people,,1,2018-04-20 14:32:40,15,7,先匿名吧，毕竟局内人。先说屁股决定脑袋的想法，影响的话，能提高我们ic从业者的待遇就好了，别的宏观的国家战略之类的，离我们太远，虽然从事这个行业本身就明白是在给国家技术进步做炮灰，但是还是想垂死挣扎苟一秒。说下经历。14年毕业，进了C公司。面试时候还问了问公司背景，基本算是半个地方国资参股吧。做的主营是业内用处很广泛但国内极其薄弱的产品，90%的市场份额和90%以上的专利都是美国公司垄断的。C公司难能可贵从05年建立苟活到14年，不仅没死，还搞出小100项专利技术，基本上是国内唯一一家正向开发该类芯片的民营公司。产品虽然性能比不了美国人的，好歹也是可以满足不少国内客户的需要。14年我去的时候，真的是一派好光景。刚刚流片的一款产品预定客户很多，量产的前款产品卖到断货。人手不够在急着扩张，风投也心急火燎地找ceo谈投资，手里还攥着一批国家核高基课题项目。精神上来说，是已经看到远处的树枝在疯狂摇晃就等着起飞了。入职后一直在做dfi的研究和仿真。8月底吧，正式开始x1项目的开发。毕竟答主小白新人，只能做些边角料的东西。但是这型芯片毕竟是国家课题，不容有失，还是很努力地在搞。当时公司的要求是8点前不能下班，大家基本都毫无怨言，9点10点走也都大有人在。这项目做下来成功了的话公司就真起飞了，作为核心员工发家致富也不是不可能，大家都憋着一口气拼。过年的时候，我们组所有人都没有回家，留下来做仿真和找bug。年后4月rtl freeze，6月tapeout。9月，样片回来，点亮成功！公司所有人真的是欢腾一片，感觉就要成功了。但是…有但是大家就明白故事肯定不是好结果。没错，9月底爆出serdes异常bug，10几个样片基本就没有几个是4lane全通的。各种情况都找了，没个头绪。10月，关于薪资调整，ceo说采用绩效加年终统一的办法，另外说还有末位淘汰云云…好在所谓期权奖励也在路上了。然而事实是全公司基本都没有涨薪，反倒是考勤变得更加苛刻了。11月底，第二批样片回来了，因为换了封装厂，这批片子所有的serdes都正常工作且性能达标。原来ceo为了省成本，第一批用的是一家小厂。这时候要样片的客户早就打爆销售的电话了。fae也是焦头烂额忙不过来，很多客户只能排队等样片和支持。12月，工资延迟了一周发，说是境外资金过外汇管理局延迟。1月年会，热热闹闹，还请来了合作伙伴，奖品也很舍得，但是年终奖和调薪一言不发。2月过年，年终奖无着落。回来之后，ceo讲投资人撤资了，公司账上没钱，国家项目资金不准发员工工资…3月我走了。4月我们组的人都走了。5月，后端版图的人也走了，还在仲裁要拖欠的薪水。7月，听说还有原来的bd部门大佬打算把公司扛下去。12月，我还到原公司大楼看过，水牌上还挂着名，但是楼上原来一整层的办公室，已经变成不知是什么互联网公司了。后来和原组里的同事吃饭交流，得知其实在样片回来时，投资人就流露出撤资意思了。因为ceo把持股份不让，与投资人意见不合。原大股东又想遣散员工被ceo强行用遣散费续了3个月…事情过去两年多了。C公司的专利不知道后来怎么接手了。原来的代码和文档也不知流落何处。原来的组员，有转行互联网的，有回老家的，也有创业的，去海思搏命的。我就呆在国企里混日子了。好在是不会倒闭…但是招人是不好招的，待遇没什么竞争力，工作倒是不辛苦，但是也没什么成就感，慢慢吞吞没个紧迫感。说好的deadline在19年底，这18年过了3分之1了，我连mrd没见过，要做什么东西也不清不楚…招聘信息转发嘛？我母校除我之外大概后无来者做ic了。另外人员离职也不少，有些大牛估计也憋不下去了，跳槽赚钱去了。前天还和小伙伴说，这下中兴这事一出，要是能改善一下咱们的工资待遇就好了，辛苦点也行啊…
「已注销」,people,,0,2018-04-20 15:38:23,4,2,看怎么弄了，如果是乱砸钱，那就什么也不出平心而论，15年开始，我们砸钱不少了，也没出太多东西。不如奖励做的好的公司，不管上下游，奖励已经踏实做事的公司而不是炒作的概念。那样迟早会起来的。另外不要只看重国企。
瘦马,people,data,1,2018-07-14 14:51:36,1,0,不可能半导体是一项高投资，高技术，长周期，低利润的产业。不看好国人有这个耐心去做这个傻事。
匿名用户,people,,1,2018-04-18 23:16:49,5,1,会，最近芯片概念又可以收割一波韭菜了
