name,type,headline,gender,created_time,vote,comment,content
弯刀先生,people,军事装备与对外关系研究及舆论引导办公室（战忽局）编外人员,1,2019-01-27 09:59:23,9,0,不能。因为我们必须持续开放，让外国企业都敢于在中国市场做生意，让他们离不开中国市场。资本主义国家背后的力量是资本财阀，我们要用利益去分化他们。如果封杀了外国企业，那么外国企业就不敢来华投资做生意了，我们长期来看，无法成为世界的枢纽。严重来说，中国经济就将会和世界经济割裂，重回美苏冷战时代，变成了我们一家vs全世界
Twinsen,people,,-1,2018-04-21 00:19:30,2,2,我们这代人，其实主要责任是解决中国被骂的问题中国国力和科技产业崛的总体趋势起是挡不住的所以，从全局看，封杀中兴并没啥大不了的而苹果说穿了也只是间消费品公司，我感觉要封杀其实它排不上号如果今天中兴只是个卖手机的，我估计倒不倒国人会觉得其实没啥所谓个人看法是优先找产业链较短的，或涉及国家安全的，以同等金额开刀所以这就是为何国家优先封杀不是农产品就是橡胶之类的
不知名股市砖家,people,,-1,2019-05-18 00:42:40,2,0,说白了现在最重要的是吸引外资，市场会继续开放。所以不会对苹果禁售。搞你有很多种方法，目前最有效的就是打特朗普的票仓。农业州的农民已经后悔投特朗普了，下面该铁锈州的工人后悔了。另外打掉川普的外交成果，伊朗朝鲜委内瑞拉。。。至于苹果我看苹果快要支持北斗导航了。
苏霍伊,people,八卦之王,1,2018-05-01 01:28:15,0,0,封杀苹果后，苹果首先会在美国裁员，中国工厂会得以保留，富士康会拿到90%以上的订单。苹果在中国裁员等于自杀。
江湖百晓生,people,知之为知之，不知为不知，是知也。,1,2018-04-21 18:13:09,0,4,中国用户占苹果全球总用户约33%；中国市场占到苹果总营收约23%；全世界70%以上的苹果设备都是在中国（富士康）代工生产。如果中国禁止苹果进出口，苹果基本就等于是死了！两三年内将面临产能不足、三星华为的全球围剿，估计一年之后苹果就可以淡出视野了。虽然封杀苹果会给国内就业带来压力，但是其他品牌崛起一样也需要代工生产，再说苹果高利润分给中国的代工成本本身就极低，封杀苹果某种意义上来说只是对电子产品品牌的一次洗牌，对国内影响很大，但是灭了苹果这种首屈一指的传奇公司，很大意义上可以灭一灭美帝嚣张气焰！
大锤子,people,帅,1,2018-04-21 15:05:09,0,1,美国对于中国科技企业来说：1.是一个大市场；2.关键原料/技术来源。中国对于美国科技企业来说：1.是一个大市场；2.生产车间。相互之间是完全不对称的。论封杀成本，中国高于美国，所以不到万不得已不会封杀苹果，估计最后又会是私下给川普一点好处结束。个人感觉：从川普上任以来的一系列动作分析，这家伙很清楚自己需要什么!自己手里有什么！完完全全就是一个务实的商人，而商人的手段切切实实给他赢得了很多政治资本，估计会连任。
ali-12,people,,-1,2018-04-20 23:56:02,0,1,人家能掐我们的喉咙， 我们只能踩人家的脚趾
梦醒又一世,people,,-1,2019-03-13 15:45:07,0,2,首先，为什么要报复。。。有打你一拳你就要打回去吗。。。他封杀华为为什么我们要封杀苹果，苹果在中国赚钱可是我们也靠他赚钱呀。。。美国想要苹果工厂我们怎么会这样还给他呢。。。并且苹果在中国对我们有好处。 他封杀中兴我明白，可是封杀华为就有一点过了，可是华为可以告美国政府，而之后美国还是犯法，所以要赔偿华为之后华为在美国不会被封杀，中国应该在等美国自己害自己，比如说有人打你你打回去不就是两败俱伤吗，不打就算是等警察来之后，警察来了美国就惨了。
历久弥强,people,,-1,2018-04-20 23:38:39,0,3,虽然说贸易战没有赢家，但是看到美国一直这样肆无忌惮的对我们扔炸弹，而我们却一直回敬它鞭炮，这好像就有点不对等和吃亏了吧？PS：大家打开脑洞！！！如果我们善解人意，对苹果只禁售，不禁造！可行性怎样？结果会怎样？
呆瓜小贼,people,,-1,2018-04-21 00:05:15,1,3,果粉很可怕的·········
