name,type,headline,gender,created_time,vote,comment,content
青月十一,people,俄亥俄州立大学 计算机博士在读,1,2018-04-20 15:45:52,169,25,"谢邀。为了回答这个问题，我主要聊聊中美在移动通信领域，特别是3G到5G的发展，以及为什么两国在5G领域会展开激烈的竞争。1. 首先，各国怎么发展5G技术？目前，基本上国际上关于通信协议制定的组织是ITU-T(国际电信联盟)，每个国家和地区都有权利提交自己的标准，然后开会讨论，形成最终的各大公司必须遵守的协议标准。不过与5G相关的组织是3GPP工作组 (The 3rd Generation Partnership Project )，成立于1998年。所以说法上，是包括中国和美国的各国都可以向3GPP提交标准，然后开会，像联合国开会一样，最后决定哪个细节和标准能够被接收为最终标准，这样才能设计产品，并且这些产品都采用3GPP的标准。2. 5G前，各国的积累怎么样？在3G之前，我们用过的2G技术GSM等，完全是由欧美等提出，中国必须使用外国的标准和专利，相应的，需要为此付钱。3G标准的确定是在3GPP的Release 99版本中初步确定的，在此之前，各国开始全力提出自己的标准协议，中国政府委托大唐电信公司，在标准接收截止日期前很仓促地提出了我们的TD-SCDMA标准，我们本来是想联合爱立信公司一起提出，但是当时没谈拢，后来，我们又在亚非拉小伙伴们的支持下，使得我们的TD-SCDMA和美国高通主导的CDMA2000以及欧洲电信标准委员会提出的WCDMA并存为仅有的3大3G标准。4G协议的确定是在3GPP的Release 8中确定的，在此之前，中国，美国和欧盟已经形成标准上的三足鼎立地位，但是，由于4G技术确实是各大公司都有相应的一些专利，并且在各种标准里面都有出力，所以最终只有2个版本的标准形成：LTE TDD和LTE FDD，中国公司在前者标准里面的专利比较多，LTE TDD在中国的名字叫TD-LTE。工业和信息化部先给电信运营商(移动,电信,联通)发了TD-LTE的运营牌照,希望他们首先大力推动TD-LTE的应用，后发LTE FDD的运营牌照。3. 5G技术及其应用场景首现，5G是什么：第五代移动电话行动通信标准，也称第五代移动通信技术，缩写：5G。也是4G之后的延伸，正在研究中，5G网络的理论下行速度为10Gb/s（相当于下载速度1.25GB/s）当前，5G技术的标准正在制定之中，国内包括中兴华为在内的大公司正在积极参与5G协议的制定工作中，大家之前或许看过一则新闻：2016年11月14日至18日期间，3GPP RAN1 #87会议在美国Reno召开，本次会议其中一项内容是决定5G短码块的信道编码方案，其中，提出了三种编码方案：Turbo码、LDPC码和Polar码。最终，华为公司提出的Polar码方案被3GPP接收为控制码的解决方案，这是国际上各大公司相互博弈的结果，同时也是中国在5G上的小胜，毕竟5G还有很多块技术标准需要制定。再看看，5G技术的应用场景：领域比较多，简单拿出其中两个：云计算和物联网。大家就能看到5G应用的重要性。此外，5G也适用于下面的场景：（1）密集通信，如大型演唱会现场。（2）支持海量设备的不同类型通信（3）无人汽车和自动驾驶（4）虚拟现实（5）通信感知控制4. 回到问题这个题目，问法很有问题，5G现在不是两国竞争，而是全世界都在竞争。各大公司肯定都在相互勾结，提出自己的协议标准，比如，瑞典的爱立信，美国的高通等公司，中国的华为等公司，韩国的三星，日本的NTT等公司，欧盟的诺基亚西门子等。当然中美的电信巨头比其他国家的公司要强上一个档次，从而看起来是中美竞争，但是，国际竞争的结果就是各种协议，标准和专利，一旦没能抓住机遇，没能把自己的提案放到最终的标准中，就要为此买单，缴纳大量的专利费用，因此，两国在5G领域的竞争肯定是非常激烈的，政府在下面搞各种小动作也是必然的。"
jerrymouse80,people,设计师,1,2018-04-20 13:48:44,1,0,简单说就是行业谁来制定规则的问题，对全产业链有重大影响。具体可看丁一凡教授最近的一篇文章，我就不扯了。中美目前的问题是什么5G都不是重点，重点是美国政府以发奖金为理由而制裁中兴已经打响了中美经济战的第一枪，后面发生任何事情都可能，有些人已经失去了理智。Cold War 2.0 is coming这才是全体国人需要思考与面对的问题。
中南,people,民航业/旅游业/留守儿童关爱者,-1,2018-04-21 07:50:10,14,6,谢邀。也不见得5G 通信就是核导弹一样的尖端科技或者未来的全部，只不过中国政府把它列入2025 中国智造琅琊榜，正所谓：敌人在意的就是我的重点打击目标。这里不得不说说特朗普，这个全世界人民最终的疯子和丧心病狂精神紊乱者。屁股决定脑袋，美国人骂他，主要是华尔街精英主导的舆论方向，因为特朗普不像历届美国总统一样，都是踩着华尔街金融大鳄的美刀走上总统宝座，特朗普更多的是靠自己的资金和犹太大佬的支持，加上鼓动民粹主义当选。细观上台之后一系列举动，制造业回流美国、减税、限制移民措施、对中国强硬等等，真真切切的都是在为美国普通纳税人的利益而争取，虽然我们看来很多都是耍赖。权力之争，背后暗流涌动，利益负责交叉。我一直认为目前来看，特朗普是个称职的总统，毕竟为人民服务不是挂在嘴边天天说给百姓听的。这次中兴事件只是个开端，积极意义就在于打破了国人虚幻的迷梦，强行扯掉这些土皇帝身上的新衣，潮水退后才发现原来都是光着腚。这盆冷水泼的及时，相信政府只要痛定思痛，拿出对房地产一半的热情和责任感，中国突破芯片硬件玄关是大有希望的。
伊芸,people,数学/经济/股票/期权/规划/建筑,1,2018-06-03 23:03:55,1,5,很多人归结为国家层面，其实核心还是知识产权保护吧。从理论上说，如果中国模式的成功，基本宣告了私人中小企创新的终结。头条真心就是大企业了，都面对QQ围剿。华为真赢了高通，并不觉得有啥。华为有能力保护知识产权？华为手机把公务员手机取消，销售会差很多吧。那个芯片基金，至今未投中一家吧。打着扶持战略产业的名号，不充实社保。反正到他这种程度，你也不好意思说是以公肥私。无所谓输赢。中国真有知识产权保护，真不见得是坏事。
李老太,people,无业,0,2018-04-20 13:50:31,2,3,
你就叫我路人朕吧,people,观摩探索者,1,2018-04-20 13:55:26,2,2,谢邀？很早之前写过一篇文章，预测博通收购高通的最终结果，预测了两种结果：1，博通部分收购高通非核心部门。2，占据一两个股东位。最终结果美国政府插手，强势让博通收手。这里列三个主要原因：1，可以研究下高通本身的发展，在4G时代，3G时代，搞通信很多技术绕不开他们的专利，高通在这个阶段指定标准赚了个盆满钵满。2，技术垄断，专利垄断，构成专利和技术网络，对其他国家进行围追堵截。3，博通CEO做事风格，和此次收购的背后的追求利益的本质，会对第2条产生影响。综上，美国政府介入，个人浅薄了解。
睡醒了,people,学无止境,-1,2018-04-20 17:49:26,1,0,谢邀，5g是时代发展的需求，而现在正是制定规则的时候，也就是争夺话语权，这个涉及到未来的巨大利益，所以中美争夺的很厉害 
七小暘,people,王小波门下走狗,1,2018-04-20 13:50:43,1,0,第一次工业革命的核心是蒸汽机，第二次是电气化，第三次是互联网，现在是移动互联网时代，移动互联网发展的关键就是数据流量，当然不管是我们经常吹嘘的移动支付，还是共享经济这些都离不开3G时代的来临以及安卓系统的普及，经常提的第四次工业革命肯定是离不开5G技术的发展（正在开会打的这段话可能逻辑有点不流畅，反正就是这个道理）
反对称矩阵,people,,-1,2019-06-05 10:39:08,1,1,英国：山姆先生，你好你好，有什么事情我们可以帮你的？美国：我要说的事，你们千万别害怕英国：我们是日不落的高卢鸡，我们不会怕，你请说。美国：这次5G，我不能监控了！英国：5G是哪一位？美国：不是哪位，是那个我完全不能走后门的5g啊！法国：（画画中，2g）美国：没那么老，刚出的法国：（画画中，3g）美国：没那么慢，网速几百兆的法国：（画画中，4g）美国：延迟呢？法国：（转过来，4g+）美国：这……英国：（添几笔，韩国5g）美国：（愤怒！！）5g啊，就那个华为出的5g啊，新闻有没有看？最近很火，速度起飞的那个啊，明白吗英国：明白了，你请说美国：他们说我监控别人，搞五眼联盟，试问谁不知道，他们就独立搞研发去了，就在中国深圳，一下子就搞出来了，一个基站就茶杯那么大，茶杯啊。我刚要制裁他，他就退出美国，还起诉我，对我的制裁理都不理，我就像个傻…法国：（憋不住笑了）美国：你在笑什么？法国：我想起高兴的事情美国：什么高兴的事情？法国：我刚卖了300架飞机英国：（憋不住了）美国：你又笑什么？英国：我也卖了300架飞机美国：你们卖的是同样的飞机？法国：对对对英国：啊，不是，刚才直播了一下，把一个月流量烧光了。美国：我再重申一遍，我没有开玩笑！法国：对对美国：喂～～英国：哎，我们言归正传啊，那个，这个华为5g，他厉害吗？美国：他不是厉不厉害的问题，他真的是那种，那种很少见的那种，敢跟我对着搞，速度快，延迟低，而且我还走不了后门，遗憾的是不是我们搞出来的，我还没来得及体验……法国：（偷笑）美国：你个高卢鸡还在笑，我忍你很久了法国：我卖了飞机美国：你明明在笑都没停过！法国：山姆先生，我们受过严格的训练，无论多好笑我们都不会笑，除非忍不住。英国：不如这样，你先回去用4g发推，等我直播爽完了就来帮你谴责他们。美国：行，你们赶紧直播，完了多带点水军，很危险的。复制粘贴过来的
宪哥哥i,people,在校医学生,-1,2018-04-20 15:39:32,0,1,谢邀，天朝也介入高通收购波兰的一家公司了!
欧阳宇骅,people,咸鱼吃土UP主,-1,2018-04-20 13:45:05,0,0,谢邀！个人认为接下来美方还会在更多领域对我国下黑手，只不过先从这里起步了。
chenshy,people,记录生活和思想,-1,2018-06-08 16:28:56,0,0,人家技能好啊，处于世界领先地位，高通公司在在一段时间具有的CDMA、WCDMA和LTE无线通信规范必要专利组合的国内市场份额为100%；CDMA、WCDMA和LTE无线通信终端基带芯片的市场份额也超过了50%，就是这个职业的龙头。
天然黑竟然是抖M,people,有文化不一定有思想,0,2018-04-20 15:55:23,1,2,我还是更关心我们啥时候能用上5G
喻平勇,people,.net 程序员一枚,1,2018-04-20 15:17:32,0,0,"华尔街见闻...这家除了拉仇恨,根本算不上媒体的报社,我一个字都不相信"
