name,type,headline,gender,created_time,vote,comment,content
code4f,people,,1,2018-04-25 07:19:14,281,41,类似问题都是不懂软件行业的小白，了解的人都知道无数软件技术不是美国人发明的，无数软件技术的协议保证了开源不受任何政府约束，美国禁止不了什么软件领域的东西，主要得感谢理查德·斯托曼和他发起的自由软件运动。关于编程语言和编译器，也同样，无数编程语言和编译器都是开源的，存在与全球的无数服务器之上，美国禁止不了什么。
王霄池,people,科技真强大,1,2018-04-25 16:20:51,119,0,不能。因为软件产业已经一只脚踏入了共产主义。
yang leonier,people,Black-frame Glasses and Belts,1,2018-04-23 15:33:52,218,45,唯一能约束一种编程语言的就是专利，但C语言等目前并不受任何专利约束。Bell实验室最早实现了C语言和Unix，但是它们未能通过专利的力量阻止其他平台上C语言的实现和使用，未能阻止BSD和GNU的出现，未能阻止Unix大战，使得最后正统意义的Unix不复存在。后来从开源社区诞生的语言比如Python、Ruby、PHP、Go等，原本就不受专利约束，任何人都能自己实现它。当然，仍然受专利约束的编程语言是存在的。比如，Java在Oracle的手上，仍受专利约束，所以才有了旷日持久的Oracle诉Google案。如果发生新冷战，我们到时候可能不能合法地使用Java了，像C#、Delphi、VBA等由商业公司创制的编程语言可能也将不能使用，只要他们随便在专利或者授权上找一个把柄就可以了。x86、ARM指令集也是受专利保护的，这就使得这些处理器的汇编语言也有可能不能合法使用。至于编译器，可以去了解一下GPL协议。现代编译器一般分为前后端，即使后端代码生成部分不能再生成x86、ARM汇编代码，我们也能通过合法使用开源协议来为我们的自主架构，或者RISC-V等开放的架构开发自主的代码生成模块。而对于gcc、LLVM而言，其他东西本身是开源的，假设编译器原有代码本身不侵犯其他企业的专利，GPL协议并没有什么国家安全的特例之类条款，只要保证能够不关闭其源代码，我们就可以随便用。不过，闹到要用专利来限制中国人使用某些语言和编译器的程度了，中国恐怕已经和苏联、现在的朝鲜陷入同样的境地。如果那样，我们只能自己搞自己的，还管什么外国的著作权、专利权呢？直接抄好了。美国对朝鲜就没有解除过全面技术封锁，朝鲜还不是能做自己的Linux发行版，能用上盗版Windows。
到处挖坑蒋玉成,people,中关村老实人,1,2018-04-25 00:56:20,50,13,这类所有问题的通用回答：1、开源软件属于全世界，不属于美国2、你用盗版不就完了么，都开战了肯定是全面不承认美国所有专利和知识产权啊
雁南归,people,"stay young, stay simple",1,2018-04-24 13:51:34,19,7,开源软件是属于全世界的，美国没有权力禁止别人使用开源软件。
Xi Yang,people,懒癌终末期，中二病危像,1,2018-04-23 23:19:27,28,2,规则的力量来自于共同认可。如果真的发展到这种程度，那事情就完全反过来了：我认可你的规则不会有任何益处，那就完全无视所谓的专利权了，拿到就用。操作系统至少有GUN/Linux和FreeBSD这种自由程度相当高的，实际上国内对安全和自主性要求很高的麒麟，就是FreeBSD改的。
Brian,people,没有，没有，还是没有,1,2018-04-24 07:24:50,84,47,禁止一家公司不能采购民用级别的CPU没问题，禁止向一个国家出口民用级别的CPU，那就是彻底撕破脸，接下去该上飞机大炮干一架了。这种时候，还有什么商业规则可言？专利、授权、知识产权什么鬼？压根就不承认，当然对于对方来说，也是一样的。
灵剑,people,微博一般不上 http://weibo.com/hubo1016,1,2018-04-28 17:09:05,26,5,GPL协议中规定，即使你不接受GPL协议，你也可以运行相关的代码（但是不能重新发布）GPLv3协议明确写出了“不可撤销”这个词，意味着一旦通过GPL协议取得了源代码的授权，就可以在遵守协议的情况下无限期地享有GPL授权，即使是原作者也不能撤销或者追加其他条件GPLv2协议没有明确说“不可撤销”，但一般认为授权协议在对方没有违约的情况下都是不可撤销的其他开源协议类似，而且一般来说约束更少退一步说，源代码已经在我手里了，脸皮都撕破了，你还能怎么样，有本事来中国法院告我啊（当然，在美国的资产就只能任人宰割了）Google败诉的主要原因应该是用了Java这个词，这个词现在相当于是Oracle的商标，你又没有用Oracle的软件，也没有交钱，自然是不能宣传说你的产品里有Java的……但是用源代码倒反而没事，这还是蛮滑稽的一件事。
vczh,people,专业造轮子，拉黑抢前排。gaclib.net,1,2018-04-25 07:40:46,74,25,编程语言不受专利保护，但是编译器受。编译器禁运了大不了自己写一个，卖给他们编译好的软件是不侵犯她们编译器的专利的，只要不卖编译器就可以了。这个根本没有杀伤力。至于Oracle和Google的那个事情，这主要是剽窃了生态以及工具链，而不是用了Java。要是Google从头实现一遍，只兼容语法，不兼容.class文件的话，屁事都没有。
runningX,people,,1,2018-04-25 00:07:29,25,0,软件，你只要得到一份，就可以复制很多份。如果还有源码，那就更爽了。向厂家要授权，那是尊重相关人员、组织、规则。（以及少部分的省去破解麻烦）。还禁止授权？直接不承认相关权益就好了（毕竟你禁止在先，我是有大义在的）。许多软件有源码；没有源码的有许多也不需要破解；要破解的既然国家层面允许，破解一次大家都可以使用了。软件跟硬件的最大不同在于，软件我能用一份，基本就能用无数份。硬件哪怕你有一万份，用掉了就得再买，买不到就没了。
